호선,역번호,역명,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
2호선,212,건대입구(2),2812465,2491593,2993007,2879350,3098510,2781170,2854666,2766603,2618843,2879194,2861603,2954326
2호선,213,구의,1487694,1253469,1503381,1510809,1535272,1412057,1502173,1414504,1358718,1506634,1485511,1516412
2호선,214,강변,2734139,2531057,2815564,2750228,2924868,2680665,2758243,2757758,2584214,2818767,2765544,2783880
2호선,215,잠실나루,1013481,838217,971614,1050460,1058112,948017,1011719,925218,893062,1012259,974308,979065
2호선,216,잠실(2),5149168,4611076,5104950,5573680,5468405,4912463,5313916,5231209,4657122,5457274,5234248,5599848
2호선,217,잠실새내,1554834,1320365,1579346,1578422,1641197,1484973,1571922,1496316,1393858,1562044,1515059,1573811
2호선,218,종합운동장(2),634287,524857,900017,922739,1139256,942545,926580,924018,816331,1238763,674395,707502
2호선,219,삼성,3719644,3046293,3643736,3729855,3893301,3487738,4068679,3711200,3219226,3716093,3818749,4177583
2호선,220,선릉,3286131,2594587,3108392,3219288,3212656,2975142,3370008,3078126,2834429,3201769,3209916,3249951
2호선,221,역삼,3259350,2572602,3058210,3127413,3065235,2830731,3290039,3011067,2757027,3085776,3081131,3137771
2호선,222,강남,6731617,5537751,6234948,6070160,6247693,5876947,6809521,6363167,5458954,6073476,6027683,6361642
2호선,223,교대(2),2379334,1939382,2413688,2442893,2455799,2256186,2471424,2286915,2235862,2597463,2408017,2415613
2호선,224,서초,1402840,1149139,1437341,1447251,1446879,1374335,1446613,1348200,1423803,1686507,1466021,1481228
2호선,225,방배,1148272,955184,1354913,1371977,1357645,1185652,1125298,1090667,1182192,1320922,1296853,1247094
2호선,226,사당(2),2842553,2384432,2932851,2903536,2969295,2789707,2865632,2711831,2616135,2946976,2893973,3029196
2호선,227,낙성대,1803092,1515669,1889361,1876685,1924766,1757674,1833751,1738615,1699140,1878761,1835199,1843146
2호선,228,서울대입구,3243039,2720295,3374651,3313088,3414210,3114297,3303326,3124284,2992560,3294313,3242948,3240373
2호선,229,봉천,1477352,1239576,1508430,1516329,1537771,1458841,1539014,1466345,1403846,1549771,1510042,1534649
2호선,230,신림,4327677,3703247,4407280,4368065,4471329,4156869,4343556,4161692,3931452,4339230,4241791,4351953
2호선,231,신대방,1718064,1475640,1774976,1804279,1844717,1714785,1782300,1689433,1643112,1821227,1756176,1765818
2호선,232,구로디지털단지,3951391,3299833,3925418,3979492,4020331,3715750,4023818,3750453,3544197,3944663,3891360,3956035
2호선,233,대림(2),1804824,1563901,1896808,1897087,1937607,1811917,1860528,1747367,1721190,1894095,1822080,1846024
2호선,234,신도림,3622602,3072131,3735131,3680802,3774729,3525587,3622839,3479439,3377619,3773786,3673233,3761857
2호선,235,문래,1252045,1038280,1242903,1266565,1270111,1178762,1289761,1195202,1141842,1306513,1286558,1295186
2호선,236,영등포구청(2),1371569,1136769,1383918,1410599,1416605,1297958,1405618,1301992,1262723,1422799,1410951,1409607
2호선,237,당산,1395443,1176586,1466164,1523438,1544394,1412213,1479414,1389803,1360004,1488005,1413295,1390131
2호선,238,합정(2),2155038,1838481,2183267,2150332,2239008,2094343,2194428,2145096,1993500,2264727,2209446,2273980
2호선,239,홍대입구,5097369,4644779,5349872,4978768,5405239,4963562,5138686,5228062,4641745,5273482,5032808,5519269
2호선,240,신촌,2914447,2510957,3152561,2947224,3130427,2807745,2968842,2815300,2733667,3005959,2999261,3043460
2호선,241,이대,1093172,954855,1465114,1387052,1425926,1205239,1163582,1125760,1225618,1364804,1342342,1214603
2호선,242,아현,623176,530301,688459,693051,711791,643104,659636,628053,627277,691775,676784,665587
2호선,243,충정로(2),694305,578345,710499,723117,722739,669050,705128,668549,650431,726387,717820,701109
2호선,244,용답,169263,141619,195457,191017,196314,176606,175295,162482,177412,189673,187171,182382
2호선,245,신답,106214,88608,108769,110243,112608,104423,109687,101180,99762,110835,108667,107845
2호선,246,신설동(2),283641,244032,296303,274557,277111,263152,264193,252213,233571,260046,259610,264491
2호선,247,도림천,74853,62318,80752,84338,78761,71880,82872,75711,73555,80149,79638,77427
2호선,248,양천구청,437563,374949,466331,481920,491649,446765,461277,427816,437723,487707,479745,474803
2호선,249,신정네거리,598028,517703,633476,655495,675665,615109,642279,605111,592862,657464,636532,641716
2호선,250,용두,154098,128879,155927,153949,156456,148695,155877,149851,146060,159247,156009,158496
3호선,309,지축,74540,64459,82340,88263,92547,86059,87912,78780,83579,100335,94127,109115
3호선,310,구파발,1199327,1042900,1272764,1330871,1413650,1301201,1370510,1333272,1273712,1431287,1384737,1398851
3호선,311,연신내(3),2507323,2172223,2592778,2579745,2672316,2462088,2560226,2453409,2353341,2601821,2516359,2586087
3호선,312,불광(3),1202207,1045018,1272582,1259776,1301153,1201013,1236931,1181003,1140870,1262255,1217120,1210167
3호선,313,녹번,767516,662170,833937,845576,875267,796070,828571,780705,770216,865082,848309,846067
3호선,314,홍제,1131352,977157,1235738,1241081,1272282,1143038,1154822,1097604,1108654,1233937,1193338,1177045
3호선,315,무악재,244136,210897,264607,270351,274937,251393,263615,249480,247030,274344,265564,264451
3호선,316,독립문,487481,440997,613200,573870,606856,530743,526208,544764,527047,594771,547525,533544
3호선,317,경복궁,1463258,1245952,1589877,1675835,1782717,1510299,1489259,1470923,1549858,2025194,1770630,1628083
3호선,318,안국,1424357,1233476,1583900,1664737,1690816,1483775,1538852,1519181,1481911,1821130,1741906,1657689
3호선,319,종로3가(3),819805,696454,787897,785375,806027,746449,793439,756774,690215,787555,754949,795537
3호선,320,을지로3가(3),688528,562200,683041,695323,718457,661805,727313,687114,636716,745906,718513,739184
3호선,322,동대입구,651706,550922,822276,898595,890527,735742,671209,644760,784280,857688,902930,780697
3호선,323,약수(3),869777,740746,903295,906548,924364,849193,892868,841361,812826,907306,883459,890566
3호선,324,금호,515808,441855,528305,535412,546738,502950,527273,498506,489536,538096,522490,528556
3호선,325,옥수,618471,532708,646786,650305,673170,623977,646477,617309,595503,664678,640595,637214
3호선,326,압구정,2198264,1825967,2160331,2147641,2168041,2059888,2219859,2079724,1971140,2220785,2178771,2286090
3호선,327,신사,2169024,1827042,2113324,2078134,2178651,2023068,2183593,2096807,1892380,2132440,2108700,2213851
3호선,328,잠원,381067,321120,395778,408528,422972,383888,402861,374154,368844,425095,409053,406819
3호선,329,고속터미널(3),3650330,3443565,3763343,3549653,3881177,3578839,3659723,3830191,3512161,3719899,3732376,3933493
3호선,330,교대(3),749010,607125,775331,791819,790052,719918,780162,714048,721815,865292,764026,753684
3호선,331,남부터미널,2214428,1943181,2262545,2165890,2219109,2049974,2162917,2123529,2019361,2176323,2175603,2177336
3호선,332,양재,2597380,2119325,2628926,2695317,2676691,2450801,2591110,2409433,2356036,2692533,2689097,2687653
3호선,333,매봉,693514,563078,685371,719930,708979,652900,712314,650121,629730,708523,700965,710419
3호선,334,도곡,351438,288849,362532,382806,377713,341816,357485,325844,327832,375562,377662,377118
3호선,335,대치,771395,654803,781607,755131,793345,725059,795810,773877,733876,801589,784258,727270
3호선,336,학여울,157081,125017,195229,210726,189640,163414,171440,164665,149240,148522,195963,211459
3호선,337,대청,571540,489011,613628,629477,632760,581510,630489,578969,570768,622584,634588,638749
3호선,338,일원,598043,494352,611878,639272,646212,591257,640800,592542,581401,643041,645299,637219
3호선,339,수서,1138492,973848,1165731,1174262,1197004,1112665,1159326,1111535,1093986,1208022,1212336,1214318
3호선,340,가락시장(3),620672,511518,614525,627073,628292,579121,606669,570862,559858,624311,622611,644011
3호선,341,경찰병원,489201,399875,478672,484162,488295,449864,483990,460700,442509,489112,481372,488194
3호선,342,오금(3),395701,328885,403750,409817,409250,375192,395528,372425,371554,411838,399957,397137
4호선,409,당고개,763049,671689,822913,824658,865253,796078,816931,785137,768343,849052,816396,823469
4호선,410,상계,1218046,1047758,1280228,1280573,1316187,1204302,1249542,1177105,1162011,1270699,1238072,1243042
4호선,411,노원(4),1448020,1277272,1491990,1470385,1555107,1421222,1479575,1406842,1359235,1494329,1459918,1523257
4호선,412,창동,1822685,1569148,1885470,1897946,1981158,1819021,1874849,1790632,1770578,1925357,1876565,1895920
4호선,413,쌍문,1903477,1636755,1971643,1968371,2023597,1853930,1925765,1812707,1775935,1958894,1917794,1959039
4호선,414,수유,2314976,2010122,2421202,2408135,2483909,2274587,2346851,2243647,2202411,2396061,2336802,2386344
4호선,415,미아,981716,853650,1071340,1080129,1109346,1008880,1004678,947494,972451,1068424,1040080,1042165
4호선,416,미아사거리,1772230,1541164,1862921,1882760,1961072,1798348,1865023,1784051,1728446,1912321,1885920,1952973
4호선,417,길음,1320077,1136265,1528209,1530368,1572572,1378100,1359348,1272233,1373718,1500779,1468320,1439098
4호선,418,성신여대입구,1384490,1220654,1578792,1540990,1620281,1439098,1431591,1376991,1422583,1533976,1510136,1527270
4호선,419,한성대입구,894853,775125,1067756,1078998,1138471,974709,931273,881755,964476,1075779,1031083,1005373
4호선,420,혜화,2581829,2159407,2639889,2570108,2791761,2529412,2590515,2546590,2404583,2706279,2725852,2883937
4호선,421,동대문(4),1494669,1269751,1598543,1566363,1658929,1499387,1570422,1428110,1354872,1608059,1514572,1549805
4호선,422,동대문역사문화공원(4),1282065,1136745,1401880,1346984,1438549,1314982,1356523,1340742,1204296,1406603,1332492,1406088
4호선,423,충무로(4),1855398,1551567,2051306,2120086,2093675,1875877,1897201,1786963,1853396,2090496,2056717,1985243
4호선,424,명동,2266949,2067171,2684048,2603612,2543968,2405036,2294598,2334215,2280335,2611508,2485808,2637191
4호선,425,회현,1864182,1574625,2027233,2050713,2096872,1909038,1950431,1825184,1719782,2062291,1943588,1952633
4호선,426,서울역(4),1105093,973842,1167990,1164404,1174031,1091847,1138933,1121257,1056526,1201541,1181427,1204728
4호선,427,숙대입구,927726,771768,1083138,1082784,1095885,982234,945469,893436,962022,1054214,1036836,1014287
4호선,428,삼각지(4),333610,278700,335793,341324,340800,321997,333321,315135,306862,350834,342261,349362
4호선,429,신용산,1027060,888748,1023705,1027037,1074620,990018,1074764,1010980,950814,1075232,1060686,1096552
4호선,430,이촌,608105,535407,574201,602981,674569,597460,616038,627715,567782,686534,597753,638462
4호선,431,동작,171284,150281,185405,232768,239439,235026,192623,180254,191065,223355,189122,176489
4호선,432,이수(총신대입구),1404567,1191936,1436416,1440133,1465073,1352794,1415584,1334838,1292982,1448800,1412541,1446610
4호선,433,사당(4),1675815,1431677,1785052,1772952,1820438,1681962,1697611,1634413,1599882,1789304,1753789,1809234
4호선,434,남태령,85048,72707,94773,93815,96233,84473,85733,85198,82574,91044,89551,87037
5호선,2511,방화,432177,371334,455534,458270,471969,433895,456705,427528,420273,463440,449936,450865
5호선,2512,개화산,363637,307819,370598,376264,387034,352302,370723,347393,332763,363784,353867,355664
5호선,2513,김포공항(5),465341,422991,470063,456313,490558,462086,490716,500277,451986,544296,523450,545501
5호선,2514,송정,546355,472885,580064,584607,597512,544921,557888,530595,519080,492112,467807,467561
5호선,2515,마곡,392383,319349,393277,402877,417164,372860,403836,368665,363986,408114,405724,412514
5호선,2516,발산,1054706,927771,1163219,1186376,1213229,1127628,1167689,1109002,1075997,1253971,1237950,1258472
5호선,2517,우장산,938218,797867,992976,1007521,1029314,934087,973983,916739,895391,995374,973275,974659
5호선,2518,화곡,1762766,1510610,1826195,1854362,1897859,1737139,1822525,1717743,1656990,1839997,1791497,1828432
5호선,2519,까치산(5),1817426,1555466,1859925,1887870,1918957,1764109,1841986,1748777,1699022,1877034,1836679,1871520
5호선,2520,신정,788905,667231,806103,724002,736211,668285,701604,655890,642266,744189,763494,779933
5호선,2521,목동,1157639,976467,1203845,1267078,1280640,1162888,1229231,1150031,1121117,1239189,1190643,1185506
5호선,2522,오목교,1567401,1332284,1562584,1579163,1607208,1478943,1577791,1512226,1434205,1589746,1596407,1635763
5호선,2523,양평(5),411799,338364,407124,420085,415409,379890,415920,385236,371179,414321,412040,420953
5호선,2524,영등포구청(5),236596,195725,234876,245065,244779,221432,239767,221502,215031,245437,240671,241440
5호선,2525,영등포시장,628936,534680,646291,643928,661901,616579,638468,603080,578369,664281,643677,665078
5호선,2526,신길(5),219200,179106,218144,226620,227442,208904,221999,213820,204810,235951,229496,233789
5호선,2527,여의도(5),1520078,1215250,1466667,1676743,1558283,1407977,1584103,1446326,1383810,1605463,1567564,1548457
5호선,2528,여의나루,446600,412064,600016,1225440,1141649,756558,699102,820432,816169,1010830,581111,499804
5호선,2529,마포,893455,734416,875591,912947,908349,826997,902463,841872,801028,918795,894916,928697
5호선,2530,공덕(5),882598,726470,890329,943601,932323,846275,923807,855365,821850,929195,918563,927919
5호선,2531,애오개,443783,368568,454514,467963,465742,428416,460932,430478,415312,458137,450601,453600
5호선,2532,충정로(5),269382,221244,284600,296050,295999,262140,281795,260682,261174,285956,280846,297727
5호선,2533,서대문,1063676,876003,1129617,1177062,1183192,1065606,1130278,1069458,1056128,1209105,1168619,1162541
5호선,2534,광화문,2261748,1849368,2224345,2263873,2277814,2032825,2236198,2197350,2022267,2554089,2310134,2478280
5호선,2535,종로3가(5),1107175,948003,1039216,996975,1058131,955167,1001811,990768,889278,1060787,987991,1057571
5호선,2536,을지로4가(5),338440,273339,324325,326117,331020,321075,337308,315287,304579,368920,355464,360045
5호선,2537,동대문역사문화공원(5),187782,151395,187434,192665,189586,173028,195292,185325,172252,187086,188328,196246
5호선,2538,청구(5),240283,205011,252505,256218,261424,237205,252353,233106,233267,260991,251205,247055
5호선,2539,신금호,394716,337982,419666,423849,437891,400605,414645,385254,381294,422653,412451,416105
5호선,2540,행당,497140,421528,513308,519878,526433,484157,509324,480918,467303,518065,509772,508900
5호선,2541,왕십리(5),350882,302426,353329,344844,356210,328820,349611,331950,306738,342584,336650,349049
5호선,2542,마장,379514,320846,398587,408306,406637,362178,366141,358750,365451,398736,394828,407995
5호선,2543,답십리,1010198,858141,1043490,1045565,1063520,978218,1024752,950700,921979,1028588,1010718,1024404
5호선,2544,장한평,1155085,973029,1168814,1182197,1198101,1098713,1183930,1113892,1066536,1187238,1161747,1193429
5호선,2545,군자(5),722586,616120,756466,761329,768299,710511,742244,700297,671435,754763,741291,764615
5호선,2546,아차산,875944,762093,952623,983715,1026831,909149,910832,871475,863832,982138,928479,938147
5호선,2547,광나루,834851,689217,886230,901199,916295,833551,842894,797225,786918,905414,884376,870676
5호선,2548,천호(5),1275117,1097372,1307487,1276550,1344503,1246088,1290707,1239689,1161870,1300809,1272236,1320718
5호선,2549,강동,1145633,972550,1186391,1193841,1222583,1140184,1233732,1166811,1118171,1253802,1231872,1244817
5호선,2550,길동,478571,405521,486449,484756,498788,458471,486560,461669,441428,489571,480938,499164
5호선,2551,굽은다리,585465,498346,604095,610131,635394,582374,611696,572535,548027,604660,597996,611201
5호선,2552,명일,510959,428569,535946,533049,548478,497231,529324,521644,514732,581657,574047,581470
5호선,2553,고덕,569833,485244,606138,619932,642342,582133,613069,572324,553632,618544,611060,616980
5호선,2554,상일동,718300,598865,749765,764980,789654,711383,738314,684440,669375,825852,856371,885213
5호선,2555,둔촌동,551883,462188,571094,565597,584036,544542,560712,532001,516995,575418,567039,573031
5호선,2556,올림픽공원(5),278015,222070,305401,327649,350947,333661,316921,306722,291522,334058,318322,311065
5호선,2557,방이,469941,393156,477559,479117,484037,453952,474391,447233,430159,480340,476840,487806
5호선,2558,오금(5),217471,180489,234530,237039,240125,222058,233135,216627,212493,235872,231416,228024
5호선,2559,개롱,424219,358267,444694,453533,462234,428007,448603,420904,412004,455656,446657,449428
5호선,2560,거여,443421,374981,474176,479204,495266,453191,474675,452951,446796,494084,484004,490536
5호선,2561,마천,321361,278253,344761,346856,360908,335772,339616,318155,314915,349608,340580,341241
6호선,2611,응암,1097804,943014,1140031,1164619,1172712,1079465,1116706,1050488,1030140,1153176,1122241,1132065
6호선,2612,역촌,266171,228897,275060,274371,280793,264539,281284,269031,254055,282562,265984,267759
6호선,2613,불광(6),326501,292127,340450,335715,343821,322649,336966,329491,300524,329940,317235,317835
6호선,2614,독바위,186210,157638,191963,191392,195432,182472,188633,181679,176139,194073,189743,189590
6호선,2616,구산,419615,349083,442484,446454,456778,420450,442006,415412,403079,445861,432419,436704
6호선,2617,새절,778807,672337,867643,899584,910070,823131,822869,782762,798848,894604,865408,854943
6호선,2618,증산,614307,531826,657776,672501,681540,626592,640682,610330,603493,672396,651268,656825
6호선,2619,디지털미디어시티(6),857029,710742,864517,891803,905089,819652,880057,830916,817931,936921,906158,889278
6호선,2620,월드컵경기장,331802,292652,465549,409191,534128,477755,471008,388566,432507,858724,485375,338758
6호선,2621,마포구청,851625,726676,880753,891901,908160,827908,872282,820068,805484,934632,880046,870486
6호선,2622,망원,919384,785662,941823,928118,960638,881025,918658,896998,866311,973833,937926,963762
6호선,2623,합정(6),905213,781887,940163,909077,951058,892055,921637,894946,841845,946124,898681,922148
6호선,2624,상수,676332,587722,741966,715000,765861,675148,681842,680701,670688,755980,733656,752552
6호선,2625,광흥창,574821,480613,587771,602334,591517,553158,592532,553302,533207,599747,591129,587420
6호선,2626,대흥,529748,440763,605433,614652,636433,560947,560547,513258,551847,610405,604932,580946
6호선,2627,공덕(6),1123314,933509,1133013,1163696,1159759,1065523,1147180,1068260,1038501,1182618,1151704,1165209
6호선,2628,효창공원앞,417656,354668,460922,472453,472657,422006,424261,386363,397740,467549,444927,438327
6호선,2629,삼각지(6),370701,313062,397259,399420,421690,392955,384661,374549,364865,428894,411804,428298
6호선,2630,녹사평,362457,322448,411605,379652,401707,382973,380654,371236,353545,427846,376973,391933
6호선,2631,이태원,1021820,923025,1094803,1022848,1096244,1057115,1014822,1072507,974438,1273939,1039430,1148111
6호선,2632,한강진,572930,482902,600310,591786,613030,572344,576089,603906,537660,603446,600412,615663
6호선,2633,버티고개,143751,122369,152686,154177,156584,142472,146824,137880,138118,153619,150046,149862
6호선,2634,약수(6),240167,200246,243723,247302,250655,227491,242252,230278,221757,249441,244201,248264
6호선,2635,청구(6),237707,201463,247239,251396,254829,233320,249276,229775,228469,257134,245432,243496
6호선,2636,신당(6),554796,452169,590754,586250,591393,546142,551175,512194,508232,582134,572547,599777
6호선,2637,동묘앞(6),579485,527341,632279,615678,643251,579580,571766,547422,552996,640336,605949,609823
6호선,2638,창신,196093,166064,224618,230329,230727,205725,205378,191599,202316,222574,218769,211363
6호선,2639,보문,439156,376596,471666,468400,487546,441504,456739,425759,431216,478110,467397,462455
6호선,2640,안암,709567,608318,986240,925592,1005387,812528,767570,714420,872745,911937,928386,859012
6호선,2641,고려대,526167,447968,629973,639682,672203,572090,549058,510976,583406,642526,626240,600207
6호선,2642,월곡,742070,625106,831430,828156,842740,737733,736600,700247,751214,825924,809012,798322
6호선,2643,상월곡,362107,312422,410575,417688,435474,387560,382419,365998,389730,424238,416221,404155
6호선,2644,돌곶이,493211,416328,529380,538683,555385,500409,521297,504830,498862,557021,550371,554416
6호선,2645,석계(6),797869,685387,864532,869745,894816,807083,820537,784341,795085,875383,861316,850431
6호선,2646,태릉입구(6),354995,303447,398264,401455,481171,382231,373427,353821,368115,411924,403247,394631
6호선,2647,화랑대,660606,560735,748303,757517,792196,689357,694126,651611,687711,770130,748711,718661
6호선,2648,봉화산,592572,501784,610966,621064,635549,582741,608623,575102,563543,627218,615117,614128
7호선,2711,장암,96454,82553,103951,108588,116990,109717,113604,116795,105619,118613,112086,105582
7호선,2712,도봉산(7),598277,517434,669084,697302,735002,657362,632718,613038,640892,717614,682895,639871
7호선,2713,수락산,822804,714021,874615,867128,901073,836769,851631,826187,787135,865496,837749,846946
7호선,2714,마들,717288,616726,741879,758428,779988,708844,740240,705277,692025,761685,748626,745400
7호선,2715,노원(7),1365922,1189681,1383004,1362175,1445764,1315994,1395291,1343667,1251531,1369487,1349996,1396024
7호선,2716,중계,917251,781527,969663,1005409,1030310,923831,964891,894963,897521,996284,975740,959834
7호선,2717,하계,1147160,986818,1225505,1240661,1276743,1139810,1178931,1116997,1114949,1229497,1228690,1210340
7호선,2718,공릉,752041,654709,863913,851416,896569,776687,792883,732166,767056,843010,846772,808547
7호선,2719,태릉입구(7),493912,428578,585958,592147,699959,551401,527501,504301,540574,596744,579693,556008
7호선,2720,먹골,656434,562857,666706,668745,705919,628331,643275,615371,597337,669610,658534,664495
7호선,2721,중화,698544,600285,724298,734864,784759,687593,710285,677760,668237,732664,711678,714966
7호선,2722,상봉(7),1051134,912795,1089746,1076861,1116495,1030811,1071472,1022630,983548,1092798,1078534,1104599
7호선,2723,면목,929898,807090,1043520,1065484,1083346,966058,957728,929405,953606,1053639,1020594,991144
7호선,2724,사가정,976673,849870,1028829,1034099,1066606,970099,996977,946488,925323,1022564,992222,1010458
7호선,2725,용마산,374711,321531,394053,398182,410784,374471,385753,362044,357390,399337,380989,379357
7호선,2726,중곡,601654,517760,627952,630367,646009,597702,625752,584317,579618,647356,633452,629924
7호선,2727,군자(7),825249,698249,840360,843233,857177,796928,842233,798846,760753,841978,825795,846025
7호선,2728,어린이대공원,767953,671576,1095558,1201134,1258522,958892,785802,777254,974868,1100771,1056218,975922
7호선,2729,건대입구(7),1017026,884843,1114595,1067581,1125447,1012455,1021653,987580,962100,1044588,1063645,1086245
7호선,2730,뚝섬유원지,434978,385784,496880,637853,854238,625240,576463,619535,625564,682657,483077,449381
7호선,2731,청담,1308555,1075177,1295954,1331681,1338220,1217362,1313725,1211705,1155875,1318212,1313577,1305782
7호선,2732,강남구청,980057,802269,977457,995296,1008723,928293,997659,931419,886769,1007349,1005622,998240
7호선,2733,학동,1394383,1113727,1344574,1380925,1380876,1257230,1390908,1290326,1237867,1405677,1404703,1388541
7호선,2734,논현,1272566,1028376,1221938,1242691,1252265,1154789,1282475,1190215,1116400,1242568,1238770,1256900
7호선,2735,반포,388998,333097,407999,414877,433277,398553,411757,392553,382740,421028,414444,412495
7호선,2736,고속터미널(7),1200218,1091379,1203247,1187192,1245421,1153031,1185762,1190917,1143816,1258013,1231791,1236209
7호선,2737,내방,885203,728183,885701,906637,922205,830632,892800,825635,800193,898261,878005,881697
7호선,2738,이수(7),1044225,882908,1056816,1050461,1086106,1021112,1079686,1018751,965959,1073160,1064129,1089201
7호선,2739,남성,698776,592595,736516,738793,753268,686503,711563,674491,663965,729694,717429,707694
7호선,2740,숭실대입구,825791,686776,1085778,1092398,1104305,908374,825267,777291,965001,1032353,1032022,932400
7호선,2741,상도,646447,555003,776144,777402,808188,715626,701785,659663,711639,776783,787190,740264
7호선,2742,장승배기,674619,574098,688746,693147,701554,648045,682094,650000,624762,682213,668503,678532
7호선,2743,신대방삼거리,1024387,865397,1052897,1067622,1081724,992947,1046226,981510,961590,1059463,1042698,1042114
7호선,2744,보라매,583076,490221,611247,630930,651058,585541,611997,567330,550370,622341,613450,616731
7호선,2745,신풍,703386,602297,740124,747767,768173,711945,733709,694268,681668,752802,736742,741036
7호선,2746,대림(7),662250,608835,701533,673803,692823,636218,651755,636591,637244,652648,633734,659384
7호선,2747,남구로,1033352,866639,1041848,1056909,1054883,969819,1044374,966722,951689,1024924,1012937,1021773
7호선,2748,가산디지털단지(7),2558564,2083546,2442252,2520173,2507799,2262116,2558788,2300971,2218934,2459146,2467699,2430534
7호선,2749,철산,1489166,1279513,1541262,1553870,1598783,1451094,1517318,1429603,1381225,1524596,1495131,1521948
7호선,2750,광명사거리,1617186,1401587,1665557,1669501,1697921,1561883,1608546,1523709,1485212,1616176,1572788,1589763
7호선,2751,천왕,531386,456341,560243,582770,604835,559598,594748,558642,556365,617673,604507,605957
7호선,2752,온수(7),601910,514872,695276,721722,720438,645104,646762,598840,637010,696382,680840,660218
7호선,2753,까치울,431410,371776,464948,495454,510622,466662,470045,438844,433822,490709,465384,465203
7호선,2754,부천종합운동장,276827,237213,297911,399177,313473,282371,287038,269701,269659,297932,282662,279842
7호선,2755,춘의,557542,470028,554571,584253,580665,538003,566451,526824,509373,560532,546497,546852
7호선,2756,신중동,912690,778605,926461,941915,962114,879266,925930,872264,839996,933917,914779,944005
7호선,2757,부천시청,789706,687348,801709,799975,832696,778548,828672,779928,740171,818315,802242,823738
7호선,2758,상동,927298,799299,950348,949069,965354,892395,932237,886729,843508,942809,930750,951812
7호선,2759,삼산체육관,309301,264298,320119,351071,345261,316568,340632,322243,297125,344103,327405,331902
7호선,2760,굴포천,587207,504171,597089,601776,615484,570399,594119,568753,551103,606331,601132,610531
7호선,2761,부평구청(7),655178,554160,674103,690926,701584,642682,679308,640303,623083,697549,684383,687233
8호선,2811,암사,1097934,931405,1114302,1125364,1138604,1051152,1108669,1045355,1013263,1137026,1094660,1112616
8호선,2812,천호(8),1228366,1054631,1251230,1243779,1270469,1165013,1216105,1158217,1101343,1223427,1204224,1239596
8호선,2813,강동구청,669553,555131,659243,665571,676697,625141,672042,620451,598927,670045,661707,690511
8호선,2814,몽촌토성,398172,327997,404658,416444,482835,376870,368818,343823,359761,404637,378532,366928
8호선,2815,잠실(8),1053642,940430,1067311,1126182,1103258,1009301,1086894,1059256,959345,1069853,1076081,1187157
8호선,2816,석촌(8),551045,464516,549879,589940,572528,512062,543671,514828,484909,545350,536939,551524
8호선,2817,송파,376208,373738,544733,593258,624843,577785,607139,558269,546962,599731,593038,603900
8호선,2818,가락시장(8),551346,450430,538633,539310,533333,493338,517594,485677,483584,539011,548024,577474
