price,area,height,wall
946,64,3,0
1083,77,2,0
886,59,3,0
927,68,3,0
911,56,3,0
1393,119,3,1
997,80,3,1
1019,66,3,0
1142,84,2,0
1109,77,3,0
1107,75,3,1
1269,92,2,0
1163,95,3,0
1007,69,3,0
973,68,2,1
1039,74,3,1
835,33,4,1
793,49,2,1
1219,107,2,0
1374,112,3,0
1092,75,3,0
1136,91,2,0
1164,86,3,0
1519,141,2,0
1308,102,3,0
1059,77,2,1
996,60,3,1
987,47,3,1
1131,84,2,1
970,64,2,0
914,51,3,1
965,67,2,0
1042,58,2,1
1320,113,3,0
1179,97,2,1
1032,79,2,0
1335,109,2,0
1127,81,2,1
933,62,3,0
1313,110,2,1
1077,90,3,1
938,59,2,1
1070,76,2,1
1039,62,3,1
843,52,3,0
1142,98,3,1
1299,118,3,1
811,52,2,1
1219,91,2,0
1058,66,2,1
1020,70,2,1
1060,68,4,1
963,62,3,0
1073,80,2,0
938,63,2,0
1098,85,3,1
991,78,3,1
1056,75,3,0
945,61,2,0
1031,68,2,0
1186,95,3,0
1137,90,3,1
889,60,1,1
1091,81,2,0
1214,95,2,0
784,46,3,0
1162,90,4,1
994,66,3,0
1118,91,2,0
941,64,3,0
835,43,3,1
791,47,3,1
1100,80,3,1
1071,85,4,0
998,61,2,0
1282,92,3,0
797,46,2,1
1093,78,3,0
866,55,2,0
1034,66,2,1
1017,80,2,1
981,62,3,0
979,72,3,0
1202,100,2,0
942,68,3,1
1231,96,2,1
871,57,2,0
1176,90,2,0
1258,108,2,1
729,30,4,1
971,64,3,0
1114,91,2,0
1055,75,2,0
1206,87,3,0
956,67,4,1
1141,81,2,1
1123,76,2,1
1202,103,3,0
1038,85,3,1
1135,86,2,0
991,71,3,0
1093,70,1,0
1016,71,3,0
1090,87,3,1
961,71,3,0
1167,85,2,0
1337,121,3,0
1196,97,2,0
1077,73,3,0
1216,104,2,0
1014,71,2,1
786,39,2,0
969,59,3,0
844,42,3,0
1014,72,2,1
1080,80,3,0
1287,113,2,0
1046,86,2,0
1057,75,2,0
1292,96,4,0
718,35,2,1
1072,84,3,1
1141,95,3,0
904,50,3,1
1261,102,3,1
1115,86,3,0
971,71,3,0
1168,92,2,0
1317,125,3,0
1110,83,3,1
1151,84,2,1
944,70,2,1
878,63,2,1
1268,96,2,0
924,62,2,0
1144,81,3,1
999,70,2,0
1133,89,2,1
1143,86,3,1
1178,100,3,1
1004,69,1,1
1016,74,2,0
872,60,3,1
1032,71,3,1
1113,87,2,0
1168,95,2,1
886,61,3,0
1274,97,2,1
1305,107,2,0
1179,88,2,0
1322,117,2,0
878,64,2,1
992,55,1,0
825,44,3,0
1250,109,3,0
1189,93,3,1
1122,78,2,0
1112,85,2,0
981,57,2,1
1473,128,3,0
1040,82,3,1
1054,82,2,0
1224,94,3,1
1007,89,3,0
1102,84,3,0
894,64,3,1
1119,89,3,0
1323,117,3,1
1248,106,3,0
1271,111,3,0
946,69,2,0
1054,60,3,1
1152,77,3,0
1023,81,2,0
1306,101,2,0
818,46,3,0
1296,110,3,0
1050,76,3,1
983,71,3,0
986,59,3,1
852,46,3,0
1166,96,3,1
1022,81,3,1
847,54,2,0
812,54,3,1
1033,73,3,0
1248,113,2,1
1023,74,2,1
931,49,2,0
1097,75,2,0
1033,74,2,0
692,26,2,0
1157,78,2,0
1068,75,3,0
1158,93,3,0
1260,116,2,1
1256,102,3,0
1080,74,3,0
891,57,3,1
1448,131,2,0
1067,81,3,0
1065,80,2,0
949,79,3,1
1092,83,3,1
1104,77,3,0
960,68,2,1
998,69,2,0
1034,79,3,1
1014,69,2,1
965,65,3,1
1039,82,2,0
1108,74,3,0
1328,110,2,0
674,26,3,1
1254,101,3,0
1274,104,2,1
818,38,3,1
942,73,3,0
1071,72,2,1
846,51,2,1
943,64,2,1
1052,57,3,1
1331,115,2,1
1186,98,3,0
1142,105,2,1
1247,94,3,0
848,57,2,1
950,69,2,1
1128,89,3,0
975,55,3,1
1214,94,3,0
1034,75,3,0
1034,72,2,0
1146,94,3,1
1145,88,3,1
1025,72,2,1
1285,103,2,0
971,58,2,1
1185,92,2,1
1140,91,3,0
1072,73,3,0
1118,86,3,0
842,54,2,1
1185,98,3,1
1056,76,3,1
1048,69,3,0
1215,100,3,1
920,65,4,0
883,51,3,0
863,48,3,1
1171,92,3,0
942,54,3,1
1371,115,3,0
752,38,2,1
1285,113,3,0
1050,84,2,0
1100,78,3,0
1072,69,3,0
1111,87,2,1
1058,79,3,0
1297,102,1,1
1117,82,3,1
1120,83,3,0
963,72,2,0
1101,78,3,1
1076,86,3,1
777,45,2,1
866,53,2,0
1153,94,3,1
1092,83,3,0
977,76,3,1
1128,80,3,1
1183,86,3,0
900,69,2,0
1013,64,2,0
1064,83,3,0
985,60,3,1
1130,88,3,0
835,45,2,0
1214,100,3,0
1200,89,2,1
1048,85,2,1
1243,99,3,0
1367,113,3,0
1254,100,3,1
934,43,3,1
870,54,3,0
1035,67,3,0
1074,80,3,0
1202,90,1,0
972,65,2,0
1082,83,3,1
1031,64,2,0
965,67,3,1
806,51,2,0
924,61,3,1
920,52,3,1
1006,60,2,0
1227,101,2,0
1007,61,2,1
1374,132,2,0
1122,89,3,0
1084,83,2,0
946,62,2,1
1178,94,3,0
1030,68,3,1
1067,82,2,0
1442,131,3,1
1057,78,2,0
1190,102,3,1
972,65,3,0
1062,79,2,1
1315,115,3,1
987,67,2,0
1332,116,2,0
1151,94,2,0
1058,68,2,0
1104,92,2,1
1171,99,2,0
1299,92,2,0
802,48,2,1
904,65,2,0
1076,75,2,0
960,78,2,0
1151,92,3,1
1209,83,3,1
809,53,2,1
1026,87,2,0
1082,92,2,1
1197,91,2,0
1281,101,2,0
1164,96,2,0
1170,89,2,0
1133,78,2,0
932,46,3,0
1124,88,3,0
987,84,2,0
1070,85,2,1
872,54,2,0
910,58,2,1
1210,101,2,0
1126,79,3,1
1229,93,2,0
1069,80,2,0
1134,80,3,0
1224,98,3,1
1012,69,4,1
1134,81,3,0
1011,70,2,0
1116,71,2,1
955,73,2,1
1080,84,2,0
999,70,2,0
1275,105,3,0
1011,62,2,1
1047,76,2,0
940,71,2,1
1324,108,3,0
1139,83,2,0
1126,100,3,0
868,50,3,1
1034,85,3,1
1167,97,3,0
1042,81,3,1
1259,101,2,0
1007,69,2,0
1210,108,3,0
1440,125,2,0
948,72,2,0
1029,71,2,1
1242,109,3,0
1280,111,3,1
1026,69,2,0
1044,71,3,1
1101,74,2,0
878,53,2,0
959,61,2,0
916,59,3,0
975,64,2,1
1091,79,2,0
1102,84,2,1
1206,111,3,0
955,60,3,0
1236,99,4,0
1010,75,2,1
1004,79,3,1
1239,93,2,0
946,57,3,0
1114,87,2,0
1041,83,3,1
1100,89,2,1
1179,85,2,0
1423,129,2,0
956,67,2,0
1024,69,2,1
945,67,2,0
1074,68,3,1
1050,67,2,0
1218,103,3,1
1245,108,3,1
862,68,2,1
882,63,2,1
1073,89,2,1
1007,68,3,0
1147,92,3,0
1034,84,2,0
849,49,3,1
1314,110,2,0
1354,115,3,1
895,67,3,1
1013,72,2,0
1043,85,2,0
1164,86,2,0
1207,93,3,0
1314,120,3,0
1010,76,2,0
941,64,3,1
764,52,1,1
988,65,2,0
1056,79,2,0
1372,115,2,0
945,69,2,1
1073,84,2,1
998,79,3,0
1190,103,2,0
1364,130,1,1
1045,69,1,1
970,70,2,0
1228,100,3,1
1144,93,1,0
1268,116,2,0
1147,91,2,1
1058,72,3,1
1096,91,2,0
1271,102,3,1
1147,96,3,0
1116,90,1,1
1252,101,3,0
1206,103,3,1
1271,107,3,1
1159,92,4,0
1052,76,1,1
980,82,3,1
1151,104,2,1
992,63,3,0
1178,87,2,1
973,72,2,1
1065,80,2,0
1269,105,3,1
1132,83,2,0
981,80,3,0
839,52,2,0
1160,94,2,0
1199,92,2,1
1505,123,3,0
1019,73,2,1
1036,84,3,0
1128,84,2,0
1363,111,3,0
1068,78,3,0
1073,85,3,1
1207,92,2,1
1135,83,3,1
961,71,3,0
1124,83,3,0
1273,101,2,0
992,59,3,0
1089,82,2,0
958,65,2,1
1303,103,3,0
801,49,3,1
1018,68,2,0
1059,87,3,0
1351,111,3,1
1055,78,3,0
1062,68,3,1
1361,117,2,1
808,51,2,0
840,36,3,1
1216,88,3,0
1052,69,3,0
892,59,2,1
1158,94,2,0
1112,84,2,1
959,68,2,1
982,54,3,1
1203,97,2,0
1032,93,3,0
1077,78,2,1
1316,116,3,0
918,58,2,0
843,49,3,0
1011,66,1,0
1124,79,2,0
1119,84,2,1
1027,75,3,1
1124,87,3,0
901,54,3,0
1240,108,3,0
1090,78,2,1
1258,102,3,0
1202,86,3,1
1201,89,2,0
1123,91,3,1
1175,88,2,0
1115,92,2,1
1294,106,2,0
1075,83,2,1
1120,94,2,0
1079,78,3,1
1142,108,2,1
893,66,3,0
1316,116,2,1
1068,79,2,0
856,51,3,0
1009,82,2,0
938,66,2,0
1208,96,2,1
1017,66,3,1
1014,71,3,0
868,42,3,0
1034,70,3,1
696,31,2,1
840,48,3,0
1111,95,3,1
1180,95,3,0
1193,88,3,0
975,60,3,1
1139,79,3,0
1055,79,2,0
977,56,2,0
1275,110,2,1
1271,97,3,1
1040,75,2,0
1120,80,4,0
1181,84,3,0
780,39,3,0
1051,75,3,0
1043,66,2,1
925,59,2,0
969,74,3,0
1434,115,3,0
1138,92,2,0
1003,68,3,1
1212,91,2,0
1235,107,2,0
1151,98,2,0
1095,81,2,0
899,67,3,0
1159,93,3,0
1139,87,2,0
1188,97,3,0
1082,92,2,0
1304,100,3,0
1004,69,2,1
1330,106,2,0
1092,83,3,0
1318,121,2,0
988,66,2,0
1305,114,2,1
1046,83,3,0
1053,66,2,1
969,70,1,0
937,73,2,0
1202,88,3,1
1125,90,3,0
963,68,2,0
982,79,2,0
1464,122,3,1
1247,114,2,0
1138,88,2,1
1126,80,3,0
1114,82,3,1
1156,92,2,0
846,59,3,1
992,74,1,0
849,46,2,1
1092,87,3,0
1173,92,2,0
1041,70,3,0
1344,111,3,0
841,55,2,0
980,50,3,1
1142,84,2,1
1220,100,2,0
1366,113,3,1
1129,70,3,0
1152,101,2,0
1058,79,3,1
933,76,3,1
1203,97,1,1
1187,93,3,0
851,48,2,1
1250,109,3,0
1168,107,3,0
1002,67,2,0
1201,87,2,1
1113,89,2,1
1131,85,2,1
923,68,3,0
1001,66,2,0
1050,79,2,0
1201,103,3,0
1110,90,2,0
1002,72,2,1
1202,95,3,0
609,23,2,0
1215,102,2,0
828,45,2,0
965,72,2,0
1008,57,3,1
855,54,3,1
1204,103,3,1
961,70,3,0
1215,86,3,0
1092,79,2,0
1099,89,3,1
1141,81,3,1
909,54,3,0
1225,99,2,0
993,70,3,0
821,48,3,1
1033,71,3,1
1258,110,3,0
1284,97,2,0
965,73,3,0
1103,73,3,0
1019,73,2,0
1377,121,2,0
1169,87,2,1
1104,88,3,1
1262,100,2,0
976,84,3,1
997,74,2,0
1001,76,3,0
997,78,2,0
1060,79,3,0
1195,94,2,0
1118,81,3,0
1187,94,2,0
1033,78,3,1
1107,81,3,0
802,40,3,0
1249,98,2,0
1163,86,3,1
1214,99,2,0
626,22,3,1
1338,121,3,0
1030,77,3,0
1212,102,2,0
943,59,3,0
1193,92,2,0
926,58,3,0
989,67,3,0
1345,118,2,0
1019,76,2,0
1058,84,2,1
1108,97,2,0
1106,89,2,1
1120,83,3,1
1091,87,3,0
1399,128,2,0
1088,78,2,0
1131,84,3,1
1172,101,3,1
1278,102,2,1
1296,103,2,1
1109,92,3,1
872,57,2,0
1362,112,2,0
909,57,3,1
1001,86,2,0
902,64,3,0
1053,78,3,1
1061,86,2,0
1099,86,2,1
1135,88,2,1
1369,112,2,0
1127,89,3,1
1094,75,3,0
1282,99,3,0
1315,103,3,0
914,55,2,0
1061,91,3,0
1195,94,2,0
1087,74,3,0
1258,107,1,0
1140,76,2,1
1134,82,2,1
1080,76,3,0
1132,80,3,0
936,58,2,0
746,51,2,0
1272,111,2,1
1014,63,2,1
897,60,3,0
761,36,2,0
926,67,1,0
978,53,2,1
1386,112,2,0
1168,100,2,1
982,66,2,1
1356,125,3,0
1246,99,3,0
1055,73,3,1
764,30,2,0
1413,125,3,0
1026,52,2,0
791,47,2,1
1129,100,2,1
1392,128,2,1
1189,107,2,1
1079,91,3,1
1107,91,2,1
1147,97,2,0
1131,95,2,0
1141,85,3,1
1060,82,2,1
1059,78,3,1
1011,64,2,0
995,74,2,1
821,46,2,1
1078,78,2,0
841,60,3,0
802,57,3,0
1119,83,3,0
1295,107,3,0
1304,98,2,0
862,48,2,0
975,60,2,1
1200,98,3,1
949,60,2,1
1129,75,3,0
1048,91,3,0
964,60,3,1
1195,82,2,0
904,53,3,1
1079,67,4,1
1086,86,2,0
846,48,2,1
1133,88,2,0
963,79,3,0
1089,91,2,1
1050,84,2,0
1308,107,3,1
1136,82,3,0
1032,71,3,0
1133,82,3,0
1146,90,3,1
1139,80,2,0
1079,80,2,0
977,65,2,1
970,66,3,0
915,51,3,1
1300,114,3,0
952,55,3,1
918,66,2,1
923,65,3,0
1238,97,3,0
1031,74,3,1
1231,104,3,0
1021,66,2,1
1082,85,2,0
946,63,2,0
1447,122,3,0
983,56,2,1
1198,86,3,0
1153,92,3,1
1196,88,3,1
1002,76,3,0
1009,77,2,0
961,80,2,1
1141,77,3,0
1168,99,3,1
1378,124,2,0
950,68,2,0
912,52,1,1
1041,78,2,0
1375,131,3,0
981,63,2,0
1233,112,3,0
1270,113,3,0
889,68,2,1
1083,91,3,0
1314,112,3,0
923,72,3,1
979,75,4,0
989,68,2,0
908,59,3,1
1083,67,2,1
997,55,3,0
1037,80,3,1
993,64,2,0
1145,84,3,1
822,48,2,0
1048,86,3,0
1191,96,3,0
788,40,3,0
1108,87,3,0
1269,104,3,1
868,55,3,0
1249,113,2,0
1137,88,2,0
998,65,3,0
1011,78,3,1
1198,91,2,0
997,81,3,0
1119,90,2,0
936,61,3,1
1068,83,3,0
853,51,3,0
1150,77,2,0
904,61,2,0
1094,65,3,0
1271,104,3,1
1231,101,2,1
1181,92,2,1
1050,58,3,0
982,73,3,0
1186,104,2,0
1060,82,3,1
1404,126,3,0
1044,87,3,1
1103,83,3,0
1117,73,3,0
1099,82,2,0
1039,76,3,0
1137,94,1,1
1256,99,3,1
919,64,2,0
984,53,3,0
913,43,2,1
1158,90,2,1
918,57,2,0
824,36,2,0
1187,87,3,0
1377,129,1,0
1051,79,3,0
1127,96,3,0
1103,81,2,0
1091,78,2,0
1140,98,3,0
1009,74,2,1
1042,85,2,1
1077,86,3,0
1009,66,3,1
1174,99,2,1
1036,76,3,0
885,64,2,0
1162,90,3,1
949,62,3,1
1043,80,3,1
1065,79,3,1
1240,101,3,1
1100,89,2,0
994,79,2,0
1280,96,3,0
1243,107,4,0
1145,91,2,1
1126,80,2,0
1068,53,3,1
863,58,2,0
1052,73,2,0
957,67,3,0
1027,76,4,0
1047,81,3,1
1090,90,2,1
1059,78,2,1
1070,89,3,0
1134,81,3,0
802,40,3,0
964,61,2,0
1030,77,2,1
884,55,2,1
1175,91,3,1
1233,110,3,0
1223,104,2,1
1006,75,3,0
1240,109,3,1
993,82,3,0
1091,73,2,0
951,67,2,0
1090,73,2,1
1075,72,3,0
1039,83,3,0
1044,83,3,1
1202,80,2,0
1221,88,2,0
1243,103,3,0
1218,98,2,0
839,50,3,1
738,28,2,1
1173,98,3,0
783,52,3,1
977,75,2,0
910,56,2,0
765,43,2,0
1148,90,3,0
1127,95,3,0
953,68,2,1
754,28,2,1
1011,69,3,0
1124,87,1,0
913,50,3,1
1122,83,2,1
1142,79,2,1
1128,91,2,0
1065,82,2,1
870,60,2,0
1219,103,2,0
1105,76,3,0
1134,79,2,0
992,61,3,0
924,71,3,0
1005,62,3,0
958,76,2,1
1356,114,2,0
868,52,3,0
888,47,3,0
1210,109,2,1
1101,75,2,0
907,66,2,0
1184,100,2,0
941,67,3,1
1241,116,2,1
1180,93,4,0
1099,70,3,0
1510,123,3,1
997,67,3,0
1237,94,3,1
1127,85,2,0
1280,106,2,0
1276,111,3,0
1091,80,3,0
996,64,3,1
1106,89,2,1
974,66,2,0
1353,120,2,1
1135,82,2,0
975,72,3,0
1094,83,2,0
983,53,3,1
1000,60,3,1
1316,104,4,1
983,66,2,1
945,59,3,1
1201,90,3,1
1319,103,3,1
1077,94,2,1
1149,99,3,0
1028,64,1,0
863,51,3,0
1251,110,3,0
966,73,2,0
1017,74,4,0
1189,106,2,1
1256,91,2,0
1142,89,3,0
1373,123,2,0
1012,67,2,1
1252,98,2,0
1132,81,3,0
1166,85,3,1
1254,110,2,1
1129,90,2,0
1187,90,2,0
1198,101,2,0
1024,72,3,1
978,63,3,0
963,59,2,0
713,40,3,0
1399,121,3,0
912,57,3,1
1080,75,3,0
1077,74,3,0
1199,86,3,0
1260,96,3,0
1264,97,3,0
1065,68,2,1
1071,76,4,1
1118,85,3,1
1085,75,3,1
1333,112,2,1
1125,89,2,0
1198,94,3,1
1166,93,3,1
1195,103,2,1
1165,83,3,0
900,54,3,0
1235,87,3,1
899,66,2,1
972,69,2,1
1156,91,2,0
1304,104,2,0
1096,80,2,0
1132,86,2,1
1253,114,2,0
1050,84,2,0
1453,132,2,1
1078,91,1,0
807,44,4,1
1208,95,3,0
1078,87,2,1
1335,105,3,0
1227,93,2,1
981,77,3,1
861,55,3,0
931,75,3,0
919,62,3,0
1032,68,3,1
1133,91,2,1
1330,113,2,0
1054,87,3,1
946,56,2,0
1108,88,2,1
1242,103,2,1
984,67,2,0
992,77,3,0
1016,80,2,0
1011,64,2,0
1182,92,2,0
1113,77,3,0
1144,88,1,0
960,62,3,0
930,71,3,0
1161,94,2,0
1014,72,1,0
1413,114,2,1
1053,72,2,1
1180,84,2,0
1234,98,2,0
844,51,3,1
836,44,3,1
870,49,2,0
1200,105,2,0
977,68,2,0
1422,131,2,0
1077,68,3,0
995,83,2,0
1352,110,3,1
1313,120,3,0
1297,121,3,0
1303,104,2,0
1254,100,2,0
1219,91,2,0
1226,95,3,0
1099,68,2,1
988,63,3,0
1066,79,3,1
1067,76,2,1
1070,70,2,0
1134,93,3,0
1175,99,2,0
1073,81,3,1
1175,109,2,1
925,57,3,1
951,76,2,0
981,65,3,1
852,42,2,0
1040,78,3,0
1142,77,3,0
1211,110,2,0
1223,92,3,1
968,59,3,0
1243,117,1,0
1382,104,3,0
1147,91,1,1
997,75,2,1
874,60,3,0
1010,72,2,0
1218,101,2,0
1343,117,2,1
1281,110,4,0
1033,70,2,0
896,57,2,0
1001,82,3,0
824,44,3,1
1001,86,2,0
1068,77,2,0
966,70,4,0
863,48,3,0
1214,90,3,1
950,69,2,0
964,56,2,1
650,22,2,1
1159,79,3,0
1308,115,3,0
1267,113,3,0
1042,70,2,1
972,67,3,0
1099,89,3,0
913,60,3,0
1118,86,3,1
1246,95,2,0
1149,104,2,0
1060,77,2,0
1073,75,2,0
962,62,3,1
1031,63,4,0
1034,75,2,1
1117,87,2,1
1234,98,3,0
967,63,3,1
1264,109,2,0
1059,74,2,0
1039,79,3,1
937,65,2,0
703,31,1,1
1269,97,3,0
1019,94,3,1
1055,74,3,0
1086,81,3,0
1065,90,3,0
872,48,3,1
1026,69,3,1
1214,95,2,0
770,54,3,1
1185,85,3,0
848,52,3,0
1171,89,2,1
1107,79,3,1
802,47,2,1
1269,103,2,1
950,65,2,0
855,63,2,1
1166,84,4,0
1200,102,3,0
894,59,3,0
1060,81,2,0
1148,88,3,0
1165,93,2,0
1125,83,2,0
954,72,2,0
925,63,3,0
1080,81,2,0
1022,58,3,0
661,21,3,1
1196,88,4,1
1199,98,2,1
723,32,3,0
924,59,3,1
1150,92,2,0
1395,121,3,0
1147,80,3,0
990,65,2,1
1106,76,2,0
1217,107,2,0
968,67,4,0
926,64,3,1
1025,70,3,1
921,60,2,0
1126,82,2,0
