"Satisfaction","Gender","Ages","Customer_Type","Class","Inflight_wifi_service","Departure_Arrival_time_convenient","Ease_of_Online_booking","Gate_location","Food_and_drink","Online_boarding","Seat_comfort","Inflight_entertainment","On_board_service","Leg_room_service","Baggage_handling","Checkin_service","Inflight_service","Cleanliness","Departure_Delay_in_Minutes","Arrival_Delay_in_Minutes"
"Yes","Male","[10, 20)","NL","Business",5,0,4,4,3,4,3,3,1,1,3,5,3,3,11,42
"No","Female","[10, 20)","L","Eco",1,1,1,3,4,1,4,4,2,3,3,3,2,4,14,19
"No","Female","[10, 20)","L","Eco Plus",4,4,4,1,5,4,5,5,3,5,4,4,4,5,0,20
"No","Female","[10, 20)","L","Eco",3,4,3,3,4,3,4,4,3,3,5,4,4,4,90,86
"Yes","Female","[10, 20)","NL","Eco",4,5,5,4,5,4,5,5,3,1,5,5,2,5,0,0
"No","Female","[10, 20)","NL","Eco",1,0,0,4,3,0,3,3,4,5,4,1,3,3,11,6
"No","Male","[10, 20)","L","Eco Plus",2,4,2,3,1,2,1,1,1,1,4,3,4,1,13,4
"Yes","Male","[10, 20)","L","Eco",5,5,3,1,5,3,5,5,5,2,5,5,1,5,8,0
"No","Female","[10, 20)","L","Eco Plus",3,4,3,3,2,3,2,2,3,3,4,5,5,2,0,2
"No","Female","[10, 20)","L","Business",2,5,5,5,2,2,2,2,1,2,4,2,3,2,2,4
"No","Female","[10, 20)","L","Eco",4,5,0,4,5,0,1,5,5,5,4,4,5,5,0,11
"No","Female","[10, 20)","L","Eco",4,5,4,2,3,4,3,3,3,2,4,3,5,3,89,89
"No","Female","[10, 20)","NL","Eco",1,1,1,4,2,1,2,2,3,5,4,1,3,2,0,0
"Yes","Male","[10, 20)","L","Eco",4,3,4,4,5,4,5,5,4,3,3,2,4,5,31,39
"No","Male","[10, 20)","L","Eco",2,5,2,5,1,2,1,1,4,4,4,4,5,1,7,0
"No","Male","[10, 20)","NL","Eco",3,3,3,4,3,1,1,2,2,4,4,1,2,1,188,175
"Yes","Female","[10, 20)","L","Eco",5,4,5,3,3,5,3,3,2,3,4,4,3,3,0,0
"No","Female","[10, 20)","L","Eco",3,3,5,2,2,5,3,2,3,4,4,1,1,2,2,15
"Yes","Female","[10, 20)","L","Eco Plus",0,3,0,2,2,0,2,2,3,2,4,3,4,2,0,0
"No","Male","[10, 20)","L","Eco",2,4,1,3,4,1,1,4,3,3,3,5,1,4,0,5
"No","Male","[10, 20)","L","Eco",1,2,1,4,4,1,4,4,4,2,3,3,4,4,39,18
"No","Male","[10, 20)","L","Eco",2,3,2,4,4,2,5,4,3,2,1,3,5,4,0,0
"No","Male","[10, 20)","NL","Eco",3,2,2,3,3,2,4,3,1,5,4,3,3,3,13,0
"No","Male","[10, 20)","L","Eco",2,2,2,3,1,2,1,1,3,2,3,2,3,1,0,0
"No","Male","[10, 20)","L","Business",4,2,5,4,5,3,3,2,3,4,4,3,3,3,6,2
"No","Male","[10, 20)","L","Eco Plus",3,4,3,3,3,3,3,3,3,1,3,2,3,3,33,23
"Yes","Female","[10, 20)","NL","Business",4,5,4,1,3,4,3,3,5,4,5,4,4,3,0,0
"Yes","Male","[10, 20)","NL","Business",5,0,5,3,3,5,3,3,2,5,5,2,2,3,0,0
"No","Male","[10, 20)","L","Eco",1,5,1,3,5,1,5,5,5,5,5,3,5,5,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,3,5,2,5,5,3,1,3,3,4,5,0,0
"No","Male","[10, 20)","L","Eco",3,5,3,5,5,3,5,5,4,4,5,5,1,5,12,10
"No","Female","[10, 20)","L","Eco",3,3,3,2,1,3,4,1,1,1,2,3,1,1,0,0
"Yes","Male","[10, 20)","L","Eco",0,5,0,5,2,0,2,2,4,5,4,3,5,2,4,1
"No","Male","[10, 20)","L","Business",2,5,2,1,2,2,2,2,3,5,5,5,5,2,21,26
"No","Female","[10, 20)","L","Eco",4,4,4,2,2,4,2,2,4,5,5,4,4,2,0,13
"Yes","Male","[10, 20)","L","Business",4,4,4,4,4,4,5,4,4,2,4,2,1,4,0,2
"Yes","Male","[10, 20)","L","Eco",4,2,2,2,4,4,4,4,1,4,4,5,5,4,3,0
"Yes","Male","[10, 20)","L","Business",0,4,0,5,3,3,3,3,5,4,5,3,4,3,0,3
"No","Male","[10, 20)","NL","Eco",2,2,2,4,1,2,1,1,2,1,3,2,3,1,85,70
"No","Male","[10, 20)","L","Eco",3,3,0,3,1,0,1,1,4,3,4,3,4,1,0,2
"No","Female","[10, 20)","L","Eco",3,3,3,3,2,3,2,2,2,5,5,3,3,2,0,0
"No","Male","[10, 20)","L","Eco",1,5,0,1,3,0,3,3,3,3,5,4,4,3,26,65
"Yes","Female","[10, 20)","L","Eco",4,4,4,2,3,4,3,3,4,5,4,3,4,3,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,3,1,1,1,1,3,4,5,3,5,1,34,50
"No","Female","[10, 20)","L","Eco",2,1,1,3,4,1,5,4,1,1,1,2,3,4,2,4
"No","Female","[10, 20)","L","Eco Plus",1,4,4,4,1,1,3,1,1,4,3,4,3,1,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,4,5,1,5,5,3,4,4,3,4,5,0,2
"No","Male","[10, 20)","L","Eco Plus",4,3,4,3,1,4,1,1,4,4,1,1,1,1,66,93
"No","Male","[10, 20)","L","Business",1,1,5,1,1,1,1,1,4,2,3,1,4,1,52,49
"No","Female","[10, 20)","NL","Eco",1,2,1,3,2,1,5,2,4,5,3,1,4,2,29,26
"No","Male","[10, 20)","L","Business",2,5,5,5,2,3,2,2,1,1,4,2,3,2,0,0
"No","Male","[10, 20)","L","Eco Plus",2,1,1,1,2,2,4,2,1,1,3,3,4,2,100,109
"No","Female","[10, 20)","L","Eco",1,3,2,4,2,2,2,2,2,3,1,2,5,2,0,27
"Yes","Female","[10, 20)","NL","Business",5,0,5,1,1,5,1,1,5,2,4,4,5,1,0,0
"No","Male","[10, 20)","NL","Eco",1,4,1,3,2,1,2,2,1,4,3,4,3,2,23,18
"No","Male","[10, 20)","L","Eco",2,5,2,5,3,2,3,3,4,4,4,5,5,3,0,0
"No","Female","[10, 20)","L","Eco",2,2,2,3,4,2,3,4,3,1,4,1,3,4,9,25
"No","Male","[10, 20)","L","Eco",2,2,2,3,1,2,1,1,1,4,3,4,3,1,1,0
"No","Female","[10, 20)","L","Eco",3,4,4,4,3,3,1,3,2,4,4,4,4,3,0,0
"No","Female","[10, 20)","L","Eco",4,4,4,4,4,4,3,4,1,3,4,3,3,4,0,0
"Yes","Male","[10, 20)","L","Business",5,5,5,5,4,4,4,4,2,3,5,4,3,4,0,0
"No","Female","[10, 20)","L","Eco",1,3,1,3,1,1,1,1,4,1,3,1,3,1,0,0
"No","Male","[10, 20)","L","Eco",2,4,2,4,2,4,3,5,2,4,5,3,5,3,352,344
"Yes","Female","[10, 20)","NL","Business",0,0,0,3,0,4,4,3,2,5,5,4,3,4,4,0
"Yes","Male","[10, 20)","L","Business",3,3,3,3,4,4,4,4,3,3,4,4,5,4,0,0
"No","Male","[10, 20)","L","Eco",2,1,2,1,5,2,3,5,3,1,1,1,1,5,0,0
"Yes","Female","[10, 20)","L","Business",4,2,0,4,3,0,3,3,3,1,3,1,4,3,0,0
"No","Female","[10, 20)","L","Eco",3,4,3,4,5,3,5,5,2,5,4,2,4,5,21,9
"No","Female","[10, 20)","NL","Eco",2,3,2,4,5,2,3,5,2,1,3,4,4,5,0,0
"Yes","Male","[10, 20)","L","Eco Plus",5,1,4,3,1,4,1,1,2,2,2,3,2,1,85,83
"No","Female","[10, 20)","L","Business",1,4,1,4,4,1,3,4,3,5,4,1,3,4,0,0
"Yes","Female","[10, 20)","NL","Business",4,0,4,3,1,4,1,1,4,3,4,3,5,1,5,0
"Yes","Female","[10, 20)","L","Business",2,2,2,2,4,4,4,4,5,2,5,3,4,4,2,0
"Yes","Female","[10, 20)","L","Business",4,4,3,4,5,5,5,5,4,3,4,5,4,5,0,0
"Yes","Male","[10, 20)","NL","Eco",4,5,5,5,2,5,2,2,3,1,1,4,1,2,0,3
"No","Female","[10, 20)","L","Eco",2,4,2,5,3,2,3,3,5,2,4,4,5,3,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,3,1,1,1,1,3,2,4,4,3,1,40,39
"No","Female","[10, 20)","L","Eco",3,4,4,4,3,3,2,3,2,1,3,1,3,3,35,62
"No","Female","[10, 20)","L","Eco",2,3,0,4,3,0,3,3,3,3,3,3,3,3,41,40
"No","Male","[10, 20)","L","Eco",2,2,2,4,5,2,5,5,1,3,4,1,3,5,0,0
"No","Female","[10, 20)","NL","Eco",3,2,3,3,3,3,3,3,4,2,4,3,3,3,0,0
"No","Female","[10, 20)","L","Eco Plus",1,4,1,3,2,1,2,2,2,3,3,3,3,2,1,0
"Yes","Male","[10, 20)","NL","Eco",4,5,4,3,2,4,2,2,3,3,3,5,1,2,19,25
"No","Male","[10, 20)","L","Eco",1,0,1,3,4,1,4,4,3,4,4,3,5,4,57,65
"Yes","Female","[10, 20)","L","Eco Plus",0,4,0,1,0,4,4,3,5,3,5,4,4,4,0,1
"No","Female","[10, 20)","L","Eco Plus",2,5,2,5,2,2,3,2,4,5,3,4,3,2,0,0
"No","Female","[10, 20)","L","Eco",1,5,1,2,5,1,5,5,5,3,4,5,4,5,0,0
"No","Male","[10, 20)","L","Eco",2,5,2,3,2,3,1,5,2,4,5,1,4,1,29,4
"Yes","Male","[10, 20)","L","Eco",5,4,5,1,2,5,2,2,5,3,5,4,5,2,1,0
"No","Female","[10, 20)","L","Eco",3,4,3,2,3,2,2,5,4,3,5,2,4,2,3,0
"No","Female","[10, 20)","L","Eco",2,3,2,4,5,2,5,5,3,2,4,2,3,5,0,0
"Yes","Female","[10, 20)","L","Eco",4,1,4,4,4,4,4,4,4,4,3,2,4,4,0,0
"No","Male","[10, 20)","L","Eco",1,5,1,2,2,1,4,2,2,1,3,3,1,2,0,0
"No","Female","[10, 20)","L","Eco",4,4,5,3,2,5,2,2,2,4,3,1,4,2,0,0
"No","Female","[10, 20)","L","Eco Plus",1,5,1,1,5,1,2,5,3,4,4,3,4,5,0,11
"Yes","Female","[10, 20)","NL","Business",5,0,5,2,5,5,5,5,3,5,4,4,5,5,8,22
"No","Male","[10, 20)","L","Business",2,1,2,2,2,2,2,3,5,1,2,2,2,2,12,42
"No","Male","[10, 20)","L","Eco",3,5,3,5,2,3,2,2,4,3,4,5,5,2,0,0
"No","Male","[10, 20)","L","Business",3,4,3,4,1,3,4,1,4,3,4,4,4,1,0,1
"No","Male","[10, 20)","NL","Eco",3,3,3,3,5,3,5,5,2,5,3,3,3,5,21,25
"No","Male","[10, 20)","L","Eco",2,4,2,3,2,2,2,2,3,2,5,3,5,2,0,0
"Yes","Male","[10, 20)","NL","Eco",5,4,5,1,2,5,2,2,4,5,2,5,5,2,0,0
"No","Male","[10, 20)","NL","Eco",1,1,2,3,4,2,4,4,3,4,3,4,3,4,9,0
"No","Male","[10, 20)","L","Eco",2,5,3,5,5,3,5,5,5,4,5,4,5,5,0,0
"No","Female","[10, 20)","L","Eco",1,4,1,4,3,1,3,3,1,1,4,1,4,3,9,57
"Yes","Male","[10, 20)","L","Business",1,2,1,1,4,4,4,4,3,3,5,3,4,4,0,0
"No","Female","[10, 20)","L","Eco",3,4,4,1,4,4,4,4,3,4,4,3,4,4,3,0
"No","Male","[10, 20)","L","Eco Plus",2,5,2,3,5,2,5,5,1,3,3,5,3,5,0,0
"No","Male","[10, 20)","L","Eco",1,4,1,1,3,1,3,3,4,5,5,3,5,3,13,16
"No","Female","[10, 20)","L","Business",1,1,1,1,1,1,1,1,4,1,3,2,4,1,0,0
"No","Male","[10, 20)","L","Business",1,5,1,4,1,1,2,1,3,4,4,3,4,1,0,0
"No","Male","[10, 20)","L","Eco",2,5,2,3,1,2,1,1,5,2,3,1,3,1,0,6
"No","Male","[10, 20)","L","Eco",1,4,1,3,3,1,3,3,5,2,4,4,4,3,0,0
"Yes","Female","[10, 20)","L","Business",4,4,4,4,4,4,4,4,5,2,5,5,4,4,8,4
"No","Male","[10, 20)","L","Eco",1,4,1,2,3,1,3,3,5,3,4,3,4,3,0,0
"No","Female","[10, 20)","L","Eco",3,5,3,3,5,3,5,5,5,3,5,5,4,5,0,7
"No","Female","[10, 20)","L","Eco",3,5,3,1,5,3,3,5,4,3,4,5,4,5,0,0
"No","Male","[10, 20)","L","Eco",2,4,2,4,2,2,2,3,3,5,4,2,3,2,153,134
"No","Male","[10, 20)","NL","Eco",2,2,2,3,3,2,3,3,1,3,3,2,4,3,7,12
"Yes","Female","[10, 20)","NL","Eco",5,4,5,4,1,5,1,1,1,5,1,2,5,1,3,0
"Yes","Female","[10, 20)","L","Business",1,1,1,1,4,4,4,4,4,2,2,2,2,4,0,5
"No","Male","[10, 20)","L","Eco Plus",3,5,3,1,4,3,4,4,4,4,5,5,4,4,0,5
"No","Female","[10, 20)","NL","Eco",2,2,2,4,4,2,4,4,5,5,5,4,4,4,4,0
"No","Female","[10, 20)","L","Business",4,4,4,4,4,4,4,4,1,3,3,2,4,4,0,0
"No","Male","[10, 20)","L","Eco Plus",3,4,0,4,4,0,4,4,5,3,5,5,5,4,0,0
"No","Female","[10, 20)","L","Eco Plus",1,5,1,3,4,1,4,4,4,2,4,3,4,4,0,0
"No","Male","[10, 20)","NL","Business",2,2,2,4,3,2,3,3,1,5,3,1,4,3,0,0
"No","Male","[10, 20)","NL","Eco",4,4,4,3,3,4,3,3,4,2,2,4,4,3,3,73
"No","Female","[10, 20)","L","Business",2,0,2,2,3,2,3,3,3,2,4,5,4,3,0,0
"No","Female","[10, 20)","L","Eco",2,5,2,5,2,1,1,2,3,1,1,1,2,1,201,216
"No","Female","[10, 20)","L","Eco",2,3,2,1,4,2,4,4,2,5,2,2,3,4,52,40
"No","Male","[10, 20)","L","Eco",3,5,0,2,2,0,2,2,4,2,4,3,5,2,8,45
"No","Male","[10, 20)","L","Eco",1,4,1,2,3,1,3,3,4,3,4,3,5,3,0,0
"Yes","Female","[10, 20)","L","Business",4,4,4,4,4,5,4,4,2,3,2,4,1,4,21,15
"No","Female","[10, 20)","L","Eco",4,4,4,3,3,4,3,3,4,2,5,3,5,3,0,0
"No","Male","[10, 20)","L","Eco",2,4,2,2,2,2,2,2,5,2,5,5,5,2,14,0
"Yes","Male","[10, 20)","L","Business",4,3,4,4,5,5,5,5,3,4,5,2,5,5,15,8
"No","Female","[10, 20)","L","Business",3,1,1,1,3,2,3,3,1,5,4,2,4,3,11,15
"Yes","Male","[10, 20)","L","Eco Plus",5,4,4,4,5,5,5,5,4,1,2,1,5,5,0,0
"No","Female","[10, 20)","L","Eco",3,5,3,4,4,3,4,4,3,4,5,4,4,4,42,27
"No","Female","[10, 20)","L","Business",3,4,3,4,4,3,4,4,5,4,5,4,5,4,0,0
"No","Male","[10, 20)","NL","Eco",1,5,1,4,1,5,5,4,5,5,5,5,4,5,192,185
"Yes","Male","[10, 20)","L","Eco",5,2,5,4,5,5,5,5,4,3,3,1,3,5,0,5
"No","Female","[10, 20)","L","Eco",3,3,3,3,3,3,2,3,4,5,4,2,3,3,0,0
"Yes","Male","[10, 20)","NL","Eco",4,4,4,5,2,4,1,2,4,2,4,5,5,2,0,0
"Yes","Male","[10, 20)","L","Business",4,4,4,4,5,5,5,5,3,3,2,4,4,5,0,0
"No","Male","[10, 20)","NL","Eco",3,3,3,3,1,3,1,1,1,1,4,2,4,1,5,41
"No","Male","[10, 20)","L","Eco",2,4,2,3,3,2,3,3,4,4,4,4,4,3,0,0
"No","Male","[10, 20)","NL","Eco",3,3,3,4,4,3,4,4,1,2,4,4,3,4,0,0
"No","Male","[10, 20)","L","Business",1,0,0,4,1,0,1,1,3,1,3,2,4,1,0,3
"Yes","Male","[10, 20)","NL","Eco",4,4,4,3,5,4,5,5,4,4,5,5,5,5,10,34
"Yes","Female","[10, 20)","L","Business",3,3,3,3,5,5,5,5,5,3,4,3,4,5,0,0
"Yes","Male","[10, 20)","L","Business",3,3,3,3,4,4,4,4,3,2,5,4,5,4,0,0
"No","Female","[10, 20)","L","Business",2,1,2,1,2,2,2,2,2,3,3,1,2,2,91,86
"No","Male","[10, 20)","L","Business",1,4,1,3,3,1,3,3,5,4,4,5,5,3,0,0
"No","Female","[10, 20)","L","Eco",2,3,1,3,5,1,5,5,2,2,3,1,4,5,0,58
"No","Female","[10, 20)","L","Eco",2,2,2,2,2,2,2,2,2,3,3,1,3,2,0,4
"No","Female","[10, 20)","L","Business",2,5,5,5,2,2,2,2,3,5,3,1,4,2,37,22
"No","Female","[10, 20)","NL","Eco",3,3,3,1,3,3,5,3,1,2,2,1,5,3,0,0
"Yes","Female","[10, 20)","L","Eco",0,1,0,3,3,0,3,3,1,2,3,2,3,3,0,0
"Yes","Female","[10, 20)","NL","Business",4,4,4,2,2,4,2,2,5,3,5,4,4,2,0,0
"No","Male","[10, 20)","NL","Eco",3,4,3,4,4,3,4,4,3,3,3,2,4,4,1,3
"No","Male","[10, 20)","L","Eco",1,4,1,3,5,1,5,5,3,2,5,4,5,5,0,0
"No","Female","[10, 20)","L","Eco Plus",1,0,1,4,2,1,2,2,4,5,4,3,4,2,3,0
"No","Female","[10, 20)","L","Eco",3,1,3,3,5,3,5,5,3,3,3,4,3,5,5,0
"No","Male","[10, 20)","L","Eco",2,4,2,4,2,2,2,2,3,3,4,2,4,2,0,0
"No","Male","[10, 20)","NL","Business",3,4,3,4,1,3,2,1,4,4,3,1,4,1,0,0
"No","Male","[10, 20)","L","Business",2,5,5,5,2,2,2,2,3,5,3,4,4,2,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,1,5,2,5,5,2,4,3,4,4,5,0,0
"Yes","Female","[10, 20)","L","Eco",5,5,5,3,1,5,1,1,5,2,3,4,5,1,0,0
"No","Female","[10, 20)","L","Eco",2,3,3,3,2,3,2,2,2,4,1,5,4,2,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,3,4,2,4,4,5,4,5,5,5,4,0,0
"Yes","Female","[10, 20)","NL","Eco",5,0,5,4,3,5,5,3,5,2,4,4,5,3,0,0
"Yes","Female","[10, 20)","NL","Business",4,4,4,1,3,4,3,3,3,5,4,3,5,3,0,3
"No","Male","[10, 20)","L","Eco",1,4,0,3,3,0,3,3,3,4,5,3,5,3,24,17
"No","Male","[10, 20)","L","Eco Plus",2,3,3,4,3,3,3,3,1,3,4,2,3,3,0,0
"Yes","Male","[10, 20)","L","Eco Plus",5,5,5,5,5,5,3,5,4,5,5,5,2,5,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,2,2,1,1,3,2,4,5,1,4,1,0,0
"No","Female","[10, 20)","L","Eco",2,5,2,2,2,2,2,2,4,2,4,5,5,2,0,0
"No","Female","[10, 20)","L","Eco",4,5,5,5,4,4,4,4,2,5,3,2,3,4,2,0
"No","Female","[10, 20)","NL","Eco",3,3,3,4,2,3,2,2,4,2,4,1,3,2,0,0
"No","Male","[10, 20)","L","Eco",2,5,2,3,4,2,4,4,3,3,5,3,4,4,0,0
"No","Female","[10, 20)","NL","Eco",2,1,1,3,1,1,1,1,1,1,4,4,4,1,0,7
"No","Female","[10, 20)","L","Eco",4,5,4,2,4,4,1,4,5,4,4,5,5,4,0,0
"No","Female","[10, 20)","NL","Eco",2,4,2,4,2,2,2,2,2,1,5,5,5,2,1,0
"No","Male","[10, 20)","L","Eco",3,3,3,3,4,3,4,4,2,3,3,3,1,4,0,0
"No","Female","[10, 20)","L","Eco",1,5,1,1,2,1,2,2,3,3,5,3,5,2,58,46
"No","Female","[10, 20)","L","Eco Plus",3,3,0,1,3,0,3,3,1,5,3,4,1,3,109,95
"No","Male","[10, 20)","L","Eco",2,5,2,4,2,2,2,2,5,3,4,4,5,2,0,0
"No","Male","[10, 20)","NL","Eco",2,2,2,3,5,2,5,5,1,4,3,2,3,5,0,0
"No","Female","[10, 20)","L","Eco",2,4,2,2,1,2,1,1,3,2,3,4,4,1,91,93
"Yes","Female","[10, 20)","L","Business",4,4,4,4,5,4,5,5,4,4,4,3,4,5,18,28
"Yes","Male","[10, 20)","L","Eco",4,4,5,4,4,5,4,4,3,1,5,1,1,4,0,0
