session_id,url,user_agent,action,platform,region
S00033, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,search,Web, Daegu 
S00034,https://shop.example.com/item/123?ref=google,Samsung / Firefox,cart,iOS, Busan 
S00035,http://shop.example.com/PURCHASE?id=777,iPhone / Edge,logout,Android,Daejeon
S00036,http://shop.example.com/PURCHASE?id=777,LG / Chrome,logout,Web,Incheon
S00037, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Safari,VIEW_ITEM,iOS, Incheon 
S00038,http://shop.example.com/login ,iPhone / Chrome,logout,Web,Busan
S00039,http://shop.example.com/login ,LG / Firefox,view_item,Android,Daegu
S00040,http://shop.example.com/PURCHASE?id=777,iPad / Edge,purchase,Web,Seoul
S00041,https://shop.example.com/search?q=phone,Samsung / Chrome,search,iOS,Incheon
S00042,http://shop.example.com/login ,iPhone / Safari,purchase,Android, Busan 
S00043,https://shop.example.com/item/123?ref=google,Samsung / Firefox,CART,iOS,Daejeon
S00044,http://shop.example.com/login ,Xiaomi / Edge,purchase,iOS,Seoul
S00045, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Chrome,cart,iOS,Busan
S00046,http://shop.example.com/PURCHASE?id=777,Xiaomi / Firefox,SEARCH,Android,Incheon
S00047,https://shop.example.com/item/123?ref=google,LG / Safari,VIEW_ITEM,Web,Seoul
S00048, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Chrome,view_item,Web,Daegu
S00049,https://shop.example.com/item/123?ref=google,Samsung / Chrome,search,Web,Daegu
S00050,http://shop.example.com/login ,Xiaomi / Safari,VIEW_ITEM,Android,Incheon
S00051,http://shop.example.com/login ,Samsung / Edge,login,Android,Busan
S00052,http://shop.example.com/login ,Xiaomi / Chrome,login,Android, Seoul 
S00053,https://shop.example.com/item/123?ref=google,LG / Firefox,purchase,Android,Busan
S00054,http://shop.example.com/login ,Samsung / Chrome,logout,iOS,Incheon
S00055,https://shop.example.com/item/123?ref=google,Samsung / Chrome,login,Android,Daegu
S00056,https://shop.example.com/item/123?ref=google,iPad / Edge,view_item,Web,Daegu
S00057,https://shop.example.com/search?q=phone,Samsung / Edge,logout,iOS,Seoul
S00058,https://shop.example.com/item/123?ref=google,LG / Chrome,view_item,Web,Busan
S00059,https://shop.example.com/item/123?ref=google,iPad / Safari,view_item,Web,Seoul
S00060,https://shop.example.com/search?q=phone,Xiaomi / Edge,cart,Web, Daejeon 
S00061,https://shop.example.com/item/123?ref=google,iPhone / Safari,LOGOUT,Android,Seoul
S00062,https://shop.example.com/item/123?ref=google,LG / Chrome,login,iOS,Seoul
S00063, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Chrome,search,iOS,Daejeon
S00064,http://shop.example.com/PURCHASE?id=777,Samsung / Edge,logout,Web,Daegu
S00065,https://shop.example.com/item/123?ref=google,Samsung / Chrome,view_item,iOS,Daegu
S00066,http://shop.example.com/login ,Xiaomi / Chrome,view_item,Android,Busan
S00067,http://shop.example.com/login ,Samsung / Safari,search,iOS,Incheon
S00068, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Chrome,login,Web, Incheon 
S00069,http://shop.example.com/PURCHASE?id=777,iPhone / Edge,logout,Web,Daejeon
S00070,https://shop.example.com/item/123?ref=google,iPhone / Edge,logout,Android, Incheon 
S00071,https://shop.example.com/item/123?ref=google,iPhone / Safari,cart,Android,Daejeon
S00072,https://shop.example.com/search?q=phone,iPad / Safari,view_item,Web,Incheon
S00073,https://shop.example.com/item/123?ref=google,iPhone / Chrome,view_item,Android,Daejeon
S00074,http://shop.example.com/login ,Samsung / Safari,cart,Web, Seoul 
S00075,https://shop.example.com/search?q=phone,Xiaomi / Firefox,logout,Web,Busan
S00076,https://shop.example.com/search?q=phone,Samsung / Chrome,login,Android,Busan
S00077,http://shop.example.com/PURCHASE?id=777,LG / Edge,search,iOS,Daegu
S00078,http://shop.example.com/PURCHASE?id=777,iPad / Chrome,login,Web,Daejeon
S00079,http://shop.example.com/PURCHASE?id=777,iPad / Chrome,view_item,Web,Busan
S00080,https://shop.example.com/search?q=phone,Samsung / Edge,logout,iOS,Daegu
S00081,http://shop.example.com/PURCHASE?id=777,iPad / Edge,purchase,Android,Seoul
S00082,https://shop.example.com/search?q=phone,LG / Firefox,cart,Android,Seoul
S00083,http://shop.example.com/login ,iPad / Firefox,purchase,Web,Seoul
S00084,http://shop.example.com/PURCHASE?id=777,iPhone / Firefox,logout,iOS,Daejeon
S00085, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Firefox,purchase,Android,Seoul
S00086,http://shop.example.com/PURCHASE?id=777,iPhone / Edge,login,Android,Busan
S00087,https://shop.example.com/search?q=phone,iPhone / Safari,search,Web,Busan
S00088,https://shop.example.com/item/123?ref=google,Xiaomi / Safari,logout,iOS,Daejeon
S00089,https://shop.example.com/search?q=phone,Xiaomi / Firefox,logout,Android,Incheon
S00090, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Firefox,login,Android,Seoul
S00091, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,cart,Web, Daegu 
S00092,http://shop.example.com/login ,Xiaomi / Safari,cart,iOS, Incheon 
S00093,http://shop.example.com/login ,LG / Edge,search,iOS,Seoul
S00094,https://shop.example.com/item/123?ref=google,iPad / Safari,search,Android,Daejeon
S00095,https://shop.example.com/search?q=phone,Samsung / Safari,purchase,iOS,Busan
S00096,https://shop.example.com/search?q=phone,Samsung / Firefox,login,iOS,Daejeon
S00097, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Chrome,LOGOUT,Android, Busan 
S00098,https://shop.example.com/search?q=phone,Xiaomi / Firefox,CART,Android,Incheon
S00099,http://shop.example.com/PURCHASE?id=777,Xiaomi / Firefox,cart,iOS,Daegu
S00100,http://shop.example.com/login ,Samsung / Chrome,view_item,iOS,Daejeon
S00101, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Edge,purchase,iOS,Daejeon
S00102,https://shop.example.com/item/123?ref=google,iPad / Firefox,purchase,Android,Daegu
S00103,http://shop.example.com/login ,LG / Safari,purchase,iOS,Incheon
S00104,https://shop.example.com/search?q=phone,Xiaomi / Edge,VIEW_ITEM,Web,Daegu
S00105,https://shop.example.com/search?q=phone,Samsung / Edge,view_item,Web,Daejeon
S00106,https://shop.example.com/item/123?ref=google,iPhone / Firefox,search,iOS,Daejeon
S00107, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Safari,cart,iOS,Seoul
S00108, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,PURCHASE,iOS,Daejeon
S00109, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,purchase,iOS,Daegu
S00110,http://shop.example.com/login ,LG / Safari,search,Web,Seoul
S00111,http://shop.example.com/login ,iPad / Firefox,login,Android,Busan
S00112,http://shop.example.com/login ,LG / Chrome,login,Android, Seoul 
S00113,https://shop.example.com/search?q=phone,Xiaomi / Safari,LOGIN,Web,Daejeon
S00114,https://shop.example.com/item/123?ref=google,Xiaomi / Safari,purchase,Web,Daegu
S00115,http://shop.example.com/PURCHASE?id=777,LG / Firefox,login,Web,Incheon
S00116,http://shop.example.com/PURCHASE?id=777,iPhone / Safari,purchase,Android,Daegu
S00117,http://shop.example.com/PURCHASE?id=777,iPhone / Safari,purchase,Web,Busan
S00118,https://shop.example.com/item/123?ref=google,Samsung / Edge,cart,Android,Seoul
S00119,https://shop.example.com/search?q=phone,iPhone / Safari,search,iOS,Seoul
S00120, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Safari,purchase,Web, Busan 
S00121,https://shop.example.com/item/123?ref=google,Xiaomi / Edge,view_item,Android,Busan
S00122,https://shop.example.com/search?q=phone,iPad / Edge,LOGIN,iOS,Seoul
S00123,https://shop.example.com/search?q=phone,Xiaomi / Edge,login,Web,Incheon
S00124,https://shop.example.com/item/123?ref=google,iPhone / Edge,cart,iOS, Daegu 
S00125,https://shop.example.com/item/123?ref=google,LG / Edge,view_item,iOS,Incheon
S00126, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,purchase,Web,Daejeon
S00127, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,logout,Web,Daegu
S00128,https://shop.example.com/search?q=phone,iPad / Firefox,cart,Web,Seoul
S00129,https://shop.example.com/search?q=phone,iPhone / Safari,purchase,Web,Daegu
S00130, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Firefox,logout,iOS,Seoul
S00131, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,purchase,Web,Busan
S00132, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Firefox,login,iOS,Daejeon
S00133, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Chrome,purchase,Web,Incheon
S00134,https://shop.example.com/item/123?ref=google,LG / Safari,view_item,iOS,Incheon
S00135,https://shop.example.com/item/123?ref=google,Samsung / Safari,purchase,iOS,Incheon
S00136,https://shop.example.com/item/123?ref=google,iPad / Edge,PURCHASE,Android,Busan
S00137,https://shop.example.com/item/123?ref=google,iPad / Firefox,search,Web,Incheon
S00138, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,search,Web, Busan 
S00139,http://shop.example.com/PURCHASE?id=777,iPhone / Edge,LOGOUT,iOS,Daegu
S00140, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Safari,purchase,Android,Daegu
S00141,https://shop.example.com/item/123?ref=google,iPad / Firefox,login,Web,Seoul
S00142,http://shop.example.com/PURCHASE?id=777,Samsung / Firefox,cart,Web,Daegu
S00143,http://shop.example.com/login ,LG / Firefox,purchase,iOS,Daejeon
S00144, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Firefox,search,Web,Daegu
S00145,http://shop.example.com/PURCHASE?id=777,iPad / Edge,purchase,iOS,Incheon
S00146,http://shop.example.com/login ,Xiaomi / Chrome,cart,iOS,Incheon
S00147,http://shop.example.com/login ,LG / Chrome,purchase,Web,Busan
S00148, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,purchase,Web,Daejeon
S00149,https://shop.example.com/item/123?ref=google,Samsung / Safari,CART,Android,Busan
S00150, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,view_item,Web,Seoul
S00151,https://shop.example.com/search?q=phone,iPhone / Firefox,purchase,iOS,Busan
S00152,http://shop.example.com/PURCHASE?id=777,Samsung / Safari,view_item,Web,Daegu
S00153,https://shop.example.com/item/123?ref=google,Samsung / Firefox,login,Web,Seoul
S00154,https://shop.example.com/item/123?ref=google,iPhone / Edge,cart,Android,Daegu
S00155,https://shop.example.com/search?q=phone,Samsung / Chrome,login,Web,Busan
S00156,http://shop.example.com/login ,Xiaomi / Firefox,search,Web,Daejeon
S00157,https://shop.example.com/search?q=phone,Samsung / Edge,cart,Android,Busan
S00158,http://shop.example.com/login ,iPad / Safari,purchase,Android,Busan
S00159, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,LOGIN,Android,Busan
S00160, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Safari,search,iOS,Seoul
S00161, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Firefox,purchase,iOS,Daegu
S00162,http://shop.example.com/login ,iPad / Firefox,view_item,Android, Seoul 
S00163,https://shop.example.com/item/123?ref=google,Samsung / Firefox,view_item,Android,Daejeon
S00164,https://shop.example.com/item/123?ref=google,iPad / Safari,LOGOUT,Web,Busan
S00165,http://shop.example.com/PURCHASE?id=777,iPhone / Edge,LOGOUT,Android, Incheon 
S00166,http://shop.example.com/PURCHASE?id=777,Samsung / Edge,view_item,Web,Incheon
S00167,http://shop.example.com/login ,iPad / Edge,search,Web,Daejeon
S00168,http://shop.example.com/PURCHASE?id=777,LG / Safari,purchase,Android, Incheon 
S00169,http://shop.example.com/login ,Xiaomi / Firefox,purchase,Web,Incheon
S00170,http://shop.example.com/PURCHASE?id=777,LG / Chrome,cart,Web,Seoul
S00171,https://shop.example.com/search?q=phone,Xiaomi / Safari,cart,iOS,Seoul
S00172,http://shop.example.com/login ,Samsung / Chrome,search,Web,Daegu
S00173,https://shop.example.com/search?q=phone,LG / Chrome,purchase,Web,Seoul
S00174,https://shop.example.com/search?q=phone,Samsung / Edge,purchase,iOS,Incheon
S00175,https://shop.example.com/item/123?ref=google,iPhone / Safari,cart,Android,Daejeon
S00176, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Edge,login,iOS,Daegu
S00177,https://shop.example.com/search?q=phone,iPhone / Chrome,LOGOUT,Web,Daejeon
S00178,https://shop.example.com/search?q=phone,Xiaomi / Safari,logout,iOS,Daegu
S00179,http://shop.example.com/login ,Xiaomi / Safari,login,Android,Daegu
S00180,https://shop.example.com/search?q=phone,iPad / Chrome,PURCHASE,iOS,Busan
S00181,https://shop.example.com/item/123?ref=google,iPhone / Safari,search,Web, Daejeon 
S00182,https://shop.example.com/item/123?ref=google,iPhone / Firefox,view_item,Web,Daejeon
S00183,https://shop.example.com/search?q=phone,Xiaomi / Chrome,login,Web,Daejeon
S00184,https://shop.example.com/search?q=phone,iPad / Edge,CART,Web,Daejeon
S00185,http://shop.example.com/login ,LG / Safari,view_item,Android,Incheon
S00186,https://shop.example.com/search?q=phone,iPad / Firefox,cart,iOS,Busan
S00187,http://shop.example.com/PURCHASE?id=777,Xiaomi / Edge,login,Android, Daegu 
S00188, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Firefox,login,Web,Daejeon
S00189,https://shop.example.com/search?q=phone,Xiaomi / Safari,purchase,iOS,Seoul
S00190, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Safari,purchase,Android,Busan
S00191,http://shop.example.com/PURCHASE?id=777,iPhone / Safari,logout,iOS,Daegu
S00192,http://shop.example.com/login ,iPad / Chrome,login,iOS,Daejeon
S00193,https://shop.example.com/item/123?ref=google,LG / Firefox,view_item,Web,Daejeon
S00194,https://shop.example.com/search?q=phone,Xiaomi / Firefox,purchase,Web,Busan
S00195,https://shop.example.com/item/123?ref=google,LG / Safari,cart,Android,Seoul
S00196,http://shop.example.com/PURCHASE?id=777,Samsung / Safari,logout,Web,Daegu
S00197,http://shop.example.com/login ,LG / Safari,SEARCH,iOS,Daejeon
S00198,https://shop.example.com/search?q=phone,Samsung / Chrome,search,Android,Daegu
S00199,https://shop.example.com/item/123?ref=google,iPad / Safari,login,Web,Daejeon
S00200,https://shop.example.com/item/123?ref=google,iPhone / Edge,logout,iOS,Daejeon
S00201,http://shop.example.com/PURCHASE?id=777,iPhone / Safari,search,iOS,Incheon
S00202, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Firefox,login,iOS, Daegu 
S00203,https://shop.example.com/search?q=phone,iPhone / Edge,cart,iOS,Daegu
S00204, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Chrome,login,Web,Daejeon
S00205, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Edge,cart,Web,Busan
S00206,http://shop.example.com/PURCHASE?id=777,iPad / Safari,logout,Web,Incheon
S00207,https://shop.example.com/search?q=phone,LG / Firefox,view_item,Android,Daejeon
S00208,https://shop.example.com/search?q=phone,iPad / Safari,SEARCH,iOS,Incheon
S00209,https://shop.example.com/item/123?ref=google,iPhone / Firefox,logout,Android,Daegu
S00210,http://shop.example.com/login ,LG / Chrome,VIEW_ITEM,Android,Incheon
S00211,http://shop.example.com/login ,iPad / Safari,login,Android, Daejeon 
S00212,https://shop.example.com/item/123?ref=google,iPad / Safari,LOGIN,Android,Daegu
S00213,http://shop.example.com/login ,Xiaomi / Firefox,LOGOUT,Android,Daegu
S00214,http://shop.example.com/login ,iPad / Chrome,logout,Web,Seoul
S00215,https://shop.example.com/item/123?ref=google,Samsung / Chrome,logout,Android,Incheon
S00216,https://shop.example.com/item/123?ref=google,Samsung / Safari,LOGIN,Web,Busan
S00217,http://shop.example.com/login ,iPhone / Chrome,logout,Web,Seoul
S00218,https://shop.example.com/search?q=phone,Xiaomi / Edge,login,Android,Incheon
S00219,https://shop.example.com/item/123?ref=google,iPad / Firefox,logout,Web,Busan
S00220, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Chrome,view_item,Web,Seoul
S00221, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Firefox,search,Android, Daejeon 
S00222,https://shop.example.com/search?q=phone,Xiaomi / Firefox,cart,iOS,Daejeon
S00223, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Firefox,purchase,Web,Incheon
S00224, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Safari,purchase,Android,Busan
S00225,https://shop.example.com/search?q=phone,Samsung / Firefox,PURCHASE,iOS,Daegu
S00226, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Firefox,search,Android,Daegu
S00227,http://shop.example.com/login ,Samsung / Safari,search,Android,Daegu
S00228,http://shop.example.com/login ,iPad / Firefox,view_item,iOS,Busan
S00229, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,LOGOUT,Web,Seoul
S00230,https://shop.example.com/search?q=phone,Samsung / Safari,PURCHASE,iOS,Daejeon
S00231,https://shop.example.com/search?q=phone,Samsung / Edge,login,Android,Daejeon
S00232,http://shop.example.com/PURCHASE?id=777,LG / Edge,logout,Web,Daegu
S00233,http://shop.example.com/PURCHASE?id=777,Samsung / Chrome,view_item,iOS,Seoul
S00234,https://shop.example.com/search?q=phone,iPhone / Edge,logout,iOS,Busan
S00235, HTTPS://SHOP.EXAMPLE.COM/CART ,LG / Safari,view_item,iOS,Daejeon
S00236,http://shop.example.com/PURCHASE?id=777,iPad / Edge,logout,iOS,Daejeon
S00237, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Safari,view_item,Android, Busan 
S00238,http://shop.example.com/login ,iPhone / Safari,CART,iOS,Busan
S00239,http://shop.example.com/login ,iPad / Chrome,login,Web,Daejeon
S00240,https://shop.example.com/item/123?ref=google,Xiaomi / Safari,search,Android, Incheon 
S00241,https://shop.example.com/item/123?ref=google,Xiaomi / Edge,purchase,Web,Seoul
S00242,https://shop.example.com/search?q=phone,LG / Edge,search,Android,Seoul
S00243,http://shop.example.com/PURCHASE?id=777,LG / Firefox,logout,Android,Incheon
S00244, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Chrome,logout,iOS,Busan
S00245,http://shop.example.com/login ,Samsung / Firefox,cart,Android,Busan
S00246,https://shop.example.com/search?q=phone,Xiaomi / Safari,view_item,Web,Incheon
S00247,http://shop.example.com/PURCHASE?id=777,Xiaomi / Edge,logout,iOS,Daejeon
S00248, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,search,iOS,Incheon
S00249,http://shop.example.com/login ,iPad / Chrome,cart,Android,Daegu
S00250,https://shop.example.com/search?q=phone,LG / Chrome,LOGOUT,iOS,Daejeon
S00251,http://shop.example.com/login ,iPad / Edge,logout,Android, Incheon 
S00252, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Firefox,cart,Android,Seoul
S00253,https://shop.example.com/item/123?ref=google,iPad / Edge,purchase,Web,Busan
S00254,https://shop.example.com/search?q=phone,Samsung / Edge,login,Android,Incheon
S00255,https://shop.example.com/item/123?ref=google,iPad / Firefox,search,Android,Daegu
S00256, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Firefox,view_item,Web,Busan
S00257, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,logout,Web, Daegu 
S00258,https://shop.example.com/search?q=phone,Samsung / Edge,purchase,Android,Daejeon
S00259,http://shop.example.com/login ,Xiaomi / Firefox,login,Android,Busan
S00260,https://shop.example.com/search?q=phone,Samsung / Safari,view_item,iOS,Incheon
S00261,https://shop.example.com/search?q=phone,iPhone / Firefox,cart,iOS,Incheon
S00262,https://shop.example.com/search?q=phone,LG / Safari,purchase,Web,Incheon
S00263,https://shop.example.com/search?q=phone,LG / Chrome,view_item,Web,Daejeon
S00264,http://shop.example.com/PURCHASE?id=777,Samsung / Edge,view_item,Android, Daejeon 
S00265,https://shop.example.com/item/123?ref=google,LG / Safari,PURCHASE,Web,Seoul
S00266,https://shop.example.com/item/123?ref=google,iPhone / Firefox,cart,Android,Incheon
S00267,https://shop.example.com/item/123?ref=google,LG / Firefox,purchase,Android,Seoul
S00268, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Chrome,logout,Android,Busan
S00269,https://shop.example.com/item/123?ref=google,Samsung / Safari,cart,Web,Daegu
S00270,http://shop.example.com/PURCHASE?id=777,Xiaomi / Safari,login,iOS,Seoul
S00271, HTTPS://SHOP.EXAMPLE.COM/CART ,Samsung / Safari,cart,Android,Incheon
S00272,http://shop.example.com/login ,Xiaomi / Edge,logout,iOS,Daejeon
S00273,https://shop.example.com/search?q=phone,iPhone / Firefox,logout,iOS, Daegu 
S00274, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,logout,iOS,Daejeon
S00275,https://shop.example.com/search?q=phone,Samsung / Safari,search,Android,Busan
S00276,https://shop.example.com/search?q=phone,LG / Edge,view_item,iOS,Busan
S00277, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Chrome,logout,Web,Seoul
S00278,http://shop.example.com/PURCHASE?id=777,iPad / Safari,login,Web,Busan
S00279,https://shop.example.com/search?q=phone,Samsung / Firefox,login,Web,Daejeon
S00280, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Edge,search,Android,Daegu
S00281,https://shop.example.com/item/123?ref=google,Xiaomi / Edge,cart,iOS, Daegu 
S00282, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Safari,PURCHASE,iOS,Seoul
S00283,http://shop.example.com/PURCHASE?id=777,iPad / Edge,purchase,Web,Busan
S00284,https://shop.example.com/search?q=phone,iPad / Chrome,search,Web,Seoul
S00285,http://shop.example.com/login ,iPad / Firefox,view_item,iOS, Seoul 
S00286, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Edge,view_item,Web,Busan
S00287,http://shop.example.com/login ,iPhone / Edge,cart,Android,Seoul
S00288,https://shop.example.com/item/123?ref=google,Xiaomi / Edge,search,Android,Seoul
S00289,https://shop.example.com/search?q=phone,iPhone / Firefox,logout,Web,Busan
S00290, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,login,Web, Busan 
S00291,https://shop.example.com/search?q=phone,iPhone / Edge,purchase,Android,Incheon
S00292,http://shop.example.com/login ,iPad / Firefox,cart,Web,Seoul
S00293,https://shop.example.com/item/123?ref=google,Xiaomi / Chrome,cart,iOS,Seoul
S00294,http://shop.example.com/PURCHASE?id=777,iPhone / Chrome,logout,iOS,Daegu
S00295,http://shop.example.com/PURCHASE?id=777,LG / Edge,cart,iOS,Busan
S00296,https://shop.example.com/item/123?ref=google,Xiaomi / Chrome,cart,Android, Incheon 
S00297, HTTPS://SHOP.EXAMPLE.COM/CART ,iPad / Edge,view_item,Android,Busan
S00298,http://shop.example.com/login ,Xiaomi / Safari,login,Web,Busan
S00299, HTTPS://SHOP.EXAMPLE.COM/CART ,iPhone / Safari,search,Android, Daejeon 
S00300,http://shop.example.com/login ,Xiaomi / Chrome,search,iOS,Seoul
S00301,http://shop.example.com/login ,iPhone / Firefox,view_item,iOS, Busan 
S00302,https://shop.example.com/search?q=phone,LG / Firefox,login,Android,Daegu
S00303,http://shop.example.com/PURCHASE?id=777,Samsung / Firefox,purchase,Android,Busan
S00304,http://shop.example.com/login ,Xiaomi / Edge,logout,Android,Seoul
S00305,http://shop.example.com/login ,LG / Edge,purchase,Android,Daejeon
S00306, HTTPS://SHOP.EXAMPLE.COM/CART ,Xiaomi / Safari,VIEW_ITEM,Web,Seoul
S00307,http://shop.example.com/login ,iPad / Firefox,VIEW_ITEM,Android, Incheon 
S00308,http://shop.example.com/login ,Samsung / Firefox,LOGIN,Web,Daegu
S00309,http://shop.example.com/login ,iPad / Firefox,purchase,Web,Daejeon
S00310,http://shop.example.com/login ,iPhone / Edge,cart,Android,Incheon
S00311,http://shop.example.com/PURCHASE?id=777,iPhone / Chrome,purchase,Android, Busan 
S00312,https://shop.example.com/item/123?ref=google,Xiaomi / Safari,search,Android,Incheon
S00313,http://shop.example.com/PURCHASE?id=777,Xiaomi / Chrome,login,Android,Seoul
S00314,https://shop.example.com/search?q=phone,iPhone / Safari,cart,Web,Busan
S00315,http://shop.example.com/login ,iPad / Safari,view_item,iOS,Daegu
S00316,http://shop.example.com/PURCHASE?id=777,Samsung / Chrome,search,Web,Daejeon
S00317,http://shop.example.com/login ,Xiaomi / Edge,logout,Android,Incheon
S00318,https://shop.example.com/item/123?ref=google,iPhone / Edge,cart,iOS,Daegu
S00319,https://shop.example.com/search?q=phone,Samsung / Chrome,login,Web,Seoul
S00320,https://shop.example.com/search?q=phone,iPad / Edge,login,Web,Busan
