game_level,character_level,weekly_play_time,chat_activity,item_level,quest_completed,pvp_score,guild_rank,inactive_days
1,70,16.9,130,53,197,997,12,6
1,26,5.7,11,32,149,1136,25,14
1,68,28.8,77,66,139,1610,9,7
1,78,22.0,92,86,106,1833,18,6
1,26,6.3,50,14,130,1189,32,12
1,69,21.4,100,60,128,1208,21,13
0,1,4.0,65,1,0,388,34,13
1,94,27.3,142,87,157,1847,13,9
1,62,19.3,82,45,171,1229,15,5
2,121,35.4,187,135,258,2156,3,0
0,21,7.5,53,15,118,854,40,13
1,18,4.5,4,16,71,908,23,9
1,38,9.2,43,47,76,990,21,9
1,59,12.4,89,45,93,1306,18,7
1,93,26.4,142,101,160,1623,6,5
0,1,4.9,0,1,93,124,29,15
0,61,13.1,40,53,150,997,25,9
0,1,1.6,7,1,42,440,44,19
1,42,21.6,78,44,149,1114,23,9
0,22,6.3,44,19,85,512,30,11
0,13,3.9,28,4,109,1234,22,15
0,41,13.4,62,30,55,861,26,15
1,71,16.8,144,61,201,1728,15,5
0,32,18.4,6,11,77,856,31,17
1,28,8.6,62,5,94,1210,23,11
0,41,12.9,27,37,71,844,33,15
1,79,17.1,105,55,223,1539,25,5
1,82,21.2,72,75,156,1275,12,2
1,114,31.3,176,116,279,2097,1,0
1,50,19.4,129,45,135,1154,17,3
0,54,13.5,74,58,90,1245,29,10
1,82,29.0,171,75,174,1614,13,6
1,108,20.7,155,115,170,1543,9,9
1,77,18.4,100,76,119,1089,17,7
1,62,19.1,113,70,156,1281,11,3
1,48,21.8,111,65,153,1077,22,12
0,11,0.0,0,1,0,393,35,15
1,97,29.0,227,104,188,1843,12,7
2,115,27.7,191,130,284,2155,13,0
0,48,13.4,61,43,116,1078,35,10
1,40,7.5,74,19,150,774,27,9
1,51,11.8,84,56,144,1314,22,6
0,31,16.8,64,32,110,1463,24,12
1,59,14.9,103,52,149,1423,31,0
1,71,23.2,88,61,128,1378,23,16
1,77,15.7,116,63,161,1734,19,5
0,86,22.0,95,81,188,1761,14,8
0,50,18.5,106,28,134,1140,21,7
1,61,8.9,98,47,64,1409,30,9
1,39,17.8,68,33,131,1093,21,12
1,56,21.7,85,53,133,1412,29,9
0,80,21.8,109,68,154,1385,12,6
0,55,14.1,65,45,188,1259,20,15
1,85,29.0,143,85,196,1729,22,2
0,34,10.7,49,30,143,758,29,15
0,23,11.9,54,6,51,928,35,18
1,81,23.9,139,83,229,1608,15,2
1,58,18.5,114,49,133,1432,14,5
1,94,25.8,151,101,243,1990,18,7
2,115,27.4,168,126,179,1782,5,0
0,26,10.9,25,32,102,1055,33,7
1,56,12.4,90,31,86,1429,20,6
0,32,13.1,7,33,130,890,30,16
0,46,17.6,71,30,89,1137,32,15
1,60,28.7,88,61,144,1404,30,5
0,1,0.0,12,1,22,687,39,17
1,69,19.4,80,75,155,1499,17,11
0,62,11.5,74,61,92,1308,28,12
0,33,10.8,76,30,92,1124,26,13
0,35,7.8,0,42,91,800,29,17
0,46,10.1,63,29,73,1110,19,6
2,110,29.6,152,116,240,1454,12,1
1,75,24.2,158,68,117,1605,11,2
0,56,23.6,40,51,90,987,24,10
0,12,1.3,32,4,70,503,35,16
1,109,32.7,166,105,217,1482,1,5
0,35,5.2,56,22,42,735,30,12
1,96,28.5,159,101,158,1248,21,8
0,10,0.9,0,1,0,486,50,20
0,10,0.0,5,1,38,1111,27,19
1,33,20.0,86,19,159,1071,26,18
0,43,9.3,47,39,154,1297,24,17
1,80,25.4,90,70,107,1336,16,6
0,31,4.9,64,37,40,1105,39,7
1,46,11.4,91,39,102,1528,38,13
0,68,21.6,56,48,119,1367,21,13
1,44,8.4,47,50,110,1196,23,10
0,1,0.0,0,1,0,0,50,22
1,116,31.9,179,120,209,1604,9,4
0,26,20.1,60,25,70,1429,34,13
0,44,20.3,136,41,120,1355,22,6
1,60,17.4,99,58,145,1556,23,8
0,14,7.2,38,13,0,319,45,19
1,51,19.5,120,42,164,1182,21,3
0,45,14.6,69,45,137,1343,32,9
1,70,26.3,128,65,214,1599,14,12
0,19,0.0,25,6,49,867,26,13
0,42,13.3,103,28,81,1427,34,12
0,19,4.3,27,13,61,744,32,16
1,65,16.7,73,58,69,1370,32,10
0,28,12.1,29,13,75,678,37,14
2,88,25.4,175,89,214,2109,6,1
1,52,15.3,57,33,93,1175,27,10
1,50,16.4,70,43,110,1043,25,11
0,46,16.2,89,35,91,1010,24,10
1,42,16.5,89,25,105,1388,19,4
1,61,19.0,136,54,172,1402,12,13
0,73,25.6,110,81,177,1630,22,6
1,52,7.9,40,48,141,1906,20,8
0,9,1.7,0,8,79,912,37,19
0,44,23.2,143,41,86,1246,22,3
1,59,19.3,56,71,105,1355,24,9
0,34,13.8,68,26,65,1102,27,8
0,42,9.2,62,21,39,962,34,12
1,75,25.7,117,76,175,1742,19,3
0,1,0.0,28,1,30,393,48,21
1,81,27.0,114,71,178,1652,11,7
1,65,25.4,71,63,145,1538,16,5
0,33,14.2,27,36,23,1140,31,8
0,23,9.1,23,19,15,612,36,16
2,112,26.3,166,127,268,2154,10,4
0,69,20.3,143,58,151,1670,31,3
1,58,14.2,144,65,125,919,32,7
1,46,13.9,116,47,159,1458,27,12
1,25,15.8,44,14,69,978,37,11
0,1,6.9,13,1,90,763,35,19
1,88,19.5,162,85,229,1611,14,5
0,31,4.7,59,10,19,975,34,12
1,69,31.5,99,55,121,1149,15,4
1,62,8.0,108,64,211,1385,30,10
1,86,27.0,179,98,209,1327,9,2
1,53,19.0,42,64,120,962,26,9
0,1,0.0,0,1,0,0,48,21
1,80,22.4,130,76,235,1440,19,9
1,27,14.3,38,13,87,1074,28,12
0,27,2.0,39,1,63,754,37,14
1,69,19.1,111,49,184,1544,25,5
0,35,9.5,23,39,114,890,30,16
0,1,0.2,0,1,0,16,48,18
1,76,10.3,105,90,132,1298,19,11
1,69,16.0,132,67,153,1683,14,5
0,65,13.6,55,44,145,1477,27,11
0,20,4.5,6,1,36,1042,34,17
1,56,14.9,70,67,96,905,26,8
0,26,6.3,35,19,91,898,29,14
1,57,5.4,47,57,134,905,19,6
0,11,10.8,60,1,78,646,34,9
0,5,0.0,0,1,0,411,39,17
1,93,24.9,133,97,199,1948,11,0
2,129,38.5,195,148,303,2224,1,0
0,19,9.6,5,7,36,705,37,16
0,33,16.7,55,31,39,944,31,14
0,1,0.0,0,1,19,475,39,17
1,106,23.9,141,108,239,1791,19,3
1,48,15.5,81,39,99,872,38,9
1,56,12.3,86,56,22,1139,18,6
0,34,13.4,46,23,155,653,26,13
0,30,12.0,14,9,77,1031,33,13
1,74,28.4,130,76,128,1248,14,7
1,51,18.5,61,52,139,1179,27,6
1,53,21.0,108,59,190,1284,22,8
0,46,16.0,9,27,134,1105,30,9
0,43,12.3,22,35,113,864,30,5
1,49,18.2,139,57,106,1325,27,9
0,56,18.9,75,57,131,1311,15,6
1,29,6.2,26,18,56,688,27,11
1,82,26.6,93,77,173,1743,21,4
1,88,21.2,135,83,159,1831,16,2
0,55,17.8,58,72,127,1041,17,12
0,51,18.7,108,40,119,1011,27,9
0,15,9.2,25,2,30,526,33,15
0,45,8.2,78,30,130,1023,27,9
0,70,22.0,98,74,135,1631,20,7
0,13,4.9,6,1,26,754,25,14
1,133,35.4,213,139,213,1885,1,0
1,53,19.7,107,52,191,1680,21,7
2,141,34.3,210,143,287,2510,1,0
1,69,15.4,103,65,147,1427,27,6
0,1,0.0,0,1,5,15,44,21
0,27,5.8,23,18,68,870,36,14
1,92,15.0,145,99,88,1272,9,5
0,78,15.8,135,82,208,1468,21,10
1,67,19.7,169,68,183,1728,20,6
0,17,7.6,0,1,42,579,36,17
1,20,10.1,42,15,67,929,28,12
1,60,16.0,98,64,134,1407,27,4
0,31,5.6,43,28,73,1240,33,7
1,50,14.5,83,32,106,1133,36,8
1,75,26.6,95,77,232,1890,15,6
0,39,11.8,75,53,72,1299,28,13
1,78,26.6,197,101,183,2082,6,0
1,91,19.2,158,111,218,1694,8,4
0,41,16.2,72,28,67,918,32,11
0,29,7.0,67,26,100,1312,37,14
1,69,11.9,113,59,166,1199,13,6
1,87,28.3,126,88,203,1770,7,10
0,42,7.3,33,35,21,1118,34,9
1,33,9.9,55,38,51,1109,38,10
1,27,9.5,44,13,54,898,34,11
1,55,17.4,86,70,96,1331,28,7
1,42,15.2,66,31,105,1324,22,12
0,20,0.9,41,1,13,882,30,18
1,76,25.9,163,76,186,1840,14,4
1,27,10.6,86,37,68,948,29,11
1,35,7.8,75,26,60,800,26,14
0,45,11.1,63,59,109,1434,34,10
1,81,19.5,122,75,148,1653,21,4
0,28,9.6,30,10,72,949,26,13
1,71,17.2,137,54,175,1554,27,3
1,81,24.2,112,88,190,1717,15,5
0,14,0.2,0,1,36,373,45,15
0,1,0.4,14,1,0,493,38,12
2,115,38.3,212,120,275,2077,1,0
1,84,29.2,161,86,220,1903,2,7
0,20,3.9,9,20,95,516,22,19
0,40,8.7,32,46,28,875,34,11
0,38,10.8,89,16,151,1071,33,11
0,60,9.4,87,47,138,1533,25,10
0,64,14.7,116,69,170,1413,21,5
1,74,26.8,87,78,160,1404,18,8
0,33,16.1,37,16,71,781,36,19
1,64,23.7,91,64,97,1312,25,5
1,56,18.7,100,50,198,1099,16,7
0,5,1.5,38,1,68,683,36,16
1,39,11.7,56,30,128,911,29,11
0,36,4.4,60,19,145,1416,23,13
2,121,26.4,228,116,210,1491,11,3
1,86,25.4,164,89,272,1792,14,16
0,71,24.5,78,55,132,1654,15,6
2,105,32.7,163,111,213,1966,9,0
0,1,0.0,0,1,0,157,49,19
2,131,35.5,210,152,302,2130,4,0
0,1,0.0,0,1,0,0,50,26
0,23,4.6,78,19,75,616,32,14
0,25,6.9,38,16,93,806,33,17
0,28,14.4,26,33,119,898,28,15
1,62,18.5,125,64,153,1636,18,15
0,13,7.1,0,1,49,591,30,15
1,45,19.5,88,44,99,1266,22,15
0,9,1.5,39,1,27,954,48,16
0,47,15.2,55,43,120,875,19,13
1,88,25.7,192,113,161,1681,13,9
0,17,2.0,20,11,23,1003,34,14
0,25,11.6,23,1,108,1248,34,7
0,61,14.4,106,56,154,1229,8,10
1,38,18.0,83,36,53,1165,21,10
0,31,6.1,52,21,86,1058,22,8
0,40,16.0,118,53,85,943,18,9
0,24,8.6,19,20,31,616,35,13
1,53,9.4,42,34,88,939,28,11
0,17,1.7,9,1,12,599,38,13
1,98,19.7,158,113,220,1721,23,2
1,53,15.3,84,49,132,1065,29,5
1,58,13.5,111,35,158,1119,20,3
1,49,12.8,82,31,110,1280,29,10
2,112,34.3,213,120,264,2306,7,0
2,108,21.6,186,121,244,1712,11,0
1,73,18.8,105,76,153,1693,25,9
0,38,0.0,24,26,84,1156,40,16
1,54,25.4,124,59,148,1452,22,8
1,79,34.6,161,100,194,1563,21,2
0,37,12.3,59,46,164,1247,27,13
0,58,18.2,83,53,186,1197,23,8
1,72,19.7,84,73,119,1443,21,8
0,19,13.6,0,3,57,556,36,12
1,92,23.4,124,84,186,1736,10,8
1,93,24.4,139,108,164,1475,14,1
2,85,19.0,168,81,188,1687,17,2
1,63,24.2,185,67,212,1891,13,1
0,1,0.2,0,1,11,443,48,19
0,19,11.2,67,1,106,682,27,10
0,29,10.0,65,29,119,1160,36,6
0,34,7.3,65,41,104,727,28,14
1,88,31.6,154,87,169,1788,21,11
0,60,23.1,110,42,98,1381,22,9
1,47,17.7,66,65,109,1286,29,5
1,60,17.4,97,53,112,1404,18,13
0,14,12.3,30,10,59,1049,37,8
1,27,6.9,101,22,84,984,32,15
1,115,34.4,184,122,243,2097,1,0
0,42,8.5,38,31,144,1226,25,14
2,95,30.1,92,108,259,1523,8,2
1,57,12.8,75,59,139,1048,18,10
0,23,0.0,21,12,85,1159,28,13
0,28,7.1,55,11,139,1082,34,17
0,1,2.7,0,1,0,743,35,9
1,59,16.7,126,60,152,1378,16,10
1,67,20.0,103,76,147,1226,15,11
1,37,13.4,71,43,83,1021,26,9
1,87,27.5,143,90,199,1703,6,7
2,97,23.7,137,94,227,1673,8,4
0,17,0.6,23,15,53,900,33,13
1,42,15.2,69,38,125,1459,16,5
0,21,9.9,49,18,38,607,39,15
1,60,22.3,119,59,163,1282,16,8
0,35,14.7,52,31,85,1352,26,10
2,128,31.6,195,136,281,1983,7,0
1,90,28.8,184,101,206,1765,18,5
1,99,32.3,162,113,199,2038,5,2
0,48,12.8,70,48,116,889,28,10
1,97,19.5,145,92,170,1699,9,8
1,70,16.2,142,85,168,1444,19,8
1,66,23.2,110,62,149,1407,24,9
1,99,30.9,171,106,233,1856,15,0
1,42,18.6,98,39,102,704,27,16
1,42,9.1,46,27,159,1265,28,15
1,49,12.5,78,43,119,1446,24,9
0,60,25.7,76,60,126,1434,21,10
0,1,5.3,0,1,12,599,36,15
0,45,14.8,77,26,113,843,29,12
1,32,12.2,109,19,110,1359,21,17
1,68,15.4,132,75,144,1428,23,7
0,37,15.9,82,25,108,800,34,12
0,1,1.0,0,3,59,512,38,17
2,101,19.6,172,104,204,2056,6,2
0,32,4.7,37,27,59,1030,38,12
1,66,20.8,147,68,205,1683,19,4
0,1,6.9,21,1,50,525,43,20
1,106,20.1,136,99,258,1819,5,5
0,45,11.2,121,16,76,1326,24,16
1,65,15.6,140,49,114,1461,11,6
0,43,2.2,26,20,53,930,30,16
1,65,22.7,92,50,145,1594,15,8
1,29,11.5,62,14,88,926,27,9
0,52,19.1,73,47,114,987,21,3
1,47,9.2,75,52,114,1065,30,15
0,22,5.6,34,11,52,1236,43,13
1,70,20.9,141,69,210,1703,21,9
1,49,20.5,79,56,195,1304,26,6
0,19,9.7,17,8,33,466,33,14
1,79,14.3,149,73,204,1803,20,9
1,60,15.2,113,67,117,1248,20,1
1,41,10.9,77,45,128,1392,36,17
0,53,16.6,106,55,157,1207,30,7
0,13,3.0,0,1,0,649,41,17
1,54,13.3,114,55,83,1013,27,18
1,24,13.4,29,7,93,730,29,11
1,77,19.0,76,74,183,1692,10,6
0,47,12.3,101,46,64,1357,38,10
0,46,10.0,61,31,141,1210,17,11
1,55,12.6,81,55,156,906,22,11
1,49,6.3,60,35,140,1421,25,8
0,3,0.0,24,1,67,738,38,14
1,77,22.9,72,67,193,1497,9,0
1,91,32.1,133,90,223,1695,7,0
0,28,14.1,86,5,69,1242,32,13
1,69,27.0,97,74,135,1469,18,7
2,139,40.9,269,161,294,2501,1,0
1,70,26.1,115,65,116,1118,28,6
1,37,9.9,85,31,103,880,34,12
0,24,6.3,71,23,61,1001,30,14
0,15,5.1,58,1,74,737,29,16
2,82,27.2,171,102,203,1390,23,5
1,29,14.6,60,21,123,989,24,4
1,85,32.5,106,84,151,1702,6,3
1,15,1.4,31,1,85,994,26,7
0,2,10.3,0,1,6,241,39,20
0,6,1.5,19,1,13,503,39,17
1,53,11.3,64,73,67,1060,36,7
1,48,16.3,32,35,92,1059,23,13
0,10,0.8,78,1,96,878,33,15
0,43,19.0,49,22,107,994,33,6
0,4,0.0,18,1,33,301,48,12
0,2,7.5,2,1,0,267,46,16
0,24,7.1,13,8,73,590,33,14
0,12,2.8,12,1,66,401,45,13
1,52,17.1,92,34,122,799,25,7
1,101,25.6,144,118,259,1580,16,7
1,39,18.6,46,19,66,717,25,5
1,82,23.3,129,92,205,1436,21,4
0,45,12.0,66,43,165,936,30,14
1,70,21.0,92,78,160,1106,6,9
0,14,6.5,22,1,80,913,30,15
0,53,10.9,100,38,139,1185,29,11
0,12,10.8,1,5,45,639,32,8
1,50,11.1,87,53,129,1213,16,12
0,28,14.7,18,5,67,1135,27,10
0,18,2.9,40,17,42,367,32,16
1,91,28.7,143,107,206,1465,10,1
0,10,5.2,31,1,30,335,46,11
1,27,6.3,72,21,68,911,20,12
1,71,22.8,115,67,153,1115,17,13
1,92,24.1,97,81,164,1929,20,4
0,39,16.5,34,23,188,1072,17,15
1,70,18.2,93,70,140,1835,21,12
1,63,13.3,66,66,99,1458,22,16
1,77,35.6,142,64,190,1834,18,7
0,33,11.6,60,28,81,1074,36,15
0,1,7.8,0,1,23,752,46,14
2,104,33.1,133,141,276,2187,10,0
0,37,13.3,63,21,88,823,23,14
1,62,14.6,111,54,166,1152,25,9
0,25,9.9,84,22,94,801,34,13
1,72,22.3,129,61,208,1094,24,6
1,64,24.5,129,59,223,1588,19,3
0,2,7.6,0,1,91,680,42,16
0,41,11.8,105,31,97,1232,26,13
1,73,19.3,88,95,158,1733,23,14
2,104,31.2,122,106,246,2160,12,7
1,57,11.9,66,74,153,1373,31,13
0,27,1.3,43,1,94,1002,32,10
0,46,19.1,71,57,80,1316,28,9
0,48,7.3,34,44,109,1100,28,9
0,49,20.3,43,30,109,963,22,15
0,29,0.0,0,19,26,689,43,16
1,74,15.7,130,93,180,1678,18,8
0,54,11.0,76,41,67,1021,16,8
0,1,0.0,7,1,0,511,47,17
1,56,18.0,118,69,102,1451,18,4
0,32,4.0,27,30,29,926,30,14
1,90,26.8,98,108,206,1835,7,3
1,27,12.1,59,20,73,770,31,7
0,31,1.4,52,9,72,1161,30,18
1,86,32.3,139,91,198,1787,11,7
0,35,10.3,43,24,20,645,25,11
0,28,11.2,69,28,112,804,23,10
1,59,15.4,111,67,152,1292,22,10
1,64,24.0,80,60,43,1311,20,8
0,35,9.1,56,16,96,1774,41,11
0,6,5.4,0,1,69,866,34,10
1,51,19.7,88,62,202,1267,8,9
1,66,16.8,115,55,210,1466,12,7
1,59,13.3,103,56,70,1405,21,5
1,43,7.6,113,48,75,1487,12,11
1,25,11.4,70,16,86,857,29,15
2,96,24.5,194,99,232,1864,5,0
0,29,4.0,2,18,69,400,41,11
0,41,9.8,35,44,96,1253,26,9
1,86,27.3,110,75,230,1283,11,1
0,56,17.2,82,69,179,1521,18,8
1,33,10.0,86,25,25,1049,29,11
1,35,7.4,45,6,44,767,33,12
0,1,0.7,28,3,44,546,34,15
1,60,19.4,127,72,241,1124,24,8
0,17,0.3,15,10,105,657,43,14
1,49,16.3,51,26,152,1030,20,9
1,39,11.7,122,46,76,1237,21,6
0,46,11.5,49,44,89,1008,35,12
1,31,12.9,107,29,165,1367,24,14
0,45,20.5,72,42,86,816,28,10
1,83,13.7,94,65,199,1622,22,6
1,39,17.2,76,43,140,1112,26,11
1,70,17.2,81,78,193,1350,22,7
0,1,0.0,0,1,46,537,36,13
0,22,6.2,74,14,72,782,32,15
0,42,16.4,53,29,73,748,30,16
0,47,10.8,64,58,87,906,32,16
0,19,11.0,16,12,88,1027,28,13
0,36,14.9,8,15,78,906,27,12
1,73,17.9,132,68,192,1206,17,10
2,118,31.2,137,133,226,2165,5,0
0,59,17.8,133,72,83,1374,19,4
0,13,5.0,0,1,73,438,33,18
0,30,10.0,33,24,99,1207,35,12
1,61,21.1,94,52,110,1209,18,10
0,38,9.5,65,32,69,664,30,13
0,53,11.7,71,44,71,861,32,13
1,96,26.4,147,113,162,1846,6,4
1,56,20.7,44,28,110,915,29,6
1,77,27.4,170,76,162,1303,17,0
0,34,12.8,38,28,133,1124,34,7
0,47,7.0,72,36,99,953,40,10
0,9,2.4,13,1,48,736,40,13
1,85,28.5,165,72,166,1923,19,6
2,124,26.7,165,135,216,2282,7,6
1,55,12.6,102,43,98,1259,22,12
0,21,9.7,23,3,0,486,32,18
1,56,17.5,69,46,136,1233,19,11
1,38,9.9,80,32,143,1095,34,17
0,35,10.5,0,21,113,1591,27,13
0,1,5.2,0,1,56,490,39,17
0,3,2.2,22,1,0,816,35,15
1,106,35.3,147,116,266,2247,6,0
1,98,24.9,135,112,222,1831,13,2
1,46,16.4,16,44,120,921,24,6
1,89,20.8,175,95,197,1894,11,4
1,108,21.2,168,133,191,1921,21,4
1,99,22.2,127,85,222,1910,10,8
1,50,12.5,128,44,111,1226,30,9
1,116,26.1,178,120,258,1831,12,4
