대여일자,대여소번호,대여소명,대여구분코드,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간
Mar-20-2020,1363,1363. 보문4교 인근,정기,F,AGE_003,50,4252.55,39.26,169180.0,942
Jan-20-2020,913,913. 이마트 은평점,정기,M,AGE_003,83,4484.64,35.02,151010.0,1381
Mar-20-2020,1960,1960. 화광신문사 앞,정기,M,AGE_002,54,5933.94,46.26,199518.07,1261
Feb-20-2020,1017,1017. 맥도날드(길동),정기,F,AGE_007,1,24.24,0.16,680.0,3
Apr-20-2020,1952,1952. 천왕연지타운2단지 앞,정기,M,AGE_006,1,70.79,0.64,2750.0,24
Apr-20-2020,716,716.신정6동 주민센터 인근,정기,M,AGE_005,138,20267.72,166.57,717900.0,6465
Jan-20-2020,1418,1418. 새솔초등학교,일일(회원),F,AGE_005,1,161.05,1.35,5810.0,28
May-20-2020,1023,1023. 한국종합기술사옥 앞,정기,M,AGE_003,191,20152.12,146.94,633240.0,5665
Mar-20-2020,614,614. 용두동 사거리,일일(회원),F,AGE_001,1,38.48,0.52,2260.0,42
May-20-2020,1636,1636. 백병원 사거리 농협은행 앞,일일(회원),F,AGE_004,6,271.95,2.78,11940.0,232
Apr-20-2020,1839,1839. 수출의 다리 아래,일일(회원),M,AGE_001,1,0.0,0.0,0.0,18
Apr-20-2020,1248,1248. 방이초등학교,정기,F,AGE_005,52,1106.86,11.52,49710.0,2911
Jan-20-2020,766,766. 신목동역 3번출구,정기,M,AGE_006,12,744.96,5.65,24390.0,146
Mar-20-2020,1211,1211. 방이삼거리,정기,M,AGE_002,183,24872.1,199.77,861047.27,4668
Feb-20-2020,714,714. 한국SGI 양천문화회관 앞,정기,M,AGE_003,13,644.34,5.32,22930.0,159
Feb-20-2020,102,102. 망원역 1번출구 앞,정기,F,AGE_007,1,12.55,0.11,480.0,2
May-20-2020,2646,2646.레이클펠리스101동앞,일일(회원),M,AGE_001,1,0.0,0.0,0.0,26
Mar-20-2020,355,355. 서울사대부속초교 앞,정기,F,AGE_006,16,469.07,4.48,19320.0,154
Apr-20-2020,230,230. 영등포구청역 1번출구,일일(회원),F,AGE_003,27,3739.8,36.41,156970.0,1124
Feb-20-2020,1052,1052. 리싸이클시티,정기,F,AGE_003,4,142.6,1.29,5540.0,56
May-20-2020,2385,2385. 학동역,정기,F,AGE_005,3,58.37,0.49,2100.0,73
May-20-2020,563,563. 성동세무서 건너편,일일(회원),M,AGE_007,1,0.0,0.0,0.0,97
May-20-2020,169,169. 북가좌 삼거리,정기,M,AGE_003,54,4292.74,34.42,148440.0,1073
Apr-20-2020,1634,1634. 당고개공원 대여소,일일(회원),F,AGE_005,2,159.59,1.44,6200.0,54
Mar-20-2020,502,502. 뚝섬유원지역 1번출구 앞,단체,M,AGE_003,6,137.6,1.11,4760.0,203
May-20-2020,468,468.웨스틴 조선호텔,정기,F,AGE_003,6,0.0,0.0,0.0,265
Jan-20-2020,2801,2801. 대륭포스트타워1차,정기,M,AGE_004,21,4875.8,36.46,157140.0,520
Mar-20-2020,1503,1503. 이디야 커피 수유역점 앞,일일(회원),F,AGE_003,13,2580.72,25.39,109438.04,1029
May-20-2020,2701,2701. 마곡나루역 5번출구 뒤편,정기,M,AGE_002,353,501676.19,3310.55,14269668.65,6295
Jan-20-2020,1015,1015. 샛마을 근린공원,정기,M,AGE_004,12,598.79,4.87,20970.0,146
Mar-20-2020,2389,2389. 경기여자고등학교 후문 (삼성로3길 입구),일일(회원),M,AGE_003,5,1224.26,9.45,40700.0,327
Feb-20-2020,126,126. 서강대 후문 옆,일일(회원),F,AGE_005,1,274.39,2.47,10660.0,93
Mar-20-2020,1267,1267. 올림픽공원 남2문 앞,단체,F,AGE_004,12,1582.54,18.13,78140.0,527
Feb-20-2020,1956,1956. 도야미리숯불갈비 앞,일일(회원),M,AGE_005,1,432.99,3.62,15620.0,92
Feb-20-2020,1334,1334. 석관동주민센터 앞,정기,F,AGE_001,17,315.13,3.92,16930.0,92
Mar-20-2020,2373,2373. 개포동역 사거리,정기,M,AGE_005,23,7933.94,63.05,271830.0,876
Jan-20-2020,1518,1518. SK telecom(수유직영점) 앞,정기,M,AGE_002,43,7995.54,69.85,301110.0,554
May-20-2020,2646,2646.레이클펠리스101동앞,일일(회원),M,AGE_002,6,0.0,0.0,0.0,104
Mar-20-2020,1137,1137. 등촌2동주민센터,정기,M,AGE_002,39,8954.04,80.83,348290.0,800
Apr-20-2020,1023,1023. 한국종합기술사옥 앞,정기,M,AGE_001,1,0.0,0.0,0.0,13
May-20-2020,1352,1352. e 편한세상 보문아파트 내,정기,M,AGE_005,3,144.27,1.17,5060.0,34
Feb-20-2020,446,446. 상명대입구,일일(회원),M,AGE_004,1,442.53,3.46,14900.0,113
Apr-20-2020,1195,1195. 코오롱One&Only타워,정기,F,AGE_002,60,1779.81,18.3,78830.0,1284
Mar-20-2020,1320,1320. LG베스트샵 종암점,정기,M,AGE_001,9,570.59,4.91,21130.0,252
Jan-20-2020,1407,1407. 먹골역 1번출구 뒤,정기,M,AGE_002,36,3357.94,25.61,110440.0,479
May-20-2020,1630,1630. 수연빌딩 앞,일일(회원),F,AGE_004,1,0.0,0.0,0.0,51
Apr-20-2020,942,942. 상림마을 생태공원,정기,F,AGE_004,27,1302.03,12.14,52230.0,738
Mar-20-2020,438,438. 성산2-1 공영주차장,일일(회원),M,AGE_004,3,447.4,3.8,16400.0,140
Apr-20-2020,760,760. 잣절보도육교 아래,정기,F,AGE_004,32,3567.82,34.32,147970.0,723
Feb-20-2020,568,568. 청계8가사거리 부근,일일(회원),M,AGE_002,21,2219.46,18.01,77650.0,533
Mar-20-2020,2203,2203. 청계산입구역 2번출구,정기,M,AGE_005,8,1346.0,10.55,45450.0,230
Jan-20-2020,173,173. 서대문역 8번출구 앞,정기,F,AGE_003,3,267.44,2.41,10390.0,60
May-20-2020,1366,1366. 일신초등학교 옆,일일(회원),F,AGE_003,3,1361.52,14.77,63670.0,149
Mar-20-2020,431,431. 청계천 영도교,정기,F,AGE_002,93,6621.12,71.92,309860.0,2628
Apr-20-2020,1916,1916. 구로중학교앞,일일(회원),F,AGE_002,14,1959.6,19.75,85160.0,962
Jan-20-2020,141,141. 연대 대운동장 옆,정기,M,AGE_001,1,58.69,0.53,2280.0,25
May-20-2020,2219,"2219. 고속터미널역 8-1번, 8-2번 출구 사이",정기,M,AGE_003,308,40804.09,319.05,1375020.0,12690
Apr-20-2020,403,403. 부엉이공원 앞,일일(회원),F,AGE_004,2,208.66,2.47,10640.0,261
Feb-20-2020,1119,1119. 염창동 한마음아파트앞(염창동 빛나는 음악학원앞),정기,F,AGE_002,40,4582.43,47.06,202810.0,1255
May-20-2020,663,663. 외대앞역 4번출구,정기,M,AGE_004,32,6290.49,53.2,229330.0,1141
Feb-20-2020,2504,2504. 신사역 4번출구 뒤,정기,M,AGE_003,53,6204.76,49.83,214710.0,1646
Apr-20-2020,622,622. 전농사거리 교통섬,단체,F,AGE_004,3,58.93,0.58,2480.0,41
Mar-20-2020,1714,1714. 도봉문화정보도서관 삼거리,정기,F,AGE_003,3,137.95,1.54,6610.0,56
Jan-20-2020,1029,1029. 롯데 시네마,정기,M,AGE_001,1,26.76,0.25,1090.0,6
May-20-2020,2239,2239.교대역 6번출구,일일(회원),M,AGE_002,8,250.68,1.79,7720.0,370
Apr-20-2020,2329,2329. 르네상스호텔사거리 역삼지하보도 2번출구,일일(회원),M,AGE_002,3,664.93,4.3,18510.0,134
Jan-20-2020,1054,1054. 말우물 어린이 공원,일일(회원),M,AGE_004,2,1363.19,12.28,52960.0,124
May-20-2020,544,544. 광남중학교,정기,M,AGE_004,97,8491.7,69.32,298960.0,4242
Feb-20-2020,1210,1210. 롯데월드타워(잠실역2번출구 쪽),정기,F,AGE_006,5,756.83,6.29,27140.0,83
Jan-20-2020,1691,1691. 노원정보도서관,일일(회원),F,AGE_004,2,42.94,0.41,1750.0,12
Mar-20-2020,733,733. 신정이펜하우스314동,단체,F,AGE_003,2,76.71,0.69,2980.0,102
Jan-20-2020,2702,2702. 마곡 엠밸리2단지,정기,M,AGE_003,63,6479.18,50.97,219730.0,767
Mar-20-2020,1826,1826. 한신코아 앞,단체,M,AGE_002,3,419.17,3.36,14500.0,100
Mar-20-2020,2108,2108. 은천치안센터,정기,F,AGE_003,15,1282.5,13.25,57060.0,483
Jan-20-2020,1966,1966. 한마을아파트 정문상가,일일(회원),F,AGE_006,1,0.0,0.0,0.0,3
Feb-20-2020,2398,2398. 더라움,일일(회원),M,AGE_002,4,1863.54,14.31,61670.0,111
Mar-20-2020,1534,1534. 북서울 꿈의 숲 동문,정기,F,AGE_003,28,4072.93,38.62,166520.0,827
Mar-20-2020,943,943. 은평구청 보건소,정기,M,AGE_004,46,7726.45,61.19,263610.0,780
Mar-20-2020,530,530. 청계벽산아파트 앞,정기,M,AGE_006,34,3503.53,28.14,121244.99,676
May-20-2020,1911,1911. 구로디지털단지역 앞,일일(회원),M,AGE_005,1,0.0,0.0,0.0,108
Feb-20-2020,807,807. 서울역 12번 출구 앞,정기,M,AGE_008,1,67.76,0.58,2480.0,12
May-20-2020,244,244. 영등포삼환아파트 앞,일일(회원),M,AGE_002,38,3736.38,31.0,133580.0,1228
Apr-20-2020,555,555. 구의3동주민센터,일일(회원),F,AGE_002,29,7792.49,72.5,312410.0,1291
Apr-20-2020,1264,1264. 천호역 10번 출구 앞,정기,F,AGE_007,2,173.75,1.57,6750.0,51
Mar-20-2020,221,221. 여의도초교 앞,단체,M,AGE_003,2,697.68,4.44,19150.0,242
Feb-20-2020,362,362. 청계8가 사거리,일일(회원),M,AGE_003,8,1998.68,14.47,62290.0,201
Feb-20-2020,1011,1011. LIGA 아파트 앞,일일(회원),M,AGE_004,8,395.33,3.22,13840.0,85
Feb-20-2020,2387,2387. 래미안강남힐즈 사거리,정기,M,AGE_003,8,449.02,3.41,14700.0,101
Apr-20-2020,1984,1984. 구로구청,일일(회원),M,AGE_004,5,1006.81,7.78,33530.0,349
Jan-20-2020,1620,1620. 중계동 노원구민체육센터 옆(중1-2),정기,M,AGE_002,48,3558.37,26.01,112270.0,463
Feb-20-2020,1012,1012. 서울 상운차량,정기,M,AGE_002,29,1122.81,9.72,41990.0,312
May-20-2020,427,427. 성산시영아파트,일일(회원),F,AGE_002,27,3000.64,32.5,140080.0,1246
Jan-20-2020,624,624. 전농동 동아아파트 앞,일일(회원),F,AGE_002,2,414.64,4.39,18940.0,123
Feb-20-2020,2205,2205. 내곡3단지 어린이공원 앞,단체,F,AGE_004,4,664.07,6.82,29420.0,496
Jan-20-2020,829,829. 베르가모앞,일일(회원),F,AGE_002,20,1911.94,19.25,82980.0,614
Jan-20-2020,421,421. 마포구청 앞,일일(회원),F,AGE_004,2,161.33,1.71,7360.0,125
Apr-20-2020,110,110. 사천교,일일(회원),M,AGE_004,7,2004.86,15.97,68820.0,481
Jan-20-2020,274,274. 영등포역지하쇼핑센타 5번출구,일일(회원),F,AGE_003,4,816.47,8.05,34720.0,264
May-20-2020,516,516. 광진메디칼 앞,정기,F,AGE_007,1,0.0,0.0,0.0,11
May-20-2020,939,939. 은평구청 교차로,정기,M,AGE_006,4,48.29,0.41,1770.0,50
Apr-20-2020,416,416. 상암월드컵파크 1단지 교차로,일일(회원),M,AGE_005,1,350.66,2.93,12650.0,142
Feb-20-2020,1639,1639. 희성오피앙,정기,F,AGE_005,2,66.53,0.56,2400.0,15
Jan-20-2020,1678,1678. 성서대학교 밀알관,정기,F,AGE_004,2,104.23,0.99,4300.0,29
May-20-2020,848,848. 삼각지12번 출구,정기,M,AGE_008,1,0.0,0.0,0.0,7
Apr-20-2020,254,254. 도림신협 앞,일일(비회원),F,AGE_008,1,281.34,2.54,10930.0,66
May-20-2020,1196,1196. 서울식물원(문화센터) 건너편,정기,F,AGE_002,74,5130.94,54.29,233910.0,1002
Jan-20-2020,2701,2701. 마곡나루역 5번출구 뒤편,일일(회원),F,AGE_006,1,278.2,3.13,13510.0,122
Feb-20-2020,537,537. 한양대후문역 부근,일일(회원),M,AGE_002,35,4158.9,34.19,147400.0,1255
Jan-20-2020,260,260. 여의도 마리나선착장 앞,정기,F,AGE_007,1,40.19,0.34,1450.0,9
Apr-20-2020,934,934. 신사동 성당,정기,F,AGE_002,48,8294.06,83.57,360230.0,1331
Mar-20-2020,1994,1994. 삼성전자 물류센터 앞,일일(회원),F,AGE_005,1,236.8,2.39,10310.0,80
Jan-20-2020,1933,1933. 개봉푸르지오아파트 상가,정기,M,AGE_002,58,12599.85,84.5,364070.0,1204
Jan-20-2020,2000,2000. 신도림4차 e편한세상 아파트 1109동 앞,일일(회원),M,AGE_002,4,736.27,5.22,22490.0,136
Apr-20-2020,1418,1418. 새솔초등학교,일일(회원),M,AGE_003,2,84.15,0.99,4250.0,84
Apr-20-2020,1662,1662. 노원역7번출구,단체,M,AGE_004,2,272.21,2.38,10260.0,54
Jan-20-2020,2373,2373. 개포동역 사거리,정기,M,AGE_002,50,5150.94,43.61,188070.0,1457
May-20-2020,270,270. 증권거래소후문교차로,일일(회원),M,AGE_004,2,40.69,0.32,1370.0,51
May-20-2020,1137,1137. 등촌2동주민센터,일일(회원),M,AGE_006,1,178.89,1.61,6950.0,44
Jan-20-2020,2165,2165. JK장평타워,일일(회원),M,AGE_003,1,86.8,0.64,2740.0,26
Jan-20-2020,2016,2016. 신대방삼거리역 3번출구쪽,일일(회원),F,AGE_002,5,597.08,5.67,24430.0,258
Jan-20-2020,1363,1363. 보문4교 인근,정기,M,AGE_005,5,98.59,0.89,3830.0,28
Apr-20-2020,159,159. 이대역 4번 출구,정기,F,AGE_003,14,1340.56,12.58,54210.0,517
Apr-20-2020,720,720. 서울강월초등학교 앞,정기,M,AGE_004,13,220.34,2.02,8740.0,400
Apr-20-2020,2312,2312. 청담역 13번 출구 앞,정기,M,AGE_006,3,512.03,4.56,19640.0,199
Mar-20-2020,2231,2231. 삼성타운(삼성생명) A동 맞은편,일일(회원),M,AGE_005,3,699.3,4.84,20880.0,130
Apr-20-2020,454,454. 종로2가 버스정류장 (종각방향),일일(회원),M,AGE_001,1,0.0,0.0,0.0,39
Jan-20-2020,2620,2620. 송파나루역 4번 출구옆,일일(회원),M,AGE_002,23,1889.6,14.49,62380.0,501
Jan-20-2020,625,625. 답십리초등학교 앞(현대시장 옆),정기,M,AGE_007,4,61.56,0.63,2680.0,16
May-20-2020,1865,1865.금천구청앞(M빌딩),정기,F,AGE_002,1,0.0,0.0,0.0,17
Mar-20-2020,567,567. 성수역 2번출구 앞,정기,F,AGE_004,35,3481.92,33.87,146010.0,938
Apr-20-2020,1203,1203. 밀리아나2빌딩 앞,정기,M,AGE_003,133,21716.51,160.36,691090.0,3405
Jan-20-2020,2306,2306. 압구정역 2번 출구 옆,정기,M,AGE_001,1,50.97,0.46,1980.0,60
Mar-20-2020,1172,1172. 가양3동 주민센터,정기,M,AGE_001,1,159.89,0.99,4250.0,22
Apr-20-2020,2058,2058. 노량진동 맥도널드앞,단체,F,AGE_002,6,292.31,2.74,11830.0,214
May-20-2020,1447,1447. 면목역 3번출구,정기,F,AGE_002,141,4627.14,50.21,216460.0,3960
May-20-2020,3543,3543. 세종대학교(학술정보원),일일(회원),F,AGE_002,9,180.92,2.0,8620.0,351
Mar-20-2020,1957,1957. 구일고등학교 정문 ,일일(회원),F,AGE_003,8,1413.69,14.83,63870.0,380
Apr-20-2020,1642,1642. 서울여대 남문,일일(회원),F,AGE_005,1,151.11,1.48,6360.0,47
Feb-20-2020,279,279. 영등포 푸르지오 아파트,일일(회원),M,AGE_003,7,1043.72,8.5,36690.0,231
Apr-20-2020,626,626. 군자교 서측 녹지대,일일(회원),F,AGE_001,9,809.97,8.54,36780.0,494
Jan-20-2020,500,500. 어린이대공원역 3번출구 앞,일일(회원),F,AGE_002,30,2282.91,21.59,93140.0,446
May-20-2020,1506,1506. 강북문화예술회관,정기,F,AGE_006,7,39.5,0.41,1750.0,141
Jan-20-2020,320,320. 을지로입구역 4번출구 앞,정기,F,AGE_007,7,235.52,2.11,9150.0,222
Apr-20-2020,1514,1514. 강북구청 사거리 버스정류소 앞,정기,M,AGE_004,69,8465.05,73.16,315280.0,2576
Apr-20-2020,2054,2054. 삼익아파트,정기,F,AGE_002,41,1953.55,20.12,86710.0,1371
Apr-20-2020,1183,1183. KC 대학교,일일(회원),M,AGE_002,2,414.38,3.06,13220.0,112
Apr-20-2020,956,956. 응암시장교차로,정기,F,AGE_005,33,2806.83,31.09,134040.0,1536
May-20-2020,2342,2342. 대청역 1번출구  뒤,일일(회원),M,AGE_001,6,1003.01,8.56,36890.0,203
Mar-20-2020,2329,2329. 르네상스호텔사거리 역삼지하보도 2번출구,일일(회원),F,AGE_003,2,373.9,4.06,17520.0,145
Mar-20-2020,2148,2148. 낙성대역 3번출구 뒤,일일(회원),F,AGE_002,15,2972.4,29.06,125290.0,809
May-20-2020,418,418. 월드컵경기장역 3번출구 옆,일일(회원),M,AGE_005,2,223.98,1.87,8080.0,150
Jan-20-2020,1684,1684. 태릉입구역 5번출구,일일(회원),M,AGE_005,1,291.2,2.22,9550.0,56
Jan-20-2020,2319,2319. 포스코4거리 서측(수협 삼성동 지점),일일(회원),F,AGE_003,1,118.01,1.38,5960.0,52
Apr-20-2020,374,374. 청구역 2번출구 앞,일일(회원),F,AGE_001,1,139.0,1.25,5400.0,77
Feb-20-2020,2038,2038. 동작역 7번출구,일일(회원),F,AGE_002,4,394.08,6.45,27800.0,227
May-20-2020,1332,1332. 석계역 5번출구 건너편,일일(회원),M,AGE_003,32,5382.8,44.99,193890.0,1377
May-20-2020,1637,1637. KT 노원점 건물 앞,정기,F,AGE_005,27,1366.25,16.27,70120.0,653
May-20-2020,3552,3552.서울숲 공영주차장앞,정기,M,AGE_001,1,0.0,0.0,0.0,42
Mar-20-2020,1729,1729. 파리바게트앞,정기,F,AGE_001,3,0.0,0.0,0.0,85
Jan-20-2020,2307,2307. 압구정 한양 3차 아파트,정기,F,AGE_005,2,361.39,3.34,14360.0,124
May-20-2020,505,505. 자양사거리 광진아크로텔 앞,단체,F,AGE_002,2,1713.65,18.25,78680.0,110
Jan-20-2020,1316,1316. 고려사대부속중고 건너편 ,정기,M,AGE_003,3,531.19,4.09,17660.0,101
Feb-20-2020,1047,1047. 건강보험 강동지사kt,일일(회원),M,AGE_001,5,641.32,5.42,23340.0,110
Apr-20-2020,1051,1051. 양지시장 (용성약국앞) 입구,일일(회원),F,AGE_004,5,374.52,3.7,15960.0,286
May-20-2020,734,734. 신트리공원 입구,일일(회원),M,AGE_002,30,1315.12,10.28,44350.0,938
Jan-20-2020,1243,1243. 문정 법조단지7,정기,F,AGE_004,17,1064.42,10.26,44220.0,595
Mar-20-2020,1295,1295. 잠실역 8번출구,정기,M,AGE_001,4,941.29,8.16,35170.0,98
Jan-20-2020,2609,2609. 보성중고등학교 후문 앞,정기,M,AGE_001,4,196.98,1.55,6690.0,59
Feb-20-2020,1131,1131. 꿈돌이공원 앞,일일(회원),M,AGE_001,1,85.09,0.73,3160.0,23
May-20-2020,585,585. 성수2가1동 공영주차장 인근,정기,F,AGE_003,151,4017.76,42.31,182320.0,5023
Feb-20-2020,2221,2221.하나은행 방배동지점 앞,정기,F,AGE_003,10,603.69,5.62,24210.0,200
Mar-20-2020,1036,1036. 고덕동 주양쇼핑,일일(회원),F,AGE_002,20,2424.11,23.26,100190.0,865
Mar-20-2020,1737,1737. 하나은행 (창동점),일일(회원),M,AGE_003,7,554.97,4.59,19730.0,155
Jan-20-2020,1431,1431. 중랑구청 사거리,일일(회원),M,AGE_001,12,1725.43,13.66,58850.0,377
Feb-20-2020,2247,2247.섬들근린공원,정기,M,AGE_005,24,4384.96,34.08,146850.0,545
Apr-20-2020,2000,2000. 신도림4차 e편한세상 아파트 1109동 앞,정기,M,AGE_004,44,5463.65,44.5,191880.0,1265
May-20-2020,2742,2742.강서구민올림픽체육센터,정기,M,AGE_003,1,0.0,0.0,0.0,9
Apr-20-2020,815,815. LIG강촌아파트 103동앞,단체,M,AGE_003,3,2111.99,17.67,76190.0,159
Feb-20-2020,1741,1741. 제일강산수산입구,정기,M,AGE_001,1,46.11,0.33,1420.0,6
Mar-20-2020,844,844. 이촌2동 동원베네스트 아파트 앞,정기,F,AGE_003,13,3434.39,38.27,164930.0,676
May-20-2020,220,220. 미성아파트 A동 앞,일일(회원),F,AGE_001,1,80.59,0.98,4240.0,26
Apr-20-2020,1540,1540. 가오리역,일일(비회원),F,AGE_008,1,21.36,0.19,830.0,8
Mar-20-2020,1665,1665. 양지근린공원앞,정기,M,AGE_005,12,1910.4,18.09,77920.0,146
Mar-20-2020,101,101. (구)합정동 주민센터,일일(회원),M,AGE_002,7,1012.87,8.27,35640.0,423
Jan-20-2020,1320,1320. LG베스트샵 종암점,정기,M,AGE_006,4,180.79,1.58,6790.0,42
Jan-20-2020,383,383. 신당역 12번 출구 뒤,정기,F,AGE_002,55,4565.59,43.49,187280.0,870
May-20-2020,1365,1365. 선잠단지 앞,정기,F,AGE_001,6,86.29,0.9,3890.0,45
May-20-2020,759,759. 보아스아파트 앞,일일(회원),F,AGE_002,2,33.68,0.44,1890.0,51
Jan-20-2020,1706,1706. 기업은행 앞,정기,M,AGE_001,2,189.07,1.3,5590.0,40
Mar-20-2020,348,348. 독립문역 사거리,정기,F,AGE_005,9,1981.53,18.85,81230.0,138
May-20-2020,431,431. 청계천 영도교,일일(회원),M,AGE_005,2,851.23,6.11,26330.0,132
Apr-20-2020,274,274. 영등포역지하쇼핑센타 5번출구,일일(회원),F,AGE_002,110,7968.38,81.64,351960.0,4319
Feb-20-2020,2102,2102. 봉림교 교통섬,일일(회원),F,AGE_003,22,4272.42,41.98,180880.0,1031
May-20-2020,1338,1338. 용문2교 옆,정기,M,AGE_005,2,286.74,2.58,11140.0,91
Mar-20-2020,1708,1708. 보건소사거리(다비치안경창동점),일일(회원),F,AGE_001,4,232.79,2.92,12610.0,125
Apr-20-2020,569,569. 응봉현대아파트 정류소,일일(회원),M,AGE_001,1,0.0,0.0,0.0,120
Apr-20-2020,641,641. 용두역 4번출구,일일(회원),F,AGE_006,1,16.22,0.15,630.0,13
May-20-2020,954,954. 은평뉴타운구파발9단지,일일(회원),M,AGE_004,6,53.1,0.59,2530.0,322
Apr-20-2020,1291,1291. 서울체육고등학교 앞,정기,F,AGE_005,11,1837.84,18.98,81870.0,368
