학교명,학년,학생수,교사수
가림초등학교,5,90,4
가림초등학교,6,91,5
가마초등학교,1,8,1
가마초등학교,2,13,1
가마초등학교,3,10,1
가마초등학교,4,14,1
가마초등학교,5,11,1
가마초등학교,6,10,1
가사초등학교,1,29,2
가사초등학교,2,22,2
가사초등학교,3,29,2
가사초등학교,4,24,2
가사초등학교,5,24,2
가사초등학교,6,24,2
가산초등학교,1,33,4
가산초등학교,2,54,6
가산초등학교,3,39,4
가산초등학교,4,46,4
가산초등학교,5,50,4
가산초등학교,6,53,6
가수원초등학교,1,60,3
가수원초등학교,2,70,4
가수원초등학교,3,50,3
가수원초등학교,4,81,4
가수원초등학교,5,98,5
가수원초등학교,6,89,4
가수초등학교,1,57,3
가수초등학교,2,61,3
가수초등학교,3,68,3
가수초등학교,4,85,3
가수초등학교,5,80,4
가수초등학교,6,102,5
가야초등학교,1,258,11
가야초등학교,2,245,11
가야초등학교,3,276,11
가야초등학교,4,272,13
가야초등학교,5,314,13
가야초등학교,6,307,13
가양초등학교,1,299,13
가양초등학교,2,316,13
가양초등학교,3,287,12
가양초등학교,4,272,12
가양초등학교,5,300,11
가양초등학교,6,282,11
가온초등학교,1,179,7
가온초등학교,2,179,9
가온초등학교,3,192,7
가온초등학교,4,186,7
가온초등학교,5,222,8
가온초등학교,6,203,8
가운초등학교,1,69,3
가운초등학교,2,37,2
가운초등학교,3,50,2
가운초등학교,4,55,2
가운초등학교,5,66,3
가운초등학교,6,79,4
가은초등학교,1,7,1
가은초등학교,2,12,1
가은초등학교,3,12,1
가은초등학교,4,7,1
가은초등학교,5,12,1
가은초등학교,6,12,1
가조초등학교,1,7,1
가조초등학교,2,9,1
가조초등학교,3,9,1
가조초등학교,4,9,1
가조초등학교,5,11,1
가조초등학교,6,12,1
가좌초등학교,1,120,5
가좌초등학교,2,133,6
가좌초등학교,3,144,8
가좌초등학교,4,150,6
가좌초등학교,5,183,8
가좌초등학교,6,175,9
가촌초등학교,1,257,11
가촌초등학교,2,285,12
가촌초등학교,3,248,10
가촌초등학교,4,234,10
가촌초등학교,5,192,7
가촌초등학교,6,165,7
가평마장초등학교,1,9,1
가평마장초등학교,2,10,1
가평마장초등학교,3,11,1
가평마장초등학교,4,9,2
가평마장초등학교,5,13,1
가평마장초등학교,6,13,1
가평초등학교,1,218,11
가평초등학교,2,219,12
가평초등학교,3,219,11
가평초등학교,4,221,10
가평초등학교,5,261,13
가평초등학교,6,237,11
가포초등학교,1,8,1
가포초등학교,2,4,1
가포초등학교,3,12,1
가포초등학교,4,11,1
가포초등학교,5,16,1
가포초등학교,6,18,2
가현초등학교,1,184,7
가현초등학교,2,190,7
가현초등학교,3,202,8
가현초등학교,4,212,8
가현초등학교,5,253,9
가현초등학교,6,257,10
가흥초등학교,1,7,1
가흥초등학교,2,9,1
가흥초등학교,3,10,1
가흥초등학교,4,5,1
가흥초등학교,5,2,1
가흥초등학교,6,9,1
각골초등학교,1,51,2
각골초등학교,2,58,2
각골초등학교,3,85,4
각골초등학교,4,57,3
각골초등학교,5,66,3
각골초등학교,6,83,4
각리초등학교,1,176,7
각리초등학교,2,191,8
각리초등학교,3,220,9
각리초등학교,4,219,9
각리초등학교,5,268,11
각리초등학교,6,252,11
각화초등학교,1,100,5
각화초등학교,2,101,5
각화초등학교,3,97,5
각화초등학교,4,73,3
각화초등학교,5,89,4
각화초등학교,6,82,5
간성초등학교,1,51,3
간성초등학교,2,40,2
간성초등학교,3,40,2
간성초등학교,4,54,3
간성초등학교,5,53,3
간성초등학교,6,55,4
간중초등학교,1,7,1
간중초등학교,2,6,1
간중초등학교,3,7,1
간중초등학교,4,5,1
간중초등학교,5,9,1
간중초등학교,6,14,2
갈곡초등학교,1,69,3
갈곡초등학교,2,71,3
갈곡초등학교,3,82,4
갈곡초등학교,4,86,4
갈곡초등학교,5,92,4
갈곡초등학교,6,116,6
갈곶초등학교,1,21,1
갈곶초등학교,2,23,1
갈곶초등학교,3,22,1
갈곶초등학교,4,25,1
갈곶초등학교,5,37,3
갈곶초등학교,6,35,3
갈담초등학교,1,27,2
갈담초등학교,2,29,2
갈담초등학교,3,28,2
갈담초등학교,4,34,4
갈담초등학교,5,37,3
갈담초등학교,6,42,4
갈래초등학교,1,2,1
갈래초등학교,2,7,1
갈래초등학교,3,12,2
갈래초등학교,4,10,1
갈래초등학교,5,15,1
갈래초등학교,6,9,1
갈매초등학교,1,247,9
갈매초등학교,2,248,9
갈매초등학교,3,271,11
갈매초등학교,4,238,9
갈매초등학교,5,247,9
갈매초등학교,6,219,9
갈뫼초등학교,1,68,3
갈뫼초등학교,2,77,4
갈뫼초등학교,3,76,3
갈뫼초등학교,4,86,4
갈뫼초등학교,5,74,3
갈뫼초등학교,6,77,3
갈산초등학교,1,6,1
갈산초등학교,2,12,1
갈산초등학교,3,10,1
갈산초등학교,4,11,1
갈산초등학교,5,14,1
갈산초등학교,6,12,1
갈원초등학교,1,6,1
갈원초등학교,2,6,1
갈원초등학교,3,9,1
갈원초등학교,4,3,1
갈원초등학교,5,11,1
갈원초등학교,6,14,2
갈전초등학교,1,165,8
갈전초등학교,2,156,7
갈전초등학교,3,153,7
갈전초등학교,4,160,7
갈전초등학교,5,165,8
갈전초등학교,6,169,7
갈천초등학교,1,10,1
갈천초등학교,2,10,1
갈천초등학교,3,11,1
갈천초등학교,4,9,1
갈천초등학교,5,7,1
갈천초등학교,6,7,1
갈현초등학교,1,6,1
갈현초등학교,2,10,1
갈현초등학교,3,13,1
갈현초등학교,4,8,1
갈현초등학교,5,12,1
갈현초등학교,6,9,2
감계초등학교,1,228,10
감계초등학교,2,222,9
감계초등학교,3,210,8
감계초등학교,4,188,8
감계초등학교,5,233,9
감계초등학교,6,193,8
감곡초등학교,1,55,5
감곡초등학교,2,44,4
감곡초등학교,3,50,5
감곡초등학교,4,57,4
감곡초등학교,5,41,4
감곡초등학교,6,45,5
감물초등학교,1,8,1
감물초등학교,2,3,1
감물초등학교,3,7,1
감물초등학교,4,12,1
감물초등학교,5,9,1
감물초등학교,6,15,2
감성초등학교,1,8,1
감성초등학교,2,14,2
감성초등학교,3,16,1
감성초등학교,4,16,1
감성초등학교,5,15,1
감성초등학교,6,12,1
감일초등학교,1,159,6
감일초등학교,2,196,7
감일초등학교,3,179,7
감일초등학교,4,155,6
감일초등학교,5,155,6
감일초등학교,6,138,6
감전초등학교,1,24,1
감전초등학교,2,26,3
감전초등학교,3,25,2
감전초등학교,4,20,1
감전초등학교,5,26,2
감전초등학교,6,25,2
감정초등학교,1,112,5
감정초등학교,2,143,6
감정초등학교,3,145,7
감정초등학교,4,121,5
감정초등학교,5,172,7
감정초등학교,6,152,7
감천초등학교,1,33,4
감천초등학교,2,44,5
감천초등학교,3,34,5
감천초등학교,4,41,4
감천초등학교,5,51,5
감천초등학교,6,79,7
감포초등학교,1,6,1
감포초등학교,2,16,1
감포초등학교,3,18,1
감포초등학교,4,15,1
감포초등학교,5,12,2
감포초등학교,6,23,1
갑룡초등학교,1,79,4
갑룡초등학교,2,90,5
갑룡초등학교,3,93,4
갑룡초등학교,4,88,5
갑룡초등학교,5,110,5
갑룡초등학교,6,91,4
강경중앙초등학교,1,6,1
강경중앙초등학교,2,3,1
강경중앙초등학교,3,10,1
강경중앙초등학교,4,5,1
강경중앙초등학교,5,7,1
강경중앙초등학교,6,9,1
강경황산초등학교,1,18,1
강경황산초등학교,2,28,3
강경황산초등학교,3,23,1
강경황산초등학교,4,25,1
강경황산초등학교,5,33,2
강경황산초등학교,6,41,2
강구초등학교,1,9,1
강구초등학교,2,7,1
강구초등학교,3,12,1
강구초등학교,4,16,1
강구초등학교,5,23,1
강구초등학교,6,37,3
강남초등학교,1,53,3
강남초등학교,2,64,3
강남초등학교,3,59,3
강남초등학교,4,75,3
강남초등학교,5,98,5
강남초등학교,6,82,5
강내초등학교,1,12,1
강내초등학교,2,4,1
강내초등학교,3,9,1
강내초등학교,4,15,1
강내초등학교,5,9,1
강내초등학교,6,21,2
강당초등학교,1,8,1
강당초등학교,2,11,1
강당초등학교,3,9,1
강당초등학교,4,9,1
강당초등학교,5,8,1
강당초등학교,6,9,1
강동초등학교,1,420,19
강동초등학교,2,476,20
강동초등학교,3,421,19
강동초등학교,4,417,18
강동초등학교,5,438,19
강동초등학교,6,387,18
강릉초등학교,1,64,4
강릉초등학교,2,83,4
강릉초등학교,3,75,3
강릉초등학교,4,70,3
강릉초등학교,5,92,4
강릉초등학교,6,92,5
강상초등학교,1,58,3
강상초등학교,2,64,3
강상초등학교,3,71,3
강상초등학교,4,73,3
강상초등학교,5,84,4
강상초등학교,6,89,5
강서초등학교,1,129,5
강서초등학교,2,154,6
강서초등학교,3,148,6
강서초등학교,4,147,7
강서초등학교,5,138,6
강서초등학교,6,143,7
강선초등학교,1,77,3
강선초등학교,2,84,4
강선초등학교,3,99,4
강선초등학교,4,89,4
강선초등학교,5,122,5
강선초등학교,6,119,6
강정초등학교,1,20,1
강정초등학교,2,6,1
강정초등학교,3,15,1
강정초등학교,4,14,1
강정초등학교,5,10,1
강정초등학교,6,16,1
강진동초등학교,1,6,1
강진동초등학교,2,6,1
강진동초등학교,3,8,1
강진동초등학교,4,11,1
강진동초등학교,5,16,2
강진동초등학교,6,18,2
강진중앙초등학교,1,83,5
강진중앙초등학교,2,107,6
강진중앙초등학교,3,114,6
강진중앙초등학교,4,98,4
강진중앙초등학교,5,109,4
강진중앙초등학교,6,139,7
강천초등학교,1,10,1
강천초등학교,2,11,1
강천초등학교,3,10,1
강천초등학교,4,14,1
강천초등학교,5,18,1
강천초등학교,6,14,2
강하초등학교,1,5,1
강하초등학교,2,14,1
강하초등학교,3,13,1
강하초등학교,4,10,1
강하초등학교,5,17,2
강하초등학교,6,20,1
강현초등학교,1,9,1
강현초등학교,2,8,1
강현초등학교,3,10,1
강현초등학교,4,10,1
강현초등학교,5,9,1
강현초등학교,6,12,2
강화초등학교,1,39,2
강화초등학교,2,29,2
강화초등학교,3,38,2
강화초등학교,4,49,2
강화초등학교,5,58,3
강화초등학교,6,68,4
개곡초등학교,1,15,1
개곡초등학교,2,21,1
개곡초등학교,3,11,1
개곡초등학교,4,15,1
개곡초등학교,5,14,1
개곡초등학교,6,16,1
개군초등학교,1,15,1
개군초등학교,2,14,1
개군초등학교,3,17,1
개군초등학교,4,22,1
개군초등학교,5,18,1
개군초등학교,6,22,2
개금초등학교,1,98,4
개금초등학교,2,110,5
개금초등학교,3,142,7
개금초등학교,4,89,4
개금초등학교,5,86,4
개금초등학교,6,100,4
개령서부초등학교,1,5,1
개령서부초등학교,2,12,1
개령서부초등학교,3,7,1
개령서부초등학교,4,9,1
개령서부초등학교,5,8,1
개령서부초등학교,6,15,2
개령초등학교,1,8,1
개령초등학교,2,13,1
개령초등학교,3,6,1
개령초등학교,4,12,1
개령초등학교,5,8,2
개령초등학교,6,8,1
개림초등학교,1,125,5
개림초등학교,2,138,6
개림초등학교,3,119,5
개림초등학교,4,148,7
개림초등학교,5,142,6
개림초등학교,6,131,5
개산초등학교,1,7,1
개산초등학교,2,4,1
개산초등학교,3,7,1
개산초등학교,4,9,1
개산초등학교,5,11,1
개산초등학교,6,17,2
개신초등학교,1,95,4
개신초등학교,2,111,5
개신초등학교,3,116,5
개신초등학교,4,124,5
개신초등학교,5,160,6
개신초등학교,6,158,7
개운초등학교,1,75,4
개운초등학교,2,95,4
개운초등학교,3,90,4
개운초등학교,4,82,4
개운초등학교,5,91,6
개운초등학교,6,111,5
개원초등학교,1,81,4
개원초등학교,2,85,4
개원초등학교,3,98,5
개원초등학교,4,98,4
개원초등학교,5,99,4
개원초등학교,6,97,4
개정초등학교,1,36,3
개정초등학교,2,26,2
개정초등학교,3,28,2
개정초등학교,4,34,2
개정초등학교,5,21,3
개정초등학교,6,21,2
개포초등학교,1,41,2
개포초등학교,2,48,2
개포초등학교,3,54,3
개포초등학교,4,40,3
개포초등학교,5,52,2
개포초등학교,6,43,2
개화초등학교,1,30,2
개화초등학교,2,34,3
개화초등학교,3,47,4
개화초등학교,4,49,3
개화초등학교,5,44,4
개화초등학교,6,37,3
거류초등학교,1,6,1
거류초등학교,2,19,2
거류초등학교,3,10,1
거류초등학교,4,11,1
거류초등학교,5,14,1
거류초등학교,6,18,1
거산초등학교,1,13,1
거산초등학교,2,11,1
거산초등학교,3,15,1
거산초등학교,4,5,1
거산초등학교,5,15,1
거산초등학교,6,20,1
거제고현초등학교,1,88,4
거제고현초등학교,2,107,4
거제고현초등학교,3,120,5
거제고현초등학교,4,104,4
거제고현초등학교,5,142,7
거제고현초등학교,6,146,6
거제상동초등학교,1,288,11
거제상동초등학교,2,366,13
거제상동초등학교,3,322,12
거제상동초등학교,4,283,10
거제상동초등학교,5,353,13
거제상동초등학교,6,303,13
거제양정초등학교,1,162,8
거제양정초등학교,2,159,7
거제양정초등학교,3,147,7
거제양정초등학교,4,156,7
거제양정초등학교,5,125,5
거제양정초등학교,6,113,5
거제용소초등학교,1,155,7
거제용소초등학교,2,181,8
거제용소초등학교,3,138,6
거제용소초등학교,4,94,4
거제용소초등학교,5,122,6
거제용소초등학교,6,89,4
거제중앙초등학교,1,145,8
거제중앙초등학교,2,141,6
거제중앙초등학교,3,143,6
거제중앙초등학교,4,162,7
거제중앙초등학교,5,159,7
거제중앙초등학교,6,151,6
거제초등학교,1,87,5
거제초등학교,2,100,5
거제초등학교,3,112,6
거제초등학교,4,104,6
거제초등학교,5,116,6
거제초등학교,6,138,9
거진초등학교,1,10,1
거진초등학교,2,14,1
거진초등학교,3,17,1
거진초등학교,4,10,1
거진초등학교,5,19,2
거진초등학교,6,13,1
거창초등학교,1,17,1
거창초등학교,2,19,1
거창초등학교,3,33,3
거창초등학교,4,27,1
거창초등학교,5,41,2
거창초등학교,6,62,4
거학초등학교,1,101,4
거학초등학교,2,113,6
거학초등학교,3,124,5
거학초등학교,4,96,4
거학초등학교,5,110,5
거학초등학교,6,97,4
건국초등학교,1,195,10
건국초등학교,2,224,9
건국초등학교,3,207,9
건국초등학교,4,182,7
건국초등학교,5,194,7
건국초등학교,6,210,9
건원초등학교,1,43,2
건원초등학교,2,34,2
건원초등학교,3,45,3
건원초등학교,4,30,2
건원초등학교,5,47,2
건원초등학교,6,49,3
건천초등학교,1,13,1
건천초등학교,2,21,1
건천초등학교,3,25,1
건천초등학교,4,25,1
건천초등학교,5,31,2
건천초등학교,6,20,1
걸포초등학교,1,93,4
걸포초등학교,2,64,3
걸포초등학교,3,87,4
걸포초등학교,4,72,3
걸포초등학교,5,83,3
걸포초등학교,6,101,5
검단초등학교,1,73,3
검단초등학교,2,70,4
검단초등학교,3,72,3
검단초등학교,4,74,4
검단초등학교,5,77,3
검단초등학교,6,95,5
검바위초등학교,1,131,6
검바위초등학교,2,76,3
검바위초등학교,3,82,3
검바위초등학교,4,89,5
검바위초등학교,5,89,5
검바위초등학교,6,81,3
검산초등학교,1,44,2
검산초등학교,2,59,4
검산초등학교,3,69,3
검산초등학교,4,63,3
검산초등학교,5,71,3
검산초등학교,6,71,3
격동초등학교,1,76,4
격동초등학교,2,68,3
격동초등학교,3,87,3
격동초등학교,4,92,4
격동초등학교,5,97,4
격동초등학교,6,86,4
격포초등학교,1,8,1
격포초등학교,2,10,1
격포초등학교,3,13,1
격포초등학교,4,11,1
격포초등학교,5,17,1
격포초등학교,6,17,2
경기초등학교,1,96,4
경기초등학교,2,96,4
경기초등학교,3,96,4
경기초등학교,4,96,4
경기초등학교,5,96,4
경기초등학교,6,94,4
경덕초등학교,1,49,3
경덕초등학교,2,56,3
경덕초등학교,3,50,2
경덕초등학교,4,53,3
경덕초등학교,5,67,3
경덕초등학교,6,80,4
경복초등학교,1,123,5
경복초등학교,2,122,5
경복초등학교,3,123,5
경복초등학교,4,122,5
경복초등학교,5,119,5
경복초등학교,6,140,5
경북대학교사범대학부설초등학교,1,80,4
경북대학교사범대학부설초등학교,2,79,4
경북대학교사범대학부설초등학교,3,81,4
경북대학교사범대학부설초등학교,4,96,4
경북대학교사범대학부설초등학교,5,96,4
경북대학교사범대학부설초등학교,6,87,5
경산동부초등학교,1,84,4
경산동부초등학교,2,64,3
경산동부초등학교,3,90,4
경산동부초등학교,4,54,2
경산동부초등학교,5,86,4
경산동부초등학교,6,103,5
경산서부초등학교,1,82,3
경산서부초등학교,2,78,3
경산서부초등학교,3,61,3
경산서부초등학교,4,75,3
경산서부초등학교,5,98,5
경산서부초등학교,6,100,4
경산압량초등학교,1,273,11
경산압량초등학교,2,218,10
경산압량초등학교,3,205,8
경산압량초등학교,4,224,9
경산압량초등학교,5,220,10
경산압량초등학교,6,174,7
경산중앙초등학교,1,36,2
경산중앙초등학교,2,26,1
경산중앙초등학교,3,31,2
경산중앙초등학교,4,44,3
경산중앙초등학교,5,36,2
경산중앙초등학교,6,44,3
경산초등학교,1,86,5
경산초등학교,2,110,5
경산초등학교,3,89,5
경산초등학교,4,100,5
경산초등학교,5,138,7
경산초등학교,6,116,5
경수초등학교,1,10,1
경수초등학교,2,13,1
경수초등학교,3,19,1
경수초등학교,4,13,1
경수초등학교,5,22,1
경수초등학교,6,24,1
경안초등학교,1,52,2
경안초등학교,2,62,3
경안초등학교,3,71,3
경안초등학교,4,81,4
경안초등학교,5,77,3
경안초등학교,6,93,4
경양초등학교,1,72,4
경양초등학교,2,55,3
경양초등학교,3,65,3
경양초등학교,4,47,2
경양초등학교,5,55,3
경양초등학교,6,60,4
경운초등학교,1,72,3
경운초등학교,2,76,3
경운초등학교,3,95,4
경운초등학교,4,97,4
경운초등학교,5,92,4
경운초등학교,6,111,5
경의초등학교,1,127,5
경의초등학교,2,99,4
경의초등학교,3,93,3
경의초등학교,4,61,3
경의초등학교,5,75,3
경의초등학교,6,67,4
경인교육대학교부설초등학교,1,101,5
경인교육대학교부설초등학교,2,95,4
경인교육대학교부설초등학교,3,96,4
경인교육대학교부설초등학교,4,95,4
경인교육대학교부설초등학교,5,95,4
경인교육대학교부설초등학교,6,90,4
경일초등학교,1,53,2
경일초등학교,2,71,3
경일초등학교,3,63,3
경일초등학교,4,59,3
경일초등학교,5,75,3
경일초등학교,6,74,4
경주초등학교,1,119,5
경주초등학교,2,126,6
경주초등학교,3,133,5
경주초등학교,4,133,5
경주초등학교,5,173,8
경주초등학교,6,148,6
경포대초등학교,1,12,1
경포대초등학교,2,16,1
경포대초등학교,3,9,1
경포대초등학교,4,13,1
경포대초등학교,5,9,1
경포대초등학교,6,12,1
경포초등학교,1,48,2
경포초등학교,2,65,3
경포초등학교,3,57,4
경포초등학교,4,72,3
경포초등학교,5,82,4
경포초등학교,6,101,5
경화초등학교,1,68,4
경화초등학교,2,73,3
경화초등학교,3,74,4
경화초등학교,4,74,3
경화초등학교,5,83,4
경화초등학교,6,85,5
경희초등학교,1,122,4
경희초등학교,2,120,4
경희초등학교,3,122,4
경희초등학교,4,120,4
경희초등학교,5,112,4
경희초등학교,6,75,3
계남초등학교,1,206,9
계남초등학교,2,205,9
계남초등학교,3,201,8
계남초등학교,4,211,9
계남초등학교,5,203,9
계남초등학교,6,171,7
계당초등학교,1,9,1
계당초등학교,2,12,1
계당초등학교,3,15,1
계당초등학교,4,7,1
계당초등학교,5,7,2
계당초등학교,6,7,1
계동초등학교,1,108,5
계동초등학교,2,101,4
계동초등학교,3,79,4
계동초등학교,4,107,4
계동초등학교,5,119,6
계동초등학교,6,133,6
계룡초등학교,1,58,4
계룡초등학교,2,55,3
계룡초등학교,3,92,5
계룡초등학교,4,79,4
계룡초등학교,5,86,4
계룡초등학교,6,122,6
계림초등학교,1,18,1
계림초등학교,2,34,3
계림초등학교,3,19,1
계림초등학교,4,23,1
계림초등학교,5,23,1
계림초등학교,6,22,1
계산초등학교,1,12,1
계산초등학교,2,11,1
계산초등학교,3,6,1
계산초등학교,4,12,1
계산초등학교,5,7,1
계산초등학교,6,13,2
계성초등학교,1,336,14
계성초등학교,2,376,15
계성초등학교,3,368,14
계성초등학교,4,395,16
계성초등학교,5,411,15
계성초등학교,6,380,15
계수초등학교,1,63,4
계수초등학교,2,52,3
계수초등학교,3,71,4
계수초등학교,4,49,3
계수초등학교,5,66,4
계수초등학교,6,63,6
계촌초등학교,1,5,1
계촌초등학교,2,5,1
계촌초등학교,3,6,1
계촌초등학교,4,6,1
계촌초등학교,5,8,1
계촌초등학교,6,6,1
고강초등학교,1,69,3
고강초등학교,2,75,3
고강초등학교,3,82,3
고강초등학교,4,78,3
고강초등학교,5,103,5
고강초등학교,6,108,5
고금초등학교,1,20,1
고금초등학교,2,13,1
고금초등학교,3,21,2
고금초등학교,4,21,2
고금초등학교,5,19,1
고금초등학교,6,32,3
고기초등학교,1,33,2
고기초등학교,2,25,1
고기초등학교,3,43,2
고기초등학교,4,33,3
고기초등학교,5,35,2
고기초등학교,6,17,1
고남초등학교,1,7,1
고남초등학교,2,5,1
고남초등학교,3,11,1
고남초등학교,4,4,1
고남초등학교,5,9,1
고남초등학교,6,6,1
고달초등학교,1,4,1
고달초등학교,2,10,2
고달초등학교,3,4,1
고달초등학교,4,1,1
고달초등학교,5,10,1
고달초등학교,6,15,1
고대초등학교,1,19,1
고대초등학교,2,19,1
고대초등학교,3,16,1
고대초등학교,4,9,1
고대초등학교,5,22,2
고대초등학교,6,20,1
고덕초등학교,1,291,12
고덕초등학교,2,257,9
고덕초등학교,3,219,8
고덕초등학교,4,162,7
고덕초등학교,5,190,8
고덕초등학교,6,161,6
고령초등학교,1,43,2
고령초등학교,2,63,3
고령초등학교,3,66,3
고령초등학교,4,80,4
고령초등학교,5,88,5
고령초등학교,6,71,3
고리울초등학교,1,44,2
고리울초등학교,2,52,2
고리울초등학교,3,43,2
고리울초등학교,4,59,3
고리울초등학교,5,75,3
고리울초등학교,6,76,4
고림초등학교,1,156,6
고림초등학교,2,131,5
고림초등학교,3,159,6
고림초등학교,4,157,6
고림초등학교,5,152,6
고림초등학교,6,159,6
고봉초등학교,1,69,4
고봉초등학교,2,84,3
고봉초등학교,3,58,3
고봉초등학교,4,66,3
고봉초등학교,5,48,2
고봉초등학교,6,56,2
고북초등학교,1,8,1
고북초등학교,2,6,1
고북초등학교,3,10,1
고북초등학교,4,9,2
고북초등학교,5,17,1
고북초등학교,6,5,1
고산초등학교,1,86,7
고산초등학교,2,96,7
고산초등학교,3,81,6
고산초등학교,4,61,5
고산초등학교,5,55,5
고산초등학교,6,57,7
고산하늘초등학교,1,134,5
고산하늘초등학교,2,98,4
고산하늘초등학교,3,106,5
고산하늘초등학교,4,85,3
고산하늘초등학교,5,72,3
고산하늘초등학교,6,62,3
고색초등학교,1,74,3
고색초등학교,2,74,4
고색초등학교,3,66,3
고색초등학교,4,77,3
고색초등학교,5,80,3
고색초등학교,6,112,5
고서초등학교,1,8,1
고서초등학교,2,14,1
고서초등학교,3,7,1
고서초등학교,4,14,1
고서초등학교,5,8,1
고서초등학교,6,13,1
고성초등학교,1,111,6
고성초등학교,2,114,7
고성초등학교,3,119,6
고성초등학교,4,136,7
고성초등학교,5,173,8
고성초등학교,6,173,7
고수초등학교,1,6,1
고수초등학교,2,11,1
고수초등학교,3,13,2
고수초등학교,4,5,1
고수초등학교,5,4,1
고수초등학교,6,4,1
고실초등학교,1,149,7
고실초등학교,2,157,7
고실초등학교,3,159,7
고실초등학교,4,174,8
고실초등학교,5,216,9
고실초등학교,6,206,10
고아초등학교,1,10,1
고아초등학교,2,20,1
고아초등학교,3,30,2
고아초등학교,4,19,2
고아초등학교,5,30,2
고아초등학교,6,27,1
고암초등학교,1,49,3
고암초등학교,2,69,3
고암초등학교,3,60,4
고암초등학교,4,53,3
고암초등학교,5,49,3
고암초등학교,6,57,3
고양관산초등학교,1,55,2
고양관산초등학교,2,62,3
고양관산초등학교,3,68,3
고양관산초등학교,4,71,3
고양관산초등학교,5,99,4
고양관산초등학교,6,92,5
고양동산초등학교,1,189,7
고양동산초등학교,2,185,7
고양동산초등학교,3,216,9
고양동산초등학교,4,203,8
고양동산초등학교,5,220,8
고양동산초등학교,6,196,8
고양백석초등학교,1,66,3
고양백석초등학교,2,79,3
고양백석초등학교,3,88,4
고양백석초등학교,4,75,3
고양백석초등학교,5,106,4
고양백석초등학교,6,105,4
고양신일초등학교,1,93,4
고양신일초등학교,2,126,5
고양신일초등학교,3,150,6
고양신일초등학교,4,140,5
고양신일초등학교,5,159,6
고양신일초등학교,6,170,6
고양오금초등학교,1,156,6
고양오금초등학교,2,157,6
고양오금초등학교,3,132,5
고양오금초등학교,4,123,5
고양오금초등학교,5,122,5
고양오금초등학교,6,133,6
고양용현초등학교,1,45,2
고양용현초등학교,2,46,2
고양용현초등학교,3,38,2
고양용현초등학교,4,57,2
고양용현초등학교,5,52,2
고양용현초등학교,6,51,3
고양초등학교,1,59,3
고양초등학교,2,49,2
고양초등학교,3,72,3
고양초등학교,4,74,4
고양초등학교,5,86,5
고양초등학교,6,92,4
고양한내초등학교,1,77,3
고양한내초등학교,2,64,3
고양한내초등학교,3,68,3
고양한내초등학교,4,75,3
고양한내초등학교,5,80,4
고양한내초등학교,6,63,3
고양화수초등학교,1,69,3
고양화수초등학교,2,83,4
고양화수초등학교,3,73,4
고양화수초등학교,4,76,3
고양화수초등학교,5,106,4
고양화수초등학교,6,125,6
고양화정초등학교,1,160,6
고양화정초등학교,2,179,7
고양화정초등학교,3,160,6
고양화정초등학교,4,191,7
고양화정초등학교,5,216,8
고양화정초등학교,6,221,9
고운초등학교,1,206,11
고운초등학교,2,161,8
고운초등학교,3,181,8
고운초등학교,4,150,7
고운초등학교,5,175,7
고운초등학교,6,181,9
고잔초등학교,1,86,3
고잔초등학교,2,64,3
고잔초등학교,3,64,3
고잔초등학교,4,85,3
고잔초등학교,5,83,5
