customerID,SeniorCitizen,Partner,tenure,PhoneService,MultipleLines,InternetService,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,MonthlyCharges,Churn,TechInsurance,ServiceSatisfactionScore,MonthlyBonusUsage,FamilyPlanSize
4183-MYFRB,0,No,21,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,90.05,0,1,2.29,72.0,5.0
8779-QRDMV,1,No,1,No,No phone service,DSL,No,No,Yes,Month-to-month,Yes,39.65,1,0,3.755,53.09,1.085
1680-VDCWW,0,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,One year,No,19.8,0,1,2.89,24.0,5.0
1066-JKSGK,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.15,1,1,3.0549999999999997,89.09,2.085
3638-WEABW,0,Yes,58,Yes,Yes,DSL,Yes,No,No,Two year,Yes,59.9,0,0,2.29,84.0,1.0
6322-HRPFA,0,Yes,49,Yes,No,DSL,Yes,No,No,Month-to-month,No,59.6,0,1,2.73,8.0,1.0
6865-JZNKO,0,No,30,Yes,No,DSL,No,No,No,Month-to-month,Yes,55.3,0,1,3.06,37.0,3.0
6467-CHFZW,0,Yes,47,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.35,1,0,2.445,22.09,5.085
8665-UTDHZ,0,Yes,1,No,No phone service,DSL,No,No,No,Month-to-month,No,30.2,1,0,3.215,87.09,1.085
5248-YGIJN,0,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Two year,Yes,90.25,0,0,2.7,48.0,2.0
8773-HHUOZ,0,No,17,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,64.7,1,1,2.875,68.09,0.08499999999999999
3841-NFECX,1,Yes,71,Yes,Yes,Fiber optic,Yes,No,No,Two year,Yes,96.35,0,0,2.7,92.0,4.0
4929-XIHVW,1,Yes,2,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,95.5,0,1,3.93,14.0,1.0
6827-IEAUQ,0,Yes,27,Yes,No,DSL,Yes,No,No,One year,No,66.15,0,1,2.99,64.0,0.0
7310-EGVHZ,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.2,0,1,2.47,53.0,1.0
3413-BMNZE,1,No,1,Yes,No,DSL,No,No,No,Month-to-month,No,45.25,0,1,3.41,29.0,4.0
6234-RAAPL,0,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,No,99.9,0,0,2.39,92.0,3.0
6047-YHPVI,0,No,5,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,69.7,1,0,3.125,20.09,3.085
6572-ADKRS,0,No,46,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,74.8,0,1,2.02,32.0,1.0
5380-WJKOV,0,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,106.35,1,0,2.3649999999999998,100.09,1.085
8168-UQWWF,0,No,11,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,97.85,1,1,3.125,86.09,3.085
8865-TNMNX,0,Yes,10,Yes,No,DSL,No,No,No,One year,No,49.55,0,0,3.37,76.0,3.0
9489-DEDVP,0,Yes,70,Yes,Yes,DSL,No,Yes,No,Two year,Yes,69.2,0,1,3.09,6.0,2.0
9867-JCZSP,0,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,One year,No,20.75,0,1,2.94,7.0,2.0
4671-VJLCL,0,No,63,Yes,Yes,DSL,Yes,Yes,No,Two year,Yes,79.85,0,0,2.85,27.0,3.0
4080-IIARD,0,Yes,13,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,76.2,0,1,2.26,44.0,4.0
3714-NTNFO,0,No,49,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,84.5,0,1,2.64,72.0,3.0
5948-UJZLF,0,No,2,Yes,No,DSL,No,No,No,Month-to-month,No,49.25,0,0,2.77,88.0,2.0
7760-OYPDY,0,No,2,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,80.65,1,1,3.5549999999999997,80.09,3.085
7639-LIAYI,0,No,52,Yes,Yes,DSL,Yes,Yes,Yes,Two year,Yes,79.75,0,1,3.17,73.0,1.0
2954-PIBKO,0,Yes,69,Yes,Yes,DSL,Yes,No,No,Two year,Yes,64.15,0,1,2.12,10.0,3.0
8012-SOUDQ,1,No,43,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,90.25,0,1,3.16,30.0,2.0
9420-LOJKX,0,No,15,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.1,1,1,2.835,12.09,2.085
6575-SUVOI,1,Yes,25,Yes,Yes,DSL,Yes,Yes,No,Month-to-month,Yes,69.5,0,0,2.66,94.0,2.0
7495-OOKFY,1,Yes,8,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,80.65,1,1,3.335,78.09,2.085
4667-QONEA,1,Yes,60,Yes,No,DSL,Yes,No,Yes,One year,Yes,74.85,0,0,3.52,50.0,6.0
1658-BYGOY,1,No,18,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,95.45,1,1,3.495,44.09,1.085
8769-KKTPH,0,Yes,63,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,99.65,0,1,2.58,95.0,1.0
5067-XJQFU,1,Yes,66,Yes,Yes,Fiber optic,Yes,Yes,Yes,One year,Yes,108.45,0,1,2.85,49.0,5.0
3957-SQXML,0,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,24.95,0,1,3.17,16.0,3.0
5954-BDFSG,0,No,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,107.5,0,1,3.49,34.0,5.0
0434-CSFON,0,Yes,47,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,100.5,0,0,2.76,0.0,2.0
1215-FIGMP,0,No,60,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,89.9,0,0,2.91,28.0,2.0
0526-SXDJP,0,Yes,72,No,No phone service,DSL,No,No,No,Two year,No,42.1,0,0,2.45,50.0,1.0
0557-ASKVU,0,Yes,18,Yes,No,DSL,Yes,No,No,One year,Yes,54.4,0,1,2.4,63.0,2.0
5698-BQJOH,0,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,94.4,1,0,3.435,4.090000000000001,2.085
5122-CYFXA,0,No,3,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,75.3,0,0,3.68,86.0,2.0
8627-ZYGSZ,0,Yes,47,Yes,Yes,Fiber optic,No,No,No,One year,Yes,78.9,0,1,2.96,27.0,3.0
3410-YOQBQ,0,No,31,Yes,No,DSL,Yes,Yes,Yes,Two year,No,79.2,0,0,3.5,15.0,2.0
3170-NMYVV,0,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,20.15,0,1,3.18,62.0,0.0
7410-OIEDU,0,No,10,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,79.85,0,1,2.68,75.0,1.0
2273-QCKXA,0,No,1,Yes,No,DSL,Yes,No,No,Month-to-month,No,49.05,0,1,3.18,52.0,2.0
0731-EBJQB,0,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,20.4,0,1,3.77,84.0,7.0
1891-QRQSA,1,Yes,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,111.6,0,0,2.98,16.0,1.0
8028-PNXHQ,0,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,24.25,0,1,3.78,39.0,3.0
5630-AHZIL,0,No,3,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,64.5,0,0,1.69,12.0,2.0
2673-CXQEU,1,No,56,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,110.5,0,0,3.41,51.0,1.0
6416-JNVRK,0,No,46,Yes,No,DSL,No,No,Yes,One year,No,55.65,0,1,3.04,57.0,3.0
5590-ZSKRV,0,Yes,8,Yes,No,DSL,No,No,No,Month-to-month,No,54.65,0,1,2.85,95.0,3.0
0191-ZHSKZ,1,No,30,Yes,No,DSL,No,Yes,Yes,Month-to-month,Yes,74.75,0,0,3.05,36.0,3.0
3887-PBQAO,0,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,One year,Yes,25.9,0,1,2.01,78.0,1.0
5919-TMRGD,0,No,1,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,79.35,1,1,2.915,76.09,4.085
8108-UXRQN,0,Yes,11,No,No phone service,DSL,No,Yes,Yes,Month-to-month,No,50.55,0,0,3.18,60.0,4.0
9191-MYQKX,0,Yes,7,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,75.15,1,1,3.765,79.09,2.085
9919-YLNNG,0,No,42,Yes,No,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,103.8,0,0,2.74,33.0,1.0
0318-ZOPWS,0,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,20.15,0,1,2.6,69.0,3.0
4445-ZJNMU,0,No,9,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,99.3,0,1,2.75,16.0,1.0
4808-YNLEU,0,Yes,35,Yes,No,DSL,No,Yes,No,One year,Yes,62.15,0,1,3.46,19.0,1.0
1862-QRWPE,0,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,20.65,0,0,3.16,72.0,2.0
2796-NNUFI,0,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,19.95,0,1,2.74,58.0,2.0
3016-KSVCP,0,Yes,29,No,No phone service,DSL,No,Yes,No,Month-to-month,No,33.75,0,1,3.26,68.0,2.0
4767-HZZHQ,0,Yes,30,Yes,No,Fiber optic,No,No,No,Month-to-month,No,82.05,0,0,3.05,86.0,1.0
2424-WVHPL,1,No,1,Yes,No,Fiber optic,Yes,No,No,Month-to-month,No,74.7,0,0,3.48,32.0,1.0
7233-PAHHL,0,Yes,66,Yes,Yes,DSL,Yes,Yes,Yes,Two year,Yes,84.0,0,1,2.65,77.0,1.0
6067-NGCEU,0,No,65,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,111.05,0,0,2.84,16.0,5.0
9848-JQJTX,0,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,100.9,0,1,2.8,56.0,3.0
8637-XJIVR,0,No,12,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,78.95,1,0,2.295,83.09,2.085
9803-FTJCG,0,Yes,71,Yes,Yes,DSL,Yes,No,No,One year,Yes,66.85,0,0,3.15,96.0,2.0
0278-YXOOG,0,No,5,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,21.05,1,0,3.155,1.0900000000000007,1.085
3212-KXOCR,0,No,52,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,21.0,0,0,3.0,12.0,0.0
4598-XLKNJ,1,Yes,25,Yes,No,Fiber optic,No,Yes,Yes,Month-to-month,Yes,98.5,1,0,2.905,27.09,4.085
6380-ARCEH,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.2,0,0,2.29,69.0,1.0
3679-XASPY,0,Yes,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,19.45,0,1,2.79,58.0,2.0
7123-WQUHX,0,No,38,Yes,Yes,Fiber optic,Yes,Yes,No,One year,No,95.0,0,1,2.83,5.0,3.0
5386-THSLQ,1,Yes,66,No,No phone service,DSL,No,Yes,No,One year,No,45.55,0,0,2.6,96.0,1.0
3192-NQECA,0,Yes,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,110.0,1,0,2.945,94.09,1.085
6180-YBIQI,0,No,5,No,No phone service,DSL,No,No,No,Month-to-month,No,24.3,0,0,3.2,98.0,0.0
6728-DKUCO,0,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,104.15,0,1,3.94,22.0,2.0
9750-BOOHV,0,No,32,No,No phone service,DSL,No,No,No,One year,No,30.15,0,1,3.09,9.0,1.0
8597-CWYHH,0,No,43,Yes,Yes,Fiber optic,No,Yes,Yes,One year,No,94.35,0,0,3.13,50.0,2.0
2848-YXSMW,0,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,19.4,0,0,2.96,18.0,4.0
0486-HECZI,0,Yes,55,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,96.75,1,0,2.065,51.09,3.085
4549-ZDQYY,0,No,52,Yes,No,DSL,Yes,No,No,One year,No,57.95,0,1,2.99,91.0,1.0
5712-AHQNN,0,No,43,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,91.65,0,0,3.03,86.0,3.0
4846-WHAFZ,1,Yes,37,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,76.5,1,1,4.255000000000001,68.09,1.085
5256-SKJGO,0,Yes,64,No,No phone service,DSL,Yes,Yes,Yes,Two year,Yes,54.6,0,1,2.9,83.0,0.0
3071-VBYPO,0,Yes,3,Yes,No,Fiber optic,No,Yes,No,Month-to-month,No,89.85,0,1,3.15,82.0,3.0
9560-BBZXK,0,No,36,No,No phone service,DSL,No,No,No,Two year,No,31.05,0,1,2.98,41.0,2.0
5299-RULOA,0,Yes,10,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,100.25,1,1,2.445,91.09,4.085
8402-OOOHJ,0,No,41,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,20.65,0,1,3.57,56.0,1.0
9445-ZUEQE,0,Yes,27,Yes,Yes,Fiber optic,Yes,No,No,Month-to-month,Yes,85.2,0,0,3.38,97.0,3.0
1091-SOZGA,0,Yes,56,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,99.8,0,1,3.4,67.0,2.0
2928-HLDBA,0,No,6,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.7,0,1,2.55,37.0,0.0
0404-SWRVG,0,No,3,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,74.4,1,0,3.725,62.09,1.085
6497-TILVL,0,Yes,7,Yes,No,DSL,No,No,No,Month-to-month,No,50.7,0,1,2.3,6.0,2.0
7219-TLZHO,0,Yes,4,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.85,0,1,3.29,70.0,4.0
4622-YNKIJ,0,No,33,Yes,No,Fiber optic,Yes,Yes,No,Two year,Yes,88.95,0,1,4.1,49.0,0.0
4412-YLTKF,1,No,27,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,78.05,1,1,2.525,52.09,0.08499999999999999
6734-PSBAW,0,Yes,72,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,23.55,0,0,2.72,25.0,2.0
3930-ZGWVE,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,19.75,0,0,3.05,25.0,3.0
2639-UGMAZ,1,No,71,No,No phone service,DSL,No,Yes,Yes,One year,Yes,56.45,0,0,2.75,18.0,2.0
2876-GZYZC,0,No,13,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,Yes,85.95,0,1,2.22,8.0,1.0
6207-WIOLX,0,Yes,25,No,No phone service,DSL,No,Yes,Yes,Month-to-month,Yes,58.6,1,0,3.0549999999999997,61.09,3.085
8587-XYZSF,0,No,67,Yes,No,DSL,Yes,No,No,Two year,No,50.55,0,1,2.47,19.0,1.0
3091-FYHKI,0,No,1,No,No phone service,DSL,No,No,Yes,Month-to-month,Yes,35.45,1,0,3.265,50.09,1.085
2372-HWUHI,0,No,2,Yes,No,DSL,No,No,No,Month-to-month,No,44.35,1,1,2.565,80.09,5.085
7799-LGRDP,0,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,25.7,0,0,3.77,80.0,1.0
7850-VWJUU,0,No,23,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,75.0,0,0,2.61,21.0,1.0
3774-VBNXY,0,Yes,64,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,20.2,0,0,2.84,12.0,1.0
6217-KDYWC,0,No,57,Yes,No,No,No internet service,No internet service,No internet service,Two year,Yes,19.6,0,1,3.41,11.0,2.0
0390-DCFDQ,1,Yes,1,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,70.45,1,1,2.405,10.09,2.085
3146-MSEGF,1,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Two year,Yes,88.05,0,1,3.11,64.0,2.0
4080-OGPJL,0,No,8,Yes,Yes,DSL,Yes,No,Yes,Month-to-month,No,71.15,1,0,3.675,96.09,1.085
1095-WGNGG,0,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,Yes,101.05,0,1,2.2,29.0,1.0
2636-SJDOU,0,No,64,Yes,Yes,Fiber optic,No,No,No,One year,Yes,84.3,0,1,3.09,7.0,3.0
1131-QQZEB,1,Yes,71,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,23.95,0,1,3.13,20.0,1.0
5716-EZXZN,0,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Two year,Yes,99.05,0,1,3.39,21.0,0.0
6837-BJYDQ,0,No,3,Yes,No,No,No internet service,No internet service,No internet service,One year,No,19.6,0,0,2.38,17.0,1.0
2135-RXIHG,0,No,1,Yes,No,DSL,No,No,No,Month-to-month,Yes,45.65,1,1,2.3649999999999998,66.09,4.085
6440-DKQGE,0,No,30,Yes,No,DSL,No,Yes,No,One year,No,64.5,0,1,3.26,47.0,1.0
3466-BYAVD,0,Yes,15,Yes,No,DSL,Yes,No,Yes,Month-to-month,Yes,69.5,0,0,3.15,43.0,1.0
3780-YVMFA,0,Yes,8,Yes,No,DSL,Yes,Yes,Yes,Month-to-month,Yes,68.55,0,1,3.13,8.0,0.0
3874-EQOEP,0,No,7,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,No,95.0,1,0,3.195,67.09,3.085
1679-JRFBR,0,Yes,70,Yes,Yes,Fiber optic,No,Yes,Yes,One year,Yes,108.15,0,1,2.66,53.0,3.0
9073-ZZIAY,0,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Two year,No,86.1,0,1,3.12,25.0,2.0
3077-RSNTJ,0,Yes,6,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,19.7,0,0,3.15,84.0,0.0
6551-GNYDG,0,Yes,14,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,80.9,0,0,2.64,93.0,0.0
9167-APMXZ,0,No,22,Yes,Yes,Fiber optic,No,Yes,No,Month-to-month,Yes,84.15,0,0,3.93,91.0,2.0
2749-CTKAJ,0,Yes,22,Yes,No,No,No internet service,No internet service,No internet service,One year,No,20.15,0,0,3.24,99.0,2.0
6371-NZYEG,0,Yes,16,Yes,No,DSL,No,Yes,No,Two year,No,64.25,0,0,2.4,25.0,0.0
7554-NEWDD,0,No,10,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,No,25.7,0,1,3.33,33.0,3.0
8992-VONJD,0,No,13,Yes,No,DSL,No,No,No,Month-to-month,Yes,56.0,0,1,2.51,7.0,2.0
0867-MKZVY,0,Yes,20,Yes,Yes,Fiber optic,No,No,No,Month-to-month,No,82.4,1,1,3.415,10.09,1.085
4482-EWFMI,0,No,2,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,69.7,0,0,3.58,47.0,2.0
4648-YPBTM,0,No,53,Yes,Yes,DSL,Yes,No,Yes,Two year,Yes,73.9,0,1,2.59,54.0,2.0
2907-ILJBN,0,Yes,11,Yes,No,No,No internet service,No internet service,No internet service,One year,No,20.6,0,1,3.48,53.0,3.0
6345-FZOQH,0,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,19.9,0,0,3.21,77.0,2.0
3376-BMGFE,0,No,4,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,70.9,1,1,3.435,40.09,2.085
5997-OPVFA,0,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Two year,Yes,89.05,0,1,3.95,14.0,2.0
3445-HXXGF,1,Yes,58,No,No phone service,DSL,No,No,Yes,Month-to-month,Yes,45.3,1,0,2.905,81.09,2.085
1159-WFSGR,0,Yes,16,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.4,0,0,2.62,17.0,0.0
7654-YWJUF,0,Yes,43,Yes,No,Fiber optic,Yes,No,No,One year,Yes,84.25,0,1,2.56,95.0,1.0
1875-QIVME,0,Yes,2,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,104.4,1,1,2.6149999999999998,23.09,3.085
6727-IOTLZ,0,Yes,14,Yes,No,DSL,Yes,Yes,Yes,Two year,No,81.95,0,1,2.96,61.0,4.0
0691-JVSYA,0,Yes,53,Yes,No,Fiber optic,No,Yes,Yes,One year,Yes,94.85,1,0,3.195,46.09,1.085
5918-VUKWP,0,No,32,Yes,No,No,No internet service,No internet service,No internet service,One year,No,20.55,0,1,3.14,86.0,3.0
1744-JHKYS,0,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,Month-to-month,No,24.7,0,0,3.41,98.0,4.0
2656-FMOKZ,1,No,15,Yes,Yes,Fiber optic,No,No,No,Month-to-month,Yes,74.45,1,0,3.0349999999999997,39.09,2.085
2070-FNEXE,1,No,7,Yes,No,Fiber optic,No,No,No,Month-to-month,No,76.45,1,0,3.755,15.09,1.085
5947-SGKCL,0,Yes,15,Yes,Yes,Fiber optic,No,Yes,Yes,Month-to-month,Yes,105.35,0,0,2.87,52.0,1.0
3712-PKXZA,0,Yes,61,Yes,No,No,No internet service,No internet service,No internet service,One year,Yes,20.55,0,1,4.36,87.0,5.0
6317-YPKDH,0,No,1,No,No phone service,DSL,No,No,No,Month-to-month,No,29.95,1,0,3.335,64.09,2.085
6582-OIVSP,0,No,1,Yes,No,DSL,No,No,No,Month-to-month,No,45.3,0,0,2.57,62.0,1.0
9367-WXLCH,0,No,8,Yes,Yes,Fiber optic,No,No,Yes,Month-to-month,No,84.5,1,0,2.485,92.09,0.08499999999999999
5524-KHNJP,0,Yes,33,Yes,No,DSL,No,Yes,Yes,One year,No,74.75,0,1,3.24,79.0,1.0
1918-ZBFQJ,0,No,13,Yes,No,Fiber optic,No,No,No,Month-to-month,Yes,79.25,1,1,2.915,16.09,1.085
1024-GUALD,0,Yes,1,No,No phone service,DSL,No,No,No,Month-to-month,Yes,24.8,1,0,3.385,70.09,2.085
4827-USJHP,0,No,20,Yes,No,DSL,No,No,No,Month-to-month,Yes,51.8,0,1,3.24,65.0,2.0
8167-GJLRN,0,No,3,No,No phone service,DSL,Yes,No,No,Month-to-month,No,30.4,0,0,2.96,12.0,0.0
0956-SYCWG,0,No,13,Yes,No,No,No internet service,No internet service,No internet service,One year,No,19.65,0,0,2.58,46.0,0.0
8017-UVSZU,0,Yes,40,Yes,Yes,DSL,No,No,No,Month-to-month,No,56.6,0,1,2.24,8.0,7.0
7100-FQPRV,0,Yes,43,Yes,Yes,DSL,Yes,No,Yes,One year,Yes,71.9,0,1,2.78,62.0,0.0
2472-OVKUP,0,Yes,6,Yes,No,Fiber optic,No,No,Yes,Month-to-month,Yes,91.0,1,1,3.455,34.09,4.085
2984-RGEYA,0,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,19.75,0,0,3.11,80.0,1.0
9680-NIAUV,0,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,109.7,0,1,2.38,90.0,3.0
2146-EGVDT,0,Yes,59,Yes,No,No,No internet service,No internet service,No internet service,Two year,No,19.3,0,1,3.09,28.0,1.0
2604-IJPDU,0,Yes,20,Yes,No,Fiber optic,Yes,Yes,No,Month-to-month,Yes,96.55,0,1,3.19,36.0,3.0
9178-JHUVJ,0,Yes,24,Yes,Yes,No,No internet service,No internet service,No internet service,Two year,Yes,24.1,0,1,2.56,42.0,1.0
6168-YBYNP,0,No,59,Yes,Yes,Fiber optic,Yes,Yes,Yes,Month-to-month,Yes,111.35,0,1,3.08,85.0,3.0
7255-SSFBC,0,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,Yes,Two year,Yes,112.25,0,0,3.03,63.0,0.0
3645-DEYGF,0,No,1,Yes,No,No,No internet service,No internet service,No internet service,Month-to-month,No,20.75,0,1,2.43,23.0,2.0
9323-HGFWY,0,Yes,27,Yes,No,Fiber optic,Yes,Yes,Yes,One year,Yes,101.9,0,1,3.18,70.0,2.0
8544-GOQSH,0,No,14,Yes,No,Fiber optic,Yes,No,No,Month-to-month,Yes,80.05,0,1,3.28,33.0,1.0
3363-DTIVD,0,Yes,71,Yes,Yes,Fiber optic,No,Yes,Yes,Two year,No,105.55,0,1,3.54,47.0,3.0
7018-WBJNK,0,No,13,Yes,No,Fiber optic,No,Yes,No,Month-to-month,Yes,78.3,0,1,3.53,11.0,2.0
9142-KZXOP,0,No,44,Yes,No,Fiber optic,No,No,No,Month-to-month,No,68.85,0,0,2.31,22.0,0.0
