ID,height(cm),weight(kg)
576,169.8,72.2
577,168.9,66.1
578,165.4,49.8
579,173.1,73.4
580,161.6,58.8
581,165.6,69.8
582,181.0,73.7
583,169.4,62.0
584,177.8,63.0
585,178.8,71.9
586,176.8,71.0
587,179.7,70.1
588,175.5,73.7
589,160.0,61.5
590,151.1,58.7
591,175.6,59.1
592,169.9,70.4
593,160.1,43.4
594,184.3,92.6
595,162.8,66.0
596,161.1,60.4
597,175.1,67.7
598,153.0,57.1
599,157.4,67.1
600,172.9,72.8
601,170.5,74.6
602,159.2,59.6
603,170.6,71.1
604,161.7,56.7
605,178.0,65.6
606,179.5,60.4
607,160.6,59.8
608,175.2,71.8
609,157.0,66.5
610,160.2,74.0
611,178.8,72.8
612,187.4,74.1
613,158.2,36.0
614,178.2,42.5
615,172.0,60.7
616,164.0,59.3
617,160.0,46.1
618,155.2,56.9
619,160.5,68.0
620,163.5,62.8
621,178.8,69.0
622,185.2,86.3
623,166.4,65.2
624,159.8,58.9
625,173.4,71.9
626,181.6,71.3
627,165.7,61.2
628,174.0,87.2
629,167.5,57.9
630,164.2,48.4
631,171.2,81.7
632,173.0,59.4
633,161.5,52.5
634,159.2,46.7
635,160.0,61.6
636,155.5,51.8
637,172.4,55.8
638,161.7,77.4
639,176.4,94.4
640,166.4,93.3
641,150.7,48.6
642,160.1,54.7
643,169.9,89.8
644,174.8,67.2
645,174.1,73.2
646,171.4,65.6
647,159.1,42.6
648,176.5,72.7
649,163.4,49.8
650,161.9,43.4
651,178.3,69.9
652,175.6,94.5
653,169.8,55.0
654,170.8,64.6
655,153.6,62.3
656,161.9,46.7
657,181.2,82.0
658,154.8,58.1
659,177.1,61.0
660,176.3,82.6
661,166.2,68.6
662,173.6,86.4
663,160.3,62.6
664,179.4,91.0
665,177.3,107.9
666,164.2,58.3
667,170.4,62.1
668,181.5,75.5
669,162.5,49.0
670,168.5,59.4
671,175.5,66.9
672,164.3,29.8
673,169.1,77.1
674,174.1,47.8
675,174.3,73.8
676,163.0,67.5
677,165.5,86.6
678,179.4,66.6
679,162.5,67.3
680,174.0,82.9
681,159.0,54.9
682,164.7,73.2
683,181.8,91.4
684,162.4,65.6
685,167.8,73.7
686,162.6,62.4
687,158.9,59.1
688,173.1,70.6
689,174.5,52.5
690,160.6,67.6
691,165.1,73.5
692,182.3,97.2
693,159.8,56.8
694,176.8,59.4
695,176.6,71.7
696,169.9,41.8
697,164.5,53.7
698,172.5,55.6
699,166.1,67.9
700,174.8,67.5
701,168.9,47.8
702,164.2,63.0
703,180.9,64.4
704,163.4,44.1
705,162.5,68.2
706,171.4,79.4
707,176.9,92.3
708,173.9,61.2
709,155.3,34.9
710,157.5,52.1
711,151.6,70.1
712,170.7,72.9
713,170.9,64.9
714,170.7,80.0
715,167.6,62.0
716,170.6,66.6
717,174.3,96.4
718,163.8,65.4
719,178.3,85.0
720,169.6,54.1
721,160.9,52.9
722,164.3,57.8
723,175.4,84.1
724,180.0,67.1
725,171.3,74.3
726,179.8,60.9
727,174.8,65.7
728,160.9,53.0
729,179.4,94.5
730,151.5,37.4
731,119.8,41.0
732,174.4,74.9
733,163.3,62.7
734,175.0,62.2
735,159.6,65.6
736,177.4,76.7
737,174.1,67.4
738,165.4,39.2
739,174.4,58.5
740,170.0,74.4
741,165.0,87.5
742,162.4,51.3
743,180.6,59.2
744,181.5,92.4
745,173.9,70.9
746,163.4,45.2
747,171.6,82.1
748,153.4,79.2
749,181.2,58.2
750,162.8,81.7
751,165.1,68.1
752,159.7,61.8
753,176.2,76.7
754,178.5,60.5
755,157.9,60.2
756,171.8,55.1
757,175.6,78.2
758,163.9,59.3
759,176.7,69.2
760,162.5,48.9
761,174.3,87.9
762,167.2,72.9
763,162.9,67.7
764,154.3,53.9
765,157.8,56.1
766,160.7,51.3
767,160.9,43.9
768,161.2,51.6
769,176.7,89.6
770,176.0,58.4
771,151.9,44.7
772,166.2,72.2
773,172.6,95.2
774,157.8,69.3
775,169.0,54.3
776,160.9,42.2
777,163.5,38.4
778,166.1,51.8
779,163.8,64.1
780,165.3,61.7
781,181.1,60.3
782,186.0,71.9
783,179.1,75.7
784,157.7,57.1
785,164.9,53.0
786,153.6,54.4
787,173.6,63.2
788,182.7,71.8
789,165.7,44.4
790,169.5,85.3
791,177.5,80.1
792,172.2,79.5
793,177.1,92.8
794,183.3,70.9
795,167.7,70.4
796,183.9,75.6
797,172.3,82.5
798,178.7,66.1
799,169.9,47.6
800,166.0,57.3
801,158.0,71.4
802,175.2,76.8
803,161.8,56.0
804,175.0,61.4
805,162.6,77.8
806,157.1,70.8
807,170.6,77.7
808,172.8,67.9
809,160.2,55.7
810,173.7,57.3
811,162.6,58.7
812,178.6,67.0
813,159.0,67.4
814,122.50000000000001,29.7
815,155.7,54.7
816,166.7,81.6
817,179.3,70.7
818,157.4,57.1
819,182.8,73.1
820,176.8,92.5
821,170.1,91.8
822,172.6,63.6
823,180.8,61.1
824,175.9,88.1
825,164.6,58.3
826,175.1,90.1
827,172.2,87.3
828,174.9,64.6
829,176.3,89.5
830,168.2,65.2
831,170.1,84.8
832,165.3,48.6
833,161.0,63.3
834,163.0,58.8
835,158.8,37.5
836,183.5,69.1
837,166.1,51.5
838,182.1,71.0
839,177.7,84.7
840,161.2,58.8
841,156.0,72.8
842,165.3,67.5
843,172.5,75.4
844,170.0,49.9
845,175.8,58.0
846,163.4,60.4
847,161.6,60.0
848,166.0,73.4
849,177.8,64.9
850,169.2,73.4
851,163.8,46.5
852,169.2,67.3
853,118.19999999999999,52.5
854,169.9,66.5
855,162.5,39.5
856,155.4,79.3
857,184.4,73.3
858,152.0,38.0
859,172.1,65.7
860,182.1,86.0
861,168.4,74.8
862,166.2,39.2
863,173.7,62.3
864,183.9,73.6
865,177.2,58.3
866,164.9,49.5
867,157.4,52.6
868,165.7,70.8
869,150.2,51.8
870,175.5,73.3
871,153.1,60.8
872,173.2,68.0
873,158.7,61.7
874,154.4,64.0
875,176.3,61.7
876,163.4,77.7
877,156.8,52.8
878,154.5,50.7
879,162.3,60.0
880,176.3,69.6
881,163.4,74.1
882,165.5,62.7
883,178.3,68.9
884,177.3,71.8
885,155.7,55.8
886,185.4,72.0
887,119.39999999999999,36.3
888,175.2,77.5
889,176.9,57.5
890,153.0,52.6
891,172.7,79.9
892,176.9,83.7
893,171.1,78.4
894,179.8,86.2
895,161.0,61.5
896,167.5,64.4
897,157.5,72.0
898,179.7,37.9
899,185.0,83.4
900,179.5,83.2
901,168.5,83.8
902,167.4,87.5
903,172.3,56.7
904,178.9,71.1
905,176.2,88.4
906,168.0,53.7
907,151.1,49.9
908,176.1,69.7
909,154.6,62.9
910,168.7,58.9
911,174.4,71.8
912,169.4,58.3
913,163.8,67.5
914,175.6,61.1
915,157.7,70.7
916,160.7,56.2
917,179.6,66.8
918,179.6,65.0
919,157.6,52.8
920,161.8,48.9
921,158.4,64.7
922,185.8,76.6
923,175.1,70.2
924,161.6,62.3
925,156.5,68.7
926,175.6,58.7
927,166.4,71.3
928,176.5,59.6
929,159.3,62.7
930,151.3,53.0
931,157.4,65.1
932,176.7,69.8
933,183.2,104.3
934,179.2,70.6
935,175.5,84.6
936,180.3,95.4
937,175.2,70.0
938,171.4,57.5
939,165.7,65.2
940,160.2,52.5
941,181.3,69.6
942,165.9,56.4
943,176.7,84.6
944,168.0,61.3
945,158.4,63.1
946,167.3,70.5
947,155.5,51.4
948,163.1,68.2
949,183.2,88.8
950,179.7,77.9
951,158.0,53.7
952,156.6,62.6
953,176.2,77.7
954,168.1,62.4
955,176.5,76.8
956,160.1,59.5
957,162.0,63.1
958,173.2,70.4
959,161.6,62.9
960,156.7,76.7
961,164.2,75.8
962,155.9,67.3
963,161.1,42.6
964,161.2,45.8
965,171.1,63.7
966,169.5,52.0
967,160.5,37.6
968,177.6,85.3
969,172.1,67.2
970,178.5,66.3
971,188.1,103.8
972,178.2,89.4
973,170.1,61.1
974,159.8,56.8
975,165.1,81.1
976,173.2,63.3
977,160.2,40.0
978,160.0,82.7
979,168.5,71.0
980,165.6,73.2
981,154.9,52.2
982,172.3,76.8
983,166.8,66.5
984,177.4,62.5
985,165.2,58.4
986,173.5,63.5
987,160.3,41.3
988,179.0,99.1
989,158.1,64.2
990,164.4,56.9
991,179.5,82.3
992,155.6,54.8
993,160.9,34.8
994,174.2,89.9
995,159.2,59.2
996,176.0,80.4
997,149.3,54.1
998,180.4,66.2
999,154.3,69.7
1000,171.3,42.6
1001,178.7,72.2
1002,160.9,64.7
1003,179.4,66.5
1004,164.9,64.6
1005,167.8,69.2
1006,157.0,61.5
1007,190.4,64.0
1008,162.2,64.9
1009,177.7,81.2
1010,171.0,49.9
1011,183.5,80.8
1012,161.0,48.6
1013,160.6,63.7
1014,159.9,43.9
1015,163.6,48.0
1016,168.7,68.1
1017,176.0,72.9
1018,159.3,63.2
1019,156.7,57.9
1020,177.1,46.0
1021,164.2,58.3
1022,170.4,82.1
1023,172.6,65.1
1024,171.9,73.7
1025,159.3,61.5
1026,171.8,57.7
1027,153.0,56.9
1028,174.1,76.8
1029,186.3,61.5
1030,152.4,50.5
1031,180.4,45.8
1032,155.6,52.2
1033,179.8,103.2
1034,173.4,68.1
1035,162.8,48.0
1036,150.6,35.4
1037,172.6,53.6
1038,182.7,100.3
1039,169.3,72.3
1040,161.8,54.9
1041,167.0,84.8
1042,160.3,50.1
1043,180.0,65.8
1044,156.0,40.2
1045,170.4,71.3
1046,155.9,56.4
1047,179.3,83.5
1048,169.7,79.1
1049,172.6,90.5
1050,173.6,54.7
1051,171.8,77.1
1052,161.1,60.4
1053,177.1,59.1
1054,179.7,70.0
1055,175.3,80.1
1056,156.4,67.3
1057,159.5,71.2
1058,175.7,80.4
1059,163.3,41.2
1060,164.3,48.2
1061,162.2,67.6
1062,160.3,67.1
1063,168.3,69.4
1064,162.3,47.1
1065,175.2,70.3
1066,154.9,54.4
1067,176.0,90.8
1068,177.9,93.9
1069,174.1,57.9
1070,171.4,68.5
1071,165.1,72.4
1072,179.5,87.0
1073,165.3,64.8
1074,165.4,53.7
1075,159.1,74.3
1076,176.8,85.6
1077,159.5,40.3
1078,168.3,39.2
1079,163.4,53.4
1080,161.0,67.1
1081,159.4,80.2
1082,172.6,83.4
1083,165.7,73.7
1084,183.1,59.2
1085,156.7,61.7
1086,182.1,55.3
1087,160.2,61.4
1088,165.5,84.1
1089,163.0,67.8
1090,178.6,83.2
1091,167.5,61.7
1092,162.2,58.9
1093,164.5,64.2
1094,160.3,51.0
1095,158.1,61.4
1096,166.3,77.5
1097,164.2,75.5
1098,178.0,78.2
1099,177.7,65.7
1100,162.1,44.7
1101,163.6,75.9
1102,172.0,61.3
1103,187.6,96.9
1104,177.6,97.0
1105,158.8,73.9
1106,150.9,45.3
1107,175.7,57.1
1108,177.6,75.8
1109,185.0,74.8
1110,170.6,85.2
1111,164.9,77.9
1112,170.1,70.9
1113,156.1,60.3
1114,167.4,70.8
1115,160.4,55.8
1116,169.9,64.0
1117,175.4,74.4
1118,172.9,58.8
1119,186.2,108.7
1120,174.8,66.5
1121,176.3,69.3
1122,172.1,67.3
1123,163.1,54.0
1124,177.1,61.6
1125,169.5,52.5
1126,159.6,52.3
1127,180.0,74.9
1128,167.3,61.4
1129,160.1,62.0
1130,118.19999999999999,31.4
1131,174.4,72.1
1132,172.4,84.3
1133,161.8,54.3
1134,178.0,63.2
1135,167.6,63.2
1136,157.6,55.9
1137,173.0,78.4
1138,150.3,58.6
1139,173.5,51.6
1140,168.0,58.9
1141,163.9,70.6
1142,159.3,56.4
1143,177.0,66.0
1144,162.0,58.1
1145,172.2,47.9
1146,177.2,98.8
1147,178.6,85.0
1148,163.9,57.3
1149,162.8,65.9
1150,184.2,76.2
1151,183.2,96.5
1152,153.4,70.4
1153,176.0,93.8
1154,176.4,80.7
1155,161.4,67.5
1156,183.1,90.6
1157,180.4,75.7
1158,180.5,70.8
1159,164.7,66.2
1160,174.5,63.0
1161,170.7,51.5
1162,154.3,66.4
1163,168.3,63.4
1164,159.8,73.0
1165,162.0,60.9
1166,162.1,60.0
1167,164.9,58.7
1168,154.8,44.5
1169,160.2,54.8
1170,175.5,84.3
1171,161.7,72.6
1172,163.8,64.2
1173,166.5,60.4
1174,163.4,63.4
1175,169.9,76.9
1176,121.0,39.7
1177,172.7,88.6
1178,164.6,58.9
1179,166.3,49.4
1180,161.8,44.3
1181,166.1,59.5
1182,164.2,49.9
1183,153.9,58.5
1184,172.5,60.2
1185,156.2,66.5
1186,163.6,56.2
1187,170.7,53.4
1188,163.7,77.0
1189,160.8,63.3
1190,166.7,72.1
1191,155.0,54.7
1192,181.3,73.2
1193,179.5,96.3
1194,170.6,84.5
1195,177.2,64.2
1196,176.2,85.7
1197,179.8,106.0
1198,159.3,79.0
1199,166.3,44.4
1200,157.1,67.9
1201,173.5,65.4
1202,164.9,46.4
1203,170.0,58.2
1204,157.5,70.8
1205,164.9,51.4
1206,172.6,45.1
1207,173.2,68.7
1208,174.7,66.0
1209,165.4,67.2
1210,160.3,50.0
1211,155.0,27.9
1212,167.3,60.1
1213,180.4,74.8
1214,160.3,68.0
1215,175.0,74.3
1216,173.8,73.2
1217,187.9,111.5
1218,186.8,73.1
1219,168.1,49.9
1220,156.9,49.9
1221,170.1,58.1
1222,159.6,56.4
1223,172.6,60.3
1224,158.2,60.8
1225,178.3,76.9
1226,153.8,43.8
1227,174.4,70.2
1228,174.3,59.4
1229,155.6,39.0
1230,167.6,63.4
1231,160.0,55.4
1232,178.3,89.6
1233,161.8,49.9
1234,173.9,51.9
1235,167.9,77.6
1236,168.0,60.2
1237,176.9,59.8
1238,179.6,74.6
1239,164.5,73.5
1240,178.5,74.9
1241,186.6,82.5
1242,175.9,79.9
1243,161.8,60.3
1244,163.1,73.9
1245,155.0,58.5
1246,173.5,81.4
1247,167.6,75.0
1248,178.0,92.7
1249,175.0,93.7
1250,170.2,62.0
1251,183.2,59.6
1252,177.4,69.9
1253,154.1,64.9
1254,157.0,55.6
1255,157.3,55.8
1256,178.8,64.4
1257,152.0,58.3
1258,178.7,51.3
1259,175.0,76.3
1260,152.4,47.1
1261,157.4,61.2
1262,174.5,62.1
1263,172.6,72.8
1264,180.6,76.9
1265,168.3,58.9
1266,152.7,46.7
1267,167.2,48.4
1268,152.4,48.5
1269,154.0,46.5
1270,167.3,76.0
1271,161.6,60.6
1272,174.8,92.5
1273,181.5,68.2
1274,161.5,42.3
1275,172.9,73.3
1276,173.4,53.0
1277,175.0,72.4
1278,170.5,82.1
1279,178.0,60.2
1280,167.2,63.2
1281,156.9,44.9
1282,172.9,67.1
1283,158.6,66.8
1284,161.4,61.5
1285,175.9,81.2
1286,171.3,60.6
1287,175.7,67.8
1288,158.1,50.9
1289,180.2,79.2
1290,162.2,59.5
1291,172.1,88.8
1292,170.2,71.4
1293,171.9,52.7
1294,162.6,48.2
1295,177.1,65.9
1296,171.6,71.1
1297,159.5,64.1
1298,159.7,55.9
1299,173.5,85.0
1300,156.4,58.9
1301,162.9,63.1
1302,163.2,51.9
1303,156.3,50.8
1304,160.4,52.4
1305,158.2,47.0
1306,186.0,61.4
1307,181.1,70.7
1308,180.2,108.5
1309,176.9,73.9
1310,159.8,54.1
1311,211.09999999999997,66.5
1312,176.0,77.5
1313,166.8,64.1
1314,157.1,47.4
1315,166.3,45.5
1316,172.0,81.5
1317,157.3,58.7
1318,179.2,60.9
1319,159.7,70.7
1320,178.5,52.8
1321,177.6,79.0
1322,178.9,76.5
1323,187.8,65.0
1324,166.3,51.8
1325,171.8,70.8
1326,163.2,56.3
1327,178.7,84.3
1328,172.3,89.4
1329,166.5,61.1
1330,153.2,52.0
1331,177.4,77.4
1332,168.8,82.1
1333,177.0,69.9
1334,172.2,73.3
1335,180.4,75.8
1336,119.6,52.1
1337,164.3,49.2
1338,176.1,81.0
1339,159.9,43.4
1340,151.4,44.9
1341,171.7,60.3
1342,173.0,82.8
1343,159.4,63.8
1344,174.5,57.5
1345,159.7,61.7
1346,161.2,62.1
1347,175.1,71.6
1348,170.9,61.1
1349,180.1,64.9
1350,157.0,58.8
1351,176.4,91.2
1352,176.6,72.0
1353,172.3,69.7
1354,174.2,80.7
1355,167.4,55.7
