video_id,trending_date,channel_title,category_id,publish_time,views,likes,dislikes
159,18.30.05,Matt Stonie,24,2018-05-23T00:15:30.000Z,1624246,44682,1900
160,18.30.05,PBS Eons,28,2018-05-22T21:00:37.000Z,1600143,40041,1459
161,18.30.05,"Tyler, The Creator",27,2018-05-22T15:20:56.000Z,1690379,120450,1356
162,18.30.05,CollegeHumor,23,2018-05-22T17:30:00.000Z,922194,42329,1750
163,18.30.05,KathleenLights,26,2018-05-23T11:00:00.000Z,500084,26989,994
164,18.30.05,Diplo,10,2018-05-21T14:12:22.000Z,14534839,542888,12490
165,18.30.05,Screen Junkies,1,2018-05-22T17:00:09.000Z,910973,22021,408
166,18.30.05,Nat Geo WILD,15,2018-05-22T12:00:00.000Z,825151,14522,511
167,18.30.05,Dude Perfect,17,2018-05-21T21:55:23.000Z,15124619,394189,9569
168,18.30.05,IFC Films,1,2018-05-23T14:00:01.000Z,1511003,2328,50
169,18.30.05,American Idol,24,2018-05-22T04:08:24.000Z,1780387,18647,2701
170,18.30.05,Rudy Mancuso,10,2018-05-21T21:00:33.000Z,3303035,183781,4210
171,18.30.05,Warner Bros. Pictures,24,2018-05-21T18:00:16.000Z,13660472,120656,10699
172,18.30.05,Bleecker Street,1,2018-05-22T16:30:39.000Z,1502283,1910,100
173,18.30.05,MustardVEVO,10,2018-05-22T12:00:02.000Z,721373,29942,444
174,18.30.05,LOL Network,23,2018-05-21T17:00:03.000Z,580422,8754,241
175,18.30.05,ShawnMendesVEVO,10,2018-05-21T16:40:16.000Z,474199,23050,986
176,18.30.05,Bon App,24,2018-05-21T16:01:51.000Z,715374,22508,657
177,18.30.05,Dancing With The Stars,24,2018-05-22T01:58:34.000Z,319577,2341,398
178,18.30.05,Saturday Night Live,24,2018-05-20T04:58:51.000Z,8069531,64279,13751
179,18.30.05,CrazyRussianHacker,28,2018-05-20T18:58:15.000Z,1498628,26585,1547
180,18.30.05,ABC News (Australia),25,2018-05-20T21:57:04.000Z,687975,3728,225
181,18.30.05,miniminter,20,2018-05-20T18:00:02.000Z,2727572,100783,2832
182,18.30.05,The King of Random,27,2018-05-20T15:00:02.000Z,1106330,12160,2170
183,18.30.05,CBC News,25,2018-05-20T16:09:06.000Z,1096842,5129,744
184,18.30.05,NickiMinajAtVEVO,10,2018-05-20T07:53:59.000Z,4358719,179746,8908
185,18.30.05,The Game Theorists,20,2018-05-19T18:04:47.000Z,4459181,116052,5927
186,18.30.05,BBC News,25,2018-05-20T15:42:31.000Z,505918,2765,445
187,18.30.05,LaurDIY,26,2018-05-20T16:00:01.000Z,2433709,95997,2144
188,18.30.05,Lucas the Spider,1,2018-05-19T14:52:43.000Z,5874603,253182,3949
189,18.30.05,Bill Gates,29,2018-05-21T13:30:33.000Z,302280,10067,146
190,18.30.05,NBC Sports,17,2018-05-19T23:10:34.000Z,605349,2233,288
191,18.30.05,BBC,25,2018-05-19T17:09:06.000Z,3532210,20178,2578
192,18.30.05,Hannah Stocking,23,2018-05-19T16:30:09.000Z,4050789,120324,11603
193,18.30.05,The New Yorker,24,2018-05-19T18:30:55.000Z,9837996,46459,3830
194,18.30.05,FC Barcelona,17,2018-05-20T21:06:15.000Z,476990,10051,175
195,18.30.05,FaZe Rug,20,2018-05-18T20:50:44.000Z,2692323,115245,4282
196,18.30.05,BBC Sport,17,2018-05-19T17:09:22.000Z,342126,8538,155
197,18.30.05,Daddy Yankee,10,2018-05-18T14:00:04.000Z,26610351,571933,37075
198,18.30.05,SZAVEVO,10,2018-05-18T14:00:04.000Z,4759935,198757,3743
199,18.30.05,TODAY,25,2018-05-19T12:01:11.000Z,1034276,5411,723
200,18.30.05,Team Edge,23,2018-05-18T21:16:00.000Z,1200276,19968,421
201,18.30.05,ibighit,10,2018-05-18T09:00:02.000Z,115664850,5530568,200995
202,18.30.05,Safiya Nygaard,22,2018-05-18T17:30:59.000Z,6113510,308808,3005
203,18.30.05,FifthHarmonyVEVO,10,2018-05-18T07:00:08.000Z,13411081,601335,12924
204,18.30.05,AaronsAnimals,15,2018-05-18T13:00:04.000Z,1311628,33659,1195
205,18.30.05,Dan And Shay,10,2018-05-18T04:04:58.000Z,2200764,28824,782
206,18.30.05,BuzzFeed Celeb,22,2018-05-18T16:39:29.000Z,6710284,604352,3558
207,18.30.05,Brad Mondo,24,2018-05-18T17:34:22.000Z,983141,45528,1011
208,18.30.05,zefrank1,22,2018-05-18T01:00:06.000Z,942703,56879,359
209,18.30.05,Call of Duty,20,2018-05-17T17:09:38.000Z,9494633,343866,204750
210,18.30.05,Vox,25,2018-05-18T11:00:03.000Z,477813,8162,658
211,18.30.05,AsapSCIENCE,28,2018-05-16T18:16:26.000Z,42240836,561273,33258
212,18.30.05,BackstreetBoysVEVO,10,2018-05-17T04:00:01.000Z,14019201,384824,15698
213,18.30.05,Binging with Babish,24,2018-05-17T16:47:42.000Z,1192035,34465,586
214,18.30.05,SigridVEVO,10,2018-05-17T12:00:04.000Z,1963462,54982,1082
215,18.30.05,CalumScottVEVO,10,2018-05-16T23:00:00.000Z,5803881,129808,1409
216,18.30.05,Movieclips Trailers,1,2018-05-16T20:29:17.000Z,4492756,54004,1677
217,18.30.05,CBS This Morning,25,2018-05-16T15:48:39.000Z,3220711,11917,2013
218,18.30.05,JennaMarbles,23,2018-05-16T22:33:29.000Z,3249829,329550,1780
219,18.30.05,Gabbie Hanna,26,2018-05-17T01:12:32.000Z,3848577,137560,4491
220,18.30.05,itsAlexClark,1,2018-05-16T21:53:15.000Z,1318729,39261,1238
221,18.30.05,Paramount Pictures,1,2018-05-16T06:59:59.000Z,16048699,169473,5317
222,18.30.05,You Suck At Cooking,26,2018-05-16T12:39:20.000Z,639814,33723,495
223,18.30.05,Dragonfoxgirl,24,2018-05-15T05:06:07.000Z,6547334,313744,5042
224,18.30.05,20th Century Fox,1,2018-05-15T13:01:12.000Z,12700845,336625,6650
225,18.30.05,jacksepticeye,27,2018-05-15T19:00:00.000Z,1446124,54094,996
226,18.30.05,Laura Lee,26,2018-05-15T20:56:25.000Z,1060921,37493,1086
227,18.30.05,James Charles,24,2018-05-15T21:02:27.000Z,4444686,221365,3505
228,18.30.05,TaylorSwiftVEVO,10,2018-05-15T21:02:41.000Z,2152235,113781,4551
229,18.30.05,E! Entertainment,24,2018-05-15T12:59:50.000Z,748708,5464,422
230,18.30.05,Focus Features,24,2018-05-14T18:59:59.000Z,5170138,35340,3149
231,18.30.05,Complex,24,2018-05-14T14:00:03.000Z,4361175,113556,5599
232,18.30.05,Microsoft Surface,28,2018-05-15T12:55:28.000Z,1790113,46076,826
233,18.30.05,grav3yardgirl,26,2018-05-14T19:00:01.000Z,3716941,302901,13342
234,18.30.05,How To Cake It,26,2018-05-15T14:59:46.000Z,551610,18524,293
235,18.30.05,JVR Music,10,2018-05-14T15:59:47.000Z,16281826,130175,9306
236,18.30.05,TheOdd2sOut,23,2018-05-14T19:36:05.000Z,1123772,95225,789
237,18.30.05,Teen Vogue,24,2018-05-15T16:00:45.000Z,1134613,57222,210
238,18.30.05,Linus Tech Tips,28,2018-05-14T19:00:20.000Z,2517383,82888,10736
239,18.30.05,Lucas and Marcus,24,2018-05-13T18:03:56.000Z,8919607,143957,19784
240,18.30.05,Rooster Teeth,1,2018-05-14T13:00:01.000Z,721272,25109,172
241,18.30.05,Unbox Therapy,28,2018-05-13T19:00:25.000Z,6476889,134297,10346
242,18.30.05,Papa Jake,24,2018-05-13T16:42:33.000Z,1932227,29606,4612
243,18.30.05,Strictly Dumpling,19,2018-05-13T20:17:14.000Z,769914,14684,506
244,18.30.05,MBCentertainment,24,2018-05-13T09:15:36.000Z,3677489,52264,520
245,18.30.05,Kurzgesagt ??In a Nutshell,27,2018-05-13T12:00:22.000Z,4479068,234796,2039
246,18.30.05,Kelly Clarkson,10,2018-05-13T13:00:41.000Z,1958072,46486,1069
247,18.30.05,Vat19,24,2018-05-12T11:30:03.000Z,4192641,42634,1872
248,18.30.05,nigahiga,24,2018-05-11T21:11:16.000Z,14174607,535806,15532
249,18.30.05,Jaclyn Hill,26,2018-05-11T22:25:51.000Z,2922307,114148,6918
250,18.30.05,Rita Ora,24,2018-05-11T09:23:16.000Z,16314232,314523,33658
251,18.30.05,Charlie Puth,10,2018-05-11T04:00:34.000Z,7933848,114868,2431
252,18.30.05,Selena Gomez,1,2018-05-10T16:00:11.000Z,37358368,796926,14751
253,18.30.05,Michelle Khare,24,2018-05-11T15:00:01.000Z,1432049,33043,1603
254,18.30.05,BostonDynamics,28,2018-05-10T19:56:28.000Z,6547710,84803,3047
255,18.30.05,johnmayerVEVO,10,2018-05-10T17:00:01.000Z,3049163,73349,1471
256,18.30.05,Clash Royale,20,2018-05-10T13:19:23.000Z,14966797,267199,23960
257,18.30.05,SiaVEVO,10,2018-05-10T12:00:03.000Z,15209320,391728,5949
258,18.30.05,NikkieTutorials,26,2018-05-10T21:11:15.000Z,2755679,155357,2127
259,18.30.05,MeghanTrainorVEVO,10,2018-05-10T12:00:07.000Z,1905367,40176,2376
260,18.30.05,SamSmithWorldVEVO,10,2018-05-09T17:00:00.000Z,16538689,335666,8552
261,18.30.05,Bleacher Report,43,2018-05-10T21:01:22.000Z,1294581,22211,605
262,18.30.05,Cobra Kai,24,2018-05-10T17:02:55.000Z,1002673,31660,972
263,18.30.05,davematthewsbandVEVO,10,2018-05-10T12:00:00.000Z,373092,5324,184
264,18.30.05,emmymadeinjapan,26,2018-05-11T00:00:04.000Z,205138,8452,179
265,18.30.05,Team Coco,23,2018-05-10T01:57:54.000Z,2099468,61061,944
266,18.30.05,EnriqueIglesiasVEVO,10,2018-05-09T07:00:01.000Z,19373115,228196,11010
267,18.30.05,Nintendo,20,2018-05-09T12:00:08.000Z,1434789,39979,2559
268,18.30.05,Washington Post,25,2018-05-07T19:12:46.000Z,8168368,70019,11078
269,18.30.05,Studio C,23,2018-05-08T22:00:03.000Z,633841,12764,1209
270,18.30.05,VH1,24,2018-05-08T02:15:00.000Z,4750486,211999,1124
271,18.30.05,Architectural Digest,26,2018-05-08T16:02:47.000Z,569394,11520,362
272,18.30.05,OmarGoshTV,24,2018-05-08T07:01:05.000Z,791244,51540,1850
273,18.30.05,Vanity Fair,24,2018-05-08T16:00:43.000Z,457728,20114,269
274,18.30.05,ChildishGambinoVEVO,10,2018-05-06T04:00:07.000Z,210338856,4836448,326902
275,18.30.05,Gallant,10,2018-05-08T14:00:03.000Z,577805,8462,504
276,18.30.05,EverythingApplePro,24,2018-05-09T02:56:43.000Z,1076358,21283,923
277,18.30.05,Olivia Jade,26,2018-05-08T22:58:12.000Z,577261,22482,992
278,18.30.05,Universal Pictures,24,2018-05-08T12:15:07.000Z,4585405,16290,861
279,18.30.05,iJustine,22,2018-05-07T14:31:43.000Z,1255581,34039,5504
280,18.30.05,carrieunderwoodVEVO,10,2018-05-07T01:45:01.000Z,4808435,54340,3022
281,18.30.05,BBC Three,24,2018-05-08T11:00:04.000Z,561101,11989,269
282,18.30.05,Smosh,23,2018-05-07T16:00:09.000Z,1312364,37765,1442
283,18.30.05,PewDiePie,24,2018-05-06T17:27:32.000Z,6841622,494130,6966
284,18.30.05,videogamedunkey,20,2018-05-06T19:30:01.000Z,2703619,131994,5149
285,18.30.05,What's Inside?,28,2018-05-05T15:02:28.000Z,3323467,40519,7487
286,18.30.05,Marzia,22,2018-05-05T15:00:12.000Z,4884193,431977,4851
287,18.30.05,How Ridiculous,17,2018-05-04T22:00:07.000Z,14183631,142619,13696
288,18.31.05,Maroon5VEVO,10,2018-05-31T04:00:00.000Z,3057987,406604,4520
289,18.31.05,The Official Pok,20,2018-05-30T01:22:17.000Z,5616854,190079,20368
290,18.31.05,Cardi B,10,2018-05-29T14:05:10.000Z,20723565,1018785,48090
291,18.31.05,Smosh,23,2018-05-30T16:00:05.000Z,1372576,57332,3007
292,18.31.05,Simone Giertz,28,2018-05-30T14:22:13.000Z,1058246,102940,707
293,18.31.05,Gabbie Hanna,26,2018-05-30T21:00:02.000Z,1550845,139013,916
294,18.31.05,itsAlexClark,1,2018-05-30T22:05:02.000Z,381081,30863,419
295,18.31.05,Skip and Shannon: UNDISPUTED,17,2018-05-30T17:01:39.000Z,503964,4889,1407
296,18.31.05,HellthyJunkFood,24,2018-05-30T23:59:24.000Z,224124,7770,275
297,18.31.05,America's Got Talent,24,2018-05-30T01:59:01.000Z,1102513,22878,481
298,18.31.05,Erika Costell,22,2018-05-29T21:00:01.000Z,2949068,128992,60701
299,18.31.05,Entertainment Tonight,24,2018-05-30T03:13:23.000Z,469993,2673,774
300,18.31.05,Jimmy Kimmel Live,23,2018-05-30T02:40:54.000Z,2190835,19535,5243
301,18.31.05,weezer,10,2018-05-29T12:00:11.000Z,2435309,70288,2916
302,18.31.05,The Daily Show with Trevor Noah,23,2018-05-30T02:36:20.000Z,500664,12506,531
303,18.31.05,TheEllenShow,24,2018-05-30T13:00:03.000Z,296964,7993,198
304,18.31.05,Markiplier,24,2018-05-29T18:41:24.000Z,983218,92844,429
305,18.31.05,James Charles,24,2018-05-29T21:00:31.000Z,1548781,128639,2164
306,18.31.05,Screen Junkies,1,2018-05-29T17:00:00.000Z,1361565,48414,937
307,18.31.05,DALLMYD,17,2018-05-28T19:30:08.000Z,750961,40735,1285
308,18.31.05,Good Mythical Morning,24,2018-05-28T10:00:12.000Z,1635751,45977,2588
309,18.31.05,JunsKitchen,26,2018-05-28T10:00:34.000Z,1819351,166932,1033
310,18.31.05,ESPN,17,2018-05-29T04:17:05.000Z,998227,7743,1278
311,18.31.05,CNN,25,2018-05-28T18:36:47.000Z,874578,11998,527
