subject,score,attendance,homework_score
history,61.0,,81.0
math,70.0,,
history,59.0,,
history,79.0,77.0,61.0
english,71.0,91.0,57.0
science,70.0,,57.0
english,76.0,72.0,99.0
math,,70.0,77.0
english,73.0,72.0,69.0
history,61.0,74.0,96.0
history,72.0,84.0,56.0
english,78.0,83.0,
history,51.0,72.0,69.0
english,73.0,70.0,65.0
english,88.0,74.0,53.0
history,69.0,95.0,
science,99.0,,
math,56.0,,75.0
science,61.0,83.0,
science,52.0,76.0,90.0
math,53.0,,91.0
history,100.0,78.0,63.0
english,56.0,,60.0
science,61.0,84.0,67.0
history,58.0,95.0,
science,56.0,79.0,72.0
history,68.0,97.0,61.0
history,43.0,82.0,62.0
english,,88.0,
math,92.0,100.0,94.0
english,,76.0,100.0
english,,86.0,
science,75.0,89.0,95.0
science,68.0,98.0,85.0
science,83.0,,94.0
english,71.0,,
science,55.0,74.0,78.0
history,59.0,,81.0
english,51.0,76.0,100.0
math,93.0,,
english,58.0,84.0,67.0
history,66.0,80.0,55.0
history,79.0,,67.0
english,98.0,73.0,
history,86.0,,71.0
math,83.0,76.0,86.0
math,84.0,96.0,81.0
english,40.0,88.0,90.0
science,78.0,91.0,52.0
science,50.0,97.0,77.0
science,88.0,71.0,59.0
english,76.0,,100.0
english,98.0,,84.0
math,48.0,99.0,78.0
math,40.0,94.0,64.0
science,84.0,90.0,82.0
english,50.0,75.0,56.0
english,99.0,97.0,61.0
math,44.0,97.0,98.0
science,44.0,81.0,79.0
science,70.0,81.0,70.0
math,76.0,,
english,99.0,99.0,73.0
math,78.0,99.0,69.0
english,65.0,80.0,86.0
math,69.0,95.0,53.0
english,83.0,92.0,77.0
science,65.0,97.0,93.0
history,47.0,94.0,69.0
english,77.0,,73.0
science,88.0,99.0,99.0
science,83.0,,98.0
english,66.0,,100.0
english,78.0,,
english,74.0,96.0,90.0
history,,99.0,
science,64.0,,83.0
math,44.0,89.0,
history,45.0,82.0,51.0
math,83.0,,64.0
math,65.0,72.0,
history,47.0,76.0,85.0
history,67.0,,55.0
science,60.0,,88.0
science,87.0,96.0,91.0
history,78.0,78.0,100.0
science,85.0,99.0,100.0
history,64.0,74.0,61.0
science,73.0,70.0,52.0
english,65.0,,94.0
history,83.0,79.0,67.0
math,52.0,,89.0
english,67.0,93.0,70.0
science,52.0,,64.0
history,73.0,96.0,
science,99.0,91.0,84.0
history,57.0,,75.0
history,51.0,78.0,
english,75.0,89.0,85.0
math,81.0,86.0,97.0
english,67.0,,79.0
math,86.0,86.0,72.0
science,73.0,,
science,85.0,,93.0
history,92.0,81.0,63.0
history,74.0,99.0,63.0
science,43.0,76.0,51.0
history,,,86.0
english,80.0,72.0,54.0
science,53.0,86.0,87.0
history,,,94.0
math,100.0,86.0,90.0
science,96.0,93.0,96.0
science,73.0,86.0,
history,71.0,96.0,88.0
english,40.0,,74.0
history,79.0,71.0,
english,56.0,71.0,51.0
science,56.0,97.0,
english,96.0,91.0,55.0
math,59.0,92.0,66.0
history,55.0,,74.0
history,70.0,70.0,77.0
math,95.0,70.0,
history,58.0,88.0,84.0
math,92.0,,86.0
science,80.0,71.0,54.0
math,66.0,90.0,50.0
science,82.0,81.0,89.0
math,92.0,,
history,74.0,,85.0
english,60.0,92.0,94.0
math,94.0,73.0,72.0
english,70.0,92.0,96.0
math,45.0,80.0,80.0
math,52.0,,60.0
history,73.0,96.0,59.0
english,84.0,86.0,52.0
science,65.0,100.0,63.0
history,,75.0,65.0
math,71.0,93.0,59.0
english,58.0,74.0,
science,48.0,89.0,59.0
math,97.0,71.0,61.0
math,60.0,75.0,79.0
math,81.0,91.0,90.0
science,81.0,80.0,
science,71.0,,
history,50.0,,69.0
english,84.0,85.0,
science,60.0,70.0,92.0
science,,78.0,61.0
math,93.0,97.0,
math,94.0,96.0,69.0
history,53.0,75.0,
english,91.0,85.0,92.0
science,,,86.0
science,81.0,72.0,
english,93.0,89.0,86.0
science,,97.0,61.0
math,,96.0,86.0
math,45.0,73.0,98.0
math,,,
english,60.0,,93.0
english,53.0,,77.0
english,40.0,100.0,96.0
math,42.0,88.0,
history,64.0,,55.0
science,93.0,76.0,93.0
history,99.0,,69.0
history,57.0,,99.0
math,93.0,,
science,67.0,77.0,51.0
history,46.0,76.0,58.0
math,50.0,,86.0
math,79.0,77.0,69.0
english,88.0,,75.0
math,41.0,80.0,
science,59.0,97.0,
math,56.0,94.0,84.0
math,,94.0,55.0
science,71.0,87.0,86.0
science,,,54.0
english,55.0,,
math,,99.0,98.0
history,79.0,79.0,100.0
english,82.0,72.0,63.0
english,62.0,76.0,61.0
science,40.0,,91.0
math,96.0,,69.0
math,42.0,95.0,
english,90.0,85.0,73.0
math,,94.0,92.0
english,84.0,89.0,83.0
history,93.0,97.0,74.0
science,53.0,86.0,99.0
history,67.0,71.0,
science,69.0,70.0,88.0
history,80.0,,80.0
history,85.0,99.0,96.0
math,,81.0,92.0
history,53.0,74.0,99.0
english,68.0,74.0,72.0
english,60.0,96.0,93.0
history,67.0,,87.0
history,80.0,78.0,69.0
history,86.0,,72.0
english,89.0,72.0,94.0
math,,88.0,65.0
math,58.0,85.0,99.0
history,96.0,85.0,91.0
history,46.0,72.0,57.0
science,,89.0,99.0
science,53.0,93.0,70.0
math,85.0,91.0,50.0
science,52.0,,57.0
science,89.0,70.0,
science,77.0,93.0,81.0
science,84.0,89.0,87.0
english,66.0,80.0,54.0
science,86.0,86.0,96.0
history,81.0,77.0,71.0
english,40.0,73.0,96.0
science,92.0,75.0,83.0
history,86.0,77.0,50.0
math,100.0,89.0,75.0
math,,,92.0
science,76.0,72.0,59.0
english,94.0,,79.0
english,93.0,99.0,99.0
science,74.0,,67.0
history,61.0,72.0,66.0
history,88.0,94.0,75.0
science,49.0,98.0,57.0
english,93.0,87.0,
english,100.0,83.0,
science,84.0,87.0,98.0
history,41.0,71.0,61.0
history,74.0,91.0,76.0
science,61.0,,57.0
history,68.0,85.0,74.0
english,,98.0,
science,,78.0,
science,43.0,,82.0
science,93.0,70.0,50.0
math,,,68.0
math,90.0,,
science,62.0,83.0,65.0
math,44.0,,63.0
math,99.0,85.0,97.0
history,80.0,89.0,54.0
math,95.0,93.0,90.0
english,60.0,,75.0
math,72.0,76.0,77.0
english,68.0,,51.0
science,56.0,86.0,99.0
math,,70.0,55.0
english,44.0,,58.0
math,48.0,,82.0
history,52.0,,
science,98.0,88.0,74.0
science,94.0,91.0,
science,72.0,92.0,
math,,91.0,58.0
math,,83.0,62.0
science,80.0,,80.0
science,,75.0,90.0
science,80.0,75.0,60.0
science,91.0,82.0,53.0
history,54.0,88.0,83.0
math,65.0,,87.0
science,44.0,,95.0
history,48.0,96.0,53.0
history,,,87.0
history,53.0,71.0,68.0
math,65.0,,55.0
science,86.0,,83.0
english,41.0,70.0,
math,58.0,97.0,62.0
math,40.0,84.0,
science,,70.0,72.0
science,60.0,74.0,68.0
science,79.0,,94.0
math,80.0,98.0,60.0
history,76.0,,50.0
history,62.0,,73.0
history,62.0,,56.0
history,44.0,,74.0
science,44.0,86.0,70.0
math,72.0,86.0,64.0
science,81.0,81.0,
history,93.0,97.0,61.0
science,,99.0,56.0
history,65.0,98.0,64.0
math,80.0,,70.0
history,54.0,90.0,
history,,75.0,
math,83.0,72.0,74.0
english,96.0,97.0,
history,77.0,78.0,98.0
history,78.0,74.0,81.0
english,90.0,93.0,
science,43.0,98.0,84.0
history,72.0,86.0,93.0
math,99.0,,87.0
math,63.0,90.0,75.0
history,50.0,100.0,
english,47.0,72.0,84.0
science,46.0,97.0,57.0
science,45.0,70.0,
math,48.0,,63.0
history,43.0,100.0,59.0
math,,98.0,51.0
science,45.0,90.0,95.0
english,51.0,92.0,58.0
science,58.0,,
history,81.0,72.0,70.0
math,90.0,,75.0
history,65.0,,57.0
history,45.0,79.0,97.0
english,,,
science,53.0,91.0,55.0
history,52.0,95.0,77.0
english,63.0,72.0,78.0
science,59.0,77.0,
science,79.0,83.0,74.0
science,,,
english,40.0,87.0,54.0
math,90.0,84.0,83.0
english,64.0,91.0,
english,42.0,,86.0
history,52.0,71.0,64.0
history,68.0,100.0,93.0
history,71.0,96.0,85.0
english,45.0,79.0,64.0
history,89.0,71.0,92.0
history,47.0,95.0,97.0
science,,86.0,72.0
history,81.0,,
english,81.0,70.0,95.0
history,68.0,,
math,46.0,,
science,,91.0,92.0
math,74.0,,94.0
history,87.0,76.0,
math,65.0,,72.0
math,,79.0,92.0
history,,92.0,65.0
science,70.0,95.0,96.0
history,90.0,72.0,
english,98.0,,74.0
science,78.0,94.0,85.0
english,99.0,93.0,
history,77.0,82.0,100.0
math,96.0,97.0,64.0
history,74.0,95.0,53.0
science,47.0,76.0,70.0
english,58.0,94.0,62.0
science,90.0,,71.0
science,76.0,,68.0
english,50.0,89.0,83.0
science,74.0,70.0,63.0
science,54.0,77.0,
science,46.0,83.0,97.0
history,55.0,85.0,95.0
science,44.0,83.0,76.0
english,50.0,,78.0
english,54.0,,96.0
history,71.0,92.0,77.0
math,77.0,84.0,
history,60.0,97.0,57.0
english,61.0,,65.0
history,57.0,71.0,91.0
math,63.0,92.0,85.0
science,46.0,100.0,79.0
science,53.0,91.0,67.0
math,83.0,88.0,
math,68.0,94.0,98.0
science,84.0,95.0,62.0
english,,100.0,53.0
english,93.0,99.0,
math,43.0,98.0,74.0
english,48.0,91.0,79.0
history,,95.0,60.0
history,80.0,95.0,56.0
math,70.0,91.0,80.0
english,42.0,86.0,
english,56.0,89.0,59.0
history,92.0,79.0,88.0
english,98.0,,
history,100.0,84.0,80.0
math,47.0,91.0,
history,97.0,80.0,98.0
history,86.0,97.0,91.0
english,97.0,74.0,91.0
math,,,85.0
history,,77.0,69.0
history,90.0,,53.0
science,95.0,,56.0
history,74.0,,50.0
english,88.0,,93.0
science,60.0,,
english,55.0,76.0,91.0
science,78.0,73.0,
english,100.0,75.0,62.0
english,72.0,82.0,71.0
history,,89.0,
math,64.0,,71.0
math,46.0,,77.0
history,40.0,72.0,
math,67.0,92.0,
history,59.0,77.0,58.0
math,,89.0,64.0
science,88.0,85.0,59.0
history,54.0,82.0,73.0
science,68.0,,91.0
math,40.0,97.0,
english,97.0,79.0,73.0
math,100.0,99.0,65.0
history,92.0,88.0,98.0
english,65.0,,75.0
science,94.0,93.0,76.0
math,68.0,,
history,71.0,,53.0
history,46.0,97.0,99.0
english,95.0,95.0,73.0
math,,92.0,
history,92.0,95.0,85.0
math,90.0,,88.0
science,71.0,95.0,59.0
history,92.0,90.0,74.0
science,74.0,99.0,
english,90.0,92.0,
english,65.0,,85.0
science,80.0,78.0,
math,50.0,81.0,82.0
science,92.0,,
math,94.0,70.0,
english,52.0,95.0,96.0
history,91.0,95.0,
english,74.0,,84.0
science,51.0,84.0,93.0
math,59.0,,83.0
science,51.0,,82.0
math,100.0,91.0,
english,99.0,85.0,66.0
history,41.0,94.0,71.0
english,,77.0,97.0
science,69.0,82.0,86.0
english,95.0,,64.0
history,86.0,70.0,84.0
history,42.0,85.0,77.0
history,98.0,98.0,56.0
history,53.0,,81.0
science,93.0,100.0,60.0
history,86.0,74.0,59.0
history,95.0,91.0,58.0
history,97.0,98.0,63.0
english,52.0,,62.0
english,100.0,,74.0
science,,,51.0
science,45.0,95.0,84.0
history,,85.0,56.0
english,44.0,,70.0
history,68.0,74.0,67.0
math,45.0,91.0,52.0
english,48.0,94.0,
history,58.0,98.0,88.0
math,43.0,83.0,90.0
math,,,98.0
history,76.0,74.0,60.0
science,71.0,84.0,88.0
history,56.0,86.0,73.0
english,41.0,99.0,95.0
science,76.0,,68.0
history,43.0,,53.0
english,46.0,89.0,75.0
english,77.0,74.0,87.0
science,,81.0,91.0
science,62.0,85.0,81.0
history,96.0,95.0,88.0
science,78.0,95.0,
math,64.0,85.0,95.0
math,75.0,90.0,85.0
history,71.0,76.0,89.0
math,,73.0,86.0
science,41.0,,82.0
history,97.0,99.0,85.0
math,100.0,99.0,52.0
history,83.0,,58.0
math,81.0,92.0,
english,85.0,95.0,82.0
english,50.0,,55.0
english,,91.0,90.0
math,88.0,74.0,88.0
english,99.0,73.0,53.0
history,63.0,71.0,62.0
english,81.0,89.0,98.0
history,48.0,100.0,51.0
science,91.0,,54.0
science,,95.0,
english,93.0,88.0,76.0
english,68.0,95.0,81.0
math,73.0,70.0,70.0
history,90.0,93.0,57.0
science,,74.0,87.0
science,75.0,82.0,
english,46.0,,99.0
science,40.0,85.0,
english,47.0,93.0,93.0
history,65.0,,52.0
english,70.0,92.0,
science,74.0,,
science,50.0,86.0,
science,92.0,97.0,72.0
science,78.0,96.0,
science,48.0,89.0,51.0
history,60.0,93.0,87.0
history,65.0,81.0,
science,63.0,,84.0
math,,72.0,83.0
english,,97.0,72.0
english,80.0,70.0,
english,46.0,70.0,
science,74.0,98.0,71.0
science,75.0,,
science,85.0,,85.0
english,42.0,74.0,54.0
science,99.0,,
science,91.0,72.0,78.0
science,93.0,70.0,80.0
math,61.0,70.0,96.0
math,43.0,,65.0
math,94.0,79.0,91.0
science,67.0,80.0,79.0
english,72.0,81.0,65.0
science,83.0,98.0,61.0
english,51.0,82.0,66.0
english,93.0,81.0,65.0
math,72.0,100.0,61.0
english,52.0,83.0,57.0
science,91.0,71.0,69.0
math,,,52.0
math,,,65.0
english,55.0,87.0,79.0
math,57.0,72.0,94.0
science,61.0,92.0,72.0
math,65.0,,77.0
history,70.0,95.0,100.0
math,68.0,77.0,
english,70.0,98.0,54.0
math,75.0,95.0,69.0
history,92.0,79.0,89.0
english,95.0,95.0,93.0
english,92.0,99.0,50.0
english,,71.0,79.0
math,76.0,88.0,70.0
math,73.0,78.0,69.0
english,82.0,76.0,
history,73.0,,71.0
science,87.0,,67.0
science,53.0,90.0,57.0
math,67.0,,88.0
history,98.0,82.0,
history,99.0,80.0,82.0
science,100.0,98.0,65.0
science,,,61.0
math,89.0,73.0,87.0
science,75.0,,83.0
english,56.0,90.0,63.0
history,99.0,98.0,85.0
science,82.0,94.0,82.0
math,57.0,73.0,72.0
history,59.0,,99.0
science,92.0,74.0,94.0
math,94.0,78.0,51.0
math,56.0,93.0,90.0
math,64.0,72.0,70.0
science,73.0,86.0,
english,,72.0,76.0
math,46.0,,58.0
english,82.0,73.0,
history,93.0,87.0,60.0
history,61.0,86.0,52.0
science,42.0,,72.0
math,48.0,93.0,75.0
math,63.0,,53.0
math,90.0,99.0,
history,44.0,74.0,55.0
history,99.0,,84.0
english,43.0,86.0,71.0
science,85.0,92.0,92.0
english,43.0,82.0,64.0
history,82.0,92.0,71.0
science,75.0,94.0,86.0
math,87.0,72.0,91.0
english,71.0,,61.0
math,75.0,99.0,96.0
history,40.0,86.0,98.0
math,64.0,86.0,91.0
science,87.0,99.0,87.0
science,46.0,89.0,67.0
math,41.0,85.0,94.0
history,73.0,94.0,84.0
math,44.0,91.0,79.0
english,51.0,82.0,73.0
math,70.0,96.0,91.0
science,76.0,88.0,79.0
science,84.0,86.0,63.0
math,57.0,73.0,55.0
math,89.0,,52.0
math,41.0,98.0,65.0
english,54.0,78.0,56.0
science,100.0,88.0,63.0
history,100.0,,58.0
science,,78.0,64.0
science,83.0,76.0,70.0
history,94.0,97.0,84.0
science,49.0,,
math,76.0,100.0,76.0
science,51.0,89.0,
science,54.0,,84.0
english,52.0,95.0,67.0
math,86.0,84.0,63.0
history,76.0,,69.0
english,91.0,90.0,67.0
english,55.0,74.0,59.0
history,,72.0,74.0
science,68.0,81.0,51.0
science,86.0,94.0,74.0
english,87.0,,
math,94.0,96.0,85.0
math,90.0,90.0,
history,61.0,73.0,63.0
math,59.0,,
math,54.0,92.0,95.0
english,,85.0,65.0
math,,94.0,95.0
english,83.0,76.0,52.0
math,84.0,82.0,
history,62.0,,90.0
science,85.0,79.0,55.0
history,43.0,95.0,74.0
math,53.0,76.0,62.0
history,49.0,83.0,83.0
history,67.0,100.0,
english,71.0,95.0,70.0
science,44.0,74.0,83.0
math,91.0,,53.0
science,88.0,,74.0
english,76.0,98.0,64.0
history,,80.0,53.0
english,,80.0,94.0
science,46.0,,61.0
english,,84.0,81.0
math,46.0,81.0,81.0
english,43.0,78.0,77.0
history,77.0,79.0,62.0
math,92.0,95.0,80.0
science,83.0,81.0,63.0
science,,86.0,69.0
english,73.0,,67.0
english,92.0,,78.0
math,,76.0,55.0
history,87.0,83.0,81.0
english,66.0,82.0,78.0
science,93.0,,92.0
science,,,51.0
science,66.0,78.0,72.0
math,48.0,87.0,
english,86.0,96.0,
science,44.0,95.0,
english,87.0,71.0,54.0
science,87.0,74.0,
history,99.0,98.0,83.0
math,97.0,,59.0
history,52.0,75.0,
english,66.0,88.0,51.0
science,47.0,77.0,60.0
math,62.0,85.0,99.0
english,55.0,82.0,
science,95.0,70.0,64.0
english,69.0,91.0,58.0
english,74.0,89.0,72.0
math,,86.0,
math,92.0,100.0,58.0
science,75.0,,84.0
math,80.0,94.0,
history,,,58.0
history,61.0,73.0,
science,63.0,73.0,95.0
math,74.0,75.0,100.0
english,81.0,97.0,56.0
science,74.0,100.0,65.0
math,96.0,88.0,
science,89.0,98.0,82.0
history,,,53.0
math,45.0,,53.0
history,49.0,76.0,88.0
english,61.0,96.0,89.0
science,51.0,79.0,
math,96.0,95.0,
english,58.0,88.0,88.0
history,51.0,76.0,
science,,,
history,58.0,,87.0
english,70.0,82.0,88.0
english,95.0,82.0,99.0
english,80.0,,86.0
history,51.0,97.0,84.0
english,96.0,,56.0
math,61.0,95.0,
math,46.0,89.0,77.0
english,61.0,,71.0
history,59.0,,63.0
history,85.0,98.0,56.0
science,75.0,,86.0
science,89.0,78.0,71.0
science,83.0,76.0,54.0
math,70.0,,51.0
english,50.0,72.0,
science,85.0,82.0,
english,92.0,97.0,
history,99.0,99.0,64.0
math,73.0,94.0,70.0
math,64.0,100.0,
science,49.0,97.0,72.0
math,82.0,,88.0
history,67.0,,54.0
english,47.0,,
math,86.0,70.0,62.0
english,79.0,75.0,70.0
science,41.0,90.0,75.0
english,71.0,75.0,99.0
science,69.0,,94.0
science,78.0,,70.0
english,76.0,82.0,
english,,82.0,86.0
math,43.0,98.0,
science,,84.0,
math,59.0,90.0,
science,41.0,85.0,
english,96.0,91.0,84.0
math,74.0,90.0,98.0
math,68.0,80.0,60.0
math,60.0,,
history,89.0,74.0,75.0
math,77.0,73.0,53.0
history,50.0,,83.0
history,51.0,88.0,
english,75.0,89.0,67.0
math,77.0,94.0,89.0
math,87.0,,84.0
science,48.0,84.0,90.0
math,77.0,78.0,78.0
history,88.0,86.0,78.0
english,89.0,83.0,
history,,,
history,50.0,100.0,70.0
science,74.0,,91.0
english,90.0,90.0,62.0
math,73.0,,
math,,91.0,90.0
math,71.0,72.0,66.0
science,100.0,85.0,
english,54.0,92.0,90.0
english,58.0,94.0,50.0
history,74.0,80.0,51.0
science,56.0,,
history,96.0,,78.0
english,59.0,,82.0
history,64.0,77.0,59.0
english,62.0,75.0,99.0
english,71.0,81.0,
english,,93.0,70.0
english,42.0,97.0,
science,69.0,90.0,60.0
history,41.0,77.0,83.0
math,75.0,,57.0
science,47.0,,71.0
history,95.0,73.0,57.0
math,75.0,95.0,98.0
history,87.0,,64.0
history,54.0,,66.0
math,96.0,97.0,72.0
english,57.0,,73.0
english,,97.0,94.0
english,89.0,97.0,68.0
science,98.0,,54.0
history,43.0,78.0,81.0
math,69.0,73.0,93.0
science,74.0,96.0,50.0
science,85.0,91.0,72.0
math,61.0,100.0,86.0
math,47.0,86.0,57.0
math,84.0,78.0,62.0
history,59.0,70.0,57.0
history,88.0,90.0,
history,70.0,89.0,92.0
math,,82.0,50.0
math,54.0,97.0,
math,67.0,85.0,100.0
math,40.0,,73.0
english,56.0,82.0,84.0
english,93.0,83.0,73.0
math,73.0,72.0,66.0
history,97.0,98.0,54.0
history,54.0,75.0,69.0
history,97.0,87.0,
math,77.0,88.0,89.0
math,44.0,74.0,80.0
english,64.0,84.0,95.0
math,70.0,94.0,
science,68.0,71.0,
science,80.0,79.0,64.0
english,62.0,93.0,68.0
math,66.0,99.0,56.0
science,65.0,87.0,100.0
history,47.0,96.0,77.0
history,65.0,82.0,
science,95.0,74.0,92.0
science,80.0,,54.0
science,,,
history,61.0,,79.0
english,98.0,91.0,81.0
history,84.0,,57.0
math,83.0,87.0,59.0
science,82.0,,87.0
history,96.0,86.0,96.0
science,70.0,80.0,81.0
math,82.0,90.0,97.0
english,84.0,95.0,77.0
