연번,호선,고유역번호(외부역코드),역명,수송연월,승하차인원수
89,3,338,일원,2022-01,477410
90,3,339,수서,2022-01,901456
91,3,340,가락시장(3),2022-01,453683
92,3,341,경찰병원,2022-01,364595
93,3,342,오금(3),2022-01,292774
94,4,409,당고개,2022-01,637733
95,4,410,상계,2022-01,938632
96,4,411,노원(4),2022-01,1050708
97,4,412,창동,2022-01,1371445
98,4,413,쌍문,2022-01,1435215
99,4,414,수유,2022-01,1743761
100,4,415,미아,2022-01,731257
101,4,416,미아사거리,2022-01,1395070
102,4,417,길음,2022-01,1005586
103,4,418,성신여대입구,2022-01,1018649
104,4,419,한성대입구,2022-01,657208
105,4,420,혜화,2022-01,1709704
106,4,421,동대문(4),2022-01,920567
107,4,422,동대문역사문화공원(4),2022-01,727796
108,4,423,충무로(4),2022-01,1215766
109,4,424,명동,2022-01,954231
110,4,425,회현,2022-01,1207856
111,4,426,서울역(4),2022-01,682330
112,4,427,숙대입구,2022-01,623927
113,4,428,삼각지(4),2022-01,265642
114,4,429,신용산,2022-01,846688
115,4,430,이촌,2022-01,414174
116,4,431,동작,2022-01,102337
117,4,432,이수(총신대입구),2022-01,1008915
118,4,433,사당(4),2022-01,1191499
119,4,434,남태령,2022-01,57010
120,5,2511,방화,2022-01,333948
121,5,2512,개화산,2022-01,277592
122,5,2513,김포공항(5),2022-01,431096
123,5,2514,송정,2022-01,330923
124,5,2515,마곡,2022-01,523355
125,5,2516,발산,2022-01,1021778
126,5,2517,우장산,2022-01,717887
127,5,2518,화곡,2022-01,1396317
128,5,2519,까치산(5),2022-01,1459690
129,5,2520,신정,2022-01,634409
130,5,2521,목동,2022-01,874245
131,5,2522,오목교,2022-01,1161480
132,5,2523,양평(5),2022-01,370515
133,5,2524,영등포구청(5),2022-01,203752
134,5,2525,영등포시장,2022-01,530188
135,5,2526,신길(5),2022-01,215330
136,5,2527,여의도(5),2022-01,1381727
137,5,2528,여의나루,2022-01,477326
138,5,2529,마포,2022-01,705981
139,5,2530,공덕(5),2022-01,682329
140,5,2531,애오개,2022-01,331123
141,5,2532,충정로(5),2022-01,223255
142,5,2533,서대문,2022-01,879238
143,5,2534,광화문,2022-01,1435962
144,5,2535,종로3가(5),2022-01,669725
145,5,2536,을지로4가(5),2022-01,293649
146,5,2537,동대문역사문화공원(5),2022-01,152460
147,5,2538,청구(5),2022-01,191743
148,5,2539,신금호,2022-01,321646
149,5,2540,행당,2022-01,389692
150,5,2541,왕십리(5),2022-01,259275
151,5,2542,마장,2022-01,291209
152,5,2543,답십리,2022-01,808690
153,5,2544,장한평,2022-01,932950
154,5,2545,군자(5),2022-01,611267
155,5,2546,아차산,2022-01,756879
156,5,2547,광나루,2022-01,645707
157,5,2548,천호(5),2022-01,971071
158,5,2549,강동,2022-01,925764
159,5,2550,길동,2022-01,429837
160,5,2551,굽은다리,2022-01,483667
161,5,2552,명일,2022-01,448104
162,5,2553,고덕,2022-01,470425
163,5,2554,상일동,2022-01,745122
164,5,2555,둔촌동,2022-01,445882
165,5,2556,올림픽공원(5),2022-01,198778
166,5,2557,방이,2022-01,377841
167,5,2558,오금(5),2022-01,180575
168,5,2559,개롱,2022-01,327002
169,5,2560,거여,2022-01,451759
170,5,2561,마천,2022-01,349586
171,5,2562,강일,2022-01,197649
172,5,2563,미사,2022-01,829751
173,5,2564,하남풍산,2022-01,215558
174,5,2565,하남시청,2022-01,333964
175,5,2566,하남검단산,2022-01,301684
176,6,2611,응암,2022-01,897592
177,6,2612,역촌,2022-01,212353
178,6,2613,불광(6),2022-01,222702
179,6,2614,독바위,2022-01,145804
180,6,2616,구산,2022-01,336592
181,6,2617,새절,2022-01,619858
182,6,2618,증산,2022-01,517534
183,6,2619,디지털미디어시티(6),2022-01,694281
184,6,2620,월드컵경기장,2022-01,218251
185,6,2621,마포구청,2022-01,690680
186,6,2622,망원,2022-01,801989
187,6,2623,합정(6),2022-01,691455
188,6,2624,상수,2022-01,483235
189,6,2625,광흥창,2022-01,438659
190,6,2626,대흥,2022-01,400472
191,6,2627,공덕(6),2022-01,869743
192,6,2628,효창공원앞,2022-01,330969
193,6,2629,삼각지(6),2022-01,301433
194,6,2630,녹사평,2022-01,253142
195,6,2631,이태원,2022-01,559327
196,6,2632,한강진,2022-01,518535
197,6,2633,버티고개,2022-01,104080
198,6,2634,약수(6),2022-01,180575
199,6,2635,청구(6),2022-01,189974
200,6,2636,신당(6),2022-01,425676
201,6,2637,동묘앞(6),2022-01,422630
202,6,2638,창신,2022-01,156573
203,6,2639,보문,2022-01,352582
204,6,2640,안암,2022-01,482305
205,6,2641,고려대,2022-01,376571
206,6,2642,월곡,2022-01,573145
207,6,2643,상월곡,2022-01,296684
208,6,2644,돌곶이,2022-01,459492
209,6,2645,석계(6),2022-01,627316
210,6,2646,태릉입구(6),2022-01,291773
211,6,2647,화랑대,2022-01,514233
212,6,2648,봉화산,2022-01,437716
213,7,2711,장암,2022-01,80496
214,7,2712,도봉산(7),2022-01,499118
215,7,2713,수락산,2022-01,651358
216,7,2714,마들,2022-01,635708
217,7,2715,노원(7),2022-01,1048752
218,7,2716,중계,2022-01,670685
219,7,2717,하계,2022-01,860881
220,7,2718,공릉,2022-01,592896
221,7,2719,태릉입구(7),2022-01,421462
222,7,2720,먹골,2022-01,521002
223,7,2721,중화,2022-01,545316
224,7,2722,상봉(7),2022-01,854916
225,7,2723,면목,2022-01,777202
226,7,2724,사가정,2022-01,825437
227,7,2725,용마산,2022-01,308799
228,7,2726,중곡,2022-01,529099
229,7,2727,군자(7),2022-01,694923
230,7,2728,어린이대공원,2022-01,625714
231,7,2729,건대입구(7),2022-01,672641
232,7,2730,뚝섬유원지,2022-01,378882
233,7,2731,청담,2022-01,982456
234,7,2732,강남구청,2022-01,841856
235,7,2733,학동,2022-01,1179963
236,7,2734,논현,2022-01,1033733
237,7,2735,반포,2022-01,289801
238,7,2736,고속터미널(7),2022-01,773175
239,7,2737,내방,2022-01,721227
240,7,2738,이수(7),2022-01,801862
241,7,2739,남성,2022-01,539634
242,7,2740,숭실대입구,2022-01,591435
243,7,2741,상도,2022-01,531724
244,7,2742,장승배기,2022-01,461978
245,7,2743,신대방삼거리,2022-01,825588
246,7,2744,보라매,2022-01,482516
247,7,2745,신풍,2022-01,582871
248,7,2746,대림(7),2022-01,451857
249,7,2747,남구로,2022-01,804304
250,7,2748,가산디지털단지(7),2022-01,2112788
251,7,2749,철산,2022-01,1082104
252,7,2750,광명사거리,2022-01,1157206
253,7,2751,천왕,2022-01,554128
254,7,2752,온수(7),2022-01,479381
255,8,2811,암사,2022-01,912735
256,8,2812,천호(8),2022-01,848460
257,8,2813,강동구청,2022-01,538213
258,8,2814,몽촌토성,2022-01,314958
259,8,2815,잠실(8),2022-01,849210
260,8,2816,석촌(8),2022-01,442429
261,8,2817,송파,2022-01,379959
262,8,2818,가락시장(8),2022-01,424706
263,8,2819,문정,2022-01,1064752
264,8,2820,장지,2022-01,870207
265,8,2821,복정(8),2022-01,439474
266,8,2822,산성,2022-01,274348
267,8,2823,남한산성입구,2022-01,651634
268,8,2824,단대오거리,2022-01,530832
269,8,2825,신흥,2022-01,233970
270,8,2826,수진,2022-01,266934
271,8,2827,모란(8),2022-01,225684
272,8,2828,남위례,2022-01,201604
273,9,4126,언주,2022-01,310233
274,9,4127,선정릉,2022-01,269666
275,9,4128,삼성중앙,2022-01,192306
276,9,4129,봉은사,2022-01,477911
277,9,4130,종합운동장(9),2022-01,125632
278,9,4131,삼전,2022-01,221955
279,9,4132,석촌고분,2022-01,192140
280,9,4133,석촌(9),2022-01,261740
281,9,4134,송파나루,2022-01,174312
282,9,4135,한성백제,2022-01,84230
283,9,4136,올림픽공원(9),2022-01,197497
284,9,4137,둔촌오륜,2022-01,32073
285,9,4138,중앙보훈병원,2022-01,297550
286,1,150,서울역(1),2022-02,1777728
287,1,151,시청(1),2022-02,873746
288,1,152,종각,2022-02,1335408
289,1,153,종로3가(1),2022-02,1062723
290,1,154,종로5가,2022-02,948585
291,1,155,동대문(1),2022-02,490410
292,1,156,신설동(1),2022-02,595788
293,1,157,제기동,2022-02,739273
294,1,158,청량리,2022-02,881588
295,1,159,동묘앞(1),2022-02,421582
296,2,201,시청(2),2022-02,882803
297,2,202,을지로입구,2022-02,1548679
298,2,203,을지로3가(2),2022-02,863936
299,2,204,을지로4가(2),2022-02,513181
300,2,205,동대문역사문화공원(2),2022-02,570697
301,2,206,신당(2),2022-02,626384
302,2,207,상왕십리,2022-02,607753
303,2,208,왕십리(2),2022-02,648039
304,2,209,한양대,2022-02,299223
305,2,210,뚝섬,2022-02,952525
306,2,211,성수,2022-02,1614736
307,2,212,건대입구(2),2022-02,1653121
308,2,213,구의,2022-02,1028475
309,2,214,강변,2022-02,1321986
310,2,215,잠실나루,2022-02,576425
311,2,216,잠실(2),2022-02,2992206
312,2,217,잠실새내,2022-02,926433
313,2,218,종합운동장(2),2022-02,335794
314,2,219,삼성,2022-02,2123689
315,2,220,선릉,2022-02,2077342
316,2,221,역삼,2022-02,2137236
317,2,222,강남,2022-02,3601249
318,2,223,교대(2),2022-02,1444429
319,2,224,서초,2022-02,867687
320,2,225,방배,2022-02,685041
321,2,226,사당(2),2022-02,1679057
322,2,227,낙성대,2022-02,1178825
323,2,228,서울대입구,2022-02,2087057
324,2,229,봉천,2022-02,1011443
325,2,230,신림,2022-02,2815969
326,2,231,신대방,2022-02,1162160
327,2,232,구로디지털단지,2022-02,2467865
328,2,233,대림(2),2022-02,1071275
329,2,234,신도림,2022-02,2084180
330,2,235,문래,2022-02,888753
331,2,236,영등포구청(2),2022-02,967835
332,2,237,당산,2022-02,824923
333,2,238,합정(2),2022-02,1420587
334,2,239,홍대입구,2022-02,2640959
335,2,240,신촌,2022-02,1480713
336,2,241,이대,2022-02,571997
337,2,242,아현,2022-02,429312
338,2,243,충정로(2),2022-02,424238
339,2,244,용답,2022-02,128388
340,2,245,신답,2022-02,76470
341,2,246,신설동(2),2022-02,169907
342,2,247,도림천,2022-02,60324
343,2,248,양천구청,2022-02,301123
344,2,249,신정네거리,2022-02,451297
345,2,250,용두,2022-02,106009
346,3,309,지축,2022-02,191248
347,3,310,구파발,2022-02,877031
348,3,311,연신내(3),2022-02,1588745
349,3,312,불광(3),2022-02,750727
350,3,313,녹번,2022-02,628481
351,3,314,홍제,2022-02,743235
352,3,315,무악재,2022-02,172511
353,3,316,독립문,2022-02,313182
354,3,317,경복궁,2022-02,846011
355,3,318,안국,2022-02,846361
356,3,319,종로3가(3),2022-02,465964
357,3,320,을지로3가(3),2022-02,416273
358,3,322,동대입구,2022-02,350222
359,3,323,약수(3),2022-02,549733
360,3,324,금호,2022-02,342351
361,3,325,옥수,2022-02,399105
362,3,326,압구정,2022-02,1448438
363,3,327,신사,2022-02,1410856
364,3,328,잠원,2022-02,200200
365,3,329,고속터미널(3),2022-02,1942684
366,3,330,교대(3),2022-02,462621
367,3,331,남부터미널,2022-02,1262134
368,3,332,양재,2022-02,1628933
369,3,333,매봉,2022-02,495086
370,3,334,도곡,2022-02,224728
371,3,335,대치,2022-02,504925
372,3,336,학여울,2022-02,100495
373,3,337,대청,2022-02,410086
374,3,338,일원,2022-02,408603
375,3,339,수서,2022-02,767167
376,3,340,가락시장(3),2022-02,369339
377,3,341,경찰병원,2022-02,306549
378,3,342,오금(3),2022-02,249522
379,4,409,당고개,2022-02,551567
380,4,410,상계,2022-02,802326
381,4,411,노원(4),2022-02,894211
382,4,412,창동,2022-02,1175693
383,4,413,쌍문,2022-02,1232540
384,4,414,수유,2022-02,1512576
385,4,415,미아,2022-02,640996
386,4,416,미아사거리,2022-02,1198865
387,4,417,길음,2022-02,857932
388,4,418,성신여대입구,2022-02,870927
389,4,419,한성대입구,2022-02,571660
390,4,420,혜화,2022-02,1433696
391,4,421,동대문(4),2022-02,788844
392,4,422,동대문역사문화공원(4),2022-02,612891
393,4,423,충무로(4),2022-02,1045630
394,4,424,명동,2022-02,764449
395,4,425,회현,2022-02,973497
396,4,426,서울역(4),2022-02,556660
397,4,427,숙대입구,2022-02,540558
398,4,428,삼각지(4),2022-02,223185
399,4,429,신용산,2022-02,691859
400,4,430,이촌,2022-02,349671
401,4,431,동작,2022-02,95701
402,4,432,이수(총신대입구),2022-02,852627
403,4,433,사당(4),2022-02,1006178
404,4,434,남태령,2022-02,48173
405,5,2511,방화,2022-02,284596
406,5,2512,개화산,2022-02,242456
407,5,2513,김포공항(5),2022-02,375905
408,5,2514,송정,2022-02,286998
409,5,2515,마곡,2022-02,444548
410,5,2516,발산,2022-02,873867
411,5,2517,우장산,2022-02,609417
412,5,2518,화곡,2022-02,1204261
413,5,2519,까치산(5),2022-02,1260705
414,5,2520,신정,2022-02,549093
415,5,2521,목동,2022-02,743986
416,5,2522,오목교,2022-02,980582
417,5,2523,양평(5),2022-02,310979
418,5,2524,영등포구청(5),2022-02,174193
419,5,2525,영등포시장,2022-02,456067
420,5,2526,신길(5),2022-02,185539
421,5,2527,여의도(5),2022-02,1144306
422,5,2528,여의나루,2022-02,409303
423,5,2529,마포,2022-02,593761
424,5,2530,공덕(5),2022-02,566251
425,5,2531,애오개,2022-02,282548
426,5,2532,충정로(5),2022-02,188462
427,5,2533,서대문,2022-02,730356
428,5,2534,광화문,2022-02,1176100
429,5,2535,종로3가(5),2022-02,552128
430,5,2536,을지로4가(5),2022-02,243387
431,5,2537,동대문역사문화공원(5),2022-02,122669
432,5,2538,청구(5),2022-02,166681
433,5,2539,신금호,2022-02,278634
434,5,2540,행당,2022-02,330989
435,5,2541,왕십리(5),2022-02,220215
436,5,2542,마장,2022-02,233279
437,5,2543,답십리,2022-02,688399
438,5,2544,장한평,2022-02,800787
439,5,2545,군자(5),2022-02,521477
440,5,2546,아차산,2022-02,652631
441,5,2547,광나루,2022-02,552468
442,5,2548,천호(5),2022-02,822072
443,5,2549,강동,2022-02,797918
444,5,2550,길동,2022-02,364599
445,5,2551,굽은다리,2022-02,410022
446,5,2552,명일,2022-02,380452
447,5,2553,고덕,2022-02,398898
448,5,2554,상일동,2022-02,618095
449,5,2555,둔촌동,2022-02,378856
450,5,2556,올림픽공원(5),2022-02,166036
451,5,2557,방이,2022-02,318146
452,5,2558,오금(5),2022-02,152540
453,5,2559,개롱,2022-02,281557
454,5,2560,거여,2022-02,395194
455,5,2561,마천,2022-02,303123
456,5,2562,강일,2022-02,170312
457,5,2563,미사,2022-02,698389
458,5,2564,하남풍산,2022-02,181680
459,5,2565,하남시청,2022-02,287921
460,5,2566,하남검단산,2022-02,258131
461,6,2611,응암,2022-02,773335
462,6,2612,역촌,2022-02,187223
463,6,2613,불광(6),2022-02,192989
464,6,2614,독바위,2022-02,124840
465,6,2616,구산,2022-02,292627
466,6,2617,새절,2022-02,533149
467,6,2618,증산,2022-02,445282
468,6,2619,디지털미디어시티(6),2022-02,586304
469,6,2620,월드컵경기장,2022-02,193418
470,6,2621,마포구청,2022-02,597168
471,6,2622,망원,2022-02,669513
472,6,2623,합정(6),2022-02,585890
473,6,2624,상수,2022-02,412394
474,6,2625,광흥창,2022-02,372278
475,6,2626,대흥,2022-02,347533
476,6,2627,공덕(6),2022-02,734665
477,6,2628,효창공원앞,2022-02,283837
478,6,2629,삼각지(6),2022-02,249263
479,6,2630,녹사평,2022-02,212624
480,6,2631,이태원,2022-02,473394
481,6,2632,한강진,2022-02,409466
482,6,2633,버티고개,2022-02,89242
483,6,2634,약수(6),2022-02,155479
484,6,2635,청구(6),2022-02,166333
485,6,2636,신당(6),2022-02,363032
486,6,2637,동묘앞(6),2022-02,369495
487,6,2638,창신,2022-02,132035
488,6,2639,보문,2022-02,310001
489,6,2640,안암,2022-02,429478
490,6,2641,고려대,2022-02,337901
491,6,2642,월곡,2022-02,491849
492,6,2643,상월곡,2022-02,253945
493,6,2644,돌곶이,2022-02,395246
494,6,2645,석계(6),2022-02,543156
495,6,2646,태릉입구(6),2022-02,251419
496,6,2647,화랑대,2022-02,441682
497,6,2648,봉화산,2022-02,373542
498,7,2711,장암,2022-02,70283
499,7,2712,도봉산(7),2022-02,434821
500,7,2713,수락산,2022-02,560826
501,7,2714,마들,2022-02,547400
502,7,2715,노원(7),2022-02,902482
503,7,2716,중계,2022-02,577069
504,7,2717,하계,2022-02,734678
505,7,2718,공릉,2022-02,526533
506,7,2719,태릉입구(7),2022-02,365972
507,7,2720,먹골,2022-02,451775
508,7,2721,중화,2022-02,473356
509,7,2722,상봉(7),2022-02,728697
510,7,2723,면목,2022-02,671679
511,7,2724,사가정,2022-02,713557
512,7,2725,용마산,2022-02,267236
513,7,2726,중곡,2022-02,456936
514,7,2727,군자(7),2022-02,598515
515,7,2728,어린이대공원,2022-02,553530
516,7,2729,건대입구(7),2022-02,563882
517,7,2730,뚝섬유원지,2022-02,332135
518,7,2731,청담,2022-02,840924
519,7,2732,강남구청,2022-02,718315
520,7,2733,학동,2022-02,996119
521,7,2734,논현,2022-02,872897
522,7,2735,반포,2022-02,246683
523,7,2736,고속터미널(7),2022-02,669873
524,7,2737,내방,2022-02,611852
525,7,2738,이수(7),2022-02,684747
526,7,2739,남성,2022-02,466382
527,7,2740,숭실대입구,2022-02,506383
528,7,2741,상도,2022-02,452378
529,7,2742,장승배기,2022-02,401003
530,7,2743,신대방삼거리,2022-02,710209
531,7,2744,보라매,2022-02,413146
532,7,2745,신풍,2022-02,500583
533,7,2746,대림(7),2022-02,369773
534,7,2747,남구로,2022-02,686491
535,7,2748,가산디지털단지(7),2022-02,1766806
536,7,2749,철산,2022-02,906344
537,7,2750,광명사거리,2022-02,973472
538,7,2751,천왕,2022-02,469053
539,7,2752,온수(7),2022-02,410338
540,8,2811,암사,2022-02,773834
541,8,2812,천호(8),2022-02,718441
542,8,2813,강동구청,2022-02,457496
543,8,2814,몽촌토성,2022-02,267391
544,8,2815,잠실(8),2022-02,695798
545,8,2816,석촌(8),2022-02,374531
546,8,2817,송파,2022-02,324697
547,8,2818,가락시장(8),2022-02,342221
548,8,2819,문정,2022-02,895763
549,8,2820,장지,2022-02,732075
550,8,2821,복정(8),2022-02,371954
551,8,2822,산성,2022-02,230852
552,8,2823,남한산성입구,2022-02,558687
553,8,2824,단대오거리,2022-02,456081
554,8,2825,신흥,2022-02,202258
555,8,2826,수진,2022-02,229974
556,8,2827,모란(8),2022-02,188755
557,8,2828,남위례,2022-02,184174
558,9,4126,언주,2022-02,261763
559,9,4127,선정릉,2022-02,226788
560,9,4128,삼성중앙,2022-02,162821
561,9,4129,봉은사,2022-02,415034
562,9,4130,종합운동장(9),2022-02,105775
563,9,4131,삼전,2022-02,192340
564,9,4132,석촌고분,2022-02,164755
565,9,4133,석촌(9),2022-02,223957
566,9,4134,송파나루,2022-02,148888
567,9,4135,한성백제,2022-02,73148
568,9,4136,올림픽공원(9),2022-02,160698
569,9,4137,둔촌오륜,2022-02,29363
570,9,4138,중앙보훈병원,2022-02,256217
571,1,150,서울역(1),2022-03,1942521
572,1,151,시청(1),2022-03,1009395
573,1,152,종각,2022-03,1501363
574,1,153,종로3가(1),2022-03,1186762
575,1,154,종로5가,2022-03,1098511
576,1,155,동대문(1),2022-03,565008
577,1,156,신설동(1),2022-03,680969
578,1,157,제기동,2022-03,875719
579,1,158,청량리,2022-03,1024250
580,1,159,동묘앞(1),2022-03,493644
581,2,201,시청(2),2022-03,979737
582,2,202,을지로입구,2022-03,1736503
583,2,203,을지로3가(2),2022-03,975027
584,2,204,을지로4가(2),2022-03,592804
585,2,205,동대문역사문화공원(2),2022-03,686578
586,2,206,신당(2),2022-03,706124
587,2,207,상왕십리,2022-03,683864
588,2,208,왕십리(2),2022-03,773964
589,2,209,한양대,2022-03,694311
590,2,210,뚝섬,2022-03,1068311
591,2,211,성수,2022-03,1812043
592,2,212,건대입구(2),2022-03,1922326
593,2,213,구의,2022-03,1154570
594,2,214,강변,2022-03,1433602
595,2,215,잠실나루,2022-03,650176
596,2,216,잠실(2),2022-03,3253702
597,2,217,잠실새내,2022-03,1030240
598,2,218,종합운동장(2),2022-03,488475
599,2,219,삼성,2022-03,2307890
600,2,220,선릉,2022-03,2338764
601,2,221,역삼,2022-03,2341405
602,2,222,강남,2022-03,3885981
603,2,223,교대(2),2022-03,1634052
604,2,224,서초,2022-03,969676
605,2,225,방배,2022-03,900986
606,2,226,사당(2),2022-03,1895195
607,2,227,낙성대,2022-03,1360235
608,2,228,서울대입구,2022-03,2409022
609,2,229,봉천,2022-03,1134139
610,2,230,신림,2022-03,3156731
611,2,231,신대방,2022-03,1311862
612,2,232,구로디지털단지,2022-03,2754468
613,2,233,대림(2),2022-03,1207670
614,2,234,신도림,2022-03,2333673
615,2,235,문래,2022-03,1020360
616,2,236,영등포구청(2),2022-03,1080533
617,2,237,당산,2022-03,961334
618,2,238,합정(2),2022-03,1591833
619,2,239,홍대입구,2022-03,2947663
620,2,240,신촌,2022-03,1701989
621,2,241,이대,2022-03,713797
622,2,242,아현,2022-03,507474
623,2,243,충정로(2),2022-03,478161
624,2,244,용답,2022-03,179132
625,2,245,신답,2022-03,87020
626,2,246,신설동(2),2022-03,188484
627,2,247,도림천,2022-03,70557
628,2,248,양천구청,2022-03,338625
629,2,249,신정네거리,2022-03,507759
630,2,250,용두,2022-03,122542
631,3,309,지축,2022-03,229223
632,3,310,구파발,2022-03,997438
633,3,311,연신내(3),2022-03,1799827
634,3,312,불광(3),2022-03,844192
635,3,313,녹번,2022-03,721256
636,3,314,홍제,2022-03,855487
637,3,315,무악재,2022-03,193816
638,3,316,독립문,2022-03,364073
639,3,317,경복궁,2022-03,1005102
640,3,318,안국,2022-03,988666
641,3,319,종로3가(3),2022-03,514918
642,3,320,을지로3가(3),2022-03,465989
643,3,322,동대입구,2022-03,446979
644,3,323,약수(3),2022-03,625284
645,3,324,금호,2022-03,378079
646,3,325,옥수,2022-03,448376
647,3,326,압구정,2022-03,1551498
648,3,327,신사,2022-03,1528926
649,3,328,잠원,2022-03,228384
650,3,329,고속터미널(3),2022-03,2043697
651,3,330,교대(3),2022-03,532504
652,3,331,남부터미널,2022-03,1378451
653,3,332,양재,2022-03,1823943
654,3,333,매봉,2022-03,545750
655,3,334,도곡,2022-03,254275
656,3,335,대치,2022-03,547058
657,3,336,학여울,2022-03,128484
658,3,337,대청,2022-03,463680
659,3,338,일원,2022-03,467227
660,3,339,수서,2022-03,850770
661,3,340,가락시장(3),2022-03,422039
662,3,341,경찰병원,2022-03,339903
663,3,342,오금(3),2022-03,280898
664,4,409,당고개,2022-03,568551
665,4,410,상계,2022-03,928171
666,4,411,노원(4),2022-03,1018772
667,4,412,창동,2022-03,1336602
668,4,413,쌍문,2022-03,1397188
669,4,414,수유,2022-03,1719110
670,4,415,미아,2022-03,755473
671,4,416,미아사거리,2022-03,1357250
672,4,417,길음,2022-03,1012290
673,4,418,성신여대입구,2022-03,1043375
674,4,419,한성대입구,2022-03,683989
675,4,420,혜화,2022-03,1623327
676,4,421,동대문(4),2022-03,952852
677,4,422,동대문역사문화공원(4),2022-03,706333
678,4,423,충무로(4),2022-03,1304232
679,4,424,명동,2022-03,929123
680,4,425,회현,2022-03,1154494
681,4,426,서울역(4),2022-03,613056
682,4,427,숙대입구,2022-03,676707
683,4,428,삼각지(4),2022-03,254226
684,4,429,신용산,2022-03,762603
685,4,430,이촌,2022-03,374340
686,4,431,동작,2022-03,115680
687,4,432,이수(총신대입구),2022-03,969783
688,4,433,사당(4),2022-03,1144174
689,4,434,남태령,2022-03,55608
690,5,2511,방화,2022-03,323756
691,5,2512,개화산,2022-03,274196
692,5,2513,김포공항(5),2022-03,375706
693,5,2514,송정,2022-03,321309
694,5,2515,마곡,2022-03,498679
695,5,2516,발산,2022-03,1000074
696,5,2517,우장산,2022-03,705945
697,5,2518,화곡,2022-03,1362536
698,5,2519,까치산(5),2022-03,1413556
699,5,2520,신정,2022-03,617558
700,5,2521,목동,2022-03,832842
701,5,2522,오목교,2022-03,1075840
702,5,2523,양평(5),2022-03,349014
703,5,2524,영등포구청(5),2022-03,198468
704,5,2525,영등포시장,2022-03,505690
705,5,2526,신길(5),2022-03,208291
706,5,2527,여의도(5),2022-03,1279363
707,5,2528,여의나루,2022-03,561503
708,5,2529,마포,2022-03,664170
709,5,2530,공덕(5),2022-03,643595
710,5,2531,애오개,2022-03,318477
