ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
10079,C,Ship,4,5,258,3,low,F,3,5422,1
5776,B,Ship,5,2,264,6,medium,M,10,1659,1
5050,B,Road,4,1,259,3,medium,M,5,4435,1
326,F,Ship,3,4,246,3,medium,M,30,3748,1
7899,A,Ship,3,4,273,2,medium,M,2,4219,1
9709,D,Road,7,5,244,4,low,M,2,1330,1
4874,F,Ship,4,4,225,2,medium,M,10,4829,1
3385,D,Ship,2,5,209,5,medium,F,9,5565,0
10714,B,Ship,5,5,221,5,low,F,8,1123,1
230,F,Ship,3,3,162,7,medium,F,42,1278,1
7249,D,Road,5,4,173,3,low,M,9,5432,0
6231,A,Ship,6,5,282,4,medium,F,4,1013,0
1506,F,Flight,4,2,229,4,low,F,32,3518,1
10791,A,Ship,4,4,224,5,medium,F,5,1184,0
10483,D,Ship,5,2,265,5,medium,F,5,1864,0
10786,B,Ship,5,1,248,5,medium,F,5,1861,0
6281,C,Road,6,3,298,4,low,F,1,1657,0
4891,D,Ship,3,4,232,3,low,F,6,4050,0
1175,C,Ship,4,3,260,2,low,M,38,2526,1
7241,C,Road,4,5,148,3,high,F,6,5473,1
9998,F,Flight,5,5,180,2,high,M,5,4585,1
1323,A,Ship,2,3,141,2,medium,F,28,1624,1
2559,A,Ship,4,3,162,10,high,M,25,1764,1
634,B,Ship,2,3,164,2,low,M,56,1491,1
8716,B,Ship,2,1,198,2,low,M,8,4323,0
5603,C,Road,4,2,233,3,low,F,3,5740,1
8322,F,Ship,6,4,253,4,medium,M,10,1248,0
2902,B,Ship,4,1,216,4,low,M,4,2263,1
3792,F,Ship,3,3,268,10,medium,M,2,5626,1
2034,F,Road,3,2,264,4,high,F,32,2754,1
2798,F,Ship,3,1,225,2,high,F,43,2585,1
910,B,Ship,4,5,186,10,low,F,42,3521,1
698,F,Flight,3,5,151,2,low,F,16,1422,1
2042,F,Road,4,4,162,2,medium,M,30,1158,1
6903,A,Ship,5,2,254,5,high,M,6,1491,1
8705,C,Ship,3,5,206,3,medium,F,9,5751,0
2922,F,Ship,3,1,257,2,medium,M,37,3517,1
10696,B,Flight,3,5,222,3,low,F,10,5185,1
7474,B,Ship,5,4,242,5,medium,M,1,1824,1
9368,F,Ship,4,2,252,4,low,M,1,4705,1
5282,F,Ship,5,2,136,2,low,M,3,1370,0
3045,A,Ship,4,4,243,3,low,M,10,3327,1
4191,A,Ship,4,5,175,2,medium,M,4,4910,1
10215,A,Ship,4,2,270,5,low,F,10,1340,0
2631,A,Ship,3,5,185,2,medium,M,27,3624,1
2227,D,Ship,4,3,180,4,low,M,14,1686,1
8907,A,Flight,4,5,295,3,low,F,2,1693,0
9406,B,Ship,6,2,309,4,medium,F,8,1930,0
3224,F,Ship,5,4,269,3,low,F,3,4489,0
1390,B,Ship,5,3,167,3,low,F,51,1573,1
6511,D,Ship,6,2,246,4,medium,M,7,1071,0
9488,F,Ship,4,2,216,3,low,M,2,4750,1
2483,C,Flight,3,5,208,4,medium,M,12,3181,1
6047,C,Ship,5,2,275,5,low,M,9,1373,0
6850,B,Flight,3,1,158,7,medium,F,6,4166,0
1061,C,Ship,5,3,252,4,medium,M,63,3729,1
4388,F,Flight,5,2,165,3,medium,F,10,5598,0
4999,D,Ship,3,3,239,6,low,M,7,4501,1
2512,B,Ship,3,1,176,2,medium,F,45,1470,1
3170,F,Ship,6,3,161,4,medium,M,8,1247,0
5016,F,Ship,2,3,151,4,low,F,3,1353,1
520,B,Ship,3,1,215,3,medium,F,2,3873,1
5338,B,Road,4,4,204,3,medium,M,8,5614,0
7975,D,Ship,4,5,137,3,medium,M,1,4861,0
54,F,Ship,2,1,170,3,low,M,41,1128,1
4584,F,Ship,2,2,170,3,high,F,7,4284,1
10341,A,Ship,6,5,287,5,low,M,2,5611,1
8221,D,Flight,4,4,268,3,medium,M,10,4531,0
5738,F,Road,5,1,248,2,low,F,6,5281,0
7237,D,Road,4,5,240,3,low,F,5,5734,1
6071,C,Ship,5,5,175,6,low,F,2,4883,1
9283,D,Ship,2,3,192,3,low,M,4,5524,0
8087,C,Flight,4,4,174,3,low,M,8,4348,0
8121,A,Ship,3,4,151,3,medium,M,5,4767,1
2283,A,Ship,4,1,184,3,high,F,47,3081,1
4432,B,Ship,4,2,257,3,medium,M,8,5045,1
1333,D,Ship,4,5,269,4,medium,M,60,3456,1
8038,B,Ship,4,2,250,5,medium,M,10,1026,1
221,C,Ship,3,4,242,3,low,M,29,2381,1
2934,F,Ship,6,3,273,4,medium,F,32,2532,1
3058,B,Ship,5,5,257,4,medium,M,31,2040,1
7796,F,Road,3,1,160,2,low,F,10,5642,1
4499,C,Road,3,4,269,2,medium,M,6,5951,0
3179,C,Ship,4,3,237,6,low,M,8,5588,0
9992,F,Road,3,1,256,3,low,F,5,5643,0
6156,F,Road,4,5,159,2,low,F,3,5704,0
7887,A,Ship,5,1,169,4,low,M,6,4253,1
4335,A,Ship,5,2,152,3,low,F,2,4172,0
7854,F,Ship,5,5,243,3,medium,M,3,5700,1
5155,D,Ship,2,4,193,4,low,M,7,5552,1
7949,C,Flight,4,3,150,3,high,F,2,4383,0
8728,B,Ship,2,3,211,2,medium,M,2,4611,0
3995,C,Ship,3,3,253,4,low,F,9,4682,1
7842,F,Ship,2,2,201,3,high,M,2,4865,1
1195,D,Ship,4,1,127,8,low,F,12,1519,1
2142,F,Ship,3,3,261,3,medium,M,14,3479,1
1119,A,Ship,3,2,171,3,medium,M,11,1282,1
4020,F,Ship,3,5,226,3,low,M,8,5203,1
9315,A,Flight,3,1,230,2,low,F,4,4387,1
1075,D,Road,4,5,268,3,medium,F,3,2758,1
4501,D,Road,2,5,170,5,low,F,10,5621,1
213,A,Ship,2,5,127,3,low,M,44,1341,1
1412,F,Ship,3,2,240,6,low,F,26,2683,1
9100,B,Ship,6,5,282,4,low,M,5,1364,1
7831,D,Ship,4,5,149,2,low,M,2,5724,1
4772,F,Road,5,4,251,2,low,F,3,5347,1
461,C,Ship,4,1,202,3,medium,F,18,3940,1
7857,A,Ship,4,5,217,3,medium,M,2,5461,1
5481,A,Flight,3,1,222,3,medium,F,8,4650,1
6897,A,Ship,6,2,291,4,low,M,9,1241,1
4561,D,Ship,6,1,280,4,medium,M,5,1431,0
4182,F,Ship,4,5,169,2,low,F,10,4248,0
240,F,Ship,2,3,158,3,low,M,10,1515,1
2478,F,Flight,5,2,209,4,medium,M,15,3330,1
2223,A,Ship,3,4,234,3,medium,F,37,2111,1
10891,D,Ship,4,3,188,4,medium,M,7,4024,1
2608,B,Flight,3,2,218,3,medium,F,52,2149,1
5947,D,Ship,4,3,170,6,medium,M,6,4998,0
6627,A,Ship,3,3,209,2,medium,M,1,5098,1
3931,D,Ship,4,5,117,5,medium,F,1,4378,0
3387,A,Ship,3,1,206,3,high,F,8,4763,1
9477,A,Ship,3,3,133,3,low,F,2,4926,0
9582,F,Road,4,4,280,3,medium,M,5,5624,0
2197,D,Flight,4,2,214,2,low,M,49,3416,1
3163,D,Flight,3,1,213,10,medium,M,9,4862,0
7019,C,Ship,6,1,206,6,medium,F,8,4243,1
5581,D,Ship,3,1,221,4,medium,F,8,5971,0
5443,D,Ship,3,4,222,3,medium,M,3,4068,0
10941,A,Road,4,1,192,4,low,M,3,1689,0
7655,C,Road,3,4,199,3,medium,M,1,4490,1
6276,F,Road,7,5,133,5,low,F,3,1544,1
6304,B,Flight,6,5,301,4,low,F,3,1958,0
6078,F,Ship,3,2,132,4,medium,F,3,4512,0
3907,D,Ship,4,4,272,5,low,F,3,5243,0
1702,B,Ship,3,1,138,3,low,F,41,1914,1
3949,D,Road,4,1,258,3,medium,M,2,4188,0
3872,F,Ship,4,2,265,4,medium,M,3,4283,1
6586,B,Flight,7,2,275,4,medium,F,6,1513,0
3063,A,Ship,6,4,217,5,low,F,7,3725,1
5353,D,Flight,5,4,235,2,medium,M,9,5549,0
7050,F,Ship,3,4,261,2,low,F,1,5844,0
8442,F,Ship,3,1,132,2,medium,M,2,4129,0
7861,D,Ship,4,2,139,3,medium,M,10,4648,0
7983,A,Ship,4,4,153,4,low,M,5,5162,0
1057,D,Ship,3,4,272,4,low,F,23,2048,1
5236,B,Ship,5,2,249,3,high,F,8,5000,1
6168,F,Flight,4,3,181,3,low,F,5,5398,1
10326,F,Ship,3,2,188,5,medium,M,7,5673,0
6178,B,Flight,2,1,220,2,medium,F,6,4382,1
7594,B,Ship,5,3,150,4,medium,F,1,5211,0
6453,A,Flight,4,4,237,3,medium,M,4,4747,1
2916,F,Ship,3,4,242,3,high,M,54,3011,1
9341,C,Ship,3,2,177,3,low,F,5,5941,0
697,D,Flight,5,1,149,4,medium,F,20,1110,1
3345,A,Ship,3,4,133,2,low,F,7,4663,0
4161,A,Ship,4,2,255,3,medium,M,3,4562,1
3578,F,Flight,4,1,102,3,medium,M,3,4179,0
2480,F,Flight,3,1,257,2,low,F,45,3496,1
3292,B,Flight,5,1,270,2,high,M,10,5360,0
5409,A,Ship,3,1,267,3,low,M,5,5528,0
3354,F,Ship,4,5,190,3,low,M,2,4554,0
6629,C,Ship,3,4,172,2,low,M,5,5919,0
643,D,Ship,4,1,240,2,low,M,14,2437,1
10113,A,Road,3,3,137,3,high,M,7,5794,1
1157,C,Ship,4,5,262,3,medium,F,38,3139,1
6859,D,Flight,3,1,237,3,medium,F,1,4476,1
2464,B,Flight,5,5,216,6,low,M,54,2075,1
6559,D,Road,5,5,222,5,low,F,4,1311,0
3298,B,Flight,3,3,205,2,medium,M,6,4989,1
8515,D,Ship,3,2,177,2,high,F,7,4764,1
9908,F,Ship,3,1,243,3,medium,M,6,5371,0
7588,B,Ship,4,1,201,6,medium,F,8,5529,0
7915,D,Ship,3,2,163,2,low,F,5,5021,0
10619,C,Ship,6,3,153,6,medium,F,7,4975,1
4279,D,Ship,6,2,271,10,medium,F,2,4145,0
3102,F,Ship,3,2,225,3,low,F,59,3488,1
4325,C,Ship,4,1,277,5,medium,M,3,1527,1
3158,F,Flight,4,2,246,3,low,F,7,5616,0
2474,F,Flight,5,1,241,4,medium,F,19,2193,1
9668,F,Ship,4,5,251,5,medium,F,6,1434,0
1830,F,Ship,3,2,257,2,high,F,46,2848,1
9422,F,Ship,5,2,172,2,low,M,9,1097,0
299,C,Ship,4,2,147,4,medium,M,52,1129,1
10508,F,Ship,3,1,187,2,low,M,6,5448,0
2769,A,Ship,4,2,171,3,low,M,34,1352,1
2756,F,Flight,4,4,173,3,medium,F,64,1847,1
9741,A,Flight,4,3,170,2,low,M,2,5607,0
2264,F,Ship,3,5,225,3,low,F,1,2864,1
6063,A,Ship,3,4,164,3,low,F,4,4796,0
4122,F,Flight,5,3,255,3,medium,F,8,5983,0
8981,C,Ship,4,3,249,3,low,M,4,4811,0
4905,A,Ship,3,1,165,2,low,M,6,4445,0
10486,B,Ship,4,2,259,6,medium,M,8,1096,1
3926,F,Ship,6,1,251,4,low,M,2,5656,0
8779,D,Flight,5,3,280,6,high,M,5,4585,0
10227,A,Ship,6,1,265,4,low,F,1,1345,1
4216,B,Ship,3,1,258,3,medium,F,2,5828,1
1298,F,Ship,4,4,158,2,medium,M,15,1030,1
5015,C,Ship,6,2,254,4,low,M,4,1392,0
4717,D,Ship,3,5,260,2,medium,M,1,5970,0
984,F,Ship,5,4,133,3,low,M,9,1051,1
8137,D,Ship,4,3,177,3,low,M,1,5282,0
923,C,Ship,4,1,208,7,high,M,8,2193,1
6421,D,Road,4,5,181,3,medium,M,1,5310,0
658,B,Ship,3,1,242,3,medium,F,10,3606,1
7499,C,Ship,5,5,249,5,medium,M,5,1662,1
9504,F,Ship,5,2,254,2,medium,M,4,4180,1
4658,F,Flight,4,1,273,2,high,F,10,5832,1
9042,F,Flight,3,4,181,3,low,M,10,5276,1
621,A,Ship,2,5,265,2,low,F,50,3859,1
559,D,Flight,4,2,164,3,medium,M,15,1489,1
8638,B,Flight,5,1,266,5,medium,F,2,1798,0
1091,C,Road,4,2,221,2,medium,M,54,3065,1
4389,A,Flight,5,4,175,4,low,M,4,4505,0
9900,F,Ship,3,1,109,6,low,F,6,5457,1
6487,D,Ship,4,2,206,7,high,M,3,4991,0
7210,B,Ship,6,3,265,5,medium,M,10,1897,0
4955,C,Ship,4,4,211,3,medium,M,5,4812,0
9935,C,Ship,4,4,274,6,low,M,10,1355,1
