ID,calls,rating,purchases,gender,status
101,5,3,143,M,1
102,5,5,227,M,1
103,2,1,213,M,1
104,5,1,144,M,1
105,3,3,218,M,1
106,4,2,144,M,1
107,3,1,238,M,1
108,4,5,216,M,1
109,4,5,238,F,1
110,4,1,141,M,1
111,3,1,158,M,1
112,4,2,239,F,1
113,4,3,175,M,1
114,3,2,263,M,1
115,3,5,168,M,1
116,3,4,176,M,1
117,4,1,150,M,1
118,4,3,265,F,1
119,2,5,263,F,1
120,5,1,145,M,1
121,4,2,183,F,1
122,3,3,205,F,1
123,4,2,160,M,1
124,3,3,252,F,1
125,5,5,222,M,1
126,3,3,203,M,1
127,4,5,220,M,1
128,3,3,147,F,1
129,4,4,200,M,1
130,4,5,224,M,1
131,3,5,179,F,1
132,3,4,144,M,1
133,5,2,247,M,1
134,5,4,280,F,1
135,3,3,168,F,1
136,3,5,157,F,1
137,3,3,189,F,1
138,3,5,162,M,1
139,4,1,207,M,1
140,5,1,237,F,1
141,4,4,264,M,1
142,5,4,149,M,1
143,5,5,162,M,1
144,2,1,205,F,1
145,2,1,158,F,1
146,2,2,248,M,1
147,3,5,191,M,1
148,4,3,146,F,1
149,3,3,135,M,1
150,5,1,149,M,1
151,4,4,220,F,1
152,5,3,98,M,1
153,3,4,97,M,1
154,3,3,183,M,1
155,3,3,162,F,1
156,5,1,114,F,1
157,6,3,275,M,1
158,3,2,203,F,1
159,5,5,205,M,1
160,3,3,149,F,1
161,2,2,112,M,1
162,3,1,207,F,1
163,4,1,261,F,1
164,5,2,274,M,1
165,3,5,141,M,1
166,3,3,166,F,1
167,5,2,141,F,1
168,4,5,152,M,1
169,4,2,250,F,1
170,4,3,161,F,1
171,4,3,185,F,1
172,4,4,176,F,1
173,3,4,148,M,1
174,3,2,270,F,1
175,3,3,242,F,1
176,4,4,150,M,1
177,4,5,192,M,1
178,4,5,116,M,1
179,3,3,192,F,1
180,5,5,255,M,1
181,4,1,161,F,1
182,4,5,157,M,1
183,3,2,164,F,1
184,3,5,162,F,1
185,3,3,146,M,1
186,3,2,209,M,1
187,5,4,134,F,1
188,2,1,222,M,1
189,2,5,139,F,1
190,2,4,134,F,1
191,2,5,130,M,1
192,2,5,133,F,1
193,2,4,140,F,1
194,2,2,158,M,1
195,4,2,270,F,1
196,2,5,140,F,1
197,2,2,135,M,1
198,2,3,136,F,1
199,2,3,142,F,1
200,2,2,154,M,1
201,2,3,139,M,1
202,2,3,160,F,1
203,2,4,134,M,1
204,5,3,161,M,1
205,2,5,155,M,1
206,2,3,145,F,1
207,2,2,157,M,1
208,2,2,160,M,1
209,2,4,152,M,1
210,2,5,148,F,1
211,2,1,127,F,1
212,2,5,154,F,1
213,2,5,127,M,1
214,2,5,160,F,1
215,2,4,129,F,1
216,2,5,158,F,1
217,4,3,185,M,1
218,4,4,176,F,1
219,3,4,148,M,1
220,3,5,270,M,1
221,3,4,242,M,1
222,4,3,150,M,1
223,4,2,192,M,1
224,4,5,116,F,1
225,3,4,192,F,1
226,5,4,255,F,1
227,4,3,161,M,1
228,4,2,157,F,1
229,3,2,164,M,1
230,3,3,162,F,1
231,3,1,146,F,1
232,3,4,209,F,1
233,5,5,134,M,1
234,2,1,222,M,1
235,2,1,139,F,1
236,2,2,134,M,1
237,2,3,130,F,1
238,2,2,133,M,1
239,2,3,140,F,1
240,2,3,158,M,1
241,4,5,270,M,1
242,2,4,140,F,1
243,2,2,135,M,1
244,2,4,136,M,1
245,2,1,142,F,1
246,2,4,154,F,1
247,2,3,139,F,1
248,2,4,160,F,1
249,2,2,134,F,1
250,5,5,161,F,1
251,2,3,155,F,1
252,2,2,145,F,1
253,2,1,157,M,1
254,2,5,160,F,1
255,2,2,152,F,1
256,2,2,148,F,1
257,2,2,127,M,1
258,2,2,129,F,1
259,2,3,158,F,1
260,2,4,147,M,1
261,2,5,159,F,1
262,2,3,151,F,1
263,3,1,294,F,1
264,3,2,226,M,1
265,5,3,271,M,1
266,7,2,203,F,1
267,2,3,264,F,1
268,4,1,258,M,1
269,3,5,241,F,1
270,4,5,208,M,1
271,3,2,209,F,1
272,5,1,182,F,1
273,4,5,148,F,1
274,2,3,183,F,1
275,3,5,229,M,1
276,5,5,115,F,1
277,4,2,136,F,1
278,4,4,212,M,1
279,4,3,171,F,1
280,3,1,151,M,1
281,3,1,205,M,1
282,5,4,147,M,1
283,3,3,155,F,1
284,5,4,165,F,1
285,5,5,230,F,1
286,2,4,181,M,1
287,5,3,234,F,1
288,4,4,149,M,1
289,5,5,156,M,1
290,4,2,172,F,1
291,4,4,270,M,1
292,4,1,206,M,1
293,4,3,211,M,1
294,3,2,136,M,1
295,5,1,186,F,1
296,3,1,202,M,1
297,4,2,183,F,1
298,4,4,232,M,1
299,4,2,147,M,1
300,4,3,136,M,1
301,5,3,127,F,1
302,4,5,202,M,1
303,3,4,241,M,1
304,4,3,222,M,1
305,3,2,183,F,1
306,4,4,249,F,1
307,3,1,243,M,1
308,3,3,163,M,1
309,4,2,165,M,1
310,5,5,266,F,1
311,3,4,193,M,1
312,3,2,154,F,1
313,3,3,140,M,1
314,4,3,272,M,1
315,4,2,143,M,1
316,4,2,138,F,1
317,4,2,238,M,1
318,4,5,273,F,1
319,3,1,200,M,1
320,4,5,213,M,1
321,3,4,224,F,1
322,4,5,141,M,1
323,3,3,150,M,1
324,3,1,192,M,1
325,5,1,279,F,1
326,3,4,246,M,1
327,3,4,173,M,1
328,4,4,233,F,1
329,5,1,274,M,1
330,4,5,243,F,1
331,3,4,197,F,1
332,4,3,140,F,1
333,3,5,215,F,1
334,3,4,211,M,1
335,4,2,220,M,1
336,3,1,194,M,1
337,5,1,262,F,1
338,4,4,201,F,1
339,3,5,261,M,1
340,4,4,191,F,1
341,2,5,255,F,1
342,3,2,169,M,1
343,4,5,162,M,1
344,2,5,248,F,1
345,5,3,197,F,1
346,5,1,264,M,1
347,5,5,260,F,1
348,5,3,186,F,1
349,4,5,233,F,1
350,5,1,161,M,1
351,4,5,188,F,1
352,5,5,171,F,1
353,2,2,267,M,1
354,4,3,255,M,1
355,3,2,132,F,1
356,5,1,266,F,1
357,3,4,198,M,1
358,2,3,247,F,1
359,3,1,140,F,1
360,4,3,131,M,1
361,5,2,246,M,1
362,3,2,159,F,1
363,3,5,203,M,1
364,4,3,187,F,1
365,6,2,146,F,1
366,3,2,234,M,1
367,3,4,122,F,1
368,3,3,135,M,1
369,3,5,103,M,1
370,3,5,257,F,1
371,4,3,169,M,1
372,4,5,159,M,1
373,4,5,188,M,1
374,5,1,136,M,1
375,5,1,227,F,1
376,3,5,262,F,1
377,2,3,157,M,1
378,5,3,238,F,1
379,3,5,152,M,1
380,3,2,201,M,1
381,3,4,148,M,1
382,5,2,199,F,1
383,5,4,215,F,1
384,4,5,175,M,1
385,4,3,236,M,1
386,2,5,182,F,1
387,3,1,251,M,1
388,5,2,173,F,1
389,4,3,225,F,1
390,4,2,167,F,1
391,4,1,259,M,1
392,4,1,178,F,1
393,4,4,178,F,1
394,5,4,169,F,1
395,3,2,272,M,1
396,4,4,183,M,1
397,3,4,205,F,1
398,2,1,123,F,1
399,4,3,152,M,1
400,3,1,220,F,1
401,4,3,134,M,1
402,3,2,217,M,1
403,3,2,265,F,1
404,4,2,249,M,1
405,5,3,213,F,1
406,2,2,124,F,1
407,4,1,180,M,1
408,4,5,193,M,1
409,3,2,192,M,1
410,2,5,166,M,1
411,3,2,264,M,1
412,3,4,200,M,1
413,4,3,142,M,1
414,4,1,215,M,1
415,2,1,218,M,1
416,3,2,115,F,1
417,4,3,159,M,1
418,5,5,133,M,1
419,5,2,178,M,1
420,4,2,134,F,1
421,3,1,184,F,1
422,4,2,251,M,1
423,3,2,141,M,1
424,4,4,229,M,1
425,4,1,203,M,1
426,4,3,158,F,1
427,3,4,167,M,1
428,5,4,197,F,1
429,2,2,140,F,1
430,5,1,205,M,1
431,5,5,208,F,1
432,4,2,96,M,1
433,6,4,205,F,1
434,4,2,215,F,1
435,4,1,216,F,1
436,3,1,112,M,1
437,5,4,222,F,1
438,5,2,186,F,1
439,3,5,241,M,1
440,3,3,172,F,1
441,3,5,251,M,1
442,5,3,190,M,1
443,4,3,186,F,1
444,4,4,207,M,1
445,3,3,135,F,1
446,4,4,189,F,1
447,4,4,173,F,1
448,3,4,194,M,1
449,3,1,183,M,1
450,4,3,140,F,1
451,4,4,244,F,1
452,2,3,189,M,1
453,3,2,157,M,1
454,4,1,275,F,1
455,4,5,133,F,1
456,4,1,149,M,1
457,3,3,254,M,1
458,3,4,145,F,1
459,3,2,179,F,1
460,5,2,168,M,1
461,4,1,202,F,1
462,3,4,220,M,1
463,3,4,244,M,1
464,4,2,186,F,1
465,5,2,263,M,1
466,3,2,294,F,1
467,3,5,226,F,1
468,4,4,173,F,1
469,3,5,194,F,1
470,3,5,183,F,1
471,4,1,140,M,1
472,4,3,244,M,1
473,2,2,189,M,1
474,3,1,157,F,1
475,4,3,275,M,1
476,4,5,133,M,1
477,4,2,149,M,1
478,3,4,254,F,1
479,3,4,145,F,1
480,3,5,179,M,1
481,5,4,168,F,1
482,4,5,202,F,1
483,3,3,220,M,1
484,3,2,244,F,1
485,4,3,186,F,1
486,5,5,263,F,1
487,3,1,294,F,1
488,4,1,139,F,1
489,7,5,192,M,1
490,3,3,235,M,1
491,2,1,176,F,1
492,5,4,224,F,1
493,3,4,128,F,1
494,5,4,226,M,1
495,5,1,160,F,1
496,3,1,197,M,1
497,4,2,216,F,1
498,4,4,199,M,1
499,5,5,271,M,1
500,5,1,201,F,1
501,3,4,212,M,1
502,3,2,177,M,1
503,3,4,191,F,1
504,3,2,174,M,1
505,5,3,162,F,1
506,3,1,219,F,1
507,4,4,155,F,1
508,5,3,230,F,1
509,4,5,192,F,1
510,5,2,235,M,1
511,3,2,200,M,1
512,5,2,172,M,1
513,5,4,160,F,1
514,5,3,250,M,1
515,4,2,174,M,1
516,3,2,204,F,1
517,3,5,274,F,1
518,5,5,262,F,1
519,4,5,138,M,1
520,3,1,215,F,1
521,3,1,145,F,1
522,4,5,149,M,1
523,6,5,212,M,1
524,3,1,155,F,1
525,5,2,154,M,1
526,3,3,249,M,1
527,5,1,206,M,1
528,4,5,235,F,1
529,5,5,261,F,1
530,6,1,243,F,1
531,3,2,237,M,1
532,2,4,179,F,1
533,4,3,192,F,1
534,3,1,141,F,1
535,3,2,245,F,1
536,4,4,177,F,1
537,2,3,154,F,1
538,4,4,228,F,1
539,3,3,207,F,1
540,4,4,266,F,1
541,3,3,172,F,1
542,4,3,142,F,1
543,4,5,218,F,1
544,3,3,231,M,1
545,4,2,180,F,1
546,3,1,168,M,1
547,5,5,147,F,1
548,5,4,245,M,1
549,2,4,182,M,1
550,3,4,176,F,1
551,5,3,197,F,1
552,3,5,233,M,1
553,3,4,156,M,1
554,2,3,257,F,1
555,5,4,250,F,1
556,5,4,189,M,1
557,3,3,255,M,1
558,2,3,198,M,1
559,4,2,164,M,1
560,5,2,271,M,1
561,3,1,185,F,1
562,2,5,157,F,1
563,3,2,137,M,1
564,3,3,229,M,1
565,3,3,234,F,1
566,4,3,216,M,1
567,3,1,163,F,1
568,5,2,268,M,1
569,3,3,205,M,1
570,4,5,265,F,1
571,2,2,236,M,1
572,4,1,132,M,1
573,3,4,234,M,1
574,4,3,108,F,1
575,4,2,276,M,1
576,4,2,179,M,1
577,4,1,230,M,1
578,3,2,210,F,1
579,3,2,173,F,1
580,2,5,201,F,1
581,3,3,214,M,1
582,4,2,216,F,1
583,2,5,144,M,1
584,5,5,182,F,1
585,3,3,163,F,1
586,3,3,234,F,1
587,3,2,158,F,1
588,3,5,194,M,1
589,3,1,201,F,1
590,3,2,178,F,1
591,4,1,214,M,1
592,3,3,281,M,1
593,3,2,260,F,1
594,3,2,200,F,1
595,5,3,209,F,1
596,3,1,185,M,1
597,4,3,230,F,1
598,3,4,134,F,1
599,4,5,270,F,1
600,4,1,140,F,1
601,6,3,133,M,1
602,3,4,145,M,1
603,4,3,206,M,1
604,3,1,162,F,1
605,4,3,187,F,1
606,4,4,166,F,1
607,4,5,178,F,1
608,3,1,167,F,1
609,4,4,224,M,1
610,4,4,158,M,1
611,3,4,134,M,1
612,4,2,147,F,1
613,4,3,187,M,1
614,4,5,247,F,1
615,5,4,182,M,1
616,4,1,177,F,1
617,5,5,143,F,1
618,5,3,245,F,1
619,4,1,133,M,1
620,3,5,224,M,1
621,2,5,265,F,1
622,4,1,138,M,1
623,3,4,253,M,1
624,4,1,165,M,1
625,4,3,265,F,1
626,3,2,238,F,1
627,5,2,236,F,1
628,4,2,190,F,1
629,6,1,104,F,1
630,4,5,245,F,1
631,3,1,155,F,1
632,3,2,233,M,1
633,4,3,171,F,1
634,2,3,164,M,1
635,3,1,141,M,1
636,5,3,266,F,1
637,3,4,192,F,1
638,3,3,229,F,1
639,6,2,269,M,1
640,3,4,247,M,1
641,4,4,157,F,1
642,3,2,148,F,1
643,4,1,240,M,1
644,4,3,197,M,1
645,6,4,121,M,1
646,4,2,124,M,1
647,4,2,153,F,1
648,5,2,105,M,1
649,4,3,202,M,1
650,5,4,162,F,1
651,3,4,164,M,1
652,3,2,231,M,1
653,5,2,209,F,1
654,3,1,157,M,1
655,4,5,249,M,1
656,2,3,264,F,1
657,3,1,111,M,1
658,3,1,242,F,1
659,4,4,169,M,1
660,5,3,138,M,1
661,5,1,158,M,1
662,5,3,146,M,1
663,4,4,218,F,1
664,3,2,178,F,1
665,4,5,197,F,1
666,3,3,243,M,1
667,5,2,254,M,1
668,3,1,237,M,1
669,5,1,179,F,1
670,3,2,189,M,1
671,4,3,244,M,1
672,3,3,266,M,1
673,5,4,263,M,1
674,3,2,247,M,1
675,4,5,202,F,1
676,4,4,227,F,1
677,4,5,189,F,1
678,6,4,160,F,1
679,3,3,117,M,1
680,3,1,202,M,1
681,4,3,201,F,1
682,3,4,273,F,1
683,4,4,143,M,1
684,4,5,137,M,1
685,5,5,236,M,1
686,4,2,241,M,1
687,4,2,187,F,1
688,4,5,273,M,1
689,5,2,170,M,1
690,3,5,138,F,1
691,5,4,150,M,1
692,5,5,140,F,1
693,4,1,250,M,1
694,3,3,207,M,1
695,4,4,214,M,1
696,4,1,179,M,1
697,5,1,149,F,1
698,3,5,151,F,1
699,4,3,264,M,1
700,6,5,113,M,1
701,6,1,281,F,1
702,4,2,197,M,1
703,3,4,265,F,1
704,4,2,259,F,1
705,5,1,200,F,1
706,2,4,111,M,1
707,3,5,223,M,1
708,3,3,241,M,1
709,4,1,139,F,1
710,7,1,192,M,1
711,3,4,117,M,1
712,3,1,202,F,1
713,4,2,201,F,1
714,3,3,273,F,1
715,4,3,143,F,1
716,4,1,137,M,1
717,5,3,236,F,1
718,4,1,241,F,1
719,4,5,187,M,1
720,4,3,273,M,1
721,5,3,170,F,1
722,3,4,138,F,1
723,5,3,150,M,1
724,5,4,140,F,1
725,4,3,250,F,1
726,3,4,207,F,1
727,4,2,214,F,1
728,4,3,179,M,1
729,5,2,149,M,1
730,3,1,151,F,1
731,4,5,264,M,1
732,6,5,113,F,1
733,6,3,281,M,1
734,4,4,197,F,1
735,3,4,265,M,1
736,4,1,259,M,1
737,5,3,200,F,1
738,2,1,111,F,1
739,3,2,223,F,1
740,3,2,241,M,1
741,4,5,139,F,1
742,7,4,192,F,1
743,3,5,180,F,1
744,3,3,153,M,1
745,2,4,280,M,1
746,7,5,243,M,1
747,3,4,214,M,1
748,4,4,177,M,1
749,3,2,182,F,1
750,4,5,185,M,1
751,3,3,143,M,1
752,3,3,162,M,1
753,3,1,171,M,1
754,5,1,227,F,1
755,3,5,205,F,1
756,3,5,258,M,1
757,4,5,195,F,1
758,4,1,224,M,1
759,2,5,192,F,1
760,3,3,202,F,1
761,5,3,235,F,1
762,3,4,218,M,1
763,6,5,176,M,1
764,3,3,221,F,1
765,3,4,157,F,1
766,4,2,259,F,1
767,2,1,249,M,1
768,4,1,263,F,1
769,4,3,141,F,1
770,4,1,114,F,1
771,3,4,179,F,1
772,4,3,179,M,1
773,3,5,193,F,1
774,3,2,137,F,1
775,3,5,110,M,1
776,3,1,270,F,1
777,5,1,175,F,1
778,5,1,234,M,1
779,2,4,177,M,1
780,3,4,153,F,1
781,4,5,252,M,1
782,2,4,122,F,1
783,4,5,215,F,1
784,3,3,140,F,1
785,3,1,209,M,1
786,2,3,144,M,1
787,4,2,210,M,1
788,5,1,160,F,1
789,5,4,134,F,1
790,3,2,138,F,1
791,4,3,200,M,1
792,5,4,133,M,1
793,2,4,121,M,1
794,4,3,257,M,1
795,4,5,255,M,1
796,4,1,158,F,1
797,4,4,248,F,1
798,2,3,194,M,1
799,4,3,184,F,1
800,5,5,249,F,1
801,5,5,170,F,1
802,3,4,261,F,1
803,3,2,262,F,1
804,4,4,224,M,1
805,3,4,130,F,1
806,4,1,133,M,1
807,3,1,145,F,1
808,2,4,136,F,1
809,4,5,163,M,1
810,3,3,183,F,1
811,5,3,216,F,1
812,4,1,182,M,1
813,4,5,191,F,1
814,3,2,140,F,1
815,4,4,161,F,1
816,4,2,200,M,1
817,4,1,176,F,1
818,5,2,247,M,1
819,3,4,262,M,1
820,4,5,154,F,1
821,3,1,186,F,1
822,2,1,98,F,1
823,3,3,268,F,1
824,5,3,178,F,1
825,3,1,142,M,1
826,4,5,160,M,1
827,5,2,232,M,1
828,4,2,209,F,1
829,4,2,230,M,1
830,5,4,223,F,1
831,4,4,201,F,1
832,3,5,224,F,1
833,2,3,251,F,1
834,3,4,145,M,1
835,5,4,271,F,1
836,3,5,218,M,1
837,3,4,229,M,1
838,5,2,278,F,1
839,2,4,168,F,1
840,5,2,151,M,1
841,3,1,232,M,1
842,3,2,140,F,1
843,4,2,141,M,1
844,5,4,182,F,1
845,4,2,139,F,1
846,5,2,145,F,1
847,4,4,140,M,1
848,3,4,267,F,1
849,3,1,191,F,1
850,4,2,133,F,1
851,4,2,170,F,1
852,4,5,170,F,1
853,3,2,149,F,1
854,5,4,279,F,1
855,4,3,121,M,1
856,3,2,139,M,1
857,3,4,265,F,1
858,5,2,239,M,1
859,4,3,119,M,1
860,4,1,265,F,1
861,5,3,144,F,1
862,3,2,148,F,1
863,5,4,269,M,1
864,2,3,188,F,1
865,3,4,187,M,1
866,6,1,168,F,1
867,4,1,199,F,1
868,4,3,261,F,1
869,3,1,218,M,1
870,3,1,196,F,1
871,4,5,147,F,1
872,4,2,208,M,1
873,3,1,178,F,1
874,4,4,197,M,1
875,2,4,206,F,1
876,4,1,222,M,1
877,3,3,247,M,1
878,4,1,222,M,1
879,6,1,205,M,1
880,5,2,244,M,1
881,2,4,194,F,1
882,4,5,190,M,1
883,3,4,169,M,1
884,3,2,251,F,1
885,2,2,161,F,1
886,3,2,252,M,1
887,4,2,271,F,1
888,5,3,150,M,1
889,3,5,212,M,1
890,5,3,198,M,1
891,3,4,266,F,1
892,3,4,255,F,1
893,4,1,166,F,1
894,3,2,232,F,1
895,3,5,198,F,1
896,4,3,170,F,1
897,4,2,162,M,1
898,3,4,135,M,1
899,3,5,242,M,1
900,4,3,206,F,1
901,5,5,253,M,1
902,5,3,208,M,1
903,3,3,250,F,1
904,4,1,143,M,1
905,5,5,236,F,1
906,4,4,147,M,1
907,2,5,113,M,1
908,5,1,165,M,1
909,4,1,235,M,1
910,4,5,186,F,1
911,4,2,274,F,1
912,2,5,163,F,1
913,4,4,161,F,1
914,4,4,264,M,1
915,3,1,255,M,1
916,4,1,258,M,1
917,5,5,261,M,1
918,5,3,188,M,1
919,3,4,188,M,1
920,3,2,160,M,1
921,3,2,214,M,1
922,4,4,209,F,1
923,4,1,208,M,1
924,3,3,265,M,1
925,4,1,161,F,1
926,5,3,217,F,1
927,3,1,210,F,1
928,3,3,179,F,1
929,3,2,180,M,1
930,3,3,153,F,1
931,4,3,162,M,1
932,3,2,135,M,1
933,3,5,242,F,1
934,4,4,206,F,1
935,5,1,253,M,1
936,5,2,208,M,1
937,3,2,250,F,1
938,4,5,143,F,1
939,5,3,236,M,1
940,4,1,147,F,1
941,2,1,113,F,1
942,5,4,165,M,1
943,4,4,235,M,1
944,4,2,186,M,1
945,4,5,274,F,1
946,2,2,163,M,1
947,4,2,161,F,1
948,4,1,264,M,1
949,3,3,255,M,1
950,4,1,258,M,1
951,5,2,261,F,1
952,5,4,188,F,1
953,3,5,188,F,1
954,3,1,160,F,1
955,3,1,214,F,1
956,4,5,209,F,1
957,4,1,208,F,1
958,3,1,265,M,1
959,4,1,161,F,1
960,5,2,217,M,1
961,3,4,210,F,1
962,3,3,179,F,1
963,3,2,180,M,1
964,4,5,158,F,1
965,6,1,291,F,1
966,5,2,231,F,1
967,4,5,163,F,1
968,5,3,146,M,1
969,2,5,272,M,1
970,2,1,121,F,1
971,6,2,118,M,1
972,3,5,173,M,1
973,4,5,243,M,1
974,5,4,229,M,1
975,5,3,96,F,1
976,5,5,249,M,1
977,3,2,165,F,1
978,4,5,223,F,1
979,3,3,267,F,1
980,4,4,140,F,1
981,4,4,209,F,1
982,3,5,243,M,1
983,3,2,175,F,1
984,5,4,133,M,1
985,3,3,167,F,1
986,6,1,172,F,1
987,5,4,257,M,1
988,3,3,202,M,1
989,3,1,223,F,1
990,3,2,182,F,1
991,3,2,234,M,1
992,3,5,140,F,1
993,4,3,136,M,1
994,4,3,210,F,1
995,5,1,259,F,1
996,4,2,141,M,1
997,4,3,151,M,1
998,3,5,164,F,1
999,3,3,141,F,1
1000,3,3,271,M,1
1001,4,3,191,F,1
1002,3,1,181,M,1
1003,3,3,241,M,1
1004,3,3,254,M,1
1005,3,2,146,F,1
1006,5,1,271,M,1
1007,3,1,185,F,1
1008,4,5,170,F,1
1009,4,1,265,M,1
1010,4,4,142,F,1
1011,2,5,228,F,1
1012,4,5,262,M,1
1013,3,3,205,F,1
1014,4,1,178,M,1
1015,2,2,153,M,1
1016,3,4,186,M,1
1017,4,1,167,F,1
1018,3,3,148,M,1
1019,3,2,167,M,1
1020,3,2,261,M,1
1021,3,4,166,M,1
1022,3,1,226,M,1
1023,3,4,260,F,1
1024,5,1,246,F,1
1025,3,2,221,F,1
1026,5,4,191,M,1
1027,3,1,138,F,1
1028,3,1,146,M,1
1029,3,3,193,M,1
1030,3,1,229,F,1
1031,4,1,239,M,1
1032,6,2,103,M,1
1033,5,4,254,F,1
1034,2,2,198,M,1
1035,3,3,208,M,1
1036,3,5,253,M,1
1037,4,3,261,M,1
1038,3,1,156,M,1
1039,4,3,97,M,1
1040,2,5,275,M,1
1041,2,1,189,M,1
1042,3,1,236,M,1
1043,5,1,170,F,1
1044,4,2,251,M,1
1045,3,3,205,F,1
1046,4,5,135,F,1
1047,3,3,231,F,1
1048,3,4,257,M,1
1049,5,2,162,M,1
1050,6,5,237,F,1
1051,3,4,134,M,1
1052,2,1,163,F,1
1053,5,5,264,F,1
1054,5,2,173,M,1
1055,2,4,191,F,1
1056,3,3,152,M,1
1057,3,4,272,F,1
1058,4,2,198,M,1
1059,4,3,260,M,1
1060,4,3,158,M,1
1061,5,3,252,M,1
1062,4,2,199,M,1
1063,4,2,272,M,1
1064,3,4,209,M,1
1065,3,2,147,M,1
1066,4,2,166,F,1
1067,3,4,165,M,1
1068,4,5,162,F,1
1069,3,3,255,M,1
1070,5,5,179,M,1
1071,3,4,250,M,1
1072,3,5,251,F,1
1073,4,4,198,F,1
1074,3,1,148,M,1
1075,4,5,268,F,1
1076,5,2,239,F,1
1077,3,4,195,M,1
1078,4,3,252,F,1
1079,3,5,272,M,1
1080,2,4,141,F,1
1081,3,1,224,F,1
1082,6,3,270,F,1
1083,6,3,236,M,1
1084,3,1,227,F,1
1085,3,4,262,M,1
1086,3,1,228,M,1
1087,4,2,176,M,1
1088,4,2,147,M,1
1089,5,2,196,M,1
1090,3,1,112,F,1
1091,4,2,221,M,1
1092,3,5,154,M,1
1093,4,4,200,M,1
1094,2,5,216,F,1
1095,3,1,185,M,1
1096,4,2,199,M,1
1097,5,2,265,F,1
1098,3,2,263,F,1
1099,4,2,181,F,1
1100,4,3,163,F,1
1101,5,2,260,M,1
1102,6,2,159,F,1
1103,4,1,227,M,1
1104,3,3,104,F,1
1105,3,4,188,F,1
1106,5,3,202,M,1
1107,3,3,213,F,1
1108,3,1,211,F,1
1109,4,4,232,F,1
1110,4,3,143,M,1
1111,5,1,196,M,1
1112,4,1,150,F,1
1113,5,1,222,M,1
1114,3,2,203,M,1
1115,5,2,178,M,1
1116,4,2,272,M,1
1117,4,2,182,M,1
1118,4,4,205,F,1
1119,3,2,171,M,1
1120,4,1,172,M,1
1121,3,2,210,M,1
1122,2,1,264,M,1
1123,4,1,181,F,1
1124,3,5,240,F,1
1125,4,4,140,F,1
1126,6,4,283,F,1
1127,4,3,263,M,1
1128,4,4,136,F,1
1129,4,4,145,F,1
1130,3,3,162,F,1
1131,5,1,230,F,1
1132,3,3,148,M,1
1133,3,3,175,F,1
1134,4,2,227,M,1
1135,4,1,177,F,1
1136,6,1,257,M,1
1137,5,5,198,M,1
1138,3,5,251,M,1
1139,5,5,158,F,1
1140,4,5,171,F,1
1141,4,1,260,M,1
1142,3,4,263,M,1
1143,6,3,269,M,1
1144,3,3,224,F,1
1145,4,1,118,M,1
1146,5,1,186,M,1
1147,5,5,191,M,1
1148,5,5,174,F,1
1149,3,1,140,F,1
1150,4,2,193,F,1
1151,3,4,148,F,1
