인허가일자,상세영업상태코드,폐업일자,소재지전체주소,사업장명,업태구분명,구명,동명
20080707,1,20211130,서울특별시 중랑구 면목동 101-6번지,빵이가득한집,제과점영업,중랑구,면목동
20080807,1,20211130,서울특별시 중랑구 면목동 413-3번지,파리바게뜨면목중앙점,제과점영업,중랑구,면목동
20081202,1,20211130,서울특별시 중랑구 면목동 168-2 홈플러스,몽블랑제 면목점,제과점영업,중랑구,면목동
20090223,1,20211130,서울특별시 중랑구 망우동 464-49번지,우림베이커리,제과점영업,중랑구,망우동
20090326,1,20211130,서울특별시 중랑구 면목동 352-1번지,따끈따끈방이야기,제과점영업,중랑구,면목동
19961011,1,20211130,서울특별시 성북구 종암동 16-20,파리바게뜨종암점,제과점영업,성북구,종암동
19970918,1,20211130,서울특별시 성북구 석관동 350-1번지,파리바게트,제과점영업,성북구,석관동
19940114,1,20211130,서울특별시 성북구 장위동 270-388번지 외2필지,상제리아베이커리,제과점영업,성북구,장위동
20130412,1,20211130,서울특별시 용산구 용산동2가 1-3 N서울타워 본관5층,투썸플레이스엔타워점,제과점영업,용산구,용산동2가
20181019,1,20211130,서울특별시 송파구 문정동 618번지 파크하비오,외계인방앗간 문정점,제과점영업,송파구,문정동
20181113,1,20211130,서울특별시 양천구 목동 929번지 한신청구아파트,앨리스 베이커리 카페,제과점영업,양천구,목동
20190107,1,20211130,서울특별시 은평구 대조동 3-46번지 2층,스위트 팔레트 케이크(sweet palette cake),제과점영업,은평구,대조동
20181129,1,20211130,서울특별시 강동구 천호동 339,그리리,제과점영업,강동구,천호동
20181102,1,20211130,서울특별시 강동구 고덕동 688번지 래미안힐스테이트고덕,도담도담식빵 고덕점,제과점영업,강동구,고덕동
20181102,1,20211130,서울특별시 중구 을지로1가 87번지 부영 을지빌딩 지하1층,태극당 District C점,제과점영업,중구,을지로1가
20181129,1,20211130,서울특별시 금천구 독산동 1155 금천롯데캐슬골드파크3차,유한회사 마미갸또금천,제과점영업,금천구,독산동
20181227,1,20211130,서울특별시 송파구 잠실동 185-7번지,리블리롱제과,제과점영업,송파구,잠실동
20181227,1,20211130,서울특별시 송파구 가락동 8번지 가락스타클래스,빚은 오금역점,제과점영업,송파구,가락동
20160223,1,20211130,서울특별시 중랑구 묵동 240-174번지 홍주빌딩,정수제빵소,제과점영업,중랑구,묵동
20181105,1,20211130,서울특별시 마포구 합정동 372-13번지 1층,어썸 도넛 서울,제과점영업,마포구,합정동
20181108,1,20211130,서울특별시 강동구 고덕동 645-3번지,포레포레,제과점영업,강동구,고덕동
20190107,1,20211130,서울특별시 서초구 우면동 730번지 서초네이처힐5단지 상가동 103호,판이판 베이커리,제과점영업,서초구,우면동
20181122,1,20211130,서울특별시 광진구 자양동 227-342번지 롯데백화점,나폴레옹과자점,제과점영업,광진구,자양동
20190122,1,20211130,서울특별시 강남구 대치동 937번지 롯데백화점,홍미당,제과점영업,강남구,대치동
20190122,1,20211130,서울특별시 은평구 역촌동 84-6번지 1층 101호,브레드82(Bread82),제과점영업,은평구,역촌동
20190129,1,20211130,서울특별시 송파구 송파동 150-2번지,밀포레이트,제과점영업,송파구,송파동
20190117,1,20211130,서울특별시 구로구 신도림동 460-26번지 2호선 신도림역,브레댄코 신도림역점,제과점영업,구로구,신도림동
20190122,1,20211130,서울특별시 관악구 남현동 1061-18번지 르메이에르강남타운2,연재스토리즈,제과점영업,관악구,남현동
20190122,1,20211130,서울특별시 관악구 신림동 759-26,서라당,제과점영업,관악구,신림동
20190111,1,20211130,서울특별시 마포구 성산동 3-28번지 지1층,미미가미미(米米加味美),제과점영업,마포구,성산동
20190121,1,20211130,"서울특별시 영등포구 당산동5가 33-1번지 당산역 한강포스빌 103,1호",파리바게뜨(당산포스빌),제과점영업,영등포구,당산동5가
20190121,1,20211130,서울특별시 성동구 하왕십리동 1070번지 센트라스 E동 104호,몽쥬 빠티세리(Monge patisserie),제과점영업,성동구,하왕십리동
20190123,1,20211130,서울특별시 강남구 논현동 143-15번지 건일빌딩,뚜레쥬르 카페강남대로점,제과점영업,강남구,논현동
20190220,1,20211130,서울특별시 강남구 역삼동 761-18번지 강남프라자,모찌모찌브레드,제과점영업,강남구,역삼동
20190211,1,20211130,서울특별시 종로구 연건동 28-21 서울대학교병원,파리크라상 서울대병원점,제과점영업,종로구,연건동
20190125,1,20211130,서울특별시 은평구 신사동 355번지 현대아파트 상가동 2층6호,수고한 나에게,제과점영업,은평구,신사동
20190214,1,20211130,서울특별시 서대문구 연희동 192-4번지 지하1층,르솔레이,제과점영업,서대문구,연희동
20190211,1,20211130,서울특별시 마포구 창전동 442번지 서강한화오벨리스크,파이앤브라우니,제과점영업,마포구,창전동
20190308,1,20211130,서울특별시 노원구 월계동 333-1 월계트레이더스 1층,(주)신세계푸드 트레이더스월계점,제과점영업,노원구,월계동
20190308,1,20211130,서울특별시 동작구 대방동 335-16번지 대방빌딩,롤링핀 신대방삼거리역점,제과점영업,동작구,대방동
20190219,1,20211130,서울특별시 마포구 상암동 1618번지 휴먼시아,프롬프랑(fromfranc),제과점영업,마포구,상암동
20171010,1,20211130,서울특별시 송파구 잠실동 196번지 올림피아,"그럼,",제과점영업,송파구,잠실동
20190219,1,20211130,서울특별시 송파구 신천동 29번지 롯데월드타워앤드롯데월드몰,좋은 아침 pastry,제과점영업,송파구,신천동
20190130,1,20211130,서울특별시 마포구 동교동 190-1번지 홍대입구역 지층,서울연인,제과점영업,마포구,동교동
20190321,1,20211130,서울특별시 은평구 진관동 55 지하2층 B2AM05호,(주)파리크라상 파리바게뜨 은평성모병원점,제과점영업,은평구,진관동
20190319,1,20211130,서울특별시 광진구 중곡동 83-1 현대레이나,온베이커리,제과점영업,광진구,중곡동
20190315,1,20211130,서울특별시 강서구 마곡동 760-2 마곡나루역캐슬파크 120호,153도씨,제과점영업,강서구,마곡동
20190319,1,20211130,서울특별시 종로구 종로2가 6번지 종로타워,브리오슈도레 종로타워점,제과점영업,종로구,종로2가
20190319,1,20211130,서울특별시 종로구 청진동 70번지 그랑서울,브리오슈도레 그랑서울점,제과점영업,종로구,청진동
20190308,1,20211130,서울특별시 서초구 잠원동 73번지 잠원상가 3층 314호,제이몬티,제과점영업,서초구,잠원동
20190130,1,20211130,"서울특별시 서대문구 창천동 29-81번지 신촌르메이에르타운5 103-2,103-3호",뚜레쥬르 카페신촌점,제과점영업,서대문구,창천동
20180314,1,20211130,서울특별시 용산구 한강로2가 107-2,다음에또봐,제과점영업,용산구,한강로2가
20190314,1,20211130,서울특별시 동작구 흑석동 335-1번지 흑석한강센트레빌,기프트(Gift),제과점영업,동작구,흑석동
20190130,1,20211130,서울특별시 용산구 동자동 43-205 한국철도공사,서울연인단팥빵,제과점영업,용산구,동자동
20190130,1,20211130,서울특별시 강서구 마곡동 777-5번지 (지상 2층) 214호,슈가파티,제과점영업,강서구,마곡동
20190130,1,20211130,서울특별시 종로구 연건동 28-21 서울대학교병원,던킨 서울대병원점,제과점영업,종로구,연건동
20190128,1,20211130,서울특별시 구로구 개봉동 481번지 현대아파트1단지,해피데이,제과점영업,구로구,개봉동
20190128,1,20211130,서울특별시 광진구 구의동 250-21번지 1층,밀브레드(Mill Bread),제과점영업,광진구,구의동
20190225,1,20211130,서울특별시 송파구 송파동 131-1번지,김태우 과자점,제과점영업,송파구,송파동
20190201,1,20211130,서울특별시 노원구 중계동 434-1 세양빌딩 1층 106호,뚜레쥬르 상계점,제과점영업,노원구,중계동
20190228,1,20211130,서울특별시 도봉구 창동 659-16번지,글림,제과점영업,도봉구,창동
20190201,1,20211130,서울특별시 은평구 진관동 20번지 은평뉴타운상림마을 824동 108호,바른 고로케,제과점영업,은평구,진관동
20190228,1,20211130,서울특별시 서대문구 신촌동 134 연세대학교,마호가니 커피 연세대학교 공학관점,제과점영업,서대문구,신촌동
20190201,1,20211130,서울특별시 강남구 역삼동 831-45번지 에스케이허브젠,파파스브로트,제과점영업,강남구,역삼동
20190326,1,20211130,서울특별시 강서구 내발산동 700-24번지 (지상 1층),스몰오븐,제과점영업,강서구,내발산동
20190321,1,20211130,서울특별시 마포구 서교동 368-39번지 1층,오흐뒤구떼(heure du gouter),제과점영업,마포구,서교동
20190322,1,20211130,서울특별시 강남구 청담동 49번지 유림빌딩,(주)이지에프앤비,제과점영업,강남구,청담동
20190107,1,20211130,서울특별시 동작구 상도동 36-1번지,블랑제리가마,제과점영업,동작구,상도동
20190326,1,20211130,서울특별시 영등포구 영등포동 618-496 영등포 민자역사,크리스피크림영등포점,제과점영업,영등포구,영등포동
20190321,1,20211130,서울특별시 송파구 오금동 20-2번지 현대백조아파트,Seasonable bakery(시즈너블 베이커리),제과점영업,송파구,오금동
20190114,1,20211130,서울특별시 노원구 공릉동 503-2번지 1층 우측,칸텐,제과점영업,노원구,공릉동
20190320,1,20211130,서울특별시 영등포구 양평동4가 321-4번지 1층,하오나공방,제과점영업,영등포구,양평동4가
20190107,1,20211130,서울특별시 관악구 신림동 517-2 소준빌딩,파리바게뜨 신대방역점,제과점영업,관악구,신림동
20190322,1,20211130,서울특별시 은평구 구산동 2-36번지 세웅그룹빌딩 1층,쿠아레비 구산,제과점영업,은평구,구산동
20190322,1,20211130,서울특별시 서대문구 북아현동 136-21번지 일원4획지 지하상가,뚜레쥬르 북아현진로마트점,제과점영업,서대문구,북아현동
20190107,1,20211130,서울특별시 중구 봉래동2가 122번지,(주)떡메가,제과점영업,중구,봉래동2가
20190214,1,20211130,서울특별시 강남구 압구정동 494 갤러리아백화점 지하1층,유한회사 카페노티드,제과점영업,강남구,압구정동
20190221,1,20211130,서울특별시 금천구 가산동 139-3 램킨푸르지오시티,우뺑,제과점영업,금천구,가산동
20190108,1,20211130,서울특별시 강남구 역삼동 737번지 강남파이낸스센터 지하1층,카페 드 몽슈슈,제과점영업,강남구,역삼동
20190213,1,20211130,서울특별시 동작구 상도동 473-7번지,도담도담식빵 상도점,제과점영업,동작구,상도동
20180608,1,20211130,서울특별시 송파구 방이동 35-4 I-SPACE 잠실2,제로베이커리,제과점영업,송파구,방이동
20190214,1,20211130,서울특별시 종로구 원남동 199번지 대경빌딩,드엠(DeM),제과점영업,종로구,원남동
20190325,1,20211130,서울특별시 마포구 망원동 432-20번지,"그래, 좋아",제과점영업,마포구,망원동
20190325,1,20211130,서울특별시 중구 태평로1가 84번지 파이낸스빌딩,크리에잇쿠키,제과점영업,중구,태평로1가
20190222,1,20211130,서울특별시 성동구 성수동2가 336-48번지,영스데이(O`DAY),제과점영업,성동구,성수동2가
19780714,1,20211130,서울특별시 용산구 한남동 747-7,그랜드하얏트서울델리,제과점영업,용산구,한남동
20140324,1,20211130,서울특별시 용산구 한강로2가 23번지,라쁘띠메종,제과점영업,용산구,한강로2가
20140610,1,20211130,서울특별시 용산구 이태원동 137-16번지,(주)케르반레스토랑 베이커리,제과점영업,용산구,이태원동
20140721,1,20211130,서울특별시 용산구 한남동 736-11번지 제임스클럽,케르반베이커리,제과점영업,용산구,한남동
20020530,1,20211130,서울특별시 용산구 이태원동 128-4번지,빵나라베이커리,제과점영업,용산구,이태원동
20161121,1,20211130,서울특별시 용산구 용산동2가 46-5번지,르시앙블랑,제과점영업,용산구,용산동2가
20170102,1,20211130,서울특별시 용산구 이촌동 203-69번지,비엔디 베이커리,제과점영업,용산구,이촌동
20170123,1,20211130,서울특별시 용산구 한남동 732-21번지 1층,이스탄불딜라이트 2호점,제과점영업,용산구,한남동
20170228,1,20211130,서울특별시 용산구 갈월동 66-2번지,브레드웨이,제과점영업,용산구,갈월동
19941214,1,20211130,서울특별시 성북구 안암동5가 102-48번지 지상1층,파리바게뜨 안암역점,제과점영업,성북구,안암동5가
20100308,1,20211130,서울특별시 은평구 불광동 281-90번지,굿베이커리(불광점),제과점영업,은평구,불광동
19950504,1,20211130,서울특별시 성북구 하월곡동 74-11번지,정승만베이커리,제과점영업,성북구,하월곡동
20160926,1,20211130,서울특별시 용산구 이태원동 403-3번지,그리다디저트컴퍼니,제과점영업,용산구,이태원동
20171116,1,20211130,서울특별시 용산구 청파동2가 71-88번지 명신프라자 1층 103호,식빵공방,제과점영업,용산구,청파동2가
20100408,1,20211130,서울특별시 은평구 구산동 19-1번지 1층,수가 만든 빵,제과점영업,은평구,구산동
20140102,1,20211130,서울특별시 용산구 갈월동 56-3번지 지상1층 제2호,델리베이커리,제과점영업,용산구,갈월동
20010629,1,20211130,서울특별시 은평구 증산동 185-16 1층,빵굽는사랑방,제과점영업,은평구,증산동
20070410,1,20211130,서울특별시 은평구 대조동 240번지 지하2층 2001아울렛킴스클럽불광점(T8),뚜레쥬르 불광아울렛점(2),제과점영업,은평구,대조동
20100622,1,20211130,서울특별시 은평구 구산동 202-2번지,바로굼빵터,제과점영업,은평구,구산동
20070423,1,20211130,서울특별시 은평구 역촌동 62-1번지,파리바게뜨(역말사거리점),제과점영업,은평구,역촌동
20070828,1,20211130,"서울특별시 은평구 응암동 598-10번지 1,2층",파리바게뜨 대림시장점,제과점영업,은평구,응암동
19950328,1,20211130,서울특별시 용산구 용문동 27-23번지,빵마을,제과점영업,용산구,용문동
20010416,1,20211130,서울특별시 은평구 수색동 148-2번지,준베이커리,제과점영업,은평구,수색동
20000308,1,20211130,서울특별시 은평구 불광동 354-12번지 1층,파리바게뜨불광점,제과점영업,은평구,불광동
20100322,1,20211130,서울특별시 용산구 갈월동 98-31 (지상1층),파리바게트남영역점,제과점영업,용산구,갈월동
20070611,1,20211130,서울특별시 은평구 응암동 124-17번지,파리바게뜨 은평행복점,제과점영업,은평구,응암동
20000916,1,20211130,"서울특별시 용산구 산천동 202번지 주상가106,107호(지상1층)",파리바게뜨,제과점영업,용산구,산천동
20010228,1,20211130,서울특별시 용산구 효창동 5-326번지,파리바게뜨,제과점영업,용산구,효창동
20060524,1,20211130,서울특별시 은평구 대조동 26-5번지 1층,바로굼빵터,제과점영업,은평구,대조동
20121121,1,20211130,"서울특별시 용산구 한강로2가 2-37번지 지상1층(116,117,118,119,120,124,125,126,128,129,130,134,136호)",파리바게트,제과점영업,용산구,한강로2가
20121122,1,20211130,서울특별시 용산구 한남동 30-3번지 (지상1층),아티장베이커스,제과점영업,용산구,한남동
20170323,1,20211130,서울특별시 용산구 동빙고동 316번지,더베이크드바이셰프리(THE BAKED BY CHEF LEE),제과점영업,용산구,동빙고동
20041222,1,20211130,서울특별시 은평구 불광동 281-91번지 1층,파리바게트(불광현대),제과점영업,은평구,불광동
20051021,1,20211130,서울특별시 은평구 증산동 182-5번지 (지상1층),뚜레쥬르,제과점영업,은평구,증산동
20011126,1,20211130,서울특별시 은평구 응암동 90-1,블랑제리 은평점,제과점영업,은평구,응암동
20150304,1,20211130,서울특별시 용산구 한강로3가 40-999 지상2층,(주)신세계푸드밀크앤허니용산점,제과점영업,용산구,한강로3가
19821215,1,20211130,서울특별시 용산구 보광동 217-39번지,주재근베이커리,제과점영업,용산구,보광동
19860821,1,20211130,"서울특별시 용산구 이촌동 301-10번지 로얄상가 1층(7,8,9호), 2층(5,6,7호0",파리크라상,제과점영업,용산구,이촌동
19861027,1,20211130,서울특별시 용산구 용문동 25-1번지,케익하우스미호,제과점영업,용산구,용문동
20101103,1,20211130,"서울특별시 은평구 대조동 14-20번지 외2필지(35호, 36호)",칸베이커리,제과점영업,은평구,대조동
20101117,1,20211130,서울특별시 은평구 불광동 554-1번지 106상가호,뚜레쥬르 불광 현대점,제과점영업,은평구,불광동
20090518,1,20211130,서울특별시 용산구 도원동 28-0번지 삼성래미안상가208호(지상2층),파리바게뜨도원삼성점,제과점영업,용산구,도원동
20090519,1,20211130,서울특별시 용산구 도원동 28-0번지 삼성래미안상가211호(지상2층),파리바게뜨도원삼성점,제과점영업,용산구,도원동
20120221,1,20211130,서울특별시 용산구 한남동 743-8번지 지하1층,베이커리오월의종,제과점영업,용산구,한남동
20040901,1,20211130,서울특별시 용산구 후암동 105-3번지 (지상1층),파리바게뜨(용산후암점),제과점영업,용산구,후암동
20041006,1,20211130,서울특별시 용산구 한강로3가 40-999 이마트 지하2층,밀크앤허니 용산점(Milk&Honey),제과점영업,용산구,한강로3가
19801024,1,20211130,서울특별시 용산구 이촌동 197-5 지상1층,초이1982,제과점영업,용산구,이촌동
19960314,1,20211130,서울특별시 용산구 용산동2가 1-40번지 1층,빵굽는쉐프의꿈,제과점영업,용산구,용산동2가
20170427,1,20211130,서울특별시 성북구 길음동 1285번지 길음7구역 두산위브아파트 제상가동 110호,블록베이커리 길음점,제과점영업,성북구,길음동
20170612,1,20211130,서울특별시 성북구 삼선동2가 389번지,빵빵한연구소,제과점영업,성북구,삼선동2가
20170725,1,20211130,서울특별시 성북구 길음동 20-1번지,봄눈슬듯,제과점영업,성북구,길음동
20160601,1,20211130,서울특별시 은평구 대조동 60-9번지 1층 좌측,키다리 아저씨,제과점영업,은평구,대조동
20000508,1,20211130,서울특별시 성북구 안암동5가 1-2번지 외23필지,고대빵,제과점영업,성북구,안암동5가
20091211,1,20211130,서울특별시 서대문구 창천동 20-44번지 1층,파리바게뜨 신촌2호점,제과점영업,서대문구,창천동
20180208,1,20211130,서울특별시 은평구 진관동 20번지 은평뉴타운상림마을 상가104호(우측) 824동,산토리니의하루,제과점영업,은평구,진관동
20180314,1,20211130,서울특별시 은평구 역촌동 40-30번지 1층,"꽃,가루",제과점영업,은평구,역촌동
20180326,1,20211130,서울특별시 은평구 진관동 92번지 은평뉴타운 제각말 541동 104호,NoBS(놉스),제과점영업,은평구,진관동
20100203,1,20211130,"서울특별시 서대문구 연희동 138-67번지 외1필지 (지상1,2층)",파리바게뜨연희안산점,제과점영업,서대문구,연희동
20151007,1,20211130,서울특별시 서대문구 홍제동 330-57번지 지하1층~지상1층 가호,파리바게트 홍제역점,제과점영업,서대문구,홍제동
20170921,1,20211130,서울특별시 은평구 진관동 25번지 래미안상가 918동 106호,꽃피운달,제과점영업,은평구,진관동
20171025,1,20211130,서울특별시 은평구 녹번동 162-34번지 1층,팡야 빵야,제과점영업,은평구,녹번동
20171122,1,20211130,"서울특별시 은평구 불광동 281-27번지 지하1층,지상1층",베이커리 프랑세즈,제과점영업,은평구,불광동
20180108,1,20211130,서울특별시 은평구 대조동 200-1번지 1층 우측,화선베이커리,제과점영업,은평구,대조동
20180117,1,20211130,서울특별시 은평구 대조동 14-25 1층,폼드팡 불광점,제과점영업,은평구,대조동
20180131,1,20211130,서울특별시 은평구 대조동 25-8번지 1층 1-2호,정민베이커리,제과점영업,은평구,대조동
20140313,1,20211130,서울특별시 은평구 녹번동 117-88번지 1층,코코브레드,제과점영업,은평구,녹번동
20140416,1,20211130,서울특별시 은평구 응암동 98-50번지 1층,파리바게뜨 서부병원점,제과점영업,은평구,응암동
20140425,1,20211130,서울특별시 은평구 대조동 196-10번지 1층 101호,JY슈가룸,제과점영업,은평구,대조동
20030630,1,20211130,서울특별시 성북구 하월곡동 76-7번지 (1층),파리바깨드월곡두산,제과점영업,성북구,하월곡동
20030825,1,20211130,서울특별시 성북구 하월곡동 27-124번지 27-124,장베이커리,제과점영업,성북구,하월곡동
20031117,1,20211130,서울특별시 성북구 동선동4가 11번지,아리랑 빵집,제과점영업,성북구,동선동4가
20021130,1,20211130,서울특별시 성북구 동소문동5가 112번지,빵굼터착한빵집,제과점영업,성북구,동소문동5가
19991220,1,20211130,서울특별시 성북구 정릉동 779-2번지,파리바게트(정릉청수점),제과점영업,성북구,정릉동
20000303,1,20211130,서울특별시 성북구 길음동 1276번지,파리바게트(길음역점),제과점영업,성북구,길음동
20071009,1,20211130,서울특별시 성북구 길음동 1283-4번지 길음뉴타운상가109호117호,파리바게뜨 길음래미안점,제과점영업,성북구,길음동
20071030,1,20211130,서울특별시 성북구 성북동1가 35-5번지 외1필지,나폴레옹,제과점영업,성북구,성북동1가
20080121,1,20211130,서울특별시 성북구 동소문동1가 30번지 번지,파리바게트 한성대역점,제과점영업,성북구,동소문동1가
20130222,1,20211130,서울특별시 성북구 종암동 87-7번지 1층,복고다방,제과점영업,성북구,종암동
20130717,1,20211130,서울특별시 성북구 성북동 161-14번지,샤뽀블랑,제과점영업,성북구,성북동
20141204,1,20211130,서울특별시 성북구 동선동2가 142-2번지,슬로우브레드파파,제과점영업,성북구,동선동2가
20150105,1,20211130,서울특별시 성북구 장위동 316-3번지,파리바게뜨 장위참누리점,제과점영업,성북구,장위동
20150202,1,20211130,서울특별시 성북구 정릉동 227-37,파리바게뜨 정릉서경점,제과점영업,성북구,정릉동
20140804,1,20211130,서울특별시 은평구 진관동 92번지 529동 1층104호,다온브레드,제과점영업,은평구,진관동
20160510,1,20211130,서울특별시 은평구 구산동 190-6번지 1층102호,오해피 투게더,제과점영업,은평구,구산동
20080905,1,20211130,서울특별시 성북구 종암동 3-91번지 노블레스타워 노인복지주택 제1층101호,뚜레쥬르(종암노블레스),제과점영업,성북구,종암동
20100528,1,20211130,서울특별시 성북구 하월곡동 79-107번지 에스엠메디칼 1층 107호,파리바게트,제과점영업,성북구,하월곡동
20100531,1,20211130,서울특별시 성북구 하월곡동 46-73 외 72필지 (지하1층),몽블랑제(주)월곡점,제과점영업,성북구,하월곡동
20160421,1,20211130,서울특별시 은평구 진관동 154번지 은평뉴타운 제각말 513동 105-2호,크리스피파이 은평뉴타운점,제과점영업,은평구,진관동
20160422,1,20211130,서울특별시 은평구 신사동 371번지 은평신사두산위브2차 1층 상가5호,디저트플러스,제과점영업,은평구,신사동
20100809,1,20211130,서울특별시 성북구 길음동 1285번지,뚜레쥬르(길음뉴타운점),제과점영업,성북구,길음동
20130103,1,20211130,서울특별시 성북구 동선동2가 135-19번지,메종 드 루즈,제과점영업,성북구,동선동2가
20130124,1,20211130,서울특별시 성북구 하월곡동 88-64번지 힐스테이트 101동 102호,마일라,제과점영업,성북구,하월곡동
20130207,1,20211130,서울특별시 성북구 삼선동1가 81번지 3층,주스쿠키,제과점영업,성북구,삼선동1가
20160425,1,20211130,서울특별시 은평구 대조동 188-26번지,Happy 310,제과점영업,은평구,대조동
20160630,1,20211130,서울특별시 은평구 신사동 23-4번지 1층,이지바이,제과점영업,은평구,신사동
20160704,1,20211130,서울특별시 은평구 역촌동 85-41번지 지하철응암역 지하1층1001호,브레덴코 응암점,제과점영업,은평구,역촌동
20160708,1,20211130,서울특별시 은평구 응암동 116-24번지 서강스카이빌 3차 제1층101호,애니버서리,제과점영업,은평구,응암동
20160718,1,20211130,서울특별시 은평구 갈현동 492-1번지 A동 101호,LA FLANERIE(라플라느리),제과점영업,은평구,갈현동
19830914,1,20211130,서울특별시 은평구 구산동 361번지 (지상1층),송베이커리,제과점영업,은평구,구산동
19861018,1,20211130,서울특별시 은평구 갈현동 425-1번지,하얀풍차,제과점영업,은평구,갈현동
20130527,1,20211130,서울특별시 은평구 응암동 601-2번지 1층,비올렛베이커리,제과점영업,은평구,응암동
20130710,1,20211130,서울특별시 은평구 녹번동 73-8번지 1층,꽈배기나라,제과점영업,은평구,녹번동
20130823,1,20211130,서울특별시 은평구 응암동 761번지 상가 105호,베이커스 에비뉴,제과점영업,은평구,응암동
20131106,1,20211130,서울특별시 은평구 진관동 100-4번지 근린상가 1층,파리바게트(은평진관점),제과점영업,은평구,진관동
20160930,1,20211130,서울특별시 은평구 불광동 281-45,브레드앤밀 은평,제과점영업,은평구,불광동
20091210,1,20211130,서울특별시 성북구 석관동 133-66번지 (1층),파리바게뜨(석계두산점),제과점영업,성북구,석관동
20110228,1,20211130,서울특별시 성북구 하월곡동 90-1776번지,파리바게뜨까페하월곡동일점,제과점영업,성북구,하월곡동
19820330,1,20211130,서울특별시 성북구 정릉동 771-46번지 가동 1층5호호,모닝베이커리,제과점영업,성북구,정릉동
20180403,1,20211130,서울특별시 성북구 정릉동 338-4번지,이루카 베이커리,제과점영업,성북구,정릉동
20180717,1,20211130,서울특별시 성북구 하월곡동 90-455번지 홍진빌딩,더르빵,제과점영업,성북구,하월곡동
20010627,1,20211130,서울특별시 서대문구 북가좌동 329-35,파리바게트가좌중앙점,제과점영업,서대문구,북가좌동
20010705,1,20211130,서울특별시 서대문구 영천동 322번지 1층,뚜레쥬르 독립문,제과점영업,서대문구,영천동
20100325,1,20211130,서울특별시 서대문구 홍은동 48-98번지 (지상1층),파리바게트홍은벽산,제과점영업,서대문구,홍은동
19700418,1,20211130,서울특별시 성북구 정릉동 403-9,파리바게뜨 정릉점,제과점영업,성북구,정릉동
20110309,1,20211130,서울특별시 성북구 정릉동 894-13번지 (지상1층),파리바게뜨(정릉국민대점),제과점영업,성북구,정릉동
20110321,1,20211130,서울특별시 성북구 정릉동 408-24번지,그랑프리,제과점영업,성북구,정릉동
20110615,1,20211130,서울특별시 성북구 장위동 230-174번지,파리바게뜨 장위동방점,제과점영업,성북구,장위동
20110914,1,20211130,서울특별시 성북구 동선동4가 1,비알코리아(주) 던킨도너츠 성신여대역사점,제과점영업,성북구,동선동4가
20110923,1,20211130,서울특별시 성북구 정릉동 966-57번지 (지상1층),뚜레쥬르(아리랑삼거리점),제과점영업,성북구,정릉동
20111021,1,20211130,서울특별시 성북구 길음동 1285 지하2층 131호,몽 블랑제(Mon Boulanger),제과점영업,성북구,길음동
19830112,1,20211130,서울특별시 성북구 상월곡동 24-150번지,진미당,제과점영업,성북구,상월곡동
20101125,1,20211130,서울특별시 성북구 보문동2가 136번지 지상1층,뚜레주르보문역점,제과점영업,성북구,보문동2가
