order_no,cus_id,product,quantity,price,status
C438628,U1069,Speaker,3,56.87,cancelled
T707475,U1029,Speaker,2,48.05,paid
C492498,U1043,Chair,4,23.9,cancelled
T666276,U1033,Desk,2,61.48,shipped
T216790,U1026,Tablet,3,23.3,paid
T962718,U1046,Monitor,2,73.25,complete
T383908,U1045,Headset,4,86.66,paid
T229516,U1008,Webcam,1,43.18,complete
T391662,U1040,Speaker,2,59.69,shipped
C103162,U1025,Headset,1,75.56,cancelled
T553993,U1064,Mouse,4,45.06,complete
T851815,U1003,Webcam,4,67.99,complete
T285405,U1015,Speaker,1,92.7,shipped
C830924,U1002,Speaker,4,6.88,cancelled
T360751,U1022,Speaker,2,8.4,complete
T751957,U1023,Mouse,4,72.97,complete
T311108,U1023,Keyboard,4,45.89,shipped
T900340,U1051,Chair,2,15.24,shipped
T289880,U1052,Chair,1,66.11,complete
C855860,U1003,Notebook,2,22.64,cancelled
T317355,U1062,Monitor,1,92.91,shipped
T630439,U1052,Headset,4,77.68,paid
T514306,U1057,Speaker,2,49.09,complete
T549449,U1024,Tablet,1,41.27,paid
T735395,U1056,Chair,3,32.86,shipped
T388456,U1033,Monitor,2,90.18,complete
C932713,U1045,Webcam,1,44.38,cancelled
T570134,U1055,Keyboard,4,86.04,paid
T559464,U1050,Speaker,2,88.19,complete
C447231,U1038,Desk,4,15.92,cancelled
T638779,U1026,Headset,2,43.64,complete
T770718,U1059,Notebook,3,57.4,shipped
C954185,U1009,Tablet,4,14.83,cancelled
C235703,U1052,Speaker,3,21.15,cancelled
T683474,U1043,Webcam,2,69.41,shipped
T759839,U1046,Monitor,1,77.65,shipped
C823996,U1018,Mouse,2,89.51,cancelled
T319321,U1032,Tablet,4,32.86,complete
C717721,U1012,Mouse,1,8.51,cancelled
T783304,U1002,Monitor,2,82.96,paid
T461685,U1053,Monitor,4,71.48,complete
T990214,U1031,Chair,1,16.49,paid
T317452,U1047,Headset,1,45.85,shipped
T196425,U1030,Desk,4,37.81,paid
T345702,U1050,Mouse,1,28.57,complete
T392634,U1044,Tablet,1,21.5,shipped
T800205,U1033,Headset,4,33.52,shipped
T816618,U1026,Tablet,1,64.23,complete
T269495,U1054,Webcam,1,24.19,paid
T971204,U1014,Keyboard,3,23.44,complete
C446911,U1003,Mouse,4,36.48,cancelled
C102784,U1027,Webcam,3,14.39,cancelled
T918937,U1027,Tablet,4,20.56,complete
T542785,U1057,Speaker,4,86.39,shipped
C971130,U1040,Tablet,3,36.66,cancelled
T704793,U1007,Mouse,2,17.47,paid
T787421,U1009,Tablet,2,64.07,paid
T351656,U1023,Headset,1,47.49,complete
T931871,U1067,Desk,1,27.28,complete
T490746,U1048,Notebook,3,55.72,complete
T348177,U1006,Speaker,4,20.2,paid
T221355,U1029,Monitor,4,40.48,paid
T506398,U1006,Notebook,1,91.95,complete
T245204,U1027,Mouse,4,84.79,complete
T263261,U1014,Headset,2,36.66,paid
T715988,U1042,Tablet,1,34.99,complete
T699385,U1067,Monitor,3,42.39,paid
T811015,U1042,Mouse,4,75.22,paid
T414957,U1047,Speaker,2,52.23,complete
T315409,U1028,Desk,2,44.86,paid
T542395,U1030,Mouse,4,89.68,paid
T300870,U1064,Mouse,3,87.98,complete
T920685,U1038,Keyboard,1,51.78,complete
T864214,U1051,Notebook,2,52.19,complete
T193481,U1035,Tablet,3,5.62,paid
T289303,U1018,Monitor,4,81.37,shipped
T475851,U1042,Monitor,2,53.58,paid
C752196,U1048,Notebook,4,13.84,cancelled
T103544,U1014,Chair,1,20.35,paid
C845589,U1003,Webcam,2,32.31,cancelled
T831547,U1068,Chair,4,12.8,shipped
T642605,U1063,Mouse,4,87.94,complete
T302977,U1046,Notebook,4,7.08,complete
T655581,U1015,Webcam,3,53.13,complete
C460036,U1033,Monitor,1,91.8,cancelled
C442565,U1015,Chair,3,48.31,cancelled
C344925,U1051,Tablet,1,47.02,cancelled
T894398,U1041,Notebook,1,68.31,complete
T251968,U1031,Speaker,1,87.37,complete
T882578,U1046,Mouse,2,25.47,paid
T152450,U1054,Keyboard,1,8.27,complete
T502958,U1063,Monitor,2,85.43,complete
C381527,U1059,Speaker,2,89.24,cancelled
C755108,U1058,Speaker,1,23.14,cancelled
T223716,U1038,Notebook,2,36.85,shipped
T460794,U1012,Notebook,3,79.02,complete
T936508,U1043,Speaker,2,22.08,paid
T635283,U1044,Notebook,2,51.57,shipped
T469132,U1047,Monitor,2,62.11,shipped
T723723,U1017,Speaker,4,55.09,complete
T751900,U1067,Notebook,4,6.16,shipped
T637752,U1055,Headset,4,46.07,complete
C640473,U1006,Headset,3,25.58,cancelled
T933141,U1040,Mouse,1,52.9,shipped
T702945,U1052,Tablet,3,76.14,complete
T118578,U1065,Webcam,1,57.15,shipped
T194803,U1001,Speaker,4,55.83,complete
T828470,U1018,Desk,1,10.74,paid
T574740,U1056,Mouse,4,37.97,complete
T378753,U1018,Headset,1,58.8,paid
T681571,U1018,Webcam,4,87.24,complete
T822979,U1023,Webcam,1,69.62,paid
T416038,U1038,Desk,1,57.7,complete
C586187,U1048,Headset,1,73.98,cancelled
T719220,U1006,Headset,2,54.08,complete
T406448,U1000,Desk,2,26.57,complete
C491977,U1014,Speaker,1,89.78,cancelled
T300983,U1036,Keyboard,2,26.58,paid
T940120,U1042,Monitor,3,22.04,shipped
T165162,U1003,Webcam,4,75.78,shipped
T320010,U1028,Webcam,4,76.03,complete
T416765,U1045,Desk,3,11.33,paid
C361412,U1029,Keyboard,4,49.27,cancelled
T872938,U1044,Tablet,4,72.62,shipped
C324833,U1035,Mouse,2,83.8,cancelled
T145327,U1030,Chair,1,60.91,complete
T860200,U1008,Chair,1,35.15,shipped
T889060,U1048,Tablet,4,52.65,paid
T974189,U1045,Monitor,1,15.02,complete
T502343,U1053,Webcam,3,7.18,paid
T626652,U1057,Webcam,1,19.39,shipped
T565937,U1012,Monitor,4,33.24,shipped
T667699,U1067,Keyboard,2,16.21,complete
T788825,U1052,Desk,3,46.29,paid
T587241,U1039,Notebook,1,59.15,paid
T293674,U1003,Chair,3,69.98,shipped
T468735,U1051,Monitor,4,86.78,complete
C318327,U1040,Monitor,4,28.18,cancelled
C656669,U1064,Chair,1,75.09,cancelled
T408038,U1029,Headset,1,5.1,complete
C666016,U1011,Monitor,3,20.46,cancelled
T899885,U1058,Chair,4,90.56,shipped
T875269,U1035,Mouse,3,84.24,shipped
T552116,U1003,Monitor,3,8.78,paid
T332696,U1046,Speaker,4,75.22,complete
T809153,U1027,Headset,2,49.57,paid
T531714,U1006,Desk,3,90.29,complete
T833269,U1036,Tablet,4,9.69,complete
T791080,U1001,Monitor,4,94.56,complete
T476130,U1058,Keyboard,2,42.99,paid
C905775,U1010,Speaker,4,44.98,cancelled
T678348,U1050,Headset,1,78.27,complete
T586911,U1000,Speaker,1,14.35,complete
T595815,U1068,Speaker,1,68.04,complete
T321675,U1020,Headset,3,72.47,complete
T475942,U1038,Monitor,1,24.79,shipped
T153180,U1045,Keyboard,4,37.87,paid
T567587,U1025,Desk,3,54.95,shipped
C695605,U1041,Desk,4,22.47,cancelled
C720066,U1034,Notebook,4,43.81,cancelled
T420447,U1064,Speaker,3,10.05,paid
T162643,U1055,Chair,4,70.74,complete
T143930,U1013,Chair,1,60.69,paid
T127436,U1061,Speaker,3,10.28,shipped
T293037,U1033,Notebook,4,88.72,paid
T343317,U1063,Keyboard,3,42.78,complete
T175659,U1045,Notebook,4,21.19,paid
C408195,U1005,Headset,1,24.94,cancelled
T788173,U1041,Mouse,4,45.11,paid
T854447,U1047,Monitor,2,58.54,paid
T169596,U1013,Tablet,1,72.53,shipped
T781295,U1039,Keyboard,1,35.9,shipped
T880186,U1044,Notebook,4,49.8,complete
T892804,U1060,Headset,4,89.5,paid
T791398,U1041,Monitor,3,55.64,paid
T743579,U1044,Desk,3,43.68,paid
T981945,U1055,Mouse,1,71.23,shipped
T294645,U1001,Chair,2,10.14,shipped
C636699,U1018,Desk,2,75.37,cancelled
T526141,U1000,Webcam,4,58.57,shipped
T691854,U1026,Mouse,1,86.73,paid
T806616,U1014,Notebook,1,66.65,shipped
T508863,U1013,Mouse,3,55.98,complete
C900429,U1058,Speaker,4,19.78,cancelled
T474049,U1025,Headset,3,57.99,paid
T880062,U1050,Tablet,3,73.44,paid
T491326,U1042,Headset,2,51.06,complete
T811919,U1026,Chair,1,15.39,shipped
T496833,U1066,Notebook,2,11.15,complete
T385609,U1041,Notebook,3,93.17,complete
T653809,U1057,Keyboard,3,35.61,paid
T770800,U1010,Desk,4,24.3,shipped
T835705,U1015,Notebook,4,21.97,shipped
T153776,U1037,Headset,3,6.17,shipped
T109279,U1028,Desk,4,91.74,complete
T301326,U1047,Webcam,1,93.83,shipped
T860946,U1046,Speaker,2,21.95,complete
T550430,U1003,Mouse,1,18.42,paid
T454338,U1035,Webcam,3,70.88,shipped
T737240,U1049,Monitor,1,84.57,shipped
T699956,U1028,Keyboard,2,24.14,paid
T910518,U1049,Tablet,3,33.99,shipped
T205688,U1006,Notebook,2,50.97,shipped
T996017,U1008,Tablet,3,26.4,paid
T136299,U1015,Notebook,3,20.66,complete
T483824,U1010,Speaker,3,50.63,paid
T340464,U1032,Tablet,4,55.05,paid
T717001,U1012,Keyboard,3,63.62,shipped
T743643,U1012,Notebook,3,24.92,complete
T379287,U1027,Monitor,1,8.93,paid
T416871,U1031,Speaker,2,19.75,shipped
C950189,U1001,Notebook,3,57.61,cancelled
T986059,U1052,Keyboard,4,39.49,shipped
T609235,U1045,Keyboard,3,62.65,paid
T260674,U1043,Desk,3,7.24,shipped
C874683,U1051,Keyboard,2,38.36,cancelled
T765480,U1022,Keyboard,3,83.12,shipped
T557291,U1014,Keyboard,2,82.56,shipped
C167594,U1040,Notebook,1,47.75,cancelled
T742394,U1037,Desk,3,20.2,complete
T128360,U1036,Monitor,3,73.68,shipped
T669618,U1019,Desk,4,75.56,complete
T559392,U1054,Tablet,1,58.65,paid
T229935,U1035,Tablet,4,86.68,paid
T924880,U1067,Notebook,4,49.25,complete
T109934,U1021,Mouse,3,57.66,paid
T541950,U1054,Webcam,2,55.84,complete
T528802,U1037,Notebook,3,13.75,shipped
T447621,U1017,Tablet,3,48.74,shipped
T391044,U1030,Mouse,1,67.8,paid
T331776,U1053,Webcam,3,59.11,paid
T193703,U1042,Chair,1,26.15,complete
T282502,U1038,Mouse,3,83.45,paid
C272099,U1035,Tablet,3,43.25,cancelled
C277038,U1006,Mouse,1,6.91,cancelled
T901886,U1029,Chair,2,10.33,paid
T941709,U1038,Chair,1,62.46,shipped
T667080,U1027,Speaker,4,15.48,shipped
T225340,U1000,Headset,4,15.43,shipped
C114707,U1066,Keyboard,3,61.7,cancelled
T329664,U1062,Monitor,3,49.4,shipped
T677246,U1012,Webcam,2,34.42,shipped
T575473,U1069,Monitor,4,56.3,complete
T829845,U1018,Speaker,1,66.24,complete
T591550,U1030,Webcam,3,25.46,complete
C248693,U1025,Webcam,3,36.49,cancelled
T905424,U1005,Mouse,3,25.82,shipped
T549503,U1012,Webcam,1,57.15,shipped
T586576,U1020,Keyboard,1,44.25,paid
T182581,U1025,Speaker,1,12.46,paid
T519766,U1003,Notebook,4,11.5,paid
T697665,U1068,Headset,4,35.6,complete
C455314,U1052,Chair,2,76.53,cancelled
T878943,U1001,Webcam,4,76.26,shipped
T842853,U1009,Tablet,1,69.96,shipped
T999572,U1046,Notebook,1,52.52,complete
T110042,U1062,Speaker,1,47.87,shipped
T786473,U1064,Mouse,4,57.76,complete
C769921,U1046,Webcam,3,33.35,cancelled
C157806,U1035,Notebook,3,23.58,cancelled
T577222,U1066,Monitor,3,33.49,paid
T990598,U1068,Chair,1,6.77,paid
T699619,U1049,Desk,1,42.37,complete
T748366,U1036,Keyboard,3,41.56,paid
T512988,U1069,Tablet,2,72.83,complete
T476530,U1005,Chair,2,61.23,complete
C318880,U1068,Chair,2,73.82,cancelled
C278803,U1054,Chair,2,14.19,cancelled
T220037,U1061,Chair,1,65.34,shipped
T258086,U1058,Webcam,4,89.52,paid
T439400,U1058,Tablet,1,81.18,shipped
T918963,U1069,Headset,1,42.41,shipped
C834423,U1068,Webcam,2,60.72,cancelled
T535231,U1042,Speaker,2,29.73,shipped
T946305,U1047,Notebook,1,47.49,paid
T955842,U1007,Monitor,3,54.01,complete
T394714,U1050,Mouse,4,7.66,paid
T399294,U1022,Tablet,3,91.86,paid
T170499,U1012,Headset,2,39.73,shipped
T726208,U1039,Speaker,4,8.92,complete
T264972,U1058,Headset,1,74.67,complete
T169214,U1004,Webcam,1,12.23,shipped
T381637,U1037,Monitor,3,53.19,paid
T307993,U1017,Tablet,1,44.88,complete
T810001,U2042,Monitor,4,210.5,complete
T810002,U2042,Chair,5,145.75,paid
T810003,U2042,Notebook,2,520.25,shipped
T810004,U2042,Desk,1,395.18,complete
C542426,U2042,Tablet,1,198.7,cancelled
