name,temp,rain_1h,snow_1h,clouds_all,weather_main,year,month,hour,weekday,traffic_volume
B,294.75,0.0,0.0,40,Thunderstorm,2016,9,19,Fri,96180
B,290.62,0.0,0.0,0,Clear,2013,6,23,Fri,62460
A,299.41,0.0,0.0,40,Clouds,2014,7,15,Wed,182550
B,262.46,0.0,0.0,90,Snow,2013,1,7,Fri,191400
A,285.2,0.0,0.0,90,Fog,2012,10,7,Thu,181080
A,267.84,0.0,0.0,64,Clouds,2013,11,3,Thu,8520
A,273.22,0.0,0.0,40,Clouds,2018,4,11,Mon,128280
A,295.5,0.0,0.0,0,Clear,2013,7,11,Thu,151290
B,279.02,0.0,0.0,90,Clouds,2015,11,7,Sun,37980
A,271.43,0.0,0.0,90,Snow,2018,4,3,Tue,9870
A,291.7,0.0,0.0,1,Mist,2015,8,3,Mon,9630
B,287.22,0.0,0.0,1,Clear,2017,7,3,Sat,11670
B,284.88,0.0,0.0,68,Clouds,2013,6,3,Sat,12420
B,288.65,0.0,0.0,20,Clouds,2014,4,19,Fri,115020
A,265.22,0.0,0.0,90,Mist,2017,3,3,Mon,10470
B,282.49,0.25,0.0,20,Rain,2014,4,11,Fri,154950
B,294.02,2.86,0.0,75,Rain,2015,6,23,Sat,73230
A,296.4,0.0,0.0,90,Rain,2016,9,19,Mon,82530
A,295.27,0.44,0.0,90,Rain,2018,9,19,Mon,90180
A,300.73,0.0,0.0,44,Clouds,2013,8,19,Tue,107760
B,291.35,0.0,0.0,1,Clear,2017,7,23,Fri,73830
A,279.08,0.0,0.0,90,Mist,2017,4,11,Thu,150690
B,291.22,0.0,0.0,75,Mist,2018,6,7,Fri,197520
A,289.07,0.0,0.0,90,Haze,2018,9,19,Wed,103800
A,296.28,0.0,0.0,75,Clouds,2017,8,15,Tue,171600
B,261.29,0.0,0.0,1,Clear,2014,3,7,Sun,30660
A,270.3,0.0,0.0,90,Mist,2017,1,11,Tue,96450
A,272.02,0.0,0.0,90,Fog,2018,1,15,Mon,63960
B,261.72,0.0,0.0,90,Snow,2013,12,15,Sun,100320
A,292.8,0.0,0.0,90,Mist,2018,5,23,Wed,36990
A,278.19,0.0,0.0,90,Clouds,2013,5,23,Thu,34260
B,297.43,0.0,0.0,75,Clouds,2013,6,15,Sat,143040
B,274.89,0.0,0.0,90,Rain,2012,12,7,Sun,28920
B,295.02,0.0,0.0,1,Clear,2017,6,7,Sat,50490
A,266.76,0.0,0.0,90,Mist,2012,12,23,Mon,29280
A,279.15,0.0,0.0,75,Clouds,2017,10,3,Tue,10410
A,273.46,0.0,0.0,90,Rain,2017,4,3,Tue,9930
A,296.15,0.0,0.0,90,Thunderstorm,2017,7,7,Thu,185460
A,280.41,0.0,0.0,90,Clouds,2014,3,7,Mon,189540
A,274.49,0.0,0.0,90,Clouds,2013,4,11,Wed,132540
B,293.54,1.27,0.0,68,Rain,2016,8,19,Fri,91350
B,295.74,0.0,0.0,90,Rain,2015,8,23,Sat,73560
A,270.45,0.0,0.0,90,Snow,2013,3,7,Tue,197220
A,260.5,0.0,0.0,75,Clouds,2012,12,7,Mon,73200
A,277.78,0.0,0.0,0,Clear,2014,5,7,Wed,201450
A,273.35,0.0,0.0,90,Fog,2013,2,23,Thu,48390
A,292.38,0.0,0.0,40,Clouds,2016,6,11,Tue,127470
A,259.9,0.0,0.0,90,Clouds,2014,3,7,Tue,158190
A,288.78,0.0,0.0,1,Clear,2018,9,3,Mon,9840
B,268.14,0.0,0.0,5,Clear,2017,2,11,Sat,143520
A,286.8,0.0,0.0,40,Haze,2016,6,23,Tue,66630
B,295.64,0.0,0.0,1,Clear,2017,9,11,Sun,137460
B,261.62,0.0,0.0,90,Fog,2016,12,19,Fri,57180
A,257.34,0.0,0.0,64,Clouds,2013,12,7,Tue,142140
B,294.43,0.0,0.0,20,Haze,2016,8,11,Sun,127140
A,279.61,0.0,0.0,75,Clouds,2018,3,11,Wed,143250
B,269.58,0.0,0.0,75,Clouds,2018,4,7,Fri,198780
B,267.72,0.0,0.0,1,Clear,2013,3,19,Sun,86400
A,271.75,0.0,0.0,1,Clear,2018,2,23,Tue,34530
B,305.35,0.0,0.0,20,Clouds,2016,6,15,Sun,150300
A,290.24,0.0,0.0,90,Mist,2012,10,15,Wed,169830
B,269.71,0.0,0.0,0,Clear,2012,12,11,Sun,68970
A,293.38,0.0,0.0,90,Mist,2017,8,3,Thu,9330
B,294.95,0.0,0.0,40,Rain,2017,6,19,Sun,96420
A,298.29,0.0,0.0,0,Clear,2013,8,23,Wed,36420
B,297.1,0.0,0.0,44,Clouds,2013,6,15,Sat,128580
B,290.78,0.0,0.0,75,Clouds,2018,9,11,Sun,128190
A,269.37,0.0,0.0,75,Clouds,2013,11,11,Thu,101340
A,288.77,0.0,0.0,40,Clouds,2015,9,23,Mon,28800
B,273.82,0.0,0.0,1,Clear,2016,11,7,Sat,56280
B,268.95,0.0,0.0,1,Clear,2017,2,19,Fri,103410
A,289.88,0.0,0.0,75,Mist,2016,9,23,Thu,34830
A,282.21,0.0,0.0,75,Clouds,2017,5,11,Tue,141330
A,295.89,0.0,0.0,75,Clouds,2013,8,11,Tue,154530
A,283.48,0.0,0.0,1,Clear,2012,10,15,Mon,165060
A,293.94,0.0,0.0,90,Rain,2017,7,23,Wed,36840
A,287.53,0.0,0.0,0,Clear,2013,10,19,Mon,103560
B,262.09,0.0,0.0,90,Snow,2016,12,15,Fri,145440
B,277.38,0.0,0.0,1,Clear,2015,10,7,Sun,49410
A,301.54,0.0,0.0,40,Clouds,2017,7,19,Mon,98430
A,265.33,0.0,0.0,90,Mist,2013,1,15,Thu,158910
A,298.54,0.0,0.0,0,Clear,2016,6,19,Thu,117240
A,292.87,0.0,0.0,20,Clouds,2018,4,19,Mon,97290
A,265.93,0.0,0.0,64,Snow,2013,12,11,Wed,62670
A,274.6,0.0,0.0,64,Mist,2013,12,23,Mon,29970
A,274.72,0.0,0.0,1,Clear,2016,3,11,Thu,140100
A,268.55,0.0,0.0,1,Clear,2016,12,23,Thu,46020
A,271.42,0.0,0.0,1,Clear,2016,3,7,Thu,191430
A,269.72,0.0,0.0,1,Clear,2018,1,19,Tue,92700
A,271.36,0.0,0.0,1,Mist,2017,2,3,Tue,9570
A,263.35,0.0,0.0,1,Clear,2017,3,3,Wed,17130
A,295.01,0.0,0.0,75,Rain,2017,8,15,Thu,173520
A,278.21,0.0,0.0,64,Clouds,2013,11,11,Thu,147210
B,302.58,0.0,0.0,1,Clear,2015,7,15,Sat,133350
B,274.67,0.0,0.0,90,Drizzle,2013,1,7,Sat,50880
A,297.13,0.0,0.0,1,Haze,2013,9,19,Wed,108060
B,296.89,1.78,0.0,40,Rain,2018,8,23,Sun,36240
B,273.88,0.0,0.0,90,Rain,2016,12,15,Sun,76200
B,252.44,0.0,0.0,1,Clear,2016,1,11,Sun,119190
A,272.54,0.0,0.0,1,Mist,2012,11,7,Wed,184140
A,275.65,0.0,0.0,1,Clear,2018,1,23,Tue,33750
B,285.28,0.0,0.0,90,Clouds,2016,3,15,Sun,131100
B,298.29,0.0,0.0,75,Clouds,2018,6,15,Fri,190560
B,256.56,0.0,0.0,20,Clouds,2014,2,3,Fri,11850
A,300.6,0.0,0.0,90,Clouds,2014,7,23,Mon,36330
B,287.09,0.0,0.0,90,Mist,2017,10,15,Fri,173310
A,263.45,0.0,0.0,90,Mist,2012,12,7,Tue,14340
A,268.15,0.0,0.0,90,Mist,2017,2,15,Tue,160500
A,290.47,0.0,0.0,90,Clouds,2013,9,11,Tue,144480
A,279.86,0.0,0.0,1,Clear,2013,5,7,Tue,202170
B,276.62,0.0,0.0,90,Drizzle,2018,3,23,Sun,34140
A,275.75,0.0,0.0,90,Haze,2017,10,11,Mon,137070
A,271.73,0.0,0.0,90,Mist,2018,4,15,Mon,148470
B,292.89,0.0,0.0,40,Clouds,2017,5,19,Sun,89700
A,282.33,0.0,0.0,75,Clouds,2012,10,23,Mon,27810
B,275.29,0.0,0.0,1,Clear,2016,2,23,Fri,56730
A,285.95,0.0,0.0,90,Clouds,2017,4,15,Wed,171360
A,259.87,0.0,0.0,40,Clouds,2017,12,7,Thu,173460
A,279.35,0.0,0.0,5,Clear,2018,3,19,Wed,102780
A,260.61,0.0,0.0,40,Clouds,2013,2,3,Mon,8850
A,292.08,0.0,0.0,90,Mist,2013,5,7,Mon,184080
A,300.8,0.0,0.0,0,Clear,2016,6,15,Thu,175860
B,263.15,0.0,0.0,1,Clear,2018,3,23,Sat,53130
A,295.36,0.0,0.0,40,Clouds,2016,4,11,Mon,140760
B,288.62,0.0,0.0,90,Fog,2016,5,7,Sat,59820
A,290.61,0.0,0.0,90,Mist,2017,6,7,Mon,182040
B,294.9,0.0,0.0,40,Rain,2018,5,19,Sat,94380
B,280.08,0.0,0.0,32,Clouds,2013,10,11,Fri,156750
A,283.5,0.0,0.0,5,Clear,2017,10,15,Tue,175440
B,297.28,0.0,0.0,20,Clouds,2017,6,11,Fri,152100
A,287.65,0.0,0.0,1,Clear,2015,9,7,Mon,185910
B,291.15,1.78,0.0,1,Rain,2018,8,23,Sat,64020
A,257.72,0.0,0.0,90,Snow,2018,1,19,Mon,78330
A,273.69,0.0,0.0,90,Clouds,2017,11,15,Wed,177570
A,251.27,0.0,0.0,1,Clear,2014,2,7,Tue,154680
B,288.68,0.0,0.0,5,Clear,2018,7,7,Fri,152070
A,288.62,0.25,0.0,90,Mist,2014,5,11,Thu,149370
A,275.42,0.0,0.0,75,Clouds,2013,4,23,Thu,38010
B,293.2,0.0,0.0,1,Clear,2015,9,15,Sat,129750
B,285.99,0.0,0.0,90,Clouds,2015,10,15,Fri,168690
B,285.93,1.66,0.0,90,Mist,2014,6,11,Sat,149730
A,282.057,0.0,0.0,20,Clouds,2016,10,15,Wed,142710
A,272.65,0.0,0.0,90,Mist,2015,12,3,Mon,10320
A,271.087,0.0,0.0,0,Clear,2017,2,19,Tue,101280
A,293.75,1.2,0.0,92,Rain,2014,7,19,Mon,93180
B,252.73,0.0,0.0,1,Clear,2018,1,23,Fri,49620
B,273.98,0.0,0.0,90,Mist,2013,4,19,Sat,99570
A,291.36,0.0,0.0,75,Rain,2018,6,3,Wed,11550
B,268.79,0.0,0.0,90,Snow,2018,4,23,Sun,21180
A,285.29,0.0,0.0,90,Drizzle,2016,4,3,Thu,10140
A,293.05,0.0,0.0,92,Rain,2013,7,3,Tue,10320
A,275.82,0.0,0.0,90,Rain,2016,3,3,Thu,10110
A,272.58,0.0,0.0,90,Fog,2018,1,11,Mon,97200
B,296.49,0.0,0.0,80,Clouds,2016,8,15,Fri,168930
B,294.41,0.0,0.0,75,Clouds,2017,4,19,Sat,101730
A,293.61,0.0,0.0,8,Clear,2013,8,11,Thu,165270
B,273.8,0.0,0.0,5,Clear,2017,12,19,Sat,124200
B,289.21,0.0,0.0,75,Clouds,2016,5,15,Sun,131310
A,271.21,0.0,0.0,90,Clouds,2017,11,7,Thu,200550
B,292.56,0.0,0.0,1,Clear,2016,8,11,Sun,109620
A,284.66,0.44,0.0,92,Drizzle,2014,5,19,Mon,87690
A,262.22,0.0,0.0,64,Clouds,2013,11,23,Tue,33330
A,290.24,0.0,0.0,1,Clear,2014,6,23,Tue,37230
B,275.95,0.0,0.0,90,Fog,2017,1,15,Sat,135030
B,271.49,0.0,0.0,90,Mist,2018,4,19,Sun,73650
B,298.27,0.0,0.0,1,Clear,2015,9,19,Sun,136500
B,299.14,0.0,0.0,92,Clouds,2014,7,15,Fri,186660
A,256.43,0.0,0.0,1,Clear,2014,2,3,Mon,9570
A,263.33,0.0,0.0,64,Mist,2013,12,7,Wed,16140
A,276.28,0.0,0.0,90,Mist,2013,5,15,Thu,183000
A,271.68,0.0,0.0,90,Clouds,2014,4,3,Thu,10260
B,293.41,0.0,0.0,1,Clear,2013,4,15,Sat,142470
A,281.77,0.0,0.0,90,Rain,2017,5,7,Thu,195900
B,290.53,0.0,0.0,0,Clear,2016,8,23,Sat,71040
A,295.55,0.0,0.0,90,Mist,2015,9,11,Wed,153780
A,270.15,0.0,0.0,90,Snow,2017,2,3,Mon,9210
A,289.72,0.0,0.0,90,Mist,2018,5,7,Wed,199230
B,293.94,0.0,0.0,1,Clear,2018,8,23,Fri,68130
B,277.82,0.0,0.0,20,Clouds,2014,3,19,Sat,118680
A,288.35,0.0,0.0,40,Mist,2017,5,3,Tue,10410
A,264.03,0.0,0.0,75,Snow,2017,1,15,Tue,133620
B,275.15,0.0,0.0,90,Drizzle,2017,1,7,Fri,179520
B,282.42,0.6,0.0,1,Rain,2015,9,3,Fri,11490
A,294.48,0.0,0.0,90,Clouds,2014,8,23,Thu,44730
A,286.64,0.0,0.0,90,Drizzle,2013,5,15,Wed,173430
B,293.61,0.0,0.0,75,Clouds,2017,8,11,Sat,124290
B,296.69,0.0,0.0,1,Clear,2018,7,11,Fri,136410
A,273.47,0.0,0.0,90,Snow,2013,2,19,Mon,83460
A,293.14,0.0,0.0,1,Clear,2017,10,15,Wed,176250
A,299.11,0.0,0.0,1,Clear,2013,7,19,Tue,105870
A,265.15,0.0,0.0,75,Clouds,2016,3,11,Tue,142680
A,293.96,0.0,0.0,20,Clouds,2016,7,7,Tue,183630
A,281.83,0.0,0.0,90,Clouds,2016,4,19,Tue,102870
B,280.49,0.0,0.0,1,Clear,2016,11,7,Sun,41310
B,262.75,0.0,0.0,40,Snow,2016,12,23,Sun,27900
A,292.15,0.0,0.0,1,Clear,2018,7,3,Tue,10680
A,279.893,0.0,0.0,24,Clouds,2016,4,23,Thu,82110
B,289.14,0.0,0.0,90,Clouds,2017,8,23,Sun,44400
B,301.84,0.0,0.0,1,Clear,2013,9,11,Fri,155130
B,293.95,0.0,0.0,1,Rain,2018,8,23,Fri,54990
B,280.04,0.0,0.0,75,Clouds,2014,4,23,Fri,57720
A,271.52,0.0,0.0,90,Snow,2013,3,15,Wed,176070
B,284.88,0.0,0.0,1,Clear,2017,10,23,Sun,47580
A,265.1,0.0,0.0,1,Clear,2012,11,7,Wed,203760
A,260.48,0.0,0.0,90,Snow,2016,1,3,Wed,10350
B,298.65,0.0,0.0,1,Clear,2017,9,3,Sat,13200
A,271.73,0.0,0.0,64,Clouds,2013,11,11,Mon,136350
A,298.38,0.0,0.0,0,Clear,2013,6,11,Mon,139950
A,290.5,0.0,0.0,1,Clear,2014,7,23,Thu,57810
A,286.9,0.0,0.0,20,Clouds,2015,10,7,Mon,187230
A,281.62,0.0,0.0,20,Clouds,2017,9,7,Wed,191250
A,275.86,0.0,0.0,90,Mist,2015,10,15,Wed,170730
B,273.81,0.0,0.0,75,Clouds,2016,1,23,Fri,48660
B,293.5,0.0,0.0,75,Clouds,2013,9,7,Sat,71010
A,296.18,0.0,0.0,5,Clear,2018,9,11,Tue,152220
A,291.36,0.0,0.0,24,Drizzle,2014,6,3,Mon,12030
A,285.75,0.0,0.0,90,Mist,2017,5,23,Wed,39840
A,275.48,0.0,0.0,75,Rain,2016,2,19,Tue,93450
B,302.69,0.0,0.0,75,Clouds,2015,7,15,Fri,166440
A,248.66,0.0,0.0,1,Clear,2014,1,19,Wed,87660
A,263.07,0.0,0.0,90,Snow,2018,1,19,Tue,80070
A,276.94,0.0,0.0,90,Clouds,2017,11,15,Thu,179610
A,262.81,0.0,0.0,1,Clear,2018,1,11,Wed,134910
B,288.567,0.0,0.0,0,Clear,2017,2,15,Fri,178650
B,276.01,0.0,0.0,90,Drizzle,2017,3,3,Sun,9870
A,256.9,0.0,0.0,1,Clear,2017,12,23,Wed,39300
A,298.04,0.0,0.0,1,Clear,2013,4,15,Mon,169620
A,294.93,0.25,0.0,75,Rain,2018,8,23,Thu,41880
A,275.28,0.0,0.0,90,Clouds,2018,3,19,Wed,104790
A,273.81,0.0,0.0,90,Clouds,2013,3,15,Mon,167670
A,296.95,0.0,0.0,75,Clouds,2017,6,11,Wed,145980
A,288.81,0.0,0.0,90,Mist,2015,8,11,Wed,144060
B,270.67,0.0,0.0,64,Clouds,2013,12,19,Sun,104160
B,289.24,0.0,0.0,0,Clear,2013,6,3,Fri,11940
B,299.02,0.0,0.0,20,Clouds,2016,6,11,Sun,116790
B,301.01,0.0,0.0,75,Clouds,2016,7,15,Sun,121170
A,283.07,0.0,0.0,1,Clear,2016,5,3,Wed,23970
A,274.72,0.0,0.0,90,Haze,2017,1,15,Tue,170250
B,289.22,0.0,0.0,1,Clear,2015,10,3,Sun,8070
B,250.46,0.0,0.0,40,Clouds,2017,12,19,Sat,101400
B,296.43,0.0,0.0,75,Thunderstorm,2017,9,7,Fri,203340
A,277.35,0.0,0.0,90,Clouds,2012,11,11,Mon,137250
A,279.45,0.0,0.0,90,Clouds,2013,4,19,Tue,96780
A,290.57,0.25,0.0,1,Mist,2015,6,23,Mon,33150
A,298.46,0.0,0.0,1,Clear,2015,7,11,Thu,142890
A,261.01,0.0,0.0,90,Snow,2018,2,23,Thu,39150
B,267.43,0.0,0.0,90,Clouds,2018,2,7,Sun,36300
B,291.08,0.0,0.0,1,Mist,2018,8,7,Sun,38310
A,289.88,0.0,0.0,90,Clouds,2017,9,15,Tue,174330
A,290.84,0.0,0.0,1,Clear,2018,5,7,Tue,199530
B,277.43,0.0,0.0,90,Rain,2016,2,11,Fri,146340
A,259.33,0.0,0.0,1,Clear,2013,3,7,Wed,202830
A,283.87,0.0,0.0,75,Clouds,2014,5,7,Wed,212100
B,290.34,0.0,0.0,1,Clear,2017,6,3,Sun,14640
A,270.15,0.0,0.0,20,Clouds,2018,1,19,Mon,85080
A,291.42,0.0,0.0,90,Mist,2018,8,7,Wed,196830
B,273.96,0.3,0.0,90,Rain,2016,3,19,Fri,108180
B,276.79,0.0,0.0,90,Clouds,2013,4,7,Sun,31560
B,276.28,0.0,0.0,40,Clouds,2013,5,11,Fri,152040
A,265.15,0.0,0.0,1,Clear,2017,12,23,Wed,32790
A,261.66,0.0,0.0,64,Clouds,2013,12,11,Thu,145230
B,294.3,0.0,0.0,0,Clear,2013,8,19,Sat,107160
A,293.47,0.0,0.0,1,Clear,2015,7,7,Tue,169380
A,289.97,0.0,0.0,24,Fog,2013,8,7,Thu,184800
B,265.37,0.0,0.0,1,Clear,2013,1,7,Sat,47910
A,277.21,0.0,0.0,1,Clear,2016,3,3,Tue,9990
B,268.88,0.0,0.0,75,Clouds,2012,12,15,Fri,179970
A,268.55,0.0,0.0,1,Mist,2018,2,3,Wed,11340
A,280.15,0.0,0.0,75,Mist,2015,11,7,Mon,195960
B,295.52,7.54,0.0,76,Rain,2013,6,3,Sat,11400
A,271.3,0.0,0.0,90,Snow,2013,11,15,Thu,179850
A,288.5,0.0,0.0,1,Haze,2016,9,19,Tue,94140
A,288.58,0.0,0.0,1,Clear,2018,7,7,Thu,188970
B,287.34,0.0,0.0,75,Clouds,2016,7,7,Sat,50370
A,276.69,0.0,0.0,75,Clouds,2013,4,11,Mon,136380
A,270.15,0.0,0.0,1,Clear,2018,3,3,Tue,11400
A,292.29,0.0,0.0,90,Clouds,2017,5,19,Thu,113970
A,284.66,0.44,0.0,92,Mist,2014,5,19,Mon,87690
B,301.47,0.25,0.0,40,Rain,2018,9,15,Sat,141570
A,299.17,0.0,0.0,1,Clear,2015,8,11,Thu,168060
B,289.71,0.0,0.0,20,Haze,2012,11,15,Sun,120360
A,266.29,0.0,0.0,1,Clear,2014,4,7,Tue,197850
A,262.0,0.0,0.0,90,Clouds,2018,2,19,Thu,104820
A,249.39,0.0,0.0,1,Clear,2014,2,3,Mon,9690
B,275.68,0.0,0.0,90,Clouds,2013,5,11,Sun,111840
A,286.86,0.0,0.0,5,Clear,2016,3,19,Mon,100290
B,281.65,0.0,0.0,1,Clear,2017,4,15,Fri,184110
B,274.67,0.0,0.0,90,Rain,2013,3,23,Sun,32100
B,290.49,0.0,0.0,92,Clouds,2016,9,23,Fri,48120
A,258.46,0.0,0.0,5,Clear,2018,1,15,Wed,167670
B,275.08,0.0,0.0,1,Clear,2015,12,23,Fri,58980
A,273.95,0.0,0.0,90,Mist,2016,11,3,Wed,11340
B,290.94,0.0,0.0,90,Drizzle,2015,6,3,Sun,10350
A,264.83,0.0,0.0,90,Haze,2015,12,15,Thu,172410
B,273.61,0.0,0.0,40,Mist,2017,11,7,Sat,63450
A,286.92,0.0,0.0,68,Clouds,2013,7,3,Mon,10230
B,281.1,0.64,0.0,90,Drizzle,2013,11,15,Sat,136620
A,274.01,0.0,0.0,90,Rain,2013,2,19,Thu,99900
A,270.54,0.0,0.0,90,Clouds,2013,2,11,Wed,121020
A,295.44,0.0,0.0,1,Mist,2018,7,3,Thu,10140
A,300.27,0.0,0.0,0,Clear,2013,9,15,Thu,177210
A,301.09,0.0,0.0,0,Clear,2013,8,19,Thu,120480
A,268.93,0.0,0.0,1,Clear,2016,3,15,Tue,176850
A,271.65,0.0,0.0,90,Snow,2018,3,19,Mon,33510
B,271.55,0.0,0.0,64,Snow,2014,1,19,Fri,100650
B,277.41,0.0,0.0,90,Clouds,2012,11,19,Sun,85110
A,271.55,0.0,0.0,90,Mist,2017,12,7,Mon,121500
B,286.27,0.0,0.0,75,Clouds,2014,3,15,Sun,125940
A,272.22,0.0,0.0,1,Clear,2016,12,23,Thu,43230
A,291.75,0.0,0.0,20,Mist,2018,6,7,Thu,187920
B,295.42,0.0,0.0,20,Rain,2013,7,3,Sun,11430
B,266.69,0.0,0.0,90,Clouds,2013,2,15,Fri,157620
B,268.58,0.0,0.0,1,Clear,2018,4,23,Sun,28560
B,279.62,0.0,0.0,1,Clear,2015,12,15,Fri,185190
A,290.39,0.0,0.0,90,Rain,2013,5,23,Tue,30480
A,285.02,0.0,0.0,90,Drizzle,2015,10,19,Thu,108450
A,303.81,0.0,0.0,75,Rain,2016,7,15,Tue,143520
A,291.69,0.0,0.0,1,Clear,2017,8,11,Tue,142530
A,301.58,0.0,0.0,40,Clouds,2018,8,19,Thu,105900
A,299.882,0.0,0.0,24,Clouds,2015,6,11,Wed,148410
B,274.15,0.0,0.0,90,Mist,2017,10,15,Fri,169320
A,273.95,0.0,0.0,90,Fog,2016,11,23,Tue,27090
B,296.22,0.0,0.0,20,Clouds,2016,6,19,Sun,105150
B,296.51,0.0,0.0,40,Clouds,2013,8,15,Fri,179970
B,272.48,0.0,0.0,1,Clear,2017,12,7,Sun,33930
A,292.48,0.0,0.0,1,Clear,2016,11,15,Thu,163980
A,299.29,0.0,0.0,20,Clouds,2014,7,19,Tue,105300
B,274.65,0.0,0.0,90,Fog,2017,1,7,Sun,44640
A,274.58,0.0,0.0,5,Clear,2017,11,15,Tue,172410
A,301.61,0.0,0.0,68,Clouds,2014,7,15,Thu,178860
