Gender,Bank_Loan,Capital_Loan,Region_Code,Year,Total_Loan
F,47690000,21660000,4399000000,2024,69350000
F,49570000,3930000,4291000000,2020,53500000
M,24210000,1620000,4291000000,2021,25830000
F,11610000,20150000,GYEONGGI,2021,31760000
M,1720000,27350000,4273000000,2023,29070000
F,46410000,11380000,4273000000,2023,57790000
M,12750000,5980000,4279000000,2022,18730000
M,5070000,24470000,GYEONGGI,2021,29540000
F,32000000,26400000,4280000000,2022,58400000
F,440000,2560000,4211000000,2024,3000000
M,6310000,13450000,4111100000,2021,19760000
F,2270000,26130000,4211000000,2024,28400000
F,41240000,29160000,4111100000,2020,70400000
F,29010000,18070000,GANGWON,2022,47080000
M,23270000,27200000,GANGWON,2023,50470000
M,42890000,24420000,GYEONGGI,2021,67310000
M,15340000,22470000,GANGWON,2022,37810000
M,48750000,26970000,4399000000,2023,75720000
M,34820000,3700000,4279000000,2020,38520000
M,2750000,28930000,4273000000,2021,31680000
M,33090000,9870000,4399000000,2024,42960000
M,1220000,22220000,4211000000,2020,23440000
M,25280000,14310000,4211000000,2023,39590000
F,49840000,16740000,GANGWON,2021,66580000
M,32130000,8010000,4273000000,2021,40140000
F,46450000,4920000,4279000000,2020,51370000
F,41150000,3880000,4111100000,2021,45030000
F,4460000,4010000,4399000000,2023,8470000
M,8800000,29460000,4279000000,2020,38260000
M,22950000,13650000,4146510700,2024,36600000
M,35820000,3300000,4291000000,2020,39120000
M,37960000,13030000,GANGWON,2020,50990000
F,27190000,8720000,4111100000,2024,35910000
M,7640000,24870000,4146510700,2023,32510000
M,19600000,22490000,4111100000,2022,42090000
M,7320000,17430000,4111100000,2022,24750000
M,43390000,1190000,GANGWON,2024,44580000
M,36070000,14530000,4111100000,2023,50600000
F,47000000,23790000,4279000000,2021,70790000
M,42020000,24790000,4279000000,2024,66810000
F,18300000,3320000,4146510700,2022,21620000
M,17600000,6850000,4211000000,2023,24450000
F,16000000,5110000,4273000000,2020,21110000
M,28180000,9140000,4399000000,2023,37320000
M,48440000,380000,4399000000,2023,48820000
F,30280000,9200000,4280000000,2022,39480000
F,370000,960000,GANGWON,2022,1330000
F,18730000,2420000,GYEONGGI,2021,21150000
M,9160000,8200000,GYEONGGI,2021,17360000
F,18540000,7490000,4146510700,2024,26030000
M,14450000,22800000,4111100000,2020,37250000
M,33830000,8990000,4111100000,2021,42820000
F,49300000,10120000,GANGWON,2022,59420000
F,2840000,28590000,4291000000,2023,31430000
M,12120000,25630000,4211000000,2024,37750000
M,7370000,950000,4280000000,2021,8320000
F,25430000,22040000,4279000000,2023,47470000
F,22930000,13650000,4111100000,2023,36580000
F,31850000,13200000,4280000000,2021,45050000
M,35510000,11290000,4399000000,2020,46800000
M,28890000,15790000,4291000000,2020,44680000
M,23000000,4020000,4279000000,2024,27020000
M,22360000,22660000,GANGWON,2020,45020000
M,30780000,23910000,4280000000,2024,54690000
M,17350000,6320000,4146510700,2022,23670000
F,49430000,0,4279000000,2021,49430000
M,4220000,9970000,GANGWON,2023,14190000
M,27640000,20500000,GYEONGGI,2024,48140000
M,41530000,15050000,GANGWON,2020,56580000
F,45140000,1160000,GANGWON,2024,46300000
M,41680000,26580000,4279000000,2024,68260000
M,29750000,20390000,4291000000,2020,50140000
F,47380000,11040000,4279000000,2020,58420000
M,24110000,10220000,4273000000,2021,34330000
M,25690000,27010000,4211000000,2023,52700000
M,20720000,23260000,4291000000,2021,43980000
M,2590000,5790000,4146510700,2021,8380000
M,44910000,17040000,4291000000,2020,61950000
F,28460000,26550000,4399000000,2020,55010000
F,5500000,16390000,4146510700,2023,21890000
F,17290000,2070000,GYEONGGI,2024,19360000
M,20210000,21930000,4279000000,2021,42140000
M,37430000,10580000,GANGWON,2023,48010000
M,28190000,12670000,4279000000,2021,40860000
F,40990000,28210000,4399000000,2024,69200000
M,5890000,26220000,4280000000,2021,32110000
M,30570000,23100000,4399000000,2022,53670000
F,41150000,18170000,4273000000,2023,59320000
M,7940000,16780000,GANGWON,2020,24720000
F,15850000,18740000,GANGWON,2021,34590000
F,10380000,12600000,4111100000,2023,22980000
F,45830000,15920000,4280000000,2023,61750000
M,39240000,14670000,4111100000,2021,53910000
M,47420000,8820000,GYEONGGI,2020,56240000
M,26370000,11570000,4211000000,2020,37940000
M,6700000,19480000,4211000000,2021,26180000
M,18560000,23590000,4279000000,2023,42150000
M,42250000,600000,4211000000,2020,42850000
M,29010000,15580000,GANGWON,2021,44590000
F,530000,26980000,4399000000,2021,27510000
M,20700000,16090000,4280000000,2021,36790000
F,30420000,24150000,4279000000,2023,54570000
M,42130000,15040000,4279000000,2020,57170000
M,8100000,29090000,4280000000,2023,37190000
M,42790000,24140000,GANGWON,2022,66930000
F,38170000,8110000,GYEONGGI,2020,46280000
F,15320000,14360000,GYEONGGI,2023,29680000
F,38880000,7280000,4279000000,2020,46160000
F,29580000,27000000,GYEONGGI,2022,56580000
M,1400000,21870000,GANGWON,2024,23270000
F,23610000,21270000,4273000000,2021,44880000
M,5780000,21080000,4273000000,2023,26860000
M,18000000,4440000,4111100000,2022,22440000
F,22740000,730000,4291000000,2022,23470000
F,16150000,13140000,4146510700,2020,29290000
F,18900000,6480000,4211000000,2020,25380000
F,45190000,17460000,GYEONGGI,2021,62650000
F,49620000,10140000,4273000000,2020,59760000
F,37040000,7550000,4399000000,2023,44590000
F,15860000,26940000,4280000000,2023,42800000
F,40030000,3210000,4291000000,2023,43240000
M,10890000,23640000,4111100000,2024,34530000
F,44470000,2360000,4146510700,2023,46830000
F,17070000,29080000,4273000000,2020,46150000
M,39260000,10840000,4111100000,2020,50100000
F,5430000,13340000,4291000000,2023,18770000
M,21130000,2180000,4280000000,2022,23310000
M,18470000,3710000,4211000000,2022,22180000
F,10390000,3280000,4273000000,2022,13670000
M,16390000,1430000,4280000000,2021,17820000
M,30670000,17340000,4146510700,2024,48010000
M,42060000,18390000,GYEONGGI,2023,60450000
M,12910000,5850000,4291000000,2021,18760000
F,46730000,6840000,4146510700,2022,53570000
M,36200000,27690000,4211000000,2023,63890000
F,31640000,10590000,4280000000,2021,42230000
M,38290000,12160000,GANGWON,2020,50450000
M,43680000,2460000,4211000000,2022,46140000
M,9690000,15840000,4279000000,2021,25530000
M,28560000,24490000,4273000000,2020,53050000
F,30110000,4400000,GYEONGGI,2022,34510000
F,36230000,1410000,4291000000,2024,37640000
M,4300000,20160000,4399000000,2022,24460000
M,40880000,13110000,4280000000,2024,53990000
F,25790000,28410000,GANGWON,2024,54200000
M,8320000,5060000,4399000000,2024,13380000
M,30370000,7710000,4273000000,2023,38080000
M,8830000,6850000,4273000000,2023,15680000
F,39720000,28570000,4291000000,2024,68290000
F,3450000,10070000,GANGWON,2020,13520000
F,1880000,11460000,4273000000,2024,13340000
M,45180000,15310000,4399000000,2021,60490000
M,30910000,19390000,GANGWON,2024,50300000
F,37510000,1930000,4399000000,2023,39440000
F,35310000,23170000,4211000000,2023,58480000
F,44180000,21340000,4146510700,2021,65520000
F,43560000,2420000,GANGWON,2021,45980000
M,4050000,15390000,4111100000,2022,19440000
F,800000,15160000,4146510700,2020,15960000
M,6930000,19990000,4146510700,2020,26920000
F,41040000,24170000,GANGWON,2020,65210000
M,19330000,1860000,GYEONGGI,2023,21190000
F,31060000,5360000,4273000000,2020,36420000
F,34270000,15370000,4211000000,2022,49640000
F,22280000,9440000,GYEONGGI,2022,31720000
F,28390000,28070000,GYEONGGI,2020,56460000
M,16530000,40000,4111100000,2021,16570000
F,23190000,28620000,4280000000,2022,51810000
M,27960000,5160000,GANGWON,2021,33120000
M,34570000,12160000,4399000000,2023,46730000
M,23530000,19040000,4273000000,2022,42570000
M,5770000,18870000,GYEONGGI,2021,24640000
F,44320000,8500000,4211000000,2020,52820000
M,2890000,290000,4280000000,2023,3180000
M,10200000,19300000,4111100000,2024,29500000
M,46270000,11660000,4279000000,2024,57930000
F,23740000,5620000,4273000000,2020,29360000
F,49600000,8090000,4279000000,2023,57690000
F,10530000,21730000,4146510700,2023,32260000
F,19590000,17700000,GYEONGGI,2023,37290000
M,47100000,5900000,4291000000,2023,53000000
M,17290000,29220000,4273000000,2024,46510000
F,19410000,13350000,4399000000,2021,32760000
M,17010000,6500000,4280000000,2023,23510000
M,34490000,12980000,4211000000,2021,47470000
M,48680000,8140000,4273000000,2023,56820000
F,10220000,9320000,4399000000,2022,19540000
F,41590000,14040000,GANGWON,2022,55630000
M,34020000,2460000,4279000000,2022,36480000
F,33820000,3290000,GANGWON,2023,37110000
F,13900000,11360000,4280000000,2021,25260000
F,5450000,13430000,4111100000,2024,18880000
F,6120000,6430000,GYEONGGI,2020,12550000
F,1160000,15820000,4273000000,2024,16980000
M,43330000,7420000,4291000000,2023,50750000
F,13760000,4130000,4279000000,2022,17890000
M,2400000,24300000,4279000000,2022,26700000
M,46690000,1240000,4273000000,2021,47930000
F,40580000,10980000,4146510700,2023,51560000
M,25080000,17450000,GANGWON,2024,42530000
M,11950000,16170000,4279000000,2023,28120000
M,32290000,2020000,4399000000,2023,34310000
F,20060000,13840000,4211000000,2022,33900000
F,70000,2090000,GYEONGGI,2024,2160000
M,11070000,7160000,4279000000,2020,18230000
F,18850000,3740000,4399000000,2022,22590000
F,19780000,29450000,4280000000,2024,49230000
F,1550000,17320000,4280000000,2021,18870000
F,32640000,17960000,GYEONGGI,2022,50600000
M,13070000,26270000,4146510700,2021,39340000
M,49370000,8200000,4291000000,2022,57570000
F,37870000,8430000,GYEONGGI,2023,46300000
F,21720000,10930000,4111100000,2024,32650000
M,5440000,23500000,4146510700,2021,28940000
M,8550000,15460000,4279000000,2022,24010000
F,9610000,8980000,GYEONGGI,2021,18590000
M,36560000,4520000,GANGWON,2022,41080000
F,9710000,28070000,4280000000,2022,37780000
F,49620000,1880000,4399000000,2020,51500000
M,9800000,4370000,GYEONGGI,2020,14170000
M,7200000,27610000,GANGWON,2020,34810000
F,19980000,4860000,4146510700,2021,24840000
F,5050000,17150000,4111100000,2023,22200000
M,3620000,29360000,4399000000,2022,32980000
F,280000,10540000,4211000000,2024,10820000
M,22050000,27600000,4111100000,2020,49650000
F,43060000,28080000,4279000000,2021,71140000
M,17350000,16880000,GANGWON,2021,34230000
M,14680000,4730000,GYEONGGI,2021,19410000
M,31380000,21090000,GYEONGGI,2024,52470000
F,20100000,16410000,4273000000,2024,36510000
F,9240000,21630000,4280000000,2020,30870000
M,47510000,19650000,4279000000,2024,67160000
F,33970000,22220000,GANGWON,2020,56190000
M,46590000,25970000,GYEONGGI,2024,72560000
M,24990000,28540000,4211000000,2024,53530000
F,11050000,14440000,4399000000,2024,25490000
F,4900000,26020000,4279000000,2020,30920000
M,9900000,12840000,4146510700,2022,22740000
F,13950000,29640000,4211000000,2020,43590000
F,6330000,17970000,4399000000,2022,24300000
M,22450000,9070000,4291000000,2021,31520000
M,17170000,23380000,4280000000,2021,40550000
F,23870000,410000,4279000000,2020,24280000
M,13700000,21020000,GANGWON,2022,34720000
M,460000,14770000,4111100000,2022,15230000
F,41290000,11460000,4399000000,2022,52750000
M,14500000,16140000,4146510700,2021,30640000
M,5990000,25100000,GYEONGGI,2020,31090000
F,39410000,26930000,4111100000,2023,66340000
F,4980000,7150000,4211000000,2022,12130000
M,9390000,4800000,4280000000,2022,14190000
M,17080000,12140000,GANGWON,2023,29220000
F,11590000,14210000,4111100000,2020,25800000
F,39820000,6930000,4146510700,2022,46750000
F,40870000,620000,4399000000,2020,41490000
F,7820000,9900000,GANGWON,2022,17720000
M,29850000,9300000,4291000000,2024,39150000
F,36730000,19700000,GYEONGGI,2022,56430000
F,17530000,10420000,4280000000,2024,27950000
M,19090000,24150000,4111100000,2020,43240000
F,19010000,25560000,4280000000,2022,44570000
M,48560000,21020000,4280000000,2021,69580000
F,35450000,8630000,4280000000,2021,44080000
F,35100000,23750000,4399000000,2023,58850000
F,8150000,12390000,4280000000,2021,20540000
M,36820000,16480000,4291000000,2024,53300000
M,25250000,28990000,4211000000,2021,54240000
F,45560000,8620000,4146510700,2021,54180000
M,27090000,15250000,GANGWON,2021,42340000
M,33260000,21480000,4291000000,2022,54740000
M,32430000,15800000,GANGWON,2023,48230000
M,13130000,3600000,4146510700,2020,16730000
M,19540000,25310000,4211000000,2023,44850000
M,28740000,11720000,4279000000,2024,40460000
F,44980000,6630000,GANGWON,2022,51610000
F,40850000,17600000,GANGWON,2022,58450000
M,23620000,24230000,4211000000,2021,47850000
F,14130000,1780000,4111100000,2021,15910000
F,8650000,23350000,4291000000,2024,32000000
F,49810000,7370000,4111100000,2022,57180000
F,25520000,5030000,4111100000,2020,30550000
M,29630000,22090000,4111100000,2023,51720000
F,17810000,12920000,4280000000,2022,30730000
F,39590000,8130000,GYEONGGI,2020,47720000
M,26910000,16810000,GANGWON,2020,43720000
M,14310000,26600000,4111100000,2023,40910000
F,39100000,16910000,4291000000,2020,56010000
F,3100000,2630000,GYEONGGI,2024,5730000
F,36210000,5410000,GYEONGGI,2020,41620000
F,3670000,20070000,4111100000,2024,23740000
F,18860000,12180000,4399000000,2020,31040000
F,12540000,370000,4111100000,2021,12910000
M,10640000,13560000,4399000000,2020,24200000
F,36570000,14160000,4111100000,2024,50730000
F,16070000,28700000,4291000000,2020,44770000
M,44330000,27720000,4399000000,2020,72050000
M,4850000,10120000,4280000000,2020,14970000
M,19240000,18730000,GYEONGGI,2024,37970000
M,48050000,5020000,4111100000,2020,53070000
F,3830000,25380000,GYEONGGI,2023,29210000
F,11950000,27320000,4111100000,2023,39270000
F,13830000,17200000,GANGWON,2024,31030000
F,18130000,20270000,GANGWON,2021,38400000
F,36920000,20660000,4273000000,2023,57580000
F,4260000,16660000,4111100000,2022,20920000
M,6030000,5980000,4273000000,2023,12010000
F,42810000,20920000,4211000000,2022,63730000
M,23780000,9540000,4211000000,2024,33320000
M,16610000,14990000,GYEONGGI,2021,31600000
F,4070000,25860000,4399000000,2022,29930000
M,24720000,14090000,4111100000,2022,38810000
F,23640000,23760000,4146510700,2023,47400000
M,44600000,1760000,4111100000,2022,46360000
F,32910000,8610000,4111100000,2024,41520000
M,11260000,5530000,4146510700,2024,16790000
F,1360000,11320000,4211000000,2024,12680000
F,22290000,19010000,4273000000,2023,41300000
F,23490000,2760000,GYEONGGI,2021,26250000
F,740000,18840000,4211000000,2023,19580000
F,15710000,18890000,4146510700,2024,34600000
M,46100000,14760000,4111100000,2023,60860000
M,41770000,20000,4211000000,2024,41790000
M,24520000,8070000,4291000000,2020,32590000
F,4460000,19980000,GANGWON,2020,24440000
M,41010000,21630000,4111100000,2022,62640000
F,26500000,22740000,4279000000,2021,49240000
F,42420000,29100000,4146510700,2020,71520000
M,27440000,14020000,4280000000,2024,41460000
M,17960000,23270000,4399000000,2023,41230000
F,38510000,8660000,4280000000,2023,47170000
M,14220000,8290000,4211000000,2022,22510000
F,33030000,16020000,4111100000,2023,49050000
F,24500000,28910000,4399000000,2020,53410000
F,19170000,23420000,4399000000,2023,42590000
F,1500000,1610000,GYEONGGI,2020,3110000
F,6320000,28490000,4280000000,2020,34810000
M,20880000,14890000,4111100000,2021,35770000
M,31830000,4030000,GYEONGGI,2022,35860000
F,39390000,11520000,4273000000,2024,50910000
F,15220000,12230000,4280000000,2020,27450000
M,36250000,1350000,GANGWON,2022,37600000
M,27870000,27570000,GANGWON,2024,55440000
F,32430000,14730000,GYEONGGI,2023,47160000
M,39110000,25930000,4273000000,2022,65040000
F,38450000,23540000,4291000000,2022,61990000
M,16960000,21870000,4291000000,2022,38830000
F,47710000,19590000,GANGWON,2023,67300000
M,20490000,27200000,4279000000,2023,47690000
F,31170000,450000,4146510700,2022,31620000
M,5840000,17980000,4146510700,2021,23820000
M,46840000,22130000,4279000000,2020,68970000
F,35100000,17220000,GYEONGGI,2023,52320000
M,11730000,16220000,4146510700,2021,27950000
F,48490000,22460000,4146510700,2023,70950000
M,8310000,3920000,4280000000,2022,12230000
F,3900000,27270000,4280000000,2021,31170000
M,37350000,11990000,4279000000,2024,49340000
F,11350000,5000000,4111100000,2020,16350000
M,6720000,6920000,4273000000,2020,13640000
F,15050000,18830000,GYEONGGI,2023,33880000
M,48960000,17840000,4280000000,2020,66800000
F,9030000,4730000,4280000000,2024,13760000
F,18290000,9330000,4291000000,2021,27620000
F,32670000,4230000,4273000000,2021,36900000
M,6280000,6070000,4291000000,2022,12350000
F,39980000,11460000,4111100000,2021,51440000
M,43140000,26890000,4273000000,2023,70030000
F,28750000,13560000,4146510700,2024,42310000
M,21950000,12260000,4291000000,2022,34210000
F,38830000,29580000,GANGWON,2023,68410000
M,37960000,4050000,GYEONGGI,2023,42010000
M,14940000,29660000,4146510700,2023,44600000
F,13360000,860000,4273000000,2020,14220000
M,27550000,27740000,GANGWON,2023,55290000
M,41560000,3090000,4111100000,2020,44650000
F,11040000,27480000,GANGWON,2021,38520000
M,11630000,710000,4280000000,2020,12340000
M,5050000,23770000,4279000000,2023,28820000
M,41640000,20970000,GANGWON,2024,62610000
F,36540000,13580000,4399000000,2024,50120000
M,8820000,23860000,4111100000,2021,32680000
F,36850000,16250000,4146510700,2023,53100000
M,47330000,16290000,4291000000,2020,63620000
M,18140000,20210000,4211000000,2024,38350000
M,27590000,23200000,4111100000,2022,50790000
F,23490000,6670000,4399000000,2023,30160000
M,29180000,5210000,4280000000,2023,34390000
M,25010000,27920000,4291000000,2022,52930000
F,10930000,750000,GYEONGGI,2024,11680000
M,21220000,20130000,4211000000,2022,41350000
F,43510000,23850000,GANGWON,2021,67360000
F,9240000,17700000,4399000000,2020,26940000
M,47650000,17130000,GANGWON,2020,64780000
F,30220000,28600000,GYEONGGI,2024,58820000
M,27320000,18160000,4111100000,2022,45480000
F,13730000,13960000,4279000000,2023,27690000
F,22430000,20290000,4399000000,2023,42720000
M,48030000,24490000,4273000000,2023,72520000
F,28370000,110000,4146510700,2021,28480000
F,16930000,220000,4273000000,2021,17150000
F,3830000,25510000,4279000000,2023,29340000
F,11670000,21750000,GYEONGGI,2024,33420000
F,29580000,29080000,4273000000,2021,58660000
M,6490000,28090000,4280000000,2021,34580000
F,32260000,9420000,4399000000,2020,41680000
M,31700000,28310000,4280000000,2020,60010000
F,680000,26490000,4211000000,2024,27170000
M,5330000,13930000,4279000000,2021,19260000
M,48760000,20430000,4211000000,2021,69190000
F,6980000,15300000,4211000000,2022,22280000
F,26910000,23670000,4211000000,2024,50580000
F,37550000,12930000,4111100000,2024,50480000
M,16680000,18190000,4111100000,2022,34870000
F,47870000,20120000,4279000000,2022,67990000
M,44760000,3470000,4291000000,2020,48230000
M,18130000,12820000,4273000000,2024,30950000
M,20970000,24880000,4111100000,2024,45850000
F,7960000,17460000,GANGWON,2022,25420000
F,21440000,16610000,4280000000,2023,38050000
M,34750000,10570000,4111100000,2023,45320000
M,34600000,9430000,GYEONGGI,2020,44030000
F,4680000,26360000,4211000000,2023,31040000
M,41900000,14430000,4111100000,2023,56330000
F,48460000,19450000,4279000000,2023,67910000
M,40530000,16310000,4280000000,2021,56840000
F,10160000,2990000,4280000000,2020,13150000
M,33220000,9140000,4291000000,2022,42360000
F,38300000,2930000,4146510700,2023,41230000
M,32330000,2830000,4146510700,2021,35160000
F,6460000,6170000,4273000000,2023,12630000
F,39680000,23590000,GANGWON,2021,63270000
M,42610000,14940000,4399000000,2020,57550000
M,4900000,17590000,4279000000,2023,22490000
F,44600000,8240000,GYEONGGI,2021,52840000
M,40160000,10780000,4111100000,2024,50940000
F,39120000,5040000,4279000000,2024,44160000
M,22000000,22430000,GANGWON,2021,44430000
F,27340000,3470000,4146510700,2023,30810000
F,17490000,10530000,4279000000,2023,28020000
F,45850000,10450000,4111100000,2020,56300000
F,31450000,25030000,4291000000,2020,56480000
F,10560000,7530000,4273000000,2022,18090000
F,10080000,2540000,4291000000,2020,12620000
M,3880000,21720000,4146510700,2023,25600000
M,43750000,5190000,4211000000,2022,48940000
M,45570000,27360000,4146510700,2020,72930000
F,40270000,28870000,4273000000,2021,69140000
F,37170000,12300000,4111100000,2024,49470000
F,21970000,18760000,GANGWON,2020,40730000
F,8450000,24510000,4399000000,2020,32960000
M,9130000,6780000,4291000000,2021,15910000
M,39270000,2120000,4146510700,2023,41390000
F,42180000,3770000,GANGWON,2021,45950000
M,6930000,2050000,4291000000,2020,8980000
M,22320000,23060000,4146510700,2023,45380000
F,16790000,17820000,4273000000,2022,34610000
M,28820000,29100000,4291000000,2020,57920000
F,46700000,4680000,4146510700,2021,51380000
M,39560000,4170000,4111100000,2022,43730000
F,44960000,25560000,4273000000,2024,70520000
F,14510000,5700000,GANGWON,2022,20210000
F,9610000,17670000,GANGWON,2021,27280000
F,32250000,12140000,4399000000,2022,44390000
M,22520000,25340000,4279000000,2021,47860000
F,14550000,29560000,4211000000,2020,44110000
F,22410000,5240000,4111100000,2023,27650000
F,9000000,24530000,4273000000,2024,33530000
M,15720000,8230000,4291000000,2023,23950000
F,3760000,11260000,GANGWON,2023,15020000
M,49430000,29340000,4111100000,2023,78770000
F,3320000,11660000,4273000000,2021,14980000
M,47710000,9410000,4273000000,2021,57120000
M,14060000,18470000,4291000000,2024,32530000
F,5210000,20340000,4273000000,2021,25550000
M,41810000,3600000,GYEONGGI,2021,45410000
F,37370000,20000,4111100000,2021,37390000
F,23420000,4590000,4146510700,2021,28010000
F,2840000,19580000,GANGWON,2020,22420000
M,46780000,4580000,GANGWON,2024,51360000
M,46330000,29720000,4146510700,2021,76050000
F,39540000,3120000,4111100000,2024,42660000
F,23840000,18150000,4211000000,2022,41990000
M,33260000,18890000,4111100000,2020,52150000
F,24640000,10230000,4280000000,2021,34870000
F,16150000,24820000,4273000000,2020,40970000
F,33930000,17590000,4279000000,2020,51520000
M,16210000,19420000,4291000000,2022,35630000
M,20650000,1110000,GYEONGGI,2024,21760000
M,33180000,11260000,4279000000,2020,44440000
F,3030000,12180000,4146510700,2023,15210000
F,26680000,26590000,4291000000,2022,53270000
F,27640000,5700000,4291000000,2023,33340000
M,23180000,3890000,4291000000,2022,27070000
F,14930000,28480000,GANGWON,2023,43410000
F,34330000,23230000,GYEONGGI,2023,57560000
F,21680000,7040000,GANGWON,2020,28720000
F,40620000,22410000,4273000000,2020,63030000
M,31590000,26620000,4280000000,2022,58210000
M,29050000,27130000,4399000000,2024,56180000
F,47330000,15280000,GYEONGGI,2020,62610000
M,11990000,15830000,4279000000,2020,27820000
M,6290000,6220000,4273000000,2021,12510000
F,22570000,9630000,4111100000,2020,32200000
