Country,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Saudi Arabia,339.29,342.34,360.42,370.28,370.04,377.56,398.95,395.09,413.57,415.23,440.1,445.28,444.43,453.72,485.88,498.87,515.18,516.64,530.86,555.65,565.25
South Africa,990.03,1018.2,993.15,1002.01,1055.8,1007.88,1033.47,1037.71,1067.11,1024.42,1039.78,1020.0,1066.74,1030.33,1093.4,1057.9,1090.08,1085.59,1108.83,1104.21,1064.83
Turkey,1117.74,1119.08,1145.58,1133.25,1087.22,1159.03,1151.76,1047.11,1169.69,1151.62,1175.77,1235.65,1196.31,1208.85,1198.39,1212.45,1234.35,1231.51,1269.15,1246.86,1266.87
Spain,182.57,184.66,186.6,195.87,189.99,192.45,195.73,189.46,205.83,201.44,203.83,203.96,212.48,210.42,211.19,216.34,217.13,219.89,218.79,220.5,229.64
Argentina,1115.96,1094.7,1094.03,1074.41,1116.69,1103.58,1103.24,1103.55,1104.31,1083.86,1097.8,1073.88,1105.75,1095.65,1131.11,1058.9,1111.35,1054.43,1106.74,1092.24,1073.52
Poland,806.49,815.13,851.0,858.79,853.8,865.09,857.76,860.9,870.99,897.09,908.89,902.24,899.14,903.11,936.73,935.06,901.64,922.31,952.59,949.86,963.43
Thailand,1289.52,1299.24,1344.33,1336.6,1351.63,1346.84,1410.76,1453.2,1519.6,1480.88,921.95,1523.27,1260.74,1588.87,1586.67,1645.85,1707.89,1684.6,1768.88,1800.0,1765.85
Vietnam,443.3,433.58,440.88,437.34,456.08,460.83,460.05,457.98,476.84,470.54,475.83,482.51,474.45,498.79,505.67,484.05,509.24,496.14,530.87,526.65,523.05
Malaysia,646.32,637.11,644.69,650.67,702.57,692.69,716.86,710.36,708.18,742.17,768.38,798.97,784.13,825.2,816.69,814.48,842.33,887.55,895.79,917.01,922.43
Egypt,270.89,283.83,296.06,296.34,305.9,332.16,328.97,340.08,351.1,364.8,377.57,390.88,394.34,412.37,430.58,436.97,447.7,456.03,480.96,493.02,508.24
Netherlands,703.2,695.54,706.66,723.62,730.22,695.25,732.69,748.83,740.91,722.93,746.9,734.81,712.84,757.55,762.17,737.29,746.58,760.87,702.58,743.32,734.8
Pakistan,841.98,833.05,836.5,869.46,841.32,906.86,877.56,883.67,895.99,891.11,899.25,917.35,925.5,917.45,908.6,961.68,945.46,955.76,948.49,985.62,971.36
Iran,908.12,941.35,893.73,958.79,973.89,1002.63,1004.08,1028.56,1064.21,1098.11,1091.32,1158.26,1149.53,1201.19,1242.2,1244.69,1319.51,1316.98,1330.88,1366.11,1405.44
Nigeria,486.31,493.7,509.67,487.67,511.66,516.48,509.17,519.08,527.24,545.45,537.76,531.12,563.49,519.56,542.47,544.14,553.64,549.53,555.57,547.84,575.11
Philippines,1143.77,1193.43,1174.24,1223.5,1136.02,1268.83,1240.9,1288.93,1317.68,1324.74,889.66,1377.0,1364.64,1390.75,1435.11,1457.4,1488.34,1534.38,1537.47,1549.01,1562.9
