날짜,매출,방문객수,지점
2023-09-22,851,1540,대전점
2023-09-23,1105,2009,강남점
2023-09-24,1129,2063,홍대점
2023-09-25,803,1407,수원점
2023-09-26,827,1461,인천점
2023-09-27,851,1515,대전점
2023-09-28,755,1354,강남점
2023-09-29,779,1408,홍대점
2023-09-30,1153,2092,수원점
2023-10-01,1238,2189,인천점
2023-10-02,912,1613,대전점
2023-10-03,816,1451,강남점
2023-10-04,840,1506,홍대점
2023-10-05,864,1560,수원점
2023-10-06,888,1614,인천점
2023-10-07,1262,2298,대전점
2023-10-08,1166,2136,강남점
2023-10-09,840,1481,홍대점
2023-10-10,864,1535,수원점
2023-10-11,888,1589,인천점
2023-10-12,912,1643,대전점
2023-10-13,816,1481,강남점
2023-10-14,1190,2166,홍대점
2023-10-15,1214,2220,수원점
2023-10-16,888,1564,인천점
2023-10-17,912,1618,대전점
2023-10-18,816,1456,강남점
2023-10-19,840,1511,홍대점
2023-10-20,864,1565,수원점
2023-10-21,1238,2249,인천점
2023-10-22,1262,2303,대전점
2023-10-23,816,1431,강남점
2023-10-24,840,1486,홍대점
2023-10-25,864,1540,수원점
2023-10-26,888,1594,인천점
2023-10-27,912,1648,대전점
2023-10-28,1166,2116,강남점
2023-10-29,1190,2171,홍대점
2023-10-30,864,1515,수원점
2023-10-31,888,1569,인천점
2023-11-01,966,1722,대전점
2023-11-02,990,1777,강남점
2023-11-03,894,1615,홍대점
2023-11-04,1268,2299,수원점
2023-11-05,1292,2353,인천점
2023-11-06,966,1777,대전점
2023-11-07,990,1752,강남점
2023-11-08,894,1590,홍대점
2023-11-09,918,1644,수원점
2023-11-10,942,1698,인천점
2023-11-11,1316,2382,대전점
2023-11-12,1340,2437,강남점
2023-11-13,894,1645,홍대점
2023-11-14,918,1619,수원점
2023-11-15,942,1673,인천점
2023-11-16,966,1727,대전점
2023-11-17,990,1782,강남점
2023-11-18,1244,2250,홍대점
2023-11-19,1268,2304,수원점
2023-11-20,942,1728,인천점
2023-11-21,966,1702,대전점
2023-11-22,990,1757,강남점
2023-11-23,894,1595,홍대점
2023-11-24,918,1649,수원점
2023-11-25,1292,2333,인천점
2023-11-26,1316,2387,대전점
2023-11-27,990,1812,강남점
2023-11-28,894,1570,홍대점
2023-11-29,918,1624,수원점
2023-11-30,942,1678,인천점
2023-12-01,1227,2215,대전점
2023-12-02,1601,2899,강남점
2023-12-03,1505,2738,홍대점
2023-12-04,1179,2082,수원점
2023-12-05,1203,2136,인천점
2023-12-06,1227,2190,대전점
2023-12-07,1251,2244,강남점
2023-12-08,1155,2083,홍대점
2023-12-09,1529,2767,수원점
2023-12-10,1553,2821,인천점
2023-12-11,1227,2245,대전점
2023-12-12,1251,2219,강남점
2023-12-13,1155,2058,홍대점
2023-12-14,1179,2112,수원점
2023-12-15,1203,2166,인천점
2023-12-16,1577,2850,대전점
2023-12-17,1601,2904,강남점
2023-12-18,1155,2113,홍대점
2023-12-19,1179,2087,수원점
2023-12-20,1203,2141,인천점
2023-12-21,1227,2195,대전점
2023-12-22,1251,2249,강남점
2023-12-23,1505,2718,홍대점
2023-12-24,1529,2772,수원점
2023-12-25,1203,2196,인천점
2023-12-26,1227,2170,대전점
2023-12-27,1251,2224,강남점
2023-12-28,1155,2063,홍대점
2023-12-29,1179,2117,수원점
2023-12-30,1553,2801,인천점
2023-12-31,1577,2855,대전점
