datetime,temperature,illumination,noise,co2,humidity,pm25
2021-01-18 12:00:00,27.94,,49.79,802.66,42.19,19.99
2021-01-18 18:00:00,23.68,,51.02,906.03,,15.09
2021-01-19 00:00:00,25.790000000000006,712.56,44.24,486.35,41.49,19.97
2021-01-19 06:00:00,26.32,613.69,45.79,478.98,42.4,16.54
2021-01-19 12:00:00,23.12,486.03,45.62,684.31,39.34,15.21
2021-01-19 18:00:00,23.540000000000006,702.67,57.84,717.63,48.42,20.0
2021-01-20 00:00:00,23.540000000000006,354.12,40.87,722.02,56.95,17.7
2021-01-20 06:00:00,22.1,483.69,31.79,817.22,56.22,19.52
2021-01-20 12:00:00,26.47,716.05,33.34,679.6,42.24,13.73
2021-01-20 18:00:00,24.75,296.21,44.48,740.04,59.63,14.05
2021-01-21 00:00:00,25.66,637.61,34.31,1096.88,47.54,25.23
2021-01-21 06:00:00,29.1,525.79,42.57,900.86,48.21,24.68
2021-01-21 12:00:00,26.61,447.93,48.09,566.37,45.17,7.43
2021-01-21 18:00:00,26.97,471.04,54.69,705.45,61.3,20.0
2021-01-22 00:00:00,,500.54,46.62,217.18,,17.92
2021-01-22 06:00:00,25.88000000000001,555.45,64.92,695.55,39.28,11.21
2021-01-22 12:00:00,24.82,502.26,40.65,803.12,42.17,16.38
2021-01-22 18:00:00,24.58,606.67,49.59,775.72,48.17,17.43
2021-01-23 00:00:00,25.08,414.67,43.05,868.26,48.53,20.45
2021-01-23 06:00:00,27.84,451.42,40.19,679.07,46.61,21.17
2021-01-23 12:00:00,25.73,411.77,40.01,949.23,39.13,19.74
2021-01-23 18:00:00,26.02,598.54,51.42,976.88,41.55,19.15
2021-01-24 00:00:00,22.42,463.7,38.91,817.21,,17.12
2021-01-24 06:00:00,,386.7,50.94,714.5,46.62,19.84
2021-01-24 12:00:00,26.32,413.41,57.92,574.75,,14.78
2021-01-24 18:00:00,27.040000000000006,573.31,40.29,536.18,46.74,24.05
2021-01-25 00:00:00,21.899999999999995,714.55,58.71,694.74,48.7,20.28
2021-01-25 06:00:00,26.14,422.79,47.09,984.68,46.49,13.91
2021-01-25 12:00:00,24.89,649.35,35.92,844.16,50.49,20.29
2021-01-25 18:00:00,26.97,469.74,48.37,627.25,42.74,22.22
2021-01-26 00:00:00,25.55,594.43,48.37,515.74,39.43,17.37
2021-01-26 06:00:00,24.73,635.28,44.52,,41.17,18.06
2021-01-26 12:00:00,24.18,406.76,,928.86,60.45,19.21
2021-01-26 18:00:00,24.08,352.76,49.82,718.04,50.32,8.25
2021-01-27 00:00:00,23.93,498.22,38.23,1039.36,40.51,21.21
2021-01-27 06:00:00,25.489999999999995,707.31,57.32,883.12,49.73,23.43
2021-01-27 12:00:00,26.309999999999995,668.23,59.1,614.69,52.58,19.13
2021-01-27 18:00:00,23.899999999999995,424.76,52.62,1154.98,40.73,20.33
2021-01-28 00:00:00,,616.52,48.17,830.54,56.75,22.97
2021-01-28 06:00:00,27.78,539.85,57.3,743.97,39.82,5.8
2021-01-28 12:00:00,,385.59,44.06,776.45,39.7,20.44
2021-01-28 18:00:00,24.540000000000006,558.37,53.18,677.95,40.4,15.58
2021-01-29 00:00:00,26.13000000000001,484.05,49.66,564.97,41.08,23.51
2021-01-29 06:00:00,25.71,538.9,41.35,879.47,37.68,18.84
2021-01-29 12:00:00,25.6,593.66,38.6,621.71,44.79,21.39
2021-01-29 18:00:00,25.09,,45.3,863.35,57.3,20.37
2021-01-30 00:00:00,28.200000000000006,330.16,40.77,659.43,54.22,19.86
2021-01-30 06:00:00,24.0,622.84,44.78,911.57,48.87,17.92
2021-01-30 12:00:00,24.12,,,818.76,49.13,21.49
2021-01-30 18:00:00,,293.67,56.85,752.04,45.78,
2021-01-31 00:00:00,27.309999999999995,643.89,42.37,730.32,45.56,25.48
2021-01-31 06:00:00,23.83,,51.39,823.54,49.36,20.8
2021-01-31 12:00:00,,477.83,42.72,739.72,48.99,20.68
2021-01-31 18:00:00,25.91,615.38,41.22,985.73,43.38,
2021-02-01 00:00:00,25.46,418.96,45.52,573.98,56.21,26.2
2021-02-01 06:00:00,23.21,536.18,50.41,866.42,51.09,17.17
2021-02-01 12:00:00,27.8,593.29,48.21,,49.76,15.96
2021-02-01 18:00:00,23.790000000000006,440.45,44.65,650.2,38.14,23.26
2021-02-02 00:00:00,23.399999999999995,390.26,40.7,786.81,48.38,16.51
2021-02-02 06:00:00,,539.96,40.65,901.69,39.07,21.59
2021-02-02 12:00:00,24.25,548.37,29.3,640.61,51.38,15.79
2021-02-02 18:00:00,24.93,553.98,54.56,704.53,48.19,19.49
2021-02-03 00:00:00,29.419999999999646,523.13,56.38,743.57,38.73,19.24
2021-02-03 06:00:00,23.44,393.65,49.07,,42.46,17.36
2021-02-03 12:00:00,26.26,586.04,37.61,634.57,54.67,15.61
2021-02-03 18:00:00,23.200000000000006,678.64,45.85,901.0,61.86,24.17
2021-02-04 00:00:00,25.0,661.18,52.14,355.84,51.2,16.44
2021-02-04 06:00:00,26.38000000000001,616.27,34.48,753.82,33.05,20.53
2021-02-04 12:00:00,25.18,366.79,46.68,1128.43,37.95,23.41
2021-02-04 18:00:00,25.700000000000006,613.81,34.39,1103.96,43.75,14.7
2021-02-05 00:00:00,24.69,565.21,50.93,1048.46,50.46,23.19
2021-02-05 06:00:00,28.3,306.67,46.35,544.87,44.24,8.08
2021-02-05 12:00:00,22.19,716.7,41.18,666.14,41.75,19.31
2021-02-05 18:00:00,25.540000000000006,490.84,37.62,871.79,52.93,22.37
2021-02-06 00:00:00,24.87,474.12,52.67,,47.75,10.01
2021-02-06 06:00:00,22.64,535.82,50.54,732.65,43.52,18.55
2021-02-06 12:00:00,22.98,562.38,43.18,484.11,51.52,19.16
2021-02-06 18:00:00,21.84,486.6,42.32,733.89,46.26,12.1
2021-02-07 00:00:00,24.87,504.42,49.26,590.1,51.68,18.0
2021-02-07 06:00:00,26.09,516.88,37.74,989.59,43.29,15.83
2021-02-07 12:00:00,25.93,,56.38,804.82,40.05,18.78
2021-02-07 18:00:00,,707.05,46.0,701.03,49.36,29.16
2021-02-08 00:00:00,23.76,667.37,41.7,773.22,54.89,23.9
2021-02-08 06:00:00,,649.47,52.82,705.15,43.01,12.75
2021-02-08 12:00:00,23.36,689.68,49.42,805.21,41.67,17.87
2021-02-08 18:00:00,,676.23,42.75,693.09,59.23,12.21
2021-02-09 00:00:00,25.22,653.39,51.81,745.6,40.55,14.5
2021-02-09 06:00:00,26.950000000000006,366.52,27.18,1011.31,39.83,14.49
2021-02-09 12:00:00,22.71,440.88,51.65,465.64,39.37,17.45
2021-02-09 18:00:00,24.399999999999995,520.46,42.0,675.09,51.08,13.68
2021-02-10 00:00:00,24.02,690.06,47.54,,33.08,17.4
2021-02-10 06:00:00,23.51,619.25,43.74,793.12,35.88,24.99
2021-02-10 12:00:00,23.57,,39.03,769.07,40.1,18.56
2021-02-10 18:00:00,24.05,571.25,56.22,814.08,45.87,23.86
2021-02-11 00:00:00,,433.08,33.61,786.9,45.38,12.9
2021-02-11 06:00:00,24.46,606.83,44.14,995.02,53.18,15.39
2021-02-11 12:00:00,25.47,619.03,51.92,779.63,45.04,14.97
2021-02-11 18:00:00,24.55,542.46,61.36,422.71,35.71,18.12
2021-02-12 00:00:00,22.12,413.44,49.33,675.58,53.11,12.35
2021-02-12 06:00:00,,612.53,48.9,838.34,46.51,17.22
2021-02-12 12:00:00,25.61,455.64,41.28,997.18,46.93,17.93
2021-02-12 18:00:00,,468.24,57.73,1014.65,56.45,6.6
2021-02-13 00:00:00,25.67,464.52,59.25,622.36,31.68,15.74
2021-02-13 06:00:00,28.71,591.77,44.44,845.72,46.86,14.84
2021-02-13 12:00:00,22.66,449.64,47.03,554.48,32.12,10.01
2021-02-13 18:00:00,24.02,562.89,39.15,817.74,48.5,21.01
2021-02-14 00:00:00,26.200000000000006,372.69,58.92,766.58,44.54,14.74
2021-02-14 06:00:00,24.13000000000001,412.89,58.37,919.75,38.59,11.61
2021-02-14 12:00:00,25.200000000000006,583.45,42.67,,,12.03
2021-02-14 18:00:00,27.399999999999995,621.34,41.86,,43.39,11.12
2021-02-15 00:00:00,27.309999999999995,504.74,50.95,856.38,41.56,10.89
2021-02-15 06:00:00,25.14,617.24,41.07,633.21,46.48,11.13
2021-02-15 12:00:00,23.3,550.52,52.74,,48.81,22.78
2021-02-15 18:00:00,,364.31,,733.77,40.18,14.95
2021-02-16 00:00:00,24.3,509.46,32.49,749.9,50.53,16.55
2021-02-16 06:00:00,25.62,478.12,42.29,806.13,54.52,13.58
2021-02-16 12:00:00,23.57,429.77,37.91,402.14,41.23,21.67
2021-02-16 18:00:00,25.69,500.28,44.2,676.03,46.63,21.1
2021-02-17 00:00:00,24.5,573.13,,690.42,48.89,16.1
2021-02-17 06:00:00,23.5,534.53,46.74,660.11,41.29,18.34
2021-02-17 12:00:00,24.73,580.67,47.96,1023.52,49.43,16.0
2021-02-17 18:00:00,24.1,475.67,48.86,807.46,45.12,17.37
2021-02-18 00:00:00,25.08,467.44,41.71,717.91,46.18,12.99
2021-02-18 06:00:00,22.09,514.45,48.69,451.78,52.08,18.71
2021-02-18 12:00:00,26.71,,50.25,725.18,37.85,27.28
2021-02-18 18:00:00,,383.81,46.11,872.0,42.66,13.58
2021-02-19 00:00:00,24.899999999999995,500.4,42.06,,41.82,17.78
2021-02-19 06:00:00,25.700000000000006,577.79,49.08,549.0,43.04,17.19
2021-02-19 12:00:00,25.35,695.14,50.06,878.37,58.18,12.02
2021-02-19 18:00:00,25.290000000000006,581.47,25.51,826.73,25.8,22.71
2021-02-20 00:00:00,24.67,631.43,,,46.11,
2021-02-20 06:00:00,25.14,530.15,53.36,672.4,44.85,18.44
2021-02-20 12:00:00,,451.72,47.81,957.42,32.35,18.5
2021-02-20 18:00:00,,577.86,45.06,1075.89,33.95,17.29
2021-02-21 00:00:00,23.22,489.47,46.67,742.91,51.25,21.48
2021-02-21 06:00:00,25.450000000000006,479.19,39.16,398.58,43.34,21.27
2021-02-21 12:00:00,24.149999999999995,,35.5,995.26,53.61,16.19
2021-02-21 18:00:00,26.200000000000006,512.7,45.66,557.08,43.63,20.39
2021-02-22 00:00:00,24.96,448.92,37.96,668.23,48.74,11.79
2021-02-22 06:00:00,22.790000000000006,497.33,39.47,1091.84,32.52,19.37
2021-02-22 12:00:00,24.71,481.73,59.49,596.92,43.29,22.63
2021-02-22 18:00:00,25.700000000000006,612.54,51.02,599.67,,18.11
2021-02-23 00:00:00,27.6,560.37,35.23,,55.86,11.42
2021-02-23 06:00:00,24.47,301.62,,719.74,49.69,28.39
2021-02-23 12:00:00,24.25,530.5,,615.91,35.89,21.11
2021-02-23 18:00:00,26.540000000000006,345.42,43.34,,39.24,24.64
2021-02-24 00:00:00,,599.22,45.01,,44.42,15.63
2021-02-24 06:00:00,26.3,693.02,56.86,567.73,44.83,21.28
2021-02-24 12:00:00,27.809999999999995,374.22,54.18,646.85,39.89,22.57
2021-02-24 18:00:00,22.07,443.96,63.98,878.33,,22.61
2021-02-25 00:00:00,,439.92,48.04,727.95,39.2,18.87
2021-02-25 06:00:00,25.13000000000001,668.26,68.38,1000.39,45.61,16.85
2021-02-25 12:00:00,25.07,239.81,50.3,709.68,40.86,22.74
2021-02-25 18:00:00,25.08,164.12,52.34,815.69,39.64,14.68
2021-02-26 00:00:00,24.68,,46.32,672.82,42.51,8.84
2021-02-26 06:00:00,24.22,661.41,53.11,777.51,48.96,21.65
2021-02-26 12:00:00,26.96,575.72,56.45,734.24,,22.54
2021-02-26 18:00:00,25.72,681.27,41.2,779.96,38.59,29.94
2021-02-27 00:00:00,,552.97,60.79,608.63,44.53,21.41
2021-02-27 06:00:00,,609.99,,564.87,42.12,15.78
2021-02-27 12:00:00,25.55,615.77,59.91,,41.89,20.22
2021-02-27 18:00:00,23.78,379.59,38.34,795.94,43.94,19.45
2021-02-28 00:00:00,25.32,322.69,46.31,938.86,39.88,11.28
2021-02-28 06:00:00,26.23,499.35,42.95,863.07,,22.92
2021-02-28 12:00:00,20.580000000000357,624.46,41.9,677.02,45.07,28.05
2021-02-28 18:00:00,23.93,382.55,51.46,721.7,44.98,25.6
2021-03-01 00:00:00,25.72,489.54,66.56,611.4,44.62,20.23
2021-03-01 06:00:00,24.37,,49.23,690.21,46.94,18.1
2021-03-01 12:00:00,21.23,597.4,50.17,742.01,42.42,11.35
2021-03-01 18:00:00,,537.95,,548.35,55.74,14.81
2021-03-02 00:00:00,,469.89,40.09,731.19,45.88,20.1
2021-03-02 06:00:00,,624.21,59.1,603.98,40.71,14.98
2021-03-02 12:00:00,24.59,626.91,27.66,736.52,47.7,12.95
2021-03-02 18:00:00,23.43,397.4,36.32,849.23,39.42,
2021-03-03 00:00:00,,672.85,46.55,515.05,51.14,
2021-03-03 06:00:00,24.21,519.53,41.19,930.01,43.69,15.32
2021-03-03 12:00:00,28.739999999999995,516.84,42.3,775.44,53.55,7.84
2021-03-03 18:00:00,26.09,556.22,44.93,999.96,47.2,
2021-03-04 00:00:00,24.05,583.48,40.83,665.61,49.38,21.52
2021-03-04 06:00:00,24.68,646.06,39.18,784.78,46.11,10.21
2021-03-04 12:00:00,25.399999999999995,321.96,41.36,826.54,35.47,19.86
2021-03-04 18:00:00,22.649999999999995,411.47,55.51,,48.96,19.81
2021-03-05 00:00:00,25.040000000000006,597.37,50.65,963.49,50.71,19.55
2021-03-05 06:00:00,,489.58,65.17,970.44,53.14,23.86
2021-03-05 12:00:00,23.55,370.35,50.97,679.15,46.09,14.37
2021-03-05 18:00:00,23.950000000000006,528.91,47.09,804.6,45.96,19.79
2021-03-06 00:00:00,25.91,,41.12,619.42,39.34,17.06
2021-03-06 06:00:00,26.57,588.0,57.0,653.62,42.09,12.82
2021-03-06 12:00:00,26.59,468.69,49.85,737.89,50.23,19.68
2021-03-06 18:00:00,23.46,501.74,39.28,715.44,42.51,15.94
2021-03-07 00:00:00,28.44,,36.2,933.21,36.26,11.01
2021-03-07 06:00:00,23.21,624.85,46.49,,50.3,29.86
2021-03-07 12:00:00,25.68,695.36,40.1,694.13,45.08,19.31
2021-03-07 18:00:00,,,46.77,774.91,42.51,14.99
2021-03-08 00:00:00,26.08,471.39,44.69,881.79,52.24,20.44
2021-03-08 06:00:00,25.01,530.25,49.84,870.88,40.33,21.11
2021-03-08 12:00:00,26.88000000000001,519.33,38.17,880.39,40.13,15.89
2021-03-08 18:00:00,,425.14,,664.23,45.9,21.04
2021-03-09 00:00:00,25.39,405.92,51.45,953.13,,16.96
2021-03-09 06:00:00,24.13000000000001,,50.28,636.61,51.06,13.97
2021-03-09 12:00:00,27.239999999999995,449.64,48.19,682.26,54.8,19.32
2021-03-09 18:00:00,24.399999999999995,476.48,37.27,716.36,38.52,17.8
2021-03-10 00:00:00,24.950000000000006,451.23,49.5,484.9,47.34,16.8
2021-03-10 06:00:00,,546.33,55.67,737.84,42.09,13.12
2021-03-10 12:00:00,25.290000000000006,540.32,57.03,,45.04,16.96
2021-03-10 18:00:00,26.64,394.82,53.45,789.57,41.86,29.31
2021-03-11 00:00:00,27.42,646.33,42.72,810.2,51.59,14.26
2021-03-11 06:00:00,24.700000000000006,505.16,45.1,744.34,41.81,14.04
2021-03-11 12:00:00,24.17,,43.51,,52.02,22.05
2021-03-11 18:00:00,25.93,321.3,40.09,881.51,,19.03
2021-03-12 00:00:00,26.43,515.17,58.43,666.53,46.58,21.8
2021-03-12 06:00:00,23.5,422.11,48.53,,51.6,32.65
2021-03-12 12:00:00,26.94,607.19,52.64,,39.3,16.75
2021-03-12 18:00:00,,617.77,36.75,543.72,44.87,17.16
2021-03-13 00:00:00,23.149999999999995,592.16,44.44,622.14,45.24,8.02
2021-03-13 06:00:00,25.62,584.35,43.1,505.31,50.3,17.85
2021-03-13 12:00:00,22.75,615.9,35.78,,54.23,14.85
2021-03-13 18:00:00,26.55,462.55,40.51,757.1,47.06,19.44
2021-03-14 00:00:00,,511.0,48.42,864.56,45.67,15.64
2021-03-14 06:00:00,26.63000000000001,703.69,63.24,765.31,52.49,
2021-03-14 12:00:00,,,44.34,1041.84,39.78,22.32
2021-03-14 18:00:00,25.32,415.03,58.94,1075.04,44.72,16.82
2021-03-15 00:00:00,26.21,696.16,51.36,707.23,,19.74
2021-03-15 06:00:00,25.59,415.93,48.41,,44.9,20.67
2021-03-15 12:00:00,25.73,433.75,45.68,948.37,49.55,27.8
2021-03-15 18:00:00,24.05,588.88,46.75,715.37,39.64,17.38
2021-03-16 00:00:00,24.87,569.6,45.82,676.35,43.6,18.85
2021-03-16 06:00:00,25.63000000000001,627.34,40.32,652.31,57.17,27.63
2021-03-16 12:00:00,24.19,438.85,,633.91,32.48,12.56
2021-03-16 18:00:00,,421.53,42.14,889.52,35.11,13.56
2021-03-17 00:00:00,,606.26,56.72,651.72,47.39,22.95
2021-03-17 06:00:00,25.03,478.33,52.48,863.23,37.86,17.3
2021-03-17 12:00:00,25.399999999999995,526.79,47.39,,46.7,21.64
2021-03-17 18:00:00,24.64,583.86,30.98,917.0,50.35,20.41
2021-03-18 00:00:00,26.52,558.37,55.46,999.76,53.12,17.2
2021-03-18 06:00:00,23.09,377.73,62.1,1087.61,47.78,
2021-03-18 12:00:00,24.61,,64.51,,43.91,16.56
2021-03-18 18:00:00,25.290000000000006,494.23,39.05,497.7,,28.48
2021-03-19 00:00:00,25.239999999999995,558.41,30.35,716.67,50.82,21.98
2021-03-19 06:00:00,,570.3,46.34,838.27,53.29,16.63
2021-03-19 12:00:00,25.71,324.42,40.66,909.11,39.01,16.35
2021-03-19 18:00:00,24.91,566.17,36.02,,44.44,25.67
2021-03-20 00:00:00,27.5,746.35,56.42,721.68,47.38,28.6
2021-03-20 06:00:00,24.950000000000006,457.41,56.73,558.25,33.93,25.19
2021-03-20 12:00:00,24.34,554.9,55.71,775.95,42.04,23.0
2021-03-20 18:00:00,24.43,,53.0,986.18,30.27,24.16
2021-03-21 00:00:00,24.98,253.34,44.65,1129.84,33.48,10.59
2021-03-21 06:00:00,22.6,651.93,60.64,781.03,,9.71
2021-03-21 12:00:00,24.59,553.87,60.5,,44.91,18.37
2021-03-21 18:00:00,24.64,242.25,58.21,710.57,50.19,22.86
2021-03-22 00:00:00,26.37,417.42,58.97,628.01,48.1,17.62
2021-03-22 06:00:00,26.82,341.36,55.09,743.67,35.66,21.99
2021-03-22 12:00:00,25.3,583.95,42.24,948.94,36.21,5.79
2021-03-22 18:00:00,24.75,496.25,58.88,800.64,39.74,12.73
2021-03-23 00:00:00,25.5,409.49,47.33,508.34,44.94,22.19
2021-03-23 06:00:00,24.83,667.54,52.69,683.61,34.95,19.05
2021-03-23 12:00:00,25.37,580.52,49.51,837.08,49.71,18.19
2021-03-23 18:00:00,23.51,578.72,41.24,880.95,48.44,21.37
2021-03-24 00:00:00,28.07,595.9,55.59,669.9,,18.01
2021-03-24 06:00:00,26.059999999999995,534.77,61.17,813.31,32.98,20.43
2021-03-24 12:00:00,24.040000000000006,719.65,46.13,633.94,36.03,16.33
2021-03-24 18:00:00,23.69,418.76,,545.62,44.28,16.07
2021-03-25 00:00:00,25.02,580.64,36.0,443.56,41.87,16.35
2021-03-25 06:00:00,22.91,396.57,40.33,462.26,52.23,25.79
2021-03-25 12:00:00,27.05,578.27,46.24,633.5,49.59,24.34
2021-03-25 18:00:00,26.450000000000006,500.57,50.85,,44.05,
2021-03-26 00:00:00,,355.35,40.58,740.84,44.46,28.23
2021-03-26 06:00:00,,483.36,66.15,739.07,45.91,20.98
2021-03-26 12:00:00,,475.42,49.88,894.88,51.96,27.54
2021-03-26 18:00:00,26.11,471.23,60.31,,41.1,16.03
2021-03-27 00:00:00,26.69,241.78,31.72,975.2,39.83,7.17
2021-03-27 06:00:00,,,50.07,843.75,42.76,27.09
2021-03-27 12:00:00,26.950000000000006,411.97,47.77,894.75,43.5,17.44
2021-03-27 18:00:00,27.94,297.34,51.78,700.68,42.51,19.6
2021-03-28 00:00:00,26.55,573.59,43.72,623.92,46.27,27.9
2021-03-28 06:00:00,24.77,567.87,49.3,694.72,50.34,25.9
2021-03-28 12:00:00,24.989999999999995,417.57,35.95,964.91,23.21,
2021-03-28 18:00:00,,518.2,35.52,885.38,59.23,18.17
2021-03-29 00:00:00,27.559999999999995,561.16,46.8,863.92,38.95,15.25
2021-03-29 06:00:00,25.82,404.83,48.5,538.39,48.71,18.9
2021-03-29 12:00:00,27.05,550.58,50.98,791.57,49.7,16.0
2021-03-29 18:00:00,28.22,568.82,43.29,726.84,44.49,9.74
2021-03-30 00:00:00,25.87,270.99,42.85,616.91,41.8,8.61
2021-03-30 06:00:00,24.64,469.54,56.54,,53.09,12.76
2021-03-30 12:00:00,24.809999999999995,,45.58,706.38,48.54,20.19
2021-03-30 18:00:00,26.62,708.1,55.51,420.93,53.16,17.46
2021-03-31 00:00:00,25.07,413.49,58.11,725.63,47.29,19.17
2021-03-31 06:00:00,23.37,446.46,39.58,939.93,46.74,6.75
2021-03-31 12:00:00,25.78,519.23,66.82,813.98,37.21,16.71
2021-03-31 18:00:00,23.53,406.0,54.49,594.68,53.85,21.47
2021-04-01 00:00:00,22.87,664.71,47.01,583.28,38.93,20.43
2021-04-01 06:00:00,25.64,581.59,44.49,1003.31,44.34,12.24
2021-04-01 12:00:00,23.67,525.01,38.93,746.41,40.79,
2021-04-01 18:00:00,26.950000000000006,560.65,38.35,771.23,53.28,10.16
2021-04-02 00:00:00,24.63000000000001,696.33,59.91,940.58,39.18,9.21
2021-04-02 06:00:00,,700.73,52.33,922.23,52.09,26.01
2021-04-02 12:00:00,23.18,532.54,60.05,653.47,54.62,24.84
2021-04-02 18:00:00,24.58,533.91,53.4,668.01,47.71,27.25
2021-04-03 00:00:00,34.61999999999965,557.57,,691.92,39.62,14.43
2021-04-03 06:00:00,22.149999999999995,593.67,51.03,651.65,34.89,21.92
2021-04-03 12:00:00,25.75,611.51,46.96,906.33,44.6,19.51
2021-04-03 18:00:00,26.059999999999995,461.06,46.76,931.81,54.21,20.05
2021-04-04 00:00:00,26.739999999999995,443.8,53.75,799.96,35.1,26.86
2021-04-04 06:00:00,26.23,,46.47,,46.98,6.0
2021-04-04 12:00:00,27.68,596.73,43.39,855.65,46.12,23.58
2021-04-04 18:00:00,26.83,691.64,51.15,787.18,37.22,12.89
2021-04-05 00:00:00,22.92,632.41,42.37,693.67,50.02,5.96
2021-04-05 06:00:00,24.290000000000006,378.39,45.12,1000.73,52.03,14.35
2021-04-05 12:00:00,27.22,495.3,28.64,913.15,47.26,24.46
