Gender,Bank_Loan,Capital_Loan,Region_Code,Year
M,46020000,8380000,GYEONGGI,2022
M,29480000,12950000,4111100000,2021
M,33350000,19670000,4291000000,2024
M,23160000,21820000,4279000000,2020
M,37190000,11550000,4273000000,2023
M,3280000,7900000,GYEONGGI,2023
M,17450000,17790000,4399000000,2023
F,48510000,270000,4273000000,2024
F,22190000,530000,4291000000,2024
M,44880000,5270000,4279000000,2022
F,20220000,18640000,4146510700,2022
F,8430000,16220000,4291000000,2022
F,15140000,9200000,4273000000,2023
F,15460000,27770000,GYEONGGI,2024
M,31770000,26480000,GANGWON,2023
F,22220000,26080000,GYEONGGI,2022
M,13600000,29870000,4279000000,2024
F,1370000,1120000,GANGWON,2021
F,29010000,10200000,4211000000,2020
F,40900000,4590000,4279000000,2020
M,1430000,5090000,4279000000,2022
F,35210000,13050000,4291000000,2023
M,34090000,23730000,GYEONGGI,2021
F,26730000,29590000,4273000000,2024
M,16370000,22790000,4146510700,2023
F,39380000,20250000,4111100000,2022
M,11210000,28700000,4280000000,2023
M,23680000,29310000,4146510700,2022
F,30220000,15940000,4111100000,2020
M,44440000,11040000,4211000000,2020
F,40100000,4640000,4273000000,2023
F,24560000,10530000,GYEONGGI,2021
F,10990000,8890000,4399000000,2024
F,40920000,28600000,4279000000,2022
F,26260000,9010000,4146510700,2024
F,39990000,2020000,4111100000,2020
F,21820000,19790000,4399000000,2021
F,21590000,15960000,4146510700,2021
F,37020000,27690000,4273000000,2024
F,36310000,19170000,GYEONGGI,2020
F,8970000,14510000,GANGWON,2024
M,36180000,28640000,4146510700,2023
M,28990000,1760000,4146510700,2021
F,17640000,10820000,GYEONGGI,2021
F,16150000,19620000,4211000000,2023
F,9960000,25800000,4291000000,2020
F,7540000,27560000,4146510700,2021
F,5380000,5360000,GYEONGGI,2022
F,12150000,15840000,4291000000,2022
F,14510000,880000,GYEONGGI,2020
F,19670000,25630000,GYEONGGI,2023
M,23060000,15230000,4211000000,2024
F,48110000,15530000,GYEONGGI,2020
M,23590000,6220000,4273000000,2024
F,18980000,13940000,4146510700,2020
F,39240000,14640000,4111100000,2022
M,2630000,7850000,4111100000,2023
F,3130000,29980000,4111100000,2022
M,27430000,23910000,GYEONGGI,2023
F,47690000,21660000,4399000000,2024
F,49570000,3930000,4291000000,2020
M,24210000,1620000,4291000000,2021
F,11610000,20150000,GYEONGGI,2021
M,1720000,27350000,4273000000,2023
F,46410000,11380000,4273000000,2023
M,12750000,5980000,4279000000,2022
M,5070000,24470000,GYEONGGI,2021
F,32000000,26400000,4280000000,2022
F,440000,2560000,4211000000,2024
M,6310000,13450000,4111100000,2021
F,2270000,26130000,4211000000,2024
F,41240000,29160000,4111100000,2020
F,29010000,18070000,GANGWON,2022
M,23270000,27200000,GANGWON,2023
M,42890000,24420000,GYEONGGI,2021
M,15340000,22470000,GANGWON,2022
M,48750000,26970000,4399000000,2023
M,34820000,3700000,4279000000,2020
M,2750000,28930000,4273000000,2021
M,33090000,9870000,4399000000,2024
M,1220000,22220000,4211000000,2020
M,25280000,14310000,4211000000,2023
F,49840000,16740000,GANGWON,2021
M,32130000,8010000,4273000000,2021
F,46450000,4920000,4279000000,2020
F,41150000,3880000,4111100000,2021
F,4460000,4010000,4399000000,2023
M,8800000,29460000,4279000000,2020
M,22950000,13650000,4146510700,2024
M,35820000,3300000,4291000000,2020
M,37960000,13030000,GANGWON,2020
F,27190000,8720000,4111100000,2024
M,7640000,24870000,4146510700,2023
M,19600000,22490000,4111100000,2022
M,7320000,17430000,4111100000,2022
M,43390000,1190000,GANGWON,2024
M,36070000,14530000,4111100000,2023
F,47000000,23790000,4279000000,2021
M,42020000,24790000,4279000000,2024
F,18300000,3320000,4146510700,2022
M,17600000,6850000,4211000000,2023
F,16000000,5110000,4273000000,2020
M,28180000,9140000,4399000000,2023
M,48440000,380000,4399000000,2023
F,30280000,9200000,4280000000,2022
F,370000,960000,GANGWON,2022
F,18730000,2420000,GYEONGGI,2021
M,9160000,8200000,GYEONGGI,2021
F,18540000,7490000,4146510700,2024
M,14450000,22800000,4111100000,2020
M,33830000,8990000,4111100000,2021
F,49300000,10120000,GANGWON,2022
F,2840000,28590000,4291000000,2023
M,12120000,25630000,4211000000,2024
M,7370000,950000,4280000000,2021
F,25430000,22040000,4279000000,2023
F,22930000,13650000,4111100000,2023
F,31850000,13200000,4280000000,2021
M,35510000,11290000,4399000000,2020
M,28890000,15790000,4291000000,2020
M,23000000,4020000,4279000000,2024
M,22360000,22660000,GANGWON,2020
M,30780000,23910000,4280000000,2024
M,17350000,6320000,4146510700,2022
F,49430000,0,4279000000,2021
M,4220000,9970000,GANGWON,2023
M,27640000,20500000,GYEONGGI,2024
M,41530000,15050000,GANGWON,2020
F,45140000,1160000,GANGWON,2024
M,41680000,26580000,4279000000,2024
M,29750000,20390000,4291000000,2020
F,47380000,11040000,4279000000,2020
M,24110000,10220000,4273000000,2021
M,25690000,27010000,4211000000,2023
M,20720000,23260000,4291000000,2021
M,2590000,5790000,4146510700,2021
M,44910000,17040000,4291000000,2020
F,28460000,26550000,4399000000,2020
F,5500000,16390000,4146510700,2023
F,17290000,2070000,GYEONGGI,2024
M,20210000,21930000,4279000000,2021
M,37430000,10580000,GANGWON,2023
M,28190000,12670000,4279000000,2021
F,40990000,28210000,4399000000,2024
M,5890000,26220000,4280000000,2021
M,30570000,23100000,4399000000,2022
F,41150000,18170000,4273000000,2023
M,7940000,16780000,GANGWON,2020
F,15850000,18740000,GANGWON,2021
F,10380000,12600000,4111100000,2023
F,45830000,15920000,4280000000,2023
M,39240000,14670000,4111100000,2021
M,47420000,8820000,GYEONGGI,2020
M,26370000,11570000,4211000000,2020
M,6700000,19480000,4211000000,2021
M,18560000,23590000,4279000000,2023
M,42250000,600000,4211000000,2020
M,29010000,15580000,GANGWON,2021
F,530000,26980000,4399000000,2021
M,20700000,16090000,4280000000,2021
F,30420000,24150000,4279000000,2023
M,42130000,15040000,4279000000,2020
M,8100000,29090000,4280000000,2023
M,42790000,24140000,GANGWON,2022
F,38170000,8110000,GYEONGGI,2020
F,15320000,14360000,GYEONGGI,2023
F,38880000,7280000,4279000000,2020
F,29580000,27000000,GYEONGGI,2022
M,1400000,21870000,GANGWON,2024
F,23610000,21270000,4273000000,2021
M,5780000,21080000,4273000000,2023
M,18000000,4440000,4111100000,2022
F,22740000,730000,4291000000,2022
F,16150000,13140000,4146510700,2020
F,18900000,6480000,4211000000,2020
F,45190000,17460000,GYEONGGI,2021
F,49620000,10140000,4273000000,2020
F,37040000,7550000,4399000000,2023
F,15860000,26940000,4280000000,2023
F,40030000,3210000,4291000000,2023
M,10890000,23640000,4111100000,2024
F,44470000,2360000,4146510700,2023
F,17070000,29080000,4273000000,2020
M,39260000,10840000,4111100000,2020
F,5430000,13340000,4291000000,2023
M,21130000,2180000,4280000000,2022
M,18470000,3710000,4211000000,2022
F,10390000,3280000,4273000000,2022
M,16390000,1430000,4280000000,2021
M,30670000,17340000,4146510700,2024
M,42060000,18390000,GYEONGGI,2023
M,12910000,5850000,4291000000,2021
F,46730000,6840000,4146510700,2022
M,36200000,27690000,4211000000,2023
F,31640000,10590000,4280000000,2021
M,38290000,12160000,GANGWON,2020
M,43680000,2460000,4211000000,2022
M,9690000,15840000,4279000000,2021
M,28560000,24490000,4273000000,2020
F,30110000,4400000,GYEONGGI,2022
F,36230000,1410000,4291000000,2024
M,4300000,20160000,4399000000,2022
M,40880000,13110000,4280000000,2024
F,25790000,28410000,GANGWON,2024
M,8320000,5060000,4399000000,2024
M,30370000,7710000,4273000000,2023
M,8830000,6850000,4273000000,2023
F,39720000,28570000,4291000000,2024
F,3450000,10070000,GANGWON,2020
F,1880000,11460000,4273000000,2024
M,45180000,15310000,4399000000,2021
M,30910000,19390000,GANGWON,2024
F,37510000,1930000,4399000000,2023
F,35310000,23170000,4211000000,2023
F,44180000,21340000,4146510700,2021
F,43560000,2420000,GANGWON,2021
M,4050000,15390000,4111100000,2022
F,800000,15160000,4146510700,2020
M,6930000,19990000,4146510700,2020
F,41040000,24170000,GANGWON,2020
M,19330000,1860000,GYEONGGI,2023
F,31060000,5360000,4273000000,2020
F,34270000,15370000,4211000000,2022
F,22280000,9440000,GYEONGGI,2022
F,28390000,28070000,GYEONGGI,2020
M,16530000,40000,4111100000,2021
F,23190000,28620000,4280000000,2022
M,27960000,5160000,GANGWON,2021
M,34570000,12160000,4399000000,2023
M,23530000,19040000,4273000000,2022
M,5770000,18870000,GYEONGGI,2021
F,44320000,8500000,4211000000,2020
M,2890000,290000,4280000000,2023
M,10200000,19300000,4111100000,2024
M,46270000,11660000,4279000000,2024
F,23740000,5620000,4273000000,2020
F,49600000,8090000,4279000000,2023
F,10530000,21730000,4146510700,2023
F,19590000,17700000,GYEONGGI,2023
M,47100000,5900000,4291000000,2023
M,17290000,29220000,4273000000,2024
F,19410000,13350000,4399000000,2021
M,17010000,6500000,4280000000,2023
M,34490000,12980000,4211000000,2021
M,48680000,8140000,4273000000,2023
F,10220000,9320000,4399000000,2022
F,41590000,14040000,GANGWON,2022
M,34020000,2460000,4279000000,2022
F,33820000,3290000,GANGWON,2023
F,13900000,11360000,4280000000,2021
F,5450000,13430000,4111100000,2024
F,6120000,6430000,GYEONGGI,2020
F,1160000,15820000,4273000000,2024
M,43330000,7420000,4291000000,2023
F,13760000,4130000,4279000000,2022
M,2400000,24300000,4279000000,2022
M,46690000,1240000,4273000000,2021
F,40580000,10980000,4146510700,2023
M,25080000,17450000,GANGWON,2024
M,11950000,16170000,4279000000,2023
M,32290000,2020000,4399000000,2023
F,20060000,13840000,4211000000,2022
F,70000,2090000,GYEONGGI,2024
M,11070000,7160000,4279000000,2020
F,18850000,3740000,4399000000,2022
F,19780000,29450000,4280000000,2024
F,1550000,17320000,4280000000,2021
F,32640000,17960000,GYEONGGI,2022
M,13070000,26270000,4146510700,2021
M,49370000,8200000,4291000000,2022
F,37870000,8430000,GYEONGGI,2023
F,21720000,10930000,4111100000,2024
M,5440000,23500000,4146510700,2021
M,8550000,15460000,4279000000,2022
F,9610000,8980000,GYEONGGI,2021
M,36560000,4520000,GANGWON,2022
F,9710000,28070000,4280000000,2022
F,49620000,1880000,4399000000,2020
M,9800000,4370000,GYEONGGI,2020
M,7200000,27610000,GANGWON,2020
F,19980000,4860000,4146510700,2021
F,5050000,17150000,4111100000,2023
M,3620000,29360000,4399000000,2022
F,280000,10540000,4211000000,2024
M,22050000,27600000,4111100000,2020
F,43060000,28080000,4279000000,2021
M,17350000,16880000,GANGWON,2021
M,14680000,4730000,GYEONGGI,2021
M,31380000,21090000,GYEONGGI,2024
F,20100000,16410000,4273000000,2024
F,9240000,21630000,4280000000,2020
M,47510000,19650000,4279000000,2024
F,33970000,22220000,GANGWON,2020
M,46590000,25970000,GYEONGGI,2024
M,24990000,28540000,4211000000,2024
F,11050000,14440000,4399000000,2024
F,4900000,26020000,4279000000,2020
M,9900000,12840000,4146510700,2022
F,13950000,29640000,4211000000,2020
F,6330000,17970000,4399000000,2022
M,22450000,9070000,4291000000,2021
M,17170000,23380000,4280000000,2021
F,23870000,410000,4279000000,2020
M,13700000,21020000,GANGWON,2022
M,460000,14770000,4111100000,2022
F,41290000,11460000,4399000000,2022
M,14500000,16140000,4146510700,2021
M,5990000,25100000,GYEONGGI,2020
F,39410000,26930000,4111100000,2023
F,4980000,7150000,4211000000,2022
M,9390000,4800000,4280000000,2022
M,17080000,12140000,GANGWON,2023
F,11590000,14210000,4111100000,2020
F,39820000,6930000,4146510700,2022
F,40870000,620000,4399000000,2020
F,7820000,9900000,GANGWON,2022
M,29850000,9300000,4291000000,2024
F,36730000,19700000,GYEONGGI,2022
F,17530000,10420000,4280000000,2024
M,19090000,24150000,4111100000,2020
F,19010000,25560000,4280000000,2022
M,48560000,21020000,4280000000,2021
F,35450000,8630000,4280000000,2021
F,35100000,23750000,4399000000,2023
F,8150000,12390000,4280000000,2021
M,36820000,16480000,4291000000,2024
M,25250000,28990000,4211000000,2021
F,45560000,8620000,4146510700,2021
M,27090000,15250000,GANGWON,2021
M,33260000,21480000,4291000000,2022
M,32430000,15800000,GANGWON,2023
M,13130000,3600000,4146510700,2020
M,19540000,25310000,4211000000,2023
M,28740000,11720000,4279000000,2024
F,44980000,6630000,GANGWON,2022
F,40850000,17600000,GANGWON,2022
M,23620000,24230000,4211000000,2021
F,14130000,1780000,4111100000,2021
F,8650000,23350000,4291000000,2024
F,49810000,7370000,4111100000,2022
F,25520000,5030000,4111100000,2020
M,29630000,22090000,4111100000,2023
F,17810000,12920000,4280000000,2022
F,39590000,8130000,GYEONGGI,2020
M,26910000,16810000,GANGWON,2020
M,14310000,26600000,4111100000,2023
F,39100000,16910000,4291000000,2020
F,3100000,2630000,GYEONGGI,2024
F,36210000,5410000,GYEONGGI,2020
F,3670000,20070000,4111100000,2024
F,18860000,12180000,4399000000,2020
F,12540000,370000,4111100000,2021
M,10640000,13560000,4399000000,2020
F,36570000,14160000,4111100000,2024
F,16070000,28700000,4291000000,2020
M,44330000,27720000,4399000000,2020
M,4850000,10120000,4280000000,2020
M,19240000,18730000,GYEONGGI,2024
M,48050000,5020000,4111100000,2020
F,3830000,25380000,GYEONGGI,2023
F,11950000,27320000,4111100000,2023
F,13830000,17200000,GANGWON,2024
F,18130000,20270000,GANGWON,2021
F,36920000,20660000,4273000000,2023
F,4260000,16660000,4111100000,2022
M,6030000,5980000,4273000000,2023
F,42810000,20920000,4211000000,2022
M,23780000,9540000,4211000000,2024
M,16610000,14990000,GYEONGGI,2021
F,4070000,25860000,4399000000,2022
M,24720000,14090000,4111100000,2022
F,23640000,23760000,4146510700,2023
M,44600000,1760000,4111100000,2022
F,32910000,8610000,4111100000,2024
M,11260000,5530000,4146510700,2024
F,1360000,11320000,4211000000,2024
F,22290000,19010000,4273000000,2023
F,23490000,2760000,GYEONGGI,2021
F,740000,18840000,4211000000,2023
F,15710000,18890000,4146510700,2024
M,46100000,14760000,4111100000,2023
M,41770000,20000,4211000000,2024
M,24520000,8070000,4291000000,2020
F,4460000,19980000,GANGWON,2020
M,41010000,21630000,4111100000,2022
F,26500000,22740000,4279000000,2021
F,42420000,29100000,4146510700,2020
M,27440000,14020000,4280000000,2024
M,17960000,23270000,4399000000,2023
F,38510000,8660000,4280000000,2023
M,14220000,8290000,4211000000,2022
F,33030000,16020000,4111100000,2023
F,24500000,28910000,4399000000,2020
F,19170000,23420000,4399000000,2023
F,1500000,1610000,GYEONGGI,2020
F,6320000,28490000,4280000000,2020
M,20880000,14890000,4111100000,2021
M,31830000,4030000,GYEONGGI,2022
F,39390000,11520000,4273000000,2024
F,15220000,12230000,4280000000,2020
M,36250000,1350000,GANGWON,2022
M,27870000,27570000,GANGWON,2024
F,32430000,14730000,GYEONGGI,2023
M,39110000,25930000,4273000000,2022
F,38450000,23540000,4291000000,2022
M,16960000,21870000,4291000000,2022
F,47710000,19590000,GANGWON,2023
M,20490000,27200000,4279000000,2023
F,31170000,450000,4146510700,2022
M,5840000,17980000,4146510700,2021
M,46840000,22130000,4279000000,2020
F,35100000,17220000,GYEONGGI,2023
M,11730000,16220000,4146510700,2021
F,48490000,22460000,4146510700,2023
M,8310000,3920000,4280000000,2022
F,3900000,27270000,4280000000,2021
M,37350000,11990000,4279000000,2024
F,11350000,5000000,4111100000,2020
M,6720000,6920000,4273000000,2020
F,15050000,18830000,GYEONGGI,2023
M,48960000,17840000,4280000000,2020
F,9030000,4730000,4280000000,2024
F,18290000,9330000,4291000000,2021
F,32670000,4230000,4273000000,2021
M,6280000,6070000,4291000000,2022
F,39980000,11460000,4111100000,2021
M,43140000,26890000,4273000000,2023
F,28750000,13560000,4146510700,2024
M,21950000,12260000,4291000000,2022
F,38830000,29580000,GANGWON,2023
M,37960000,4050000,GYEONGGI,2023
M,14940000,29660000,4146510700,2023
F,13360000,860000,4273000000,2020
M,27550000,27740000,GANGWON,2023
M,41560000,3090000,4111100000,2020
F,11040000,27480000,GANGWON,2021
M,11630000,710000,4280000000,2020
M,5050000,23770000,4279000000,2023
M,41640000,20970000,GANGWON,2024
F,36540000,13580000,4399000000,2024
M,8820000,23860000,4111100000,2021
F,36850000,16250000,4146510700,2023
M,47330000,16290000,4291000000,2020
M,18140000,20210000,4211000000,2024
M,27590000,23200000,4111100000,2022
F,23490000,6670000,4399000000,2023
M,29180000,5210000,4280000000,2023
M,25010000,27920000,4291000000,2022
F,10930000,750000,GYEONGGI,2024
M,21220000,20130000,4211000000,2022
F,43510000,23850000,GANGWON,2021
F,9240000,17700000,4399000000,2020
M,47650000,17130000,GANGWON,2020
F,30220000,28600000,GYEONGGI,2024
M,27320000,18160000,4111100000,2022
F,13730000,13960000,4279000000,2023
F,22430000,20290000,4399000000,2023
M,48030000,24490000,4273000000,2023
F,28370000,110000,4146510700,2021
F,16930000,220000,4273000000,2021
F,3830000,25510000,4279000000,2023
F,11670000,21750000,GYEONGGI,2024
F,29580000,29080000,4273000000,2021
M,6490000,28090000,4280000000,2021
F,32260000,9420000,4399000000,2020
M,31700000,28310000,4280000000,2020
F,680000,26490000,4211000000,2024
M,5330000,13930000,4279000000,2021
M,48760000,20430000,4211000000,2021
F,6980000,15300000,4211000000,2022
F,26910000,23670000,4211000000,2024
F,37550000,12930000,4111100000,2024
M,16680000,18190000,4111100000,2022
F,47870000,20120000,4279000000,2022
M,44760000,3470000,4291000000,2020
M,18130000,12820000,4273000000,2024
M,20970000,24880000,4111100000,2024
F,7960000,17460000,GANGWON,2022
F,21440000,16610000,4280000000,2023
M,34750000,10570000,4111100000,2023
M,34600000,9430000,GYEONGGI,2020
F,4680000,26360000,4211000000,2023
M,41900000,14430000,4111100000,2023
F,48460000,19450000,4279000000,2023
M,40530000,16310000,4280000000,2021
F,10160000,2990000,4280000000,2020
M,33220000,9140000,4291000000,2022
F,38300000,2930000,4146510700,2023
M,32330000,2830000,4146510700,2021
F,6460000,6170000,4273000000,2023
F,39680000,23590000,GANGWON,2021
M,42610000,14940000,4399000000,2020
M,4900000,17590000,4279000000,2023
F,44600000,8240000,GYEONGGI,2021
M,40160000,10780000,4111100000,2024
F,39120000,5040000,4279000000,2024
M,22000000,22430000,GANGWON,2021
F,27340000,3470000,4146510700,2023
F,17490000,10530000,4279000000,2023
F,45850000,10450000,4111100000,2020
F,31450000,25030000,4291000000,2020
F,10560000,7530000,4273000000,2022
F,10080000,2540000,4291000000,2020
M,3880000,21720000,4146510700,2023
M,43750000,5190000,4211000000,2022
M,45570000,27360000,4146510700,2020
F,40270000,28870000,4273000000,2021
F,37170000,12300000,4111100000,2024
F,21970000,18760000,GANGWON,2020
F,8450000,24510000,4399000000,2020
M,9130000,6780000,4291000000,2021
M,39270000,2120000,4146510700,2023
F,42180000,3770000,GANGWON,2021
M,6930000,2050000,4291000000,2020
M,22320000,23060000,4146510700,2023
F,16790000,17820000,4273000000,2022
M,28820000,29100000,4291000000,2020
F,46700000,4680000,4146510700,2021
M,39560000,4170000,4111100000,2022
F,44960000,25560000,4273000000,2024
F,14510000,5700000,GANGWON,2022
F,9610000,17670000,GANGWON,2021
F,32250000,12140000,4399000000,2022
M,22520000,25340000,4279000000,2021
F,14550000,29560000,4211000000,2020
F,22410000,5240000,4111100000,2023
F,9000000,24530000,4273000000,2024
M,15720000,8230000,4291000000,2023
F,3760000,11260000,GANGWON,2023
M,49430000,29340000,4111100000,2023
F,3320000,11660000,4273000000,2021
M,47710000,9410000,4273000000,2021
M,14060000,18470000,4291000000,2024
F,5210000,20340000,4273000000,2021
M,41810000,3600000,GYEONGGI,2021
F,37370000,20000,4111100000,2021
F,23420000,4590000,4146510700,2021
F,2840000,19580000,GANGWON,2020
M,46780000,4580000,GANGWON,2024
M,46330000,29720000,4146510700,2021
F,39540000,3120000,4111100000,2024
F,23840000,18150000,4211000000,2022
M,33260000,18890000,4111100000,2020
F,24640000,10230000,4280000000,2021
F,16150000,24820000,4273000000,2020
F,33930000,17590000,4279000000,2020
M,16210000,19420000,4291000000,2022
M,20650000,1110000,GYEONGGI,2024
M,33180000,11260000,4279000000,2020
F,3030000,12180000,4146510700,2023
F,26680000,26590000,4291000000,2022
F,27640000,5700000,4291000000,2023
M,23180000,3890000,4291000000,2022
F,14930000,28480000,GANGWON,2023
F,34330000,23230000,GYEONGGI,2023
F,21680000,7040000,GANGWON,2020
F,40620000,22410000,4273000000,2020
M,31590000,26620000,4280000000,2022
M,29050000,27130000,4399000000,2024
F,47330000,15280000,GYEONGGI,2020
M,11990000,15830000,4279000000,2020
M,6290000,6220000,4273000000,2021
F,22570000,9630000,4111100000,2020
F,28460000,2780000,4146510700,2024
M,39480000,2090000,4280000000,2021
F,45020000,26150000,4273000000,2023
M,43270000,4210000,4111100000,2023
F,30730000,29380000,4280000000,2021
M,34400000,11770000,4111100000,2021
F,47060000,28160000,GYEONGGI,2021
M,45140000,28710000,4111100000,2022
M,8550000,8830000,4280000000,2024
M,33980000,19060000,4111100000,2024
F,43620000,930000,4279000000,2023
M,48780000,14240000,4273000000,2023
M,39200000,1840000,4280000000,2023
F,29360000,14960000,4279000000,2020
F,4320000,17320000,4111100000,2023
M,44900000,13960000,4111100000,2021
M,23720000,13650000,4291000000,2023
F,44770000,11930000,4280000000,2021
F,12630000,3300000,GYEONGGI,2022
F,23440000,21560000,4111100000,2020
F,40090000,10180000,4146510700,2020
F,25290000,28470000,GANGWON,2024
M,30590000,25530000,4399000000,2022
F,22740000,11840000,GANGWON,2021
M,46260000,2050000,GYEONGGI,2022
M,31980000,23460000,4273000000,2020
M,23670000,13370000,4211000000,2021
F,19850000,25850000,4146510700,2022
M,2840000,15020000,4211000000,2020
M,11010000,1650000,4111100000,2021
F,46530000,2790000,4273000000,2021
M,15140000,27800000,4279000000,2020
M,38620000,8030000,4111100000,2021
F,10060000,17990000,4211000000,2020
M,20870000,11960000,4111100000,2023
M,28100000,25510000,4399000000,2023
M,42500000,27190000,4291000000,2021
F,5300000,27000000,4399000000,2021
F,18280000,2600000,4273000000,2020
F,19420000,2760000,4279000000,2021
M,17970000,18450000,4399000000,2024
M,47900000,3780000,4280000000,2023
F,4880000,15940000,4279000000,2021
M,40680000,5700000,4211000000,2021
M,870000,10240000,4399000000,2022
F,22820000,20660000,4291000000,2021
F,15520000,430000,4279000000,2024
M,29530000,9590000,4111100000,2023
M,48410000,19110000,4291000000,2022
M,48470000,29780000,4111100000,2020
F,35730000,28500000,4399000000,2020
F,19380000,7510000,4146510700,2023
F,31600000,19680000,4146510700,2020
F,35250000,650000,4211000000,2024
M,37820000,19740000,4291000000,2021
F,29180000,15860000,4111100000,2023
F,33320000,6590000,GYEONGGI,2022
F,2970000,8230000,4291000000,2021
F,38650000,23380000,4280000000,2020
F,31660000,20880000,4211000000,2020
M,46830000,22990000,GANGWON,2022
M,13760000,21090000,GANGWON,2024
F,23060000,13400000,4111100000,2022
M,14570000,12850000,4146510700,2023
F,41700000,19830000,4279000000,2022
F,9170000,27890000,4280000000,2020
M,22940000,22830000,GANGWON,2024
M,45500000,8680000,4111100000,2024
F,28910000,12330000,4111100000,2022
F,24270000,22380000,4399000000,2023
F,49320000,16610000,4146510700,2020
M,39770000,25200000,4291000000,2021
F,10510000,13220000,4279000000,2024
F,46660000,25930000,4399000000,2022
F,38140000,300000,GANGWON,2023
M,43560000,3370000,4279000000,2023
F,8970000,1390000,4211000000,2020
F,13790000,26150000,4146510700,2024
M,28090000,2760000,GANGWON,2020
F,3680000,1710000,4111100000,2021
F,35090000,26960000,GANGWON,2021
M,49870000,1040000,GYEONGGI,2021
F,41010000,3820000,4273000000,2023
M,19840000,19730000,4273000000,2024
M,17920000,29260000,GANGWON,2020
F,32450000,11320000,GYEONGGI,2020
F,45550000,3690000,GANGWON,2021
F,23930000,16170000,4273000000,2024
F,1410000,6110000,4399000000,2024
M,30250000,10500000,4211000000,2022
F,19470000,2550000,4273000000,2024
M,29280000,22970000,4211000000,2024
F,420000,18470000,4111100000,2020
F,900000,27690000,4211000000,2024
F,15990000,13020000,4399000000,2024
M,49560000,130000,GYEONGGI,2020
F,48420000,21730000,4211000000,2024
F,34140000,8570000,4279000000,2020
F,12420000,20590000,4291000000,2022
F,29920000,24670000,4273000000,2023
M,26630000,24920000,GYEONGGI,2020
F,16430000,4170000,4280000000,2020
M,12250000,4620000,4111100000,2024
M,5730000,22920000,4291000000,2020
M,25580000,5880000,4279000000,2021
M,35930000,5680000,4146510700,2021
M,47360000,9190000,4399000000,2022
M,41720000,24460000,GANGWON,2020
F,12550000,4300000,4291000000,2024
M,33210000,14380000,GYEONGGI,2024
M,43860000,23850000,GYEONGGI,2023
M,13600000,6800000,GYEONGGI,2022
F,7080000,16990000,4111100000,2024
F,13820000,19030000,4211000000,2023
M,6690000,24780000,4273000000,2024
F,10580000,23560000,4146510700,2023
M,25800000,10840000,GANGWON,2021
M,36350000,4210000,GYEONGGI,2021
F,25970000,23420000,GANGWON,2024
M,46460000,26420000,4280000000,2022
F,44800000,2870000,4111100000,2020
F,11950000,24460000,GYEONGGI,2022
M,6830000,23790000,4280000000,2022
M,8570000,8120000,4146510700,2020
F,19360000,11880000,4146510700,2021
M,14990000,21790000,4273000000,2021
M,34760000,6600000,4279000000,2020
M,31700000,16850000,4273000000,2023
F,950000,5400000,4211000000,2022
F,16990000,160000,GANGWON,2024
M,21610000,28130000,4399000000,2021
F,49820000,1930000,4146510700,2024
F,40520000,4240000,4399000000,2020
F,32400000,2300000,4111100000,2024
F,10820000,5920000,4291000000,2024
F,16510000,20990000,GYEONGGI,2022
M,31340000,6730000,4111100000,2020
