Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
C,Ship,5,1,274,2,medium,M,24,2423,Yes
C,Flight,4,3,249,4,medium,M,10,5614,No
D,Road,4,4,184,4,medium,M,8,2306,Yes
B,Ship,4,2,224,3,medium,F,3,4511,No
F,Ship,5,3,222,3,medium,F,10,4597,No
A,Ship,4,3,223,3,low,F,10,5560,Yes
F,Ship,5,1,248,5,low,M,3,1642,Yes
B,Ship,3,5,153,2,low,F,44,1585,Yes
F,Ship,5,5,262,5,low,M,6,1887,Yes
D,Road,4,2,261,5,medium,M,5,1073,Yes
F,Ship,2,4,268,4,low,M,5,4400,Yes
C,Ship,5,1,189,3,medium,M,13,3492,Yes
D,Flight,3,4,156,4,medium,F,7,1492,Yes
A,Ship,6,3,273,5,low,M,8,1746,Yes
C,Ship,3,1,225,3,medium,M,2,4284,No
B,Road,4,4,238,3,low,F,13,2042,Yes
D,Ship,6,4,269,2,high,M,47,4000,Yes
C,Ship,4,4,238,3,low,F,7,4709,No
B,Ship,5,1,129,5,medium,M,35,1458,Yes
F,Ship,6,3,247,4,low,F,6,1537,No
A,Ship,4,5,155,4,high,F,54,1408,Yes
F,Ship,6,3,285,4,medium,F,1,1606,No
C,Ship,7,4,305,4,medium,F,6,1873,No
F,Flight,5,3,269,5,low,F,8,5833,Yes
F,Ship,3,1,202,3,low,F,51,3551,Yes
F,Ship,3,3,243,3,medium,F,27,2052,Yes
D,Ship,5,5,224,5,low,F,7,1505,No
C,Ship,2,2,189,4,low,M,9,3413,Yes
C,Ship,4,1,205,3,low,F,10,4923,No
C,Ship,3,2,255,7,low,F,3,5936,No
A,Road,6,4,290,4,low,M,3,1710,No
B,Ship,5,5,221,5,low,F,3,1220,No
F,Ship,3,1,196,3,medium,M,8,4516,No
F,Ship,3,2,213,2,medium,F,54,2809,Yes
C,Road,4,3,192,3,low,F,43,3498,Yes
C,Ship,4,4,200,3,low,F,7,5807,Yes
F,Flight,6,3,255,4,medium,F,8,1805,No
D,Ship,4,5,268,2,high,M,32,3675,Yes
F,Ship,3,4,133,8,medium,F,10,5439,Yes
D,Ship,3,5,167,2,medium,F,8,5083,No
C,Road,5,3,261,4,medium,F,5,4623,Yes
F,Ship,4,4,272,3,low,M,9,5458,No
F,Road,6,2,278,4,high,F,8,1967,No
B,Road,6,4,256,4,medium,F,9,1791,No
B,Road,4,5,224,4,medium,M,21,2026,Yes
F,Flight,5,4,259,6,low,M,1,1206,Yes
B,Flight,5,5,216,2,high,M,33,3202,Yes
D,Ship,3,3,211,3,medium,M,3,5379,Yes
F,Ship,3,2,131,5,low,F,8,5084,No
B,Ship,4,2,184,3,medium,F,5,5931,Yes
D,Ship,6,3,304,4,low,M,5,1215,Yes
B,Flight,4,3,96,4,medium,M,1,4984,Yes
F,Flight,2,1,98,3,low,F,29,1806,Yes
F,Ship,4,3,129,6,medium,F,5,5626,No
D,Ship,5,2,246,2,low,F,4,3617,Yes
B,Ship,6,2,225,4,low,M,6,5787,Yes
A,Road,3,3,274,3,low,F,5,5981,Yes
B,Road,4,5,213,3,low,F,7,4490,No
A,Ship,4,1,224,2,low,F,6,4454,Yes
F,Ship,5,5,145,3,medium,F,37,1993,Yes
B,Ship,3,3,221,3,high,M,5,4568,Yes
C,Flight,3,3,219,2,low,F,41,3932,Yes
C,Ship,3,4,148,10,high,F,12,1779,Yes
B,Ship,4,1,178,3,low,M,19,1906,Yes
B,Road,4,1,171,3,medium,M,10,5971,No
B,Ship,4,5,214,2,low,M,3,5546,No
B,Flight,4,4,261,3,low,F,33,3678,Yes
B,Ship,3,5,207,4,low,F,45,3770,Yes
D,Ship,3,1,178,3,low,F,11,1481,Yes
F,Road,4,3,266,3,low,M,9,5621,Yes
F,Ship,6,3,170,4,low,M,1,4912,No
C,Ship,4,5,258,3,low,F,3,5422,Yes
B,Ship,5,2,264,6,medium,M,10,1659,Yes
B,Road,4,1,259,3,medium,M,5,4435,Yes
F,Ship,3,4,246,3,medium,M,30,3748,Yes
A,Ship,3,4,273,2,medium,M,2,4219,Yes
D,Road,7,5,244,4,low,M,2,1330,Yes
F,Ship,4,4,225,2,medium,M,10,4829,Yes
D,Ship,2,5,209,5,medium,F,9,5565,No
B,Ship,5,5,221,5,low,F,8,1123,Yes
F,Ship,3,3,162,7,medium,F,42,1278,Yes
D,Road,5,4,173,3,low,M,9,5432,No
A,Ship,6,5,282,4,medium,F,4,1013,No
F,Flight,4,2,229,4,low,F,32,3518,Yes
A,Ship,4,4,224,5,medium,F,5,1184,No
D,Ship,5,2,265,5,medium,F,5,1864,No
B,Ship,5,1,248,5,medium,F,5,1861,No
C,Road,6,3,298,4,low,F,1,1657,No
D,Ship,3,4,232,3,low,F,6,4050,No
C,Ship,4,3,260,2,low,M,38,2526,Yes
C,Road,4,5,148,3,high,F,6,5473,Yes
F,Flight,5,5,180,2,high,M,5,4585,Yes
A,Ship,2,3,141,2,medium,F,28,1624,Yes
A,Ship,4,3,162,10,high,M,25,1764,Yes
B,Ship,2,3,164,2,low,M,56,1491,Yes
B,Ship,2,1,198,2,low,M,8,4323,No
C,Road,4,2,233,3,low,F,3,5740,Yes
F,Ship,6,4,253,4,medium,M,10,1248,No
B,Ship,4,1,216,4,low,M,4,2263,Yes
F,Ship,3,3,268,10,medium,M,2,5626,Yes
F,Road,3,2,264,4,high,F,32,2754,Yes
F,Ship,3,1,225,2,high,F,43,2585,Yes
B,Ship,4,5,186,10,low,F,42,3521,Yes
F,Flight,3,5,151,2,low,F,16,1422,Yes
F,Road,4,4,162,2,medium,M,30,1158,Yes
A,Ship,5,2,254,5,high,M,6,1491,Yes
C,Ship,3,5,206,3,medium,F,9,5751,No
F,Ship,3,1,257,2,medium,M,37,3517,Yes
B,Flight,3,5,222,3,low,F,10,5185,Yes
B,Ship,5,4,242,5,medium,M,1,1824,Yes
F,Ship,4,2,252,4,low,M,1,4705,Yes
F,Ship,5,2,136,2,low,M,3,1370,No
A,Ship,4,4,243,3,low,M,10,3327,Yes
A,Ship,4,5,175,2,medium,M,4,4910,Yes
A,Ship,4,2,270,5,low,F,10,1340,No
A,Ship,3,5,185,2,medium,M,27,3624,Yes
D,Ship,4,3,180,4,low,M,14,1686,Yes
A,Flight,4,5,295,3,low,F,2,1693,No
B,Ship,6,2,309,4,medium,F,8,1930,No
F,Ship,5,4,269,3,low,F,3,4489,No
B,Ship,5,3,167,3,low,F,51,1573,Yes
D,Ship,6,2,246,4,medium,M,7,1071,No
F,Ship,4,2,216,3,low,M,2,4750,Yes
C,Flight,3,5,208,4,medium,M,12,3181,Yes
C,Ship,5,2,275,5,low,M,9,1373,No
B,Flight,3,1,158,7,medium,F,6,4166,No
C,Ship,5,3,252,4,medium,M,63,3729,Yes
F,Flight,5,2,165,3,medium,F,10,5598,No
D,Ship,3,3,239,6,low,M,7,4501,Yes
B,Ship,3,1,176,2,medium,F,45,1470,Yes
F,Ship,6,3,161,4,medium,M,8,1247,No
F,Ship,2,3,151,4,low,F,3,1353,Yes
B,Ship,3,1,215,3,medium,F,2,3873,Yes
B,Road,4,4,204,3,medium,M,8,5614,No
D,Ship,4,5,137,3,medium,M,1,4861,No
F,Ship,2,1,170,3,low,M,41,1128,Yes
F,Ship,2,2,170,3,high,F,7,4284,Yes
A,Ship,6,5,287,5,low,M,2,5611,Yes
D,Flight,4,4,268,3,medium,M,10,4531,No
F,Road,5,1,248,2,low,F,6,5281,No
D,Road,4,5,240,3,low,F,5,5734,Yes
C,Ship,5,5,175,6,low,F,2,4883,Yes
D,Ship,2,3,192,3,low,M,4,5524,No
C,Flight,4,4,174,3,low,M,8,4348,No
A,Ship,3,4,151,3,medium,M,5,4767,Yes
A,Ship,4,1,184,3,high,F,47,3081,Yes
B,Ship,4,2,257,3,medium,M,8,5045,Yes
D,Ship,4,5,269,4,medium,M,60,3456,Yes
B,Ship,4,2,250,5,medium,M,10,1026,Yes
C,Ship,3,4,242,3,low,M,29,2381,Yes
F,Ship,6,3,273,4,medium,F,32,2532,Yes
B,Ship,5,5,257,4,medium,M,31,2040,Yes
F,Road,3,1,160,2,low,F,10,5642,Yes
C,Road,3,4,269,2,medium,M,6,5951,No
C,Ship,4,3,237,6,low,M,8,5588,No
F,Road,3,1,256,3,low,F,5,5643,No
F,Road,4,5,159,2,low,F,3,5704,No
A,Ship,5,1,169,4,low,M,6,4253,Yes
A,Ship,5,2,152,3,low,F,2,4172,No
F,Ship,5,5,243,3,medium,M,3,5700,Yes
D,Ship,2,4,193,4,low,M,7,5552,Yes
C,Flight,4,3,150,3,high,F,2,4383,No
B,Ship,2,3,211,2,medium,M,2,4611,No
C,Ship,3,3,253,4,low,F,9,4682,Yes
F,Ship,2,2,201,3,high,M,2,4865,Yes
D,Ship,4,1,127,8,low,F,12,1519,Yes
F,Ship,3,3,261,3,medium,M,14,3479,Yes
A,Ship,3,2,171,3,medium,M,11,1282,Yes
F,Ship,3,5,226,3,low,M,8,5203,Yes
A,Flight,3,1,230,2,low,F,4,4387,Yes
D,Road,4,5,268,3,medium,F,3,2758,Yes
D,Road,2,5,170,5,low,F,10,5621,Yes
A,Ship,2,5,127,3,low,M,44,1341,Yes
F,Ship,3,2,240,6,low,F,26,2683,Yes
B,Ship,6,5,282,4,low,M,5,1364,Yes
D,Ship,4,5,149,2,low,M,2,5724,Yes
F,Road,5,4,251,2,low,F,3,5347,Yes
C,Ship,4,1,202,3,medium,F,18,3940,Yes
A,Ship,4,5,217,3,medium,M,2,5461,Yes
A,Flight,3,1,222,3,medium,F,8,4650,Yes
A,Ship,6,2,291,4,low,M,9,1241,Yes
D,Ship,6,1,280,4,medium,M,5,1431,No
F,Ship,4,5,169,2,low,F,10,4248,No
F,Ship,2,3,158,3,low,M,10,1515,Yes
F,Flight,5,2,209,4,medium,M,15,3330,Yes
A,Ship,3,4,234,3,medium,F,37,2111,Yes
D,Ship,4,3,188,4,medium,M,7,4024,Yes
B,Flight,3,2,218,3,medium,F,52,2149,Yes
D,Ship,4,3,170,6,medium,M,6,4998,No
A,Ship,3,3,209,2,medium,M,1,5098,Yes
D,Ship,4,5,117,5,medium,F,1,4378,No
A,Ship,3,1,206,3,high,F,8,4763,Yes
A,Ship,3,3,133,3,low,F,2,4926,No
F,Road,4,4,280,3,medium,M,5,5624,No
D,Flight,4,2,214,2,low,M,49,3416,Yes
D,Flight,3,1,213,10,medium,M,9,4862,No
C,Ship,6,1,206,6,medium,F,8,4243,Yes
D,Ship,3,1,221,4,medium,F,8,5971,No
D,Ship,3,4,222,3,medium,M,3,4068,No
A,Road,4,1,192,4,low,M,3,1689,No
C,Road,3,4,199,3,medium,M,1,4490,Yes
F,Road,7,5,133,5,low,F,3,1544,Yes
B,Flight,6,5,301,4,low,F,3,1958,No
F,Ship,3,2,132,4,medium,F,3,4512,No
D,Ship,4,4,272,5,low,F,3,5243,No
B,Ship,3,1,138,3,low,F,41,1914,Yes
D,Road,4,1,258,3,medium,M,2,4188,No
F,Ship,4,2,265,4,medium,M,3,4283,Yes
B,Flight,7,2,275,4,medium,F,6,1513,No
A,Ship,6,4,217,5,low,F,7,3725,Yes
D,Flight,5,4,235,2,medium,M,9,5549,No
F,Ship,3,4,261,2,low,F,1,5844,No
F,Ship,3,1,132,2,medium,M,2,4129,No
D,Ship,4,2,139,3,medium,M,10,4648,No
A,Ship,4,4,153,4,low,M,5,5162,No
D,Ship,3,4,272,4,low,F,23,2048,Yes
B,Ship,5,2,249,3,high,F,8,5000,Yes
F,Flight,4,3,181,3,low,F,5,5398,Yes
F,Ship,3,2,188,5,medium,M,7,5673,No
B,Flight,2,1,220,2,medium,F,6,4382,Yes
B,Ship,5,3,150,4,medium,F,1,5211,No
A,Flight,4,4,237,3,medium,M,4,4747,Yes
F,Ship,3,4,242,3,high,M,54,3011,Yes
C,Ship,3,2,177,3,low,F,5,5941,No
D,Flight,5,1,149,4,medium,F,20,1110,Yes
A,Ship,3,4,133,2,low,F,7,4663,No
A,Ship,4,2,255,3,medium,M,3,4562,Yes
F,Flight,4,1,102,3,medium,M,3,4179,No
F,Flight,3,1,257,2,low,F,45,3496,Yes
B,Flight,5,1,270,2,high,M,10,5360,No
A,Ship,3,1,267,3,low,M,5,5528,No
F,Ship,4,5,190,3,low,M,2,4554,No
C,Ship,3,4,172,2,low,M,5,5919,No
D,Ship,4,1,240,2,low,M,14,2437,Yes
A,Road,3,3,137,3,high,M,7,5794,Yes
C,Ship,4,5,262,3,medium,F,38,3139,Yes
D,Flight,3,1,237,3,medium,F,1,4476,Yes
B,Flight,5,5,216,6,low,M,54,2075,Yes
D,Road,5,5,222,5,low,F,4,1311,No
B,Flight,3,3,205,2,medium,M,6,4989,Yes
D,Ship,3,2,177,2,high,F,7,4764,Yes
F,Ship,3,1,243,3,medium,M,6,5371,No
B,Ship,4,1,201,6,medium,F,8,5529,No
D,Ship,3,2,163,2,low,F,5,5021,No
C,Ship,6,3,153,6,medium,F,7,4975,Yes
D,Ship,6,2,271,10,medium,F,2,4145,No
F,Ship,3,2,225,3,low,F,59,3488,Yes
C,Ship,4,1,277,5,medium,M,3,1527,Yes
F,Flight,4,2,246,3,low,F,7,5616,No
F,Flight,5,1,241,4,medium,F,19,2193,Yes
F,Ship,4,5,251,5,medium,F,6,1434,No
F,Ship,3,2,257,2,high,F,46,2848,Yes
F,Ship,5,2,172,2,low,M,9,1097,No
C,Ship,4,2,147,4,medium,M,52,1129,Yes
F,Ship,3,1,187,2,low,M,6,5448,No
A,Ship,4,2,171,3,low,M,34,1352,Yes
F,Flight,4,4,173,3,medium,F,64,1847,Yes
A,Flight,4,3,170,2,low,M,2,5607,No
F,Ship,3,5,225,3,low,F,1,2864,Yes
A,Ship,3,4,164,3,low,F,4,4796,No
F,Flight,5,3,255,3,medium,F,8,5983,No
C,Ship,4,3,249,3,low,M,4,4811,No
A,Ship,3,1,165,2,low,M,6,4445,No
B,Ship,4,2,259,6,medium,M,8,1096,Yes
F,Ship,6,1,251,4,low,M,2,5656,No
D,Flight,5,3,280,6,high,M,5,4585,No
A,Ship,6,1,265,4,low,F,1,1345,Yes
B,Ship,3,1,258,3,medium,F,2,5828,Yes
F,Ship,4,4,158,2,medium,M,15,1030,Yes
C,Ship,6,2,254,4,low,M,4,1392,No
D,Ship,3,5,260,2,medium,M,1,5970,No
F,Ship,5,4,133,3,low,M,9,1051,Yes
D,Ship,4,3,177,3,low,M,1,5282,No
C,Ship,4,1,208,7,high,M,8,2193,Yes
D,Road,4,5,181,3,medium,M,1,5310,No
B,Ship,3,1,242,3,medium,F,10,3606,Yes
C,Ship,5,5,249,5,medium,M,5,1662,Yes
F,Ship,5,2,254,2,medium,M,4,4180,Yes
F,Flight,4,1,273,2,high,F,10,5832,Yes
F,Flight,3,4,181,3,low,M,10,5276,Yes
A,Ship,2,5,265,2,low,F,50,3859,Yes
D,Flight,4,2,164,3,medium,M,15,1489,Yes
B,Flight,5,1,266,5,medium,F,2,1798,No
C,Road,4,2,221,2,medium,M,54,3065,Yes
A,Flight,5,4,175,4,low,M,4,4505,No
F,Ship,3,1,109,6,low,F,6,5457,Yes
D,Ship,4,2,206,7,high,M,3,4991,No
B,Ship,6,3,265,5,medium,M,10,1897,No
C,Ship,4,4,211,3,medium,M,5,4812,No
C,Ship,4,4,274,6,low,M,10,1355,Yes
B,Ship,3,5,245,4,high,F,26,2072,Yes
F,Ship,4,5,163,3,high,M,4,5863,No
C,Ship,4,3,189,3,medium,F,9,4825,No
F,Ship,5,3,263,5,medium,F,6,1192,No
C,Ship,4,5,208,2,medium,M,33,2170,Yes
B,Ship,3,2,208,2,low,F,7,4582,Yes
F,Flight,5,1,262,3,medium,M,9,5146,No
D,Flight,5,5,225,5,low,M,7,1168,No
F,Flight,3,3,168,4,low,F,2,4541,Yes
A,Ship,3,2,179,5,low,F,52,1991,Yes
C,Ship,4,4,203,2,low,F,4,4793,No
D,Flight,3,2,165,3,medium,M,47,1639,Yes
A,Ship,3,3,213,3,medium,M,7,4133,No
B,Ship,3,3,191,3,low,M,5,2007,Yes
F,Ship,3,4,168,2,medium,M,9,5235,Yes
A,Ship,3,1,210,2,low,F,52,2444,Yes
F,Ship,4,4,218,2,medium,M,3,5039,No
F,Ship,3,4,257,5,medium,F,5,5365,No
D,Ship,5,4,120,4,high,M,1,4183,No
A,Ship,6,1,264,4,low,M,9,1243,No
D,Ship,5,3,217,4,low,M,3,5718,Yes
C,Ship,3,1,183,3,low,M,19,3018,Yes
B,Ship,4,3,187,4,low,M,9,5699,Yes
A,Ship,4,1,256,4,medium,F,3,5324,No
A,Flight,5,4,111,5,medium,F,42,1587,Yes
B,Ship,3,3,261,8,medium,M,3,4007,Yes
C,Ship,3,1,256,4,medium,F,3,4398,Yes
F,Flight,5,5,156,2,low,F,8,4817,No
B,Ship,6,2,236,4,low,F,61,3140,Yes
A,Ship,5,2,173,4,high,F,9,4307,No
B,Ship,3,1,155,3,medium,F,2,5446,No
