회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기
133,3693,1283,51.0,기타,본  점,104,4.490384615,0.186295503,3
134,37,37,,주방가전,잠실점,1,1.0,0.0,0
135,359,53,,기타,잠실점,16,1.9375,0.290322581,12
136,530,69,,가공식품,분당점,57,5.0,0.357894737,6
137,0,0,,수산품,본  점,1,1.0,0.0,0
138,2,10,10.0,기타,강남점,2,4.5,0.222222222,1
139,33,8,,섬유잡화,본  점,5,1.4,0.714285714,67
140,3,3,,주방용품,본  점,1,1.0,1.0,0
141,447,164,167.0,차/커피,본  점,27,2.444444444,0.348484848,12
142,181,158,,시티웨어,본  점,2,1.0,0.0,80
143,76,6,,가공식품,본  점,4,19.0,0.0,19
144,14,8,,농산물,본  점,4,2.0,0.0,61
145,3048,263,180.0,화장품,본  점,36,2.611111111,0.074468085,10
146,73,42,,기타,부산본점,5,2.6,0.076923077,35
147,369,259,,디자이너,일산점,4,2.0,0.0,63
148,812,98,,농산물,본  점,17,3.411764706,0.0,13
149,279,122,,화장품,잠실점,8,1.25,0.1,20
150,723,252,,시티웨어,대전점,11,2.363636364,0.038461538,26
151,169,46,,스포츠,창원점,12,1.75,0.0,22
152,1599,417,432.0,디자이너,잠실점,31,2.161290323,0.253731343,10
153,3375,436,281.0,농산물,일산점,91,9.120879121,0.721686747,3
154,40,20,,시티웨어,청량리점,2,2.5,0.0,38
155,296,122,,기타,영등포점,4,2.0,0.0,40
156,18,18,,건강식품,본  점,1,2.0,1.0,0
157,5,5,,육류,본  점,1,1.0,0.0,0
158,5838,1680,1.0,기타,잠실점,15,3.266666667,0.469387755,22
159,20,20,,시티웨어,분당점,1,1.0,0.0,0
160,96,92,,시티웨어,본  점,1,2.0,0.0,0
161,2853,919,267.0,농산물,잠실점,62,2.612903226,0.080246914,5
162,9,6,,차/커피,본  점,1,2.0,0.0,0
163,1,0,,축산가공,영등포점,1,2.0,1.0,0
164,5352,919,87.0,기타,본  점,46,2.760869565,0.118110236,7
165,404,173,21.0,농산물,분당점,8,5.0,0.05,29
166,747,71,,화장품,본  점,24,1.875,0.466666667,14
167,31,36,38.0,구두,청량리점,4,1.75,0.0,51
168,2929,485,1.0,기타,노원점,51,2.803921569,0.237762238,7
169,43,25,,건강식품,강남점,3,1.666666667,0.8,69
170,108,56,,골프,부산본점,3,1.0,0.666666667,53
171,1823,153,61.0,농산물,잠실점,58,3.344827586,0.159793814,5
172,2660,425,425.0,디자이너,광주점,22,3.727272727,0.37804878,13
173,226,152,152.0,가공식품,본  점,13,3.076923077,0.075,25
174,7,5,,화장품,잠실점,1,2.0,0.0,0
175,692,111,59.0,시티웨어,광주점,19,2.315789474,0.295454545,18
176,543,118,205.0,기타,분당점,35,4.514285714,0.32278481,9
177,176,38,17.0,화장품,센텀시티점,10,2.2,0.227272727,31
178,289,75,,가공식품,강남점,7,4.142857143,0.482758621,43
179,16,9,,가공식품,관악점,1,6.0,1.0,0
180,908,343,13.0,가공식품,본  점,9,3.444444444,0.064516129,31
181,2639,119,20.0,기타,잠실점,123,3.93495935,0.334710744,2
182,78,56,,스포츠,부산본점,1,3.0,1.0,0
183,154,91,,가공식품,잠실점,10,2.1,0.0,23
184,51,22,41.0,캐주얼,부산본점,10,1.9,0.315789474,11
185,492,53,9.0,농산물,부산본점,38,3.342105263,0.196850394,9
186,4576,1418,114.0,기타,잠실점,82,2.963414634,0.275720165,4
187,2,2,,기타,분당점,1,3.0,0.0,0
188,103,122,101.0,가구,미아점,8,1.5,0.5,4
189,2324,359,143.0,디자이너,본  점,38,1.894736842,0.361111111,8
190,2,1,,주류,노원점,2,5.5,1.0,14
191,316,48,,일용잡화,분당점,11,1.545454545,0.117647059,28
192,939,223,,가공식품,분당점,18,4.166666667,0.173333333,18
193,874,200,23.0,가공식품,본  점,32,3.0625,0.43877551,9
194,403,55,,농산물,관악점,52,8.076923077,0.145238095,6
195,101,42,,남성 캐주얼,분당점,4,1.75,0.428571429,62
196,877,109,298.0,명품,본  점,44,2.0,0.215909091,7
197,45,45,,디자이너,미아점,1,1.0,0.0,0
198,307,195,,축산가공,본  점,29,2.689655172,0.205128205,11
199,179,146,,시티웨어,강남점,1,2.0,0.0,0
200,25,25,,피혁잡화,부산본점,1,1.0,0.0,0
201,4784,880,193.0,남성 캐주얼,잠실점,49,2.285714286,0.241071429,7
202,8,8,,화장품,본  점,1,1.0,1.0,0
203,9,7,,기타,본  점,2,1.5,0.0,88
204,151,145,,가구,노원점,1,2.0,1.0,0
205,818,73,170.0,가공식품,부산본점,156,3.833333333,0.245819398,2
206,3852,375,,화장품,본  점,51,2.509803922,0.453125,6
207,33,12,,모피/피혁,영등포점,4,1.75,0.0,70
208,3775,1140,105.0,시티웨어,미아점,26,2.038461538,0.566037736,13
209,1392,171,,농산물,영등포점,46,4.260869565,0.25,7
210,2115,357,160.0,기타,일산점,47,2.659574468,0.4,7
211,25,19,,수산품,본  점,1,7.0,1.0,0
212,6,6,,육류,노원점,2,1.5,1.0,0
213,337,58,,수산품,본  점,12,2.0,0.208333333,20
214,4025,1610,3815.0,디자이너,본  점,40,2.125,0.294117647,6
215,1005,120,30.0,농산물,관악점,50,4.32,0.333333333,7
216,1627,133,322.0,명품,부산본점,46,2.347826087,0.046296296,7
217,506,135,64.0,캐주얼,부산본점,9,3.0,0.074074074,23
218,58,18,,캐주얼,본  점,6,2.333333333,0.142857143,47
219,1229,270,,기타,대전점,21,4.333333333,0.461538462,15
220,169,107,26.0,수산품,광주점,14,3.214285714,0.355555556,24
221,942,215,80.0,농산물,본  점,67,5.671641791,0.363157895,5
222,445,144,,육류,본  점,7,2.571428571,0.111111111,18
223,1713,345,77.0,기타,본  점,39,3.58974359,0.257142857,8
224,9,9,,남성 캐주얼,영등포점,1,1.0,0.0,0
225,260,129,,가공식품,강남점,8,3.75,0.5,35
226,3963,480,182.0,명품,본  점,69,3.826086957,0.287878788,5
227,166,166,,남성 트랜디,분당점,1,1.0,1.0,0
228,419,76,,가공식품,안양점,12,5.083333333,0.31147541,25
229,28,16,,아동,본  점,2,1.0,1.0,62
230,4045,390,44.0,가공식품,동래점,40,3.6,0.1875,9
231,8,3,,농산물,강남점,2,4.5,0.777777778,20
232,0,0,,가공식품,본  점,1,3.0,1.0,0
233,2741,880,,시티웨어,잠실점,52,3.038461538,0.46835443,6
234,121,121,,셔츠,본  점,1,1.0,1.0,0
235,568,37,63.0,농산물,관악점,95,6.378947368,0.301980198,3
236,97,59,,디자이너,부산본점,2,1.0,0.0,63
237,1800,182,123.0,농산물,본  점,39,5.102564103,0.030150754,8
238,1033,131,58.0,섬유잡화,관악점,21,2.761904762,0.293103448,14
239,471,149,,기타,본  점,23,2.130434783,0.306122449,15
240,347,336,,남성정장,본  점,2,1.0,0.5,95
241,1218,96,82.0,스포츠,광주점,50,1.7,0.141176471,7
242,2202,1137,,가공식품,본  점,17,2.823529412,0.270833333,20
243,968,167,20.0,축산가공,분당점,19,3.0,0.385964912,18
244,317,278,,섬유잡화,광주점,2,2.0,0.75,15
245,1060,386,,농산물,부산본점,67,3.089552239,0.285024155,5
246,1,1,,일용잡화,본  점,1,1.0,0.0,0
247,3491,288,308.0,기타,분당점,69,3.362318841,0.448275862,5
248,0,0,,가공식품,잠실점,1,1.0,1.0,0
249,302,87,,기타,분당점,11,2.272727273,0.36,28
250,637,176,235.0,명품,본  점,21,1.095238095,0.260869565,12
251,1,1,,명품,본  점,1,1.0,0.0,0
252,1400,145,102.0,가공식품,본  점,27,2.37037037,0.71875,12
253,8,4,,스포츠,분당점,1,3.0,0.0,0
254,47,124,124.0,스포츠,분당점,3,3.666666667,0.272727273,0
255,470,80,,기타,분당점,10,4.1,0.43902439,30
256,3673,849,34.0,가공식품,인천점,37,5.702702703,0.236966825,9
257,111,63,,명품,본  점,3,1.666666667,0.6,89
258,515,88,,기타,잠실점,35,3.714285714,0.353846154,9
259,2748,249,40.0,아동,본  점,30,3.9,0.418803419,11
260,135,51,,주류,잠실점,7,2.142857143,0.533333333,31
261,1117,200,,아동,일산점,14,2.071428571,0.413793103,22
262,6,4,,기타,잠실점,1,5.0,1.0,0
263,295,65,,기타,본  점,79,2.64556962,0.392344498,4
264,110,40,,화장품,본  점,3,1.666666667,0.0,85
265,100,14,23.0,가공식품,본  점,27,3.111111111,0.011904762,13
266,328,179,,시티웨어,본  점,2,1.0,0.5,32
267,68,30,,남성 캐주얼,본  점,1,4.0,1.0,0
268,414,278,286.0,디자이너,본  점,12,1.25,0.2,20
269,118,118,,남성정장,청량리점,1,1.0,1.0,0
270,43,21,7.0,가공식품,잠실점,4,2.25,0.0,46
271,307,97,,화장품,부산본점,9,2.0,0.222222222,39
272,108,108,,시티웨어,광주점,1,1.0,1.0,0
273,99,73,,농산물,잠실점,4,1.5,0.0,82
274,2,1,,가공식품,본  점,1,2.0,1.0,0
275,52,52,,피혁잡화,본  점,1,1.0,0.0,0
276,1961,251,456.0,디자이너,본  점,40,2.1,0.154761905,8
277,1995,245,2352.0,가공식품,본  점,90,3.822222222,0.098837209,3
278,336,200,,수산품,영등포점,2,3.5,0.142857143,166
279,293,116,,농산물,영등포점,6,2.333333333,0.071428571,57
280,555,258,283.0,디자이너,본  점,10,2.3,0.391304348,33
281,3,1,,일용잡화,청량리점,1,4.0,0.0,0
282,831,166,,가공식품,부산본점,17,2.352941176,0.775,18
283,19,17,,생활잡화,부산본점,2,1.5,0.0,31
284,20,15,,수산품,노원점,4,1.25,0.6,66
285,22,21,,캐주얼,본  점,1,2.0,0.0,0
286,41,26,17.0,스포츠,분당점,2,3.5,0.0,2
287,12,12,,섬유잡화,본  점,1,1.0,1.0,0
288,9,9,,화장품,잠실점,1,1.0,1.0,0
289,7,2,,가공식품,분당점,5,2.8,0.0,19
290,2272,186,,농산물,부평점,102,6.725490196,0.239067055,3
291,2438,1195,31.0,기타,분당점,13,4.076923077,0.603773585,26
292,9877,529,150.0,화장품,대전점,137,2.321167883,0.399371069,2
293,29,24,,생활잡화,본  점,1,3.0,0.0,0
294,140,69,,축산가공,분당점,6,1.666666667,0.6,51
295,12,191,191.0,농산물,본  점,3,3.333333333,0.8,2
296,266,196,,농산물,부산본점,7,3.142857143,0.318181818,40
297,0,0,,가공식품,분당점,1,2.0,0.0,0
298,1302,535,,가공식품,본  점,86,3.186046512,0.408759124,4
299,8,1,,가공식품,강남점,6,3.833333333,0.695652174,18
300,3986,534,164.0,기타,일산점,33,2.666666667,0.306818182,10
301,8364,710,216.0,명품,동래점,61,2.918032787,0.370786517,5
302,1171,317,,화장품,부산본점,11,1.818181818,0.4,21
303,43,43,,화장품,잠실점,1,1.0,0.0,0
304,928,196,43.0,수산품,분당점,18,4.833333333,0.126436782,17
305,612,96,2.0,가공식품,본  점,140,3.378571429,0.293868922,2
306,115,113,,골프,영등포점,2,1.5,1.0,41
307,139,127,,기타,인천점,1,7.0,0.0,0
308,4978,334,22.0,기타,분당점,183,8.071038251,0.383886256,1
309,2753,960,,가공식품,분당점,31,4.64516129,0.340277778,11
310,922,250,,남성 캐주얼,관악점,4,3.0,0.5,66
311,6,4,,화장품,잠실점,2,1.5,0.0,14
312,26,12,,차/커피,본  점,9,2.333333333,0.333333333,36
313,2461,111,,기타,본  점,95,2.210526316,0.20952381,3
314,125,125,,디자이너,영등포점,1,1.0,0.0,0
315,16,46,46.0,캐주얼,일산점,6,1.666666667,0.6,39
316,358,71,,기타,본  점,22,2.954545455,0.215384615,15
317,58,58,,섬유잡화,잠실점,1,1.0,1.0,0
318,119,42,,수산품,분당점,9,1.888888889,0.294117647,28
319,26,14,,남성 캐주얼,영등포점,2,4.5,0.444444444,1
320,38,35,,수산품,본  점,2,1.5,0.0,2
321,993,136,,화장품,동래점,14,2.071428571,0.068965517,21
322,1497,325,185.0,기타,본  점,83,2.445783133,0.24137931,4
323,2334,286,,농산물,일산점,30,2.7,0.135802469,11
324,1005,464,20.0,시티웨어,분당점,14,1.571428571,0.136363636,9
325,602,505,,농산물,분당점,15,3.266666667,0.244897959,21
326,61,57,,수산품,본  점,2,1.5,0.0,91
327,396,69,14.0,피혁잡화,분당점,19,1.578947368,0.166666667,17
328,790,400,,기타,일산점,15,5.6,0.619047619,23
329,930,128,128.0,기타,본  점,24,2.125,0.098039216,12
330,218,141,,농산물,영등포점,21,2.476190476,0.076923077,16
331,4052,431,390.0,시티웨어,영등포점,69,3.942028986,0.220588235,5
332,11,5,,농산물,분당점,4,3.25,0.538461538,29
333,4598,282,569.0,기타,분당점,66,2.939393939,0.273195876,5
334,163,135,58.0,기타,분당점,5,4.6,0.0,50
335,68,19,,건강식품,잠실점,5,1.2,0.666666667,62
336,7,7,,주방용품,본  점,1,2.0,1.0,0
337,42,35,,화장품,영등포점,2,1.0,0.0,81
338,248,185,,수산품,본  점,4,1.25,0.4,55
339,2045,936,101.0,시티웨어,광주점,22,1.363636364,0.2,12
340,284,49,39.0,구두,부산본점,13,3.538461538,0.02173913,13
341,660,128,151.0,가공식품,노원점,33,3.212121212,0.188679245,10
342,195,9,21.0,기타,본  점,81,2.49382716,0.301980198,4
343,2,2,,차/커피,영등포점,2,1.0,0.0,133
344,12,3,,가공식품,분당점,2,5.5,0.636363636,41
345,891,129,152.0,농산물,분당점,19,4.368421053,0.048192771,18
346,67,124,139.0,캐주얼,본  점,9,1.777777778,0.375,36
347,548,398,75.0,가공식품,본  점,17,8.0,0.220588235,16
348,868,289,,가공식품,대전점,8,3.375,0.259259259,43
349,35,26,,스포츠,분당점,2,1.5,0.0,107
350,248,88,10.0,시티웨어,안양점,5,2.2,0.090909091,58
351,2082,172,519.0,수산품,본  점,44,3.113636364,0.116788321,7
352,18,22,22.0,모피/피혁,관악점,3,1.333333333,0.0,79
353,49,33,,구두,영등포점,2,1.0,0.5,142
354,80,31,,기타,미아점,3,20.33333333,1.0,11
355,834,356,12.0,트래디셔널,본  점,14,1.571428571,0.136363636,20
356,587,136,,섬유잡화,본  점,25,1.84,0.826086957,13
357,1870,585,,기타,본  점,23,4.347826087,0.5,15
358,211,110,44.0,구두,영등포점,6,3.666666667,0.272727273,43
359,40,40,,건강식품,영등포점,1,1.0,0.0,0
360,574,227,195.0,기타,미아점,37,2.675675676,0.474747475,9
361,32,57,65.0,가공식품,노원점,14,3.5,0.530612245,13
362,597,100,,명품,동래점,16,1.5625,0.16,22
363,6,6,,섬유잡화,본  점,1,2.0,0.0,0
364,377,47,,화장품,본  점,9,2.333333333,0.0,36
365,1079,154,185.0,골프,청량리점,29,1.620689655,0.29787234,11
366,116,54,2.0,가공식품,영등포점,14,1.928571429,0.444444444,23
367,611,159,,가공식품,본  점,19,3.210526316,0.0,18
368,1,1,,가공식품,본  점,1,3.0,0.0,0
369,481,61,,셔츠,본  점,13,2.538461538,0.787878788,23
370,577,161,,가공식품,부평점,9,3.333333333,0.466666667,24
371,6555,1010,351.0,시티웨어,강남점,50,2.1,0.161904762,6
372,3312,375,241.0,시티웨어,강남점,59,2.610169492,0.318181818,5
373,1773,248,,화장품,잠실점,31,1.741935484,0.222222222,11
374,55,28,,화장품,부산본점,2,3.5,0.0,15
375,18,18,,피혁잡화,청량리점,1,1.0,1.0,0
376,201,165,,시티웨어,본  점,2,1.0,0.0,17
377,17,10,,명품,본  점,3,1.0,0.333333333,18
378,3046,613,101.0,캐주얼,영등포점,47,2.893617021,0.264705882,7
379,1407,152,159.0,모피/피혁,영등포점,16,2.625,0.0,20
380,1338,474,,농산물,분당점,25,4.84,0.181818182,14
381,1879,152,9.0,디자이너,광주점,33,1.878787879,0.177419355,10
382,7,7,,차/커피,미아점,1,2.0,0.0,0
383,109,103,4.0,주방가전,강남점,4,1.25,0.0,38
384,423,139,,가구,잠실점,5,1.2,0.166666667,39
385,1232,491,,명품,잠실점,13,1.846153846,0.208333333,24
386,746,126,36.0,기타,잠실점,30,4.7,0.170212766,11
387,1794,267,224.0,란제리/내의,부산본점,21,2.285714286,0.145833333,15
388,1511,653,102.0,기타,본  점,34,2.088235294,0.352112676,9
389,154,107,,화장품,영등포점,2,1.0,0.0,119
390,23,16,,캐주얼,잠실점,1,3.0,1.0,0
391,1728,1357,,가공식품,본  점,11,2.909090909,0.53125,31
392,14,14,,캐주얼,본  점,1,1.0,1.0,0
393,41,32,,가공식품,본  점,2,4.5,0.666666667,106
394,10,10,,남성 캐주얼,강남점,1,1.0,0.0,0
395,1,1,,주방가전,광주점,1,1.0,0.0,0
396,2,1,,수산품,본  점,1,4.0,1.0,0
397,1063,228,,농산물,노원점,20,8.6,0.069767442,16
398,112,18,,가공식품,본  점,19,3.105263158,0.203389831,17
399,165,57,,농산물,본  점,8,2.5,0.2,17
400,31,62,67.0,수산품,본  점,7,1.857142857,0.076923077,30
401,139,68,,기타,잠실점,3,1.666666667,0.2,45
402,511,47,,캐주얼,분당점,12,3.75,0.377777778,20
403,5338,1879,24.0,캐주얼,본  점,13,3.153846154,0.536585366,12
404,803,174,,기타,분당점,20,5.05,0.247524752,16
405,7,7,,시티웨어,영등포점,1,2.0,0.0,0
406,4,2,,가공식품,본  점,1,2.0,0.0,0
407,68,10,,가공식품,노원점,24,3.291666667,0.240506329,12
408,4112,822,290.0,가공식품,대구점,69,3.724637681,0.291828794,4
409,127,99,,모피/피혁,일산점,2,1.0,0.0,115
410,1555,356,,디자이너,강남점,10,2.8,0.357142857,26
411,1276,159,45.0,스포츠,본  점,18,2.5,0.244444444,16
412,1753,286,,수산품,청량리점,38,2.973684211,0.159292035,9
413,46,32,,스포츠,본  점,1,2.0,0.0,0
414,2484,262,37.0,골프,본  점,22,2.636363636,0.034482759,13
415,2092,464,,기타,부산본점,24,3.333333333,0.175,13
416,1339,411,109.0,기타,분당점,48,6.729166667,0.213622291,7
417,23,22,,트래디셔널,본  점,1,2.0,1.0,0
418,1609,363,253.0,디자이너,본  점,26,2.269230769,0.288135593,13
419,993,96,,농산물,동래점,40,5.15,0.199029126,8
420,2566,259,34.0,시티웨어,인천점,74,3.121621622,0.164502165,4
421,89,80,,수산품,분당점,6,3.5,0.285714286,58
422,1272,215,,기타,본  점,30,1.9,0.122807018,11
423,114,114,,시티웨어,영등포점,1,1.0,0.0,0
424,99,43,,기타,부산본점,5,2.8,0.0,18
425,236,219,,수산품,분당점,3,3.666666667,0.909090909,26
426,3402,368,262.0,기타,일산점,52,3.442307692,0.340782123,6
427,355,125,,남성정장,인천점,3,2.0,0.333333333,46
428,11,11,,일용잡화,부산본점,1,1.0,1.0,0
429,1715,412,388.0,디자이너,동래점,26,2.307692308,0.133333333,12
430,15,15,,남성정장,전주점,1,1.0,0.0,0
431,32,31,,골프,대전점,2,1.0,0.5,16
432,2144,803,,디자이너,일산점,15,1.666666667,0.56,17
433,120,60,1.0,기타,분당점,8,3.0,0.041666667,34
434,136,42,,기타,본  점,4,2.0,1.0,47
435,2388,412,,가공식품,본  점,94,3.223404255,0.221122112,3
436,153,130,,명품,본  점,2,1.5,1.0,0
437,2421,583,62.0,농산물,부산본점,24,4.541666667,0.293577982,14
438,0,0,,농산물,분당점,1,2.0,0.0,0
439,94,51,,주류,일산점,5,2.0,0.4,60
440,133,109,,생활잡화,대전점,3,2.0,0.0,3
441,953,374,,가공식품,본  점,21,3.142857143,0.712121212,16
442,4109,462,1443.0,디자이너,본  점,59,2.033898305,0.175,6
