주문일시,주문번호,매출구분명,결제수단,공급가액,부가세,합계
2021-06-12,B0YY02FUQD,카드매출,신용카드,"12,273 원","1,227 원","13,500 원"
2021-06-12,B0YY01ZOND,현금매출,상품권,"18,182 원","1,818 원","20,000 원"
2021-06-13,B0YZ01G3D8,기타매출,네이버페이,91 원,9 원,100 원
2021-06-13,B0YZ01U570,기타매출,네이버페이,248 원,25 원,273 원
2021-06-13,B0YZ01X639,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-13,B0YZ00MWCP,카드매출,네이버페이,"12,273 원","1,227 원","13,500 원"
2021-06-13,B0YZ00SK5J,카드매출,네이버페이,"10,455 원","1,045 원","11,500 원"
2021-06-13,B0YZ01G3D8,카드매출,네이버페이,"12,727 원","1,273 원","14,000 원"
2021-06-13,B0YZ01X639,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-13,B0YZ028HVK,카드매출,배민페이(카드결제),"13,545 원","1,355 원","14,900 원"
2021-06-13,B0YZ02FM1L,카드매출,신용카드,"13,909 원","1,391 원","15,300 원"
2021-06-13,B0YZ01U570,현금매출,네이버페이,"10,206 원","1,021 원","11,227 원"
2021-06-13,B0YZ02BBSR,현금매출,카카오페이,"13,182 원","1,318 원","14,500 원"
2021-06-14,B0Z000P5WU,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-14,B0Z000ZF2T,기타매출,네이버페이,305 원,30 원,335 원
2021-06-14,B0Z000P5WU,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-14,B0Z000ZF2T,카드매출,네이버페이,"16,968 원","1,697 원","18,665 원"
2021-06-14,B0Z001LNTD,카드매출,카카오페이,"15,182 원","1,518 원","16,700 원"
2021-06-14,B0Z001MAEK,카드매출,신용카드,"12,727 원","1,273 원","14,000 원"
2021-06-14,B0Z0017KL3,현금매출,배민페이머니,"8,264 원",826 원,"9,090 원"
2021-06-14,B0Z00185YM,현금매출,카카오페이,"12,273 원","1,227 원","13,500 원"
2021-06-15,B0Z101Z67R,기타매출,휴대폰,"15,182 원","1,518 원","16,700 원"
2021-06-15,B0Z100HCCJ,카드매출,신용카드,"14,273 원","1,427 원","15,700 원"
2021-06-15,B0Z100VNKO,카드매출,네이버페이,"13,273 원","1,327 원","14,600 원"
2021-06-15,B0Z101XW39,카드매출,신용카드,"12,273 원","1,227 원","13,500 원"
2021-06-15,B0Z100P9RI,현금매출,토스,"10,455 원","1,045 원","11,500 원"
2021-06-15,B0Z100SLFD,현금매출,배민페이(계좌이체),"8,991 원",899 원,"9,890 원"
2021-06-16,B0Z200PJQQ,기타매출,네이버페이,"2,263 원",226 원,"2,489 원"
2021-06-16,B0Z201OJ6F,기타매출,회원포인트,182 원,18 원,200 원
2021-06-16,B0Z200PJQQ,카드매출,네이버페이,"32,283 원","3,228 원","35,511 원"
2021-06-16,B0Z2019FMU,카드매출,신용카드,"12,636 원","1,264 원","13,900 원"
2021-06-16,B0Z201DXU6,카드매출,배민페이(카드결제),"13,727 원","1,373 원","15,100 원"
2021-06-16,B0Z201H5ON,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-16,B0Z201MMRO,카드매출,신용카드,"12,273 원","1,227 원","13,500 원"
2021-06-16,B0Z201OJ6F,카드매출,배민페이(카드결제),"12,273 원","1,227 원","13,500 원"
2021-06-16,B0Z201TR2X,카드매출,신용카드,"15,182 원","1,518 원","16,700 원"
2021-06-16,B0Z201M8WN,현금매출,배민페이(계좌이체),"10,909 원","1,091 원","12,000 원"
2021-06-16,B0Z201MGL5,현금매출,배민페이(계좌이체),"7,445 원",745 원,"8,190 원"
2021-06-16,B0Z201PQ9U,현금매출,배민페이머니,"10,909 원","1,091 원","12,000 원"
2021-06-17,B0Z301CRVW,기타매출,회원포인트,54 원,5 원,59 원
2021-06-17,B0Z300XZGK,카드매출,카카오페이,"17,455 원","1,745 원","19,200 원"
2021-06-17,B0Z3012DAQ,카드매출,신용카드,"22,000 원","2,200 원","24,200 원"
2021-06-17,B0Z301CRVW,카드매출,배민페이(카드결제),"13,037 원","1,304 원","14,341 원"
2021-06-17,B0Z301UNP7,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-17,B0Z300LARP,현금매출,카카오페이,"10,909 원","1,091 원","12,000 원"
2021-06-18,B0Z400ESCQ,카드매출,신용카드,"10,909 원","1,091 원","12,000 원"
2021-06-18,B0Z400KX2N,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-06-18,B0Z4015MIA,카드매출,카카오페이,"17,909 원","1,791 원","19,700 원"
2021-06-18,B0Z401F1KD,카드매출,배민페이(카드결제),"10,182 원","1,018 원","11,200 원"
2021-06-18,B0Z4010WRP,현금매출,카카오페이,"11,818 원","1,182 원","13,000 원"
2021-06-18,B0Z401F1KD,현금매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-18,B0Z401PKEZ,현금매출,토스,"10,455 원","1,045 원","11,500 원"
2021-06-18,B0Z4021PAX,현금매출,배민페이(계좌이체),"10,455 원","1,045 원","11,500 원"
2021-06-19,B0Z5011FMM,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-19,B0Z50240GM,기타매출,휴대폰,"14,455 원","1,445 원","15,900 원"
2021-06-19,B0Z500K4FP,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-19,B0Z500PWF1,카드매출,카카오페이,"13,727 원","1,373 원","15,100 원"
2021-06-19,B0Z500WQLL,카드매출,신용카드,"14,545 원","1,455 원","16,000 원"
2021-06-19,B0Z500WVSG,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-19,B0Z500Y72X,카드매출,신용카드,"13,182 원","1,318 원","14,500 원"
2021-06-19,B0Z50132SO,카드매출,신용카드,"12,273 원","1,227 원","13,500 원"
2021-06-19,B0Z5011FMM,현금매출,토스,"13,545 원","1,355 원","14,900 원"
2021-06-19,B0Z501RHMM,현금매출,배민페이머니,"24,636 원","2,464 원","27,100 원"
2021-06-20,B0Z6011RK0,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-20,B0Z601VBIE,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-06-20,B0Z601VBIE,기타매출,회원포인트,75 원,7 원,82 원
2021-06-20,B0Z6023HGO,기타매출,휴대폰,"18,273 원","1,827 원","20,100 원"
2021-06-20,B0Z6011RK0,카드매출,배민페이(카드결제),"7,273 원",727 원,"8,000 원"
2021-06-20,B0Z6012G4C,카드매출,신용카드,"14,273 원","1,427 원","15,700 원"
2021-06-20,B0Z6012JSU,카드매출,신용카드,"4,091 원",409 원,"4,500 원"
2021-06-20,B0Z6013HB9,카드매출,배민페이(카드결제),"17,909 원","1,791 원","19,700 원"
2021-06-20,B0Z601AO31,카드매출,배민페이(카드결제),"10,455 원","1,045 원","11,500 원"
2021-06-20,B0Z601KGA5,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-20,B0Z601TU1R,카드매출,신용카드,"12,273 원","1,227 원","13,500 원"
2021-06-20,B0Z601X98O,카드매출,배민페이(카드결제),"10,455 원","1,045 원","11,500 원"
2021-06-20,B0Z601VBIE,현금매출,배민페이(계좌이체),"10,380 원","1,038 원","11,418 원"
2021-06-20,B0Z6023ESU,현금매출,카카오페이,"14,545 원","1,455 원","16,000 원"
2021-06-21,B0Z700RJ7F,기타매출,회원포인트,455 원,45 원,500 원
2021-06-21,B0Z700O77Z,카드매출,신용카드,"13,636 원","1,364 원","15,000 원"
2021-06-21,B0Z700RJ7F,카드매출,신용카드,"1,818 원",182 원,"2,000 원"
2021-06-21,B0Z700RJ7F,현금매출,상품권,"9,091 원",909 원,"10,000 원"
2021-06-21,B0Z7018Q9A,현금매출,카카오페이,"12,273 원","1,227 원","13,500 원"
2021-06-21,B0Z701KFAX,현금매출,배민페이머니,"11,818 원","1,182 원","13,000 원"
2021-06-22,B0Z800LC6G,기타매출,회원포인트,364 원,36 원,400 원
2021-06-22,B0Z800LC6G,카드매출,배민페이(카드결제),"14,545 원","1,455 원","16,000 원"
2021-06-22,B0Z800O7Q8,카드매출,네이버페이,"12,636 원","1,264 원","13,900 원"
2021-06-22,B0Z800VJ8P,카드매출,네이버페이,"12,273 원","1,227 원","13,500 원"
2021-06-22,B0Z800X46N,카드매출,신용카드,"12,182 원","1,218 원","13,400 원"
2021-06-22,B0Z8012248,카드매출,신용카드,"13,182 원","1,318 원","14,500 원"
2021-06-22,B0Z800KCV5,현금매출,카카오페이,"12,727 원","1,273 원","14,000 원"
2021-06-23,B0Z900PM3N,카드매출,배민페이(카드결제),"13,182 원","1,318 원","14,500 원"
2021-06-23,B0Z90175FD,카드매출,신용카드,"13,091 원","1,309 원","14,400 원"
2021-06-23,B0Z901M1UZ,카드매출,카카오페이,"19,727 원","1,973 원","21,700 원"
2021-06-23,B0Z900FIVQ,현금매출,카카오페이,"11,273 원","1,127 원","12,400 원"
2021-06-23,B0Z900PSDR,현금매출,카카오페이,"11,000 원","1,100 원","12,100 원"
2021-06-23,B0Z901PRHK,현금매출,카카오페이,"11,364 원","1,136 원","12,500 원"
2021-06-24,B0ZA00NPE8,카드매출,신용카드,"65,000 원","6,500 원","71,500 원"
2021-06-24,B0ZA01KRSX,카드매출,카카오페이,"17,455 원","1,745 원","19,200 원"
2021-06-24,B0ZA01TO9Z,카드매출,신용카드,"11,909 원","1,191 원","13,100 원"
2021-06-24,B0ZA00EUEC,현금매출,네이버페이,"11,818 원","1,182 원","13,000 원"
2021-06-24,B0ZA00T74X,현금매출,배민페이(계좌이체),"4,091 원",409 원,"4,500 원"
2021-06-24,B0ZA01MAYL,현금매출,토스,"10,909 원","1,091 원","12,000 원"
2021-06-25,B0ZB00UWCC,카드매출,배민페이(카드결제),"12,545 원","1,255 원","13,800 원"
2021-06-25,B0ZB01YK5V,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-26,B0ZC013QQ9,기타매출,네이버페이,545 원,55 원,600 원
2021-06-26,B0ZC011E8L,카드매출,배민페이(카드결제),"20,909 원","2,091 원","23,000 원"
2021-06-26,B0ZC013QQ9,카드매출,네이버페이,"6,364 원",636 원,"7,000 원"
2021-06-26,B0ZC01BAUW,카드매출,신용카드,"15,727 원","1,573 원","17,300 원"
2021-06-26,B0ZC01U947,카드매출,신용카드,"21,545 원","2,155 원","23,700 원"
2021-06-26,B0ZC01VXSA,카드매출,신용카드,"11,818 원","1,182 원","13,000 원"
2021-06-26,B0ZC0128B8,현금매출,토스,"10,636 원","1,064 원","11,700 원"
2021-06-27,B0ZD011DAU,카드매출,카카오페이,"32,727 원","3,273 원","36,000 원"
2021-06-27,B0ZD01ZJY8,카드매출,신용카드,"15,273 원","1,527 원","16,800 원"
2021-06-27,B0ZD020P9C,카드매출,배민페이(카드결제),"12,273 원","1,227 원","13,500 원"
2021-06-27,B0ZD01WHOD,현금매출,카카오페이,"12,273 원","1,227 원","13,500 원"
2021-06-27,B0ZD025TRA,현금매출,배민페이(계좌이체),"12,273 원","1,227 원","13,500 원"
2021-06-29,B0ZF00K1F3,기타매출,네이버페이,228 원,23 원,251 원
2021-06-29,B0ZF00K1F3,기타매출,L.POINT,"1,455 원",145 원,"1,600 원"
2021-06-29,B0ZF00KXRQ,카드매출,신용카드,"10,636 원","1,064 원","11,700 원"
2021-06-29,B0ZF01B1YV,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-06-29,B0ZF01BTTQ,카드매출,배민페이(카드결제),"12,727 원","1,273 원","14,000 원"
2021-06-29,B0ZF01R7UD,카드매출,신용카드,"13,182 원","1,318 원","14,500 원"
2021-06-29,B0ZF00K1F3,현금매출,네이버페이,"16,135 원","1,614 원","17,749 원"
2021-06-29,B0ZF00L43Y,현금매출,카카오페이,"17,455 원","1,745 원","19,200 원"
2021-06-29,B0ZF00NTL5,현금매출,토스,"14,364 원","1,436 원","15,800 원"
2021-06-29,B0ZF013RZ7,현금매출,카카오페이,"12,273 원","1,227 원","13,500 원"
2021-06-30,B0ZG00N7UU,카드매출,배민페이(카드결제),"36,000 원","3,600 원","39,600 원"
2021-06-30,B0ZG00OP5P,카드매출,신용카드,"11,727 원","1,173 원","12,900 원"
2021-06-30,B0ZG011LYF,카드매출,배민페이(카드결제),"12,273 원","1,227 원","13,500 원"
2021-07-01,T0ZH000056DT,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-01,T0ZH00007ASS,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-01,T0ZH00009BVF,기타매출,쿠폰,"1,000 원",100 원,"1,100 원"
2021-07-01,B0ZH00V6GZ,카드매출,배민페이(카드결제),"11,455 원","1,145 원","12,600 원"
2021-07-01,B0ZH01AXSF,카드매출,신용카드,"12,727 원","1,273 원","14,000 원"
2021-07-01,B0ZH01Y6SV,카드매출,신용카드,"12,727 원","1,273 원","14,000 원"
2021-07-01,T0ZH000056DT,카드매출,신용카드,"9,909 원",991 원,"10,900 원"
2021-07-01,T0ZH00007ASS,카드매출,신용카드,"9,909 원",991 원,"10,900 원"
2021-07-01,B0ZH01UL2R,현금매출,카카오페이,"14,091 원","1,409 원","15,500 원"
2021-07-01,B0ZH01UZQL,현금매출,카카오페이,"11,818 원","1,182 원","13,000 원"
2021-07-01,T0ZH00009BVF,현금매출,토스,"11,727 원","1,173 원","12,900 원"
2021-07-02,B0ZI00KA7Q,기타매출,휴대폰,"11,818 원","1,182 원","13,000 원"
2021-07-02,B0ZI012IQF,기타매출,네이버페이,95 원,9 원,104 원
2021-07-02,T0ZI00002VUH,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-02,B0ZI00GW2M,카드매출,카카오페이,"9,818 원",982 원,"10,800 원"
2021-07-02,B0ZI00U08I,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-07-02,B0ZI012IQF,카드매출,네이버페이,"10,360 원","1,036 원","11,396 원"
2021-07-02,B0ZI00V51A,현금매출,카카오페이,"11,818 원","1,182 원","13,000 원"
2021-07-02,B0ZI00VHWI,현금매출,카카오페이,"11,727 원","1,173 원","12,900 원"
2021-07-02,T0ZI00002VUH,현금매출,카카오페이,"9,545 원",955 원,"10,500 원"
2021-07-03,B0ZJ011KFS,기타매출,쿠폰,"1,818 원",182 원,"2,000 원"
2021-07-03,B0ZJ01BYMH,기타매출,쿠폰,"1,818 원",182 원,"2,000 원"
2021-07-03,B0ZJ028EZV,기타매출,회원포인트,182 원,18 원,200 원
2021-07-03,B0ZJ00S877,카드매출,신용카드,"14,545 원","1,455 원","16,000 원"
2021-07-03,B0ZJ011KFS,카드매출,배민페이(카드결제),"9,545 원",955 원,"10,500 원"
2021-07-03,B0ZJ01982I,카드매출,신용카드,"14,000 원","1,400 원","15,400 원"
2021-07-03,B0ZJ01BYMH,카드매출,배민페이(카드결제),"8,636 원",864 원,"9,500 원"
2021-07-03,B0ZJ028EZV,카드매출,배민페이(카드결제),"13,636 원","1,364 원","15,000 원"
2021-07-03,B0ZJ00OGNV,현금매출,배민페이머니,"10,227 원","1,023 원","11,250 원"
2021-07-04,B0ZK027U3P,기타매출,회원포인트,227 원,23 원,250 원
2021-07-04,B0ZK02DIQD,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-07-04,B0ZK00O9C4,카드매출,네이버페이,"11,000 원","1,100 원","12,100 원"
2021-07-04,B0ZK027U3P,카드매출,배민페이(카드결제),"10,227 원","1,023 원","11,250 원"
2021-07-04,B0ZK02DIQD,카드매출,신용카드,"14,455 원","1,445 원","15,900 원"
2021-07-04,B0ZK02E9US,카드매출,배민페이(카드결제),"17,909 원","1,791 원","19,700 원"
2021-07-04,B0ZK013I0M,현금매출,카카오페이,"14,182 원","1,418 원","15,600 원"
2021-07-05,B0ZL01MRU6,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-07-05,B0ZL01PNCX,기타매출,휴대폰,"14,909 원","1,491 원","16,400 원"
2021-07-05,B0ZL00QKHN,카드매출,배민페이(카드결제),"14,091 원","1,409 원","15,500 원"
2021-07-05,B0ZL014MSP,카드매출,배민페이(카드결제),"11,364 원","1,136 원","12,500 원"
2021-07-05,B0ZL01I7SX,카드매출,신용카드,"12,455 원","1,245 원","13,700 원"
2021-07-05,B0ZL01MRU6,카드매출,신용카드,"14,273 원","1,427 원","15,700 원"
2021-07-05,B0ZL00JTD1,현금매출,카카오페이,"15,182 원","1,518 원","16,700 원"
2021-07-05,B0ZL01MMYX,현금매출,토스,"13,182 원","1,318 원","14,500 원"
2021-07-06,B0ZM013UPL,기타매출,쿠폰,909 원,91 원,"1,000 원"
2021-07-06,T0ZM000056YQ,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-06,T0ZM00009AZ7,기타매출,쿠폰,"1,000 원",100 원,"1,100 원"
2021-07-06,B0ZM01QF91,카드매출,신용카드,"7,445 원",745 원,"8,190 원"
2021-07-06,B0ZM01WMMN,카드매출,신용카드,"15,182 원","1,518 원","16,700 원"
2021-07-06,B0ZM01WMQX,카드매출,신용카드,"11,364 원","1,136 원","12,500 원"
2021-07-06,T0ZM000056YQ,카드매출,배민페이(카드결제),"10,000 원","1,000 원","11,000 원"
2021-07-06,B0ZM013UPL,현금매출,카카오페이,"13,545 원","1,355 원","14,900 원"
2021-07-06,T0ZM00009AZ7,현금매출,카카오페이,"11,727 원","1,173 원","12,900 원"
2021-07-07,T0ZN00003GUM,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-07,T0ZN00007KOO,기타매출,쿠폰,"1,364 원",136 원,"1,500 원"
2021-07-07,B0ZN00PKLX,카드매출,신용카드,"22,727 원","2,273 원","25,000 원"
2021-07-07,B0ZN019ML7,카드매출,신용카드,"13,000 원","1,300 원","14,300 원"
2021-07-07,B0ZN01G2AC,카드매출,신용카드,"13,273 원","1,327 원","14,600 원"
2021-07-07,B0ZN01VCA4,카드매출,신용카드,"12,909 원","1,291 원","14,200 원"
2021-07-07,B0ZN01ZXXW,카드매출,신용카드,"10,455 원","1,045 원","11,500 원"
2021-07-07,T0ZN00003GUM,카드매출,네이버페이,"15,273 원","1,527 원","16,800 원"
2021-07-07,T0ZN00007KOO,카드매출,배민페이(카드결제),"11,364 원","1,136 원","12,500 원"
2021-07-08,B0ZO016FKH,기타매출,휴대폰,"14,727 원","1,473 원","16,200 원"
2021-07-08,T0ZO00007D4F,기타매출,쿠폰,"2,727 원",273 원,"3,000 원"
2021-07-08,B0ZO00RIIO,카드매출,신용카드,"17,000 원","1,700 원","18,700 원"
2021-07-08,B0ZO010OUP,카드매출,배민페이(카드결제),"12,273 원","1,227 원","13,500 원"
