YEAR,REQ_DD_CNT,JOB_ORDR,FRMWK_CLSF_NM,ITEM_NM,CLSSF_NM,FRMWK_SPR_NM,GROW_ZNAR_CDCN,JOB_BGNG_YMD,FRMTM_CNSCTVLY_YN,USE_YN,SCALED_AREA,RANK_GRADE
2024,50,1,2,옥수수,잡곡류,재배관리,전국,301,0,Y,0.1142857142857142,C
2020,50,1,2,옥수수,잡곡류,재배관리,전국,301,0,Y,0.1142857142857142,C
2025,50,1,2,옥수수,잡곡류,재배관리,전국,301,0,Y,0.1142857142857142,C
2021,50,1,2,옥수수,잡곡류,재배관리,전국,311,0,Y,0.1142857142857142,C
2025,50,2,2,옥수수,잡곡류,재배관리,전국,311,0,Y,0.1142857142857142,C
2020,50,2,2,옥수수,잡곡류,재배관리,전국,311,0,Y,0.1142857142857142,C
2021,20,2,2,옥수수,잡곡류,재배관리,전국,311,0,Y,0.0285714285714285,C
2024,60,2,2,옥수수,잡곡류,재배관리,전국,401,0,Y,0.1428571428571428,C
2020,30,2,2,옥수수,잡곡류,재배관리,전국,401,0,Y,0.0571428571428571,C
2024,140,3,2,옥수수,잡곡류,재배관리,전국,311,0,Y,0.3714285714285714,B
2024,200,3,0,옥수수,잡곡류,재배관리,전국,311,0,Y,0.5428571428571428,B
2020,30,3,2,옥수수,잡곡류,재배관리,전국,501,0,Y,0.0571428571428571,B
2020,60,3,2,옥수수,잡곡류,재배관리,전국,501,0,Y,0.1428571428571428,B
2021,90,3,2,옥수수,잡곡류,재배관리,전국,501,0,Y,0.2285714285714285,B
2025,90,3,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2023,90,4,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2021,90,4,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2022,90,4,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2024,90,4,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2020,90,4,1,옥수수,잡곡류,수확 및 출하관리,전국,701,0,Y,0.2285714285714285,B
2024,30,5,2,옥수수,잡곡류,재배관리,전국,901,0,Y,0.0571428571428571,B
2022,30,5,2,옥수수,잡곡류,재배관리,전국,901,0,Y,0.0571428571428571,B
2024,30,5,2,옥수수,잡곡류,재배관리,전국,901,0,Y,0.0571428571428571,B
2024,30,5,2,옥수수,잡곡류,재배관리,전국,901,0,Y,0.0571428571428571,B
2022,40,1,2,감자,서류,재배관리,전국,211,0,Y,0.0857142857142857,C
2024,180,2,0,토마토,과일과채류,재배관리,충남권역,1211,0,Y,0.4857142857142856,C
2024,180,2,2,토마토,과일과채류,재배관리,충남권역,1211,0,Y,0.4857142857142856,C
2024,50,1,2,토마토,과일과채류,재배관리,경북권역,721,0,Y,0.1142857142857142,C
2020,50,1,2,토마토,과일과채류,재배관리,경북권역,801,0,Y,0.1142857142857142,C
2025,30,1,2,토마토,과일과채류,재배관리,경북권역,911,0,Y,0.0571428571428571,C
2023,20,2,2,토마토,과일과채류,재배관리,경북권역,301,1,Y,0.0285714285714285,C
2022,250,2,0,토마토,과일과채류,재배관리,경북권역,721,0,Y,0.6857142857142857,C
2020,210,2,0,토마토,과일과채류,재배관리,경북권역,911,0,Y,0.5714285714285714,C
2024,30,2,0,토마토,과일과채류,재배관리,경북권역,911,0,Y,0.0571428571428571,C
2023,30,2,2,토마토,과일과채류,재배관리,경북권역,911,0,Y,0.0571428571428571,C
2024,210,2,2,토마토,과일과채류,재배관리,경북권역,911,0,Y,0.5714285714285714,C
2025,160,2,2,토마토,과일과채류,재배관리,경북권역,921,0,Y,0.4285714285714285,C
2025,150,2,2,토마토,과일과채류,재배관리,경북권역,1101,0,Y,0.3999999999999999,C
2021,140,2,2,토마토,과일과채류,재배관리,경북권역,1111,0,Y,0.3714285714285714,C
2024,130,2,2,토마토,과일과채류,재배관리,경북권역,1121,0,Y,0.3428571428571428,C
2024,120,2,1,토마토,과일과채류,수확 및 출하관리,경북권역,1211,0,Y,0.3142857142857143,C
2021,120,2,1,토마토,과일과채류,수확 및 출하관리,경북권역,1211,0,Y,0.3142857142857143,C
2025,120,2,1,토마토,과일과채류,수확 및 출하관리,경북권역,1211,0,Y,0.3142857142857143,C
2024,120,2,1,토마토,과일과채류,수확 및 출하관리,경북권역,1211,0,Y,0.3142857142857143,C
2021,50,1,2,토마토,과일과채류,재배관리,경북권역,721,0,Y,0.1142857142857142,C
2023,50,1,2,토마토,과일과채류,재배관리,경북권역,801,0,Y,0.1142857142857142,C
2022,20,1,2,토마토,과일과채류,재배관리,경북권역,801,0,Y,0.0285714285714285,C
2024,50,1,2,토마토,과일과채류,재배관리,경북권역,801,0,Y,0.1142857142857142,C
2022,30,1,0,토마토,과일과채류,재배관리,경북권역,821,0,Y,0.0571428571428571,C
2025,20,1,2,토마토,과일과채류,재배관리,경북권역,821,0,Y,0.0285714285714285,C
2023,20,1,0,토마토,과일과채류,재배관리,경북권역,901,0,Y,0.0285714285714285,C
2024,60,1,2,토마토,과일과채류,재배관리,전남권역,901,0,Y,0.1428571428571428,C
2020,40,1,2,토마토,과일과채류,재배관리,전남권역,1001,0,Y,0.0857142857142857,C
2021,30,1,2,토마토,과일과채류,재배관리,전남권역,1101,0,Y,0.0571428571428571,C
2024,230,2,1,토마토,과일과채류,수확 및 출하관리,전남권역,101,1,Y,0.6285714285714286,C
2022,200,2,2,토마토,과일과채류,재배관리,전남권역,101,1,Y,0.5428571428571428,C
2020,190,2,2,토마토,과일과채류,재배관리,전남권역,101,1,Y,0.5142857142857142,C
2020,210,2,2,토마토,과일과채류,재배관리,전남권역,101,1,Y,0.5714285714285714,C
2022,230,2,1,토마토,과일과채류,수확 및 출하관리,전남권역,101,1,Y,0.6285714285714286,C
2022,230,2,1,토마토,과일과채류,수확 및 출하관리,전남권역,101,1,Y,0.6285714285714286,C
