기준년도,시군명,지역명,학교명,설립구분명,1학년전입학생수(명),1학년전출학생수(명),1학년전체학생수(명),2학년전입학생수(명),2학년전출학생수(명),2학년전체학생수(명),3학년전입학생수(명),3학년전출학생수(명),3학년전체학생수(명),4학년전입학생수(명),4학년전출학생수(명),4학년전체학생수(명),5학년전입학생수(명),5학년전출학생수(명),5학년전체학생수(명),6학년전입학생수(명),6학년전출학생수(명),6학년전체학생수(명),전입학생수합계(명),전출학생수합계(명),전체학생수합계(명)
2020,고양시,경기도 고양시 일산동구,일산은행초등학교,공립,3,2,54,2,5,55,4,5,59,1,2,56,2,5,73,1,2,64,13,21,361
2020,고양시,경기도 고양시 덕양구,신능초등학교,공립,1,2,42,4,8,47,3,5,40,1,3,44,3,3,68,4,6,54,16,27,295
2020,고양시,경기도 고양시 덕양구,신원초등학교,공립,15,11,262,11,16,264,14,7,220,12,12,209,10,13,199,7,6,199,69,65,1353
2020,고양시,경기도 고양시 일산서구,신촌초등학교,공립,3,4,83,3,4,80,6,2,108,6,1,108,5,4,115,8,6,138,31,21,632
2020,고양시,경기도 고양시 일산동구,안곡초등학교,공립,3,2,86,3,6,82,8,10,117,2,11,87,4,7,100,5,12,115,25,48,587
2020,고양시,경기도 고양시 일산서구,오마초등학교,공립,9,5,219,20,11,211,29,11,201,21,7,229,24,11,265,27,8,264,130,53,1389
2020,고양시,경기도 고양시 덕양구,용두초등학교,공립,2,1,6,5,7,9,0,1,6,1,0,7,1,2,14,0,1,2,9,12,44
2020,고양시,경기도 고양시 덕양구,용정초등학교,공립,1,2,38,2,3,24,1,4,32,3,3,36,0,5,42,1,3,51,8,20,223
2020,고양시,경기도 고양시 덕양구,원당초등학교,공립,3,6,98,5,7,94,3,6,95,6,5,109,3,3,108,4,2,129,24,29,633
2020,고양시,경기도 고양시 일산동구,원중초등학교,공립,12,7,155,7,6,146,26,22,158,17,9,183,10,7,153,8,10,166,80,61,961
2020,고양시,경기도 고양시 일산서구,가좌초등학교,공립,7,4,130,7,10,135,5,7,122,4,7,147,7,13,146,7,6,183,37,47,863
2020,고양시,경기도 고양시 일산동구,풍산중학교,공립,7,5,171,10,7,183,4,0,194,21,12,548,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,서정중학교,공립,4,9,201,3,6,145,0,4,198,7,19,544,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,고양송산중학교,공립,7,4,280,4,5,224,2,1,271,13,10,775,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양일고등학교,공립,7,9,205,2,1,191,2,0,206,11,10,602,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,안곡고등학교,공립,5,5,325,6,3,321,0,0,342,11,8,988,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,서정고등학교,공립,8,15,309,3,0,279,0,0,316,11,15,904,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,가람초등학교,공립,2,7,74,4,11,94,2,6,96,0,9,89,3,7,94,1,3,103,12,43,550
2020,고양시,경기도 고양시 일산서구,강선초등학교,공립,5,7,135,11,7,122,4,13,125,2,6,137,7,4,176,6,4,154,35,41,849
2020,고양시,경기도 고양시 일산동구,고봉초등학교,공립,1,5,54,13,8,70,7,4,57,6,7,75,6,6,83,2,2,69,35,32,408
2020,고양시,경기도 고양시 일산동구,고양백석초등학교,공립,3,7,120,8,8,109,6,5,126,7,8,117,1,3,125,6,6,138,31,37,735
2020,고양시,경기도 고양시 일산서구,고양신일초등학교,공립,4,5,141,16,6,113,22,7,146,24,4,134,33,6,184,16,3,145,115,31,863
2020,고양시,경기도 고양시 덕양구,고양용현초등학교,공립,3,4,63,6,8,56,2,4,57,3,4,65,2,7,59,2,5,67,18,32,367
2020,고양시,경기도 고양시 덕양구,고양초등학교,공립,3,6,91,1,6,110,4,13,96,4,10,109,2,8,114,3,3,117,17,46,637
2020,고양시,경기도 고양시 덕양구,고양화수초등학교,공립,2,4,118,4,7,137,4,13,148,4,9,130,6,10,163,5,6,147,25,49,843
2020,고양시,경기도 고양시 덕양구,고양화정초등학교,공립,4,7,212,14,8,224,10,8,227,15,8,205,6,6,187,5,10,220,54,47,1275
2020,고양시,경기도 고양시 일산동구,금계초등학교,공립,3,4,94,2,11,91,5,11,89,5,5,72,3,4,86,1,2,69,19,37,501
2020,고양시,경기도 고양시 일산동구,낙민초등학교,공립,6,9,125,10,8,118,8,8,131,16,7,138,8,1,128,7,2,153,55,35,793
2020,고양시,경기도 고양시 덕양구,내유초등학교,공립,7,6,174,13,5,131,13,12,138,5,7,139,8,11,144,4,8,135,50,49,861
2020,고양시,경기도 고양시 일산동구,냉천초등학교,공립,3,2,73,1,9,79,4,7,67,3,7,63,4,7,58,7,3,80,22,35,420
2020,고양시,경기도 고양시 덕양구,능곡초등학교,공립,0,7,130,1,22,115,2,12,109,2,13,102,3,11,107,0,9,118,8,74,681
2020,고양시,경기도 고양시 덕양구,목암초등학교,공립,5,5,201,16,17,190,16,14,219,13,12,195,18,14,207,5,13,220,73,75,1232
2020,고양시,경기도 고양시 덕양구,목암중학교,공립,10,14,274,2,14,295,2,4,284,14,32,853,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,가좌고등학교,공립,7,4,319,3,2,308,0,0,330,10,6,957,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,성사고등학교,공립,4,0,249,0,2,244,0,0,273,4,2,766,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,아람초등학교,공립,4,5,71,4,6,83,7,5,71,6,6,97,4,6,85,3,8,93,28,36,500
2020,고양시,경기도 고양시 덕양구,도래울중학교,공립,8,20,267,10,6,226,9,8,220,27,34,713,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,율동초등학교,공립,0,0,41,0,4,58,1,6,54,4,0,72,2,7,60,5,5,83,12,22,368
2020,고양시,경기도 고양시 일산서구,일산초등학교,공립,1,6,49,2,11,54,1,5,63,2,8,68,4,5,61,1,0,90,11,35,385
2020,고양시,경기도 고양시 일산서구,장성초등학교,공립,1,5,72,6,1,55,3,4,58,3,7,74,5,3,61,9,2,70,27,22,390
2020,고양시,경기도 고양시 일산서구,장촌초등학교,공립,15,55,77,27,33,61,26,29,54,19,19,39,22,31,58,18,20,62,127,187,351
2020,고양시,경기도 고양시 일산동구,저동초등학교,공립,4,5,81,1,9,75,5,8,91,6,12,100,4,5,93,2,3,104,22,42,544
2020,고양시,경기도 고양시 일산동구,정발초등학교,공립,6,1,152,8,8,159,20,9,199,18,12,205,20,18,199,16,10,191,88,58,1105
2020,고양시,경기도 고양시 일산서구,주엽초등학교,공립,2,7,90,5,4,94,8,7,111,6,8,102,4,7,121,4,4,95,29,37,613
2020,고양시,경기도 고양시 일산동구,중산초등학교,공립,1,0,72,2,7,91,2,5,85,6,5,74,4,8,83,2,4,85,17,29,490
2020,고양시,경기도 고양시 덕양구,지도초등학교,공립,1,7,141,2,8,120,5,8,145,3,7,130,2,10,163,6,6,141,19,46,840
2020,고양시,경기도 고양시 일산동구,일산양일중학교,공립,25,11,371,10,15,391,7,6,357,42,32,1119,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,신원중학교,공립,33,7,151,15,6,153,2,2,120,50,15,424,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,모당초등학교,공립,6,3,142,14,8,109,6,3,103,7,4,106,8,10,98,2,5,116,43,33,674
2020,고양시,경기도 고양시 일산동구,다솜초등학교,공립,4,4,122,5,7,118,17,9,135,5,7,104,6,6,121,5,3,135,42,36,735
2020,고양시,경기도 고양시 일산동구,풍동초등학교,공립,4,3,77,4,6,82,5,3,86,3,4,56,3,1,58,4,4,71,23,21,430
2020,고양시,경기도 고양시 일산동구,하늘초등학교,공립,7,4,127,10,10,119,5,12,101,6,3,97,7,8,100,5,1,106,40,38,650
2020,고양시,경기도 고양시 일산동구,풍동중학교,공립,5,8,248,4,8,218,1,1,254,10,17,720,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,안곡중학교,공립,0,5,368,0,5,326,0,0,324,0,10,1018,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,성사중학교,공립,7,9,187,1,10,190,2,4,185,10,23,562,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,덕이중학교,공립,12,6,292,9,7,234,10,7,259,31,20,785,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,대곡초등학교,공립,3,1,25,0,2,27,1,4,26,0,2,30,2,0,38,1,1,27,7,10,173
2020,고양시,경기도 고양시 일산서구,대화초등학교,공립,3,3,97,7,4,85,8,5,95,3,5,81,5,7,119,7,4,122,33,28,599
2020,고양시,경기도 고양시 일산서구,신일비즈니스고등학교,공립,3,4,192,1,3,164,0,3,289,4,10,645,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산고등학교,공립,1,1,250,0,2,264,0,0,252,1,3,766,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산대진고등학교,사립,3,9,350,6,2,332,1,1,404,10,12,1086,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산동고등학교,공립,10,8,325,4,2,328,0,4,357,14,14,1010,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산국제컨벤션고등학교,공립,2,7,301,0,5,242,1,2,283,3,14,826,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,저동고등학교,공립,6,5,329,7,2,321,0,2,381,13,9,1031,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,정발고등학교,공립,2,10,328,6,3,298,0,0,341,8,13,967,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,주엽고등학교,공립,13,4,361,5,2,350,1,1,427,19,7,1138,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,향동초등학교,공립,33,0,0,31,0,0,25,0,0,14,0,0,16,0,0,6,0,0,125,0,0
2020,고양시,경기도 고양시 덕양구,지축초등학교,공립,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,고양시,경기도 고양시 덕양구,가람중학교,공립,4,7,150,4,3,145,1,4,185,9,14,480,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양중학교,공립,27,11,298,17,8,229,8,12,266,52,31,793,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,능곡중학교,공립,3,5,156,3,7,164,1,4,176,7,16,496,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,대화중학교,공립,10,14,180,8,9,184,3,7,179,21,30,543,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,덕양중학교,공립,8,2,42,4,4,81,1,2,77,13,8,200,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,무원중학교,공립,4,9,178,3,7,150,2,3,209,9,19,537,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,발산중학교,공립,0,0,250,8,4,257,4,7,316,12,11,823,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백마중학교,공립,8,8,218,24,6,263,3,7,278,35,21,759,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백석중학교,공립,8,6,185,5,8,193,1,1,191,14,15,569,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,백신중학교,공립,7,5,250,4,8,256,10,6,337,21,19,843,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,백양중학교,공립,1,12,184,9,4,182,3,3,167,13,19,533,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,고양제일중학교,사립,13,14,343,9,6,312,6,5,390,28,25,1045,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,신능중학교,공립,4,5,143,3,9,141,3,7,176,10,21,460,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,신일중학교,공립,6,6,311,1,6,290,4,4,333,11,16,934,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,오마중학교,공립,21,12,314,20,12,332,12,7,397,53,31,1043,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,원당중학교,공립,4,6,79,4,8,100,1,10,109,9,24,288,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산동중학교,공립,6,7,205,9,4,192,4,3,234,19,14,631,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,일산중학교,공립,5,4,136,1,3,131,4,5,153,10,12,420,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,장성중학교,공립,3,4,177,5,10,189,2,1,190,10,15,556,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,저동중학교,공립,11,9,186,7,10,183,9,2,199,27,21,568,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,정발중학교,공립,10,8,309,1,7,318,4,4,359,15,19,986,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,중산중학교,공립,9,5,187,3,1,163,3,2,213,15,8,563,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,지도중학교,공립,4,8,217,3,7,189,4,0,228,11,15,634,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,한수중학교,공립,17,3,236,20,5,195,19,2,226,56,10,657,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,행신중학교,공립,4,5,171,2,8,164,2,10,197,8,23,532,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,한류초등학교,공립,136,0,0,117,1,0,108,3,0,68,0,0,68,1,0,35,0,0,532,5,0
2020,고양시,경기도 고양시 덕양구,창릉초등학교,공립,36,4,35,46,0,12,38,0,13,32,0,3,25,0,7,13,0,5,190,4,75
2020,고양시,경기도 고양시 덕양구,향동숲내초등학교,공립,0,0,21,108,0,11,100,0,10,78,0,8,77,0,3,0,0,5,363,0,58
2020,고양시,경기도 고양시 덕양구,도래울초등학교,공립,4,16,246,6,15,210,4,12,194,5,15,154,5,11,161,3,4,134,27,73,1099
2020,고양시,경기도 고양시 일산동구,양일초등학교,공립,10,9,246,19,15,205,14,20,243,9,17,220,12,17,229,11,10,227,75,88,1370
2020,고양시,경기도 고양시 덕양구,고양동산초등학교,공립,9,16,265,26,25,237,15,19,218,12,18,200,18,21,204,6,16,170,86,115,1294
2020,고양시,경기도 고양시 일산서구,고양예술고등학교,사립,22,21,286,13,21,264,1,2,259,36,44,809,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,대송중학교,공립,4,9,188,7,6,205,2,3,230,13,18,623,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,현산중학교,공립,0,3,126,6,4,180,2,1,198,8,8,504,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,행신고등학교,공립,9,6,316,0,0,282,0,0,320,9,6,918,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,화수고등학교,공립,6,3,318,6,1,298,1,0,331,13,4,947,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,화정고등학교,공립,6,8,313,3,3,270,1,0,313,10,11,896,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,풍동고등학교,공립,5,6,269,3,2,269,0,0,272,8,8,810,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,경기영상과학고등학교,공립,0,0,253,0,0,255,0,0,257,0,0,765,,,,,,,,,
2020,고양시,경기도 고양시 일산동구,중산고등학교,공립,5,12,321,6,2,300,1,2,354,12,16,975,,,,,,,,,
2020,고양시,경기도 고양시 일산서구,호곡중학교,공립,7,13,251,5,6,257,14,4,325,26,23,833,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,화수중학교,공립,9,5,278,2,10,314,2,8,315,13,23,907,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,화정중학교,공립,10,6,229,3,7,254,4,11,274,17,24,757,,,,,,,,,
2020,고양시,경기도 고양시 덕양구,백양초등학교,공립,3,3,59,2,6,54,4,3,52,1,6,56,2,3,58,1,1,84,13,22,363
2020,고양시,경기도 고양시 일산동구,벽제초등학교,공립,3,3,57,0,3,70,3,4,54,1,4,71,1,2,73,1,6,86,9,22,411
2020,고양시,경기도 고양시 덕양구,삼송초등학교,공립,8,13,250,17,21,232,17,16,215,20,12,171,9,12,169,7,9,143,78,83,1180
2020,고양시,경기도 고양시 일산서구,상탄초등학교,공립,8,16,201,16,11,174,14,29,190,9,8,177,11,13,170,4,12,198,62,89,1110
2020,고양시,경기도 고양시 덕양구,성라초등학교,공립,1,3,85,3,3,97,2,5,83,2,6,89,2,6,108,4,2,130,14,25,592
2020,고양시,경기도 고양시 덕양구,성사초등학교,공립,8,7,171,3,23,162,7,16,162,9,14,169,5,19,167,6,13,168,38,92,999
2020,고양시,경기도 고양시 일산동구,성석초등학교,공립,0,0,18,0,3,26,0,1,19,1,5,19,0,2,23,2,1,17,3,12,122
2020,고양시,경기도 고양시 덕양구,성신초등학교,공립,0,5,139,5,5,107,2,2,117,1,6,107,1,5,112,2,6,131,11,29,713
2020,고양시,경기도 고양시 일산서구,성저초등학교,공립,1,5,79,3,10,59,6,6,66,3,7,65,6,3,99,6,2,75,25,33,443
2020,과천시,경기도 과천시,과천고등학교,공립,10,7,198,5,4,187,1,1,217,16,12,602,,,,,,,,,
2020,과천시,경기도 과천시,과천여자고등학교,사립,2,8,143,1,1,165,0,0,193,3,9,501,,,,,,,,,
2020,과천시,경기도 과천시,과천외국어고등학교,사립,0,0,224,0,0,216,1,0,240,1,0,680,,,,,,,,,
2020,과천시,경기도 과천시,과천중앙고등학교,공립,1,5,177,3,2,187,1,0,212,5,7,576,,,,,,,,,
2020,과천시,경기도 과천시,과천중학교,공립,9,7,200,2,4,241,4,4,218,15,15,659,,,,,,,,,
2020,과천시,경기도 과천시,과천초등학교,공립,7,3,91,16,9,78,14,6,107,9,7,91,16,8,87,4,3,99,66,36,553
2020,과천시,경기도 과천시,관문초등학교,공립,5,0,63,5,2,43,1,3,48,6,1,58,5,8,90,2,1,71,24,15,373
2020,과천시,경기도 과천시,문원초등학교,공립,8,6,195,16,12,191,21,15,210,13,12,221,12,17,209,15,10,198,85,72,1224
