회원ID,총구매액,최대구매액,환불금액,주구매상품,주구매지점,방문일수,방문당구매건수,주말방문비율,구매주기,성별
56,133636010,16000000,,기타,본  점,19,4.368421053,0.168674699,16,0
57,438046180,48489000,28371000.0,시티웨어,잠실점,38,1.315789474,0.44,8,0
58,2023500,329000,,가공식품,본  점,7,1.142857143,0.0,38,1
59,99215700,34000000,64691600.0,가공식품,잠실점,17,4.294117647,0.356164384,19,1
60,3151200,2544000,,차/커피,잠실점,2,2.5,0.0,85,0
61,1062500,2125000,1062500.0,섬유잡화,영등포점,2,1.0,0.5,1,1
62,2178000,2178000,,명품,본  점,1,1.0,0.0,0,1
64,16728810,2875000,,농산물,분당점,12,3.916666667,0.276595745,26,0
65,125714630,14335000,4013000.0,기타,관악점,28,6.214285714,0.856321839,12,1
66,139274290,21420000,,기타,부산본점,17,3.294117647,0.607142857,18,1
67,1062000,1062000,,화장품,본  점,1,1.0,1.0,0,0
68,611347440,54427200,,화장품,대전점,29,2.620689655,0.302631579,11,0
70,142850,142850,,육류,청량리점,1,1.0,0.0,0,0
71,70633210,13970000,23530000.0,기타,본  점,33,3.121212121,0.155339806,10,0
72,6194090,1656000,,농산물,부평점,6,3.333333333,0.0,49,0
75,2727500,2280000,,차/커피,부평점,2,1.5,0.0,78,0
76,14219880,2415000,,젓갈/반찬,본  점,12,3.083333333,0.378378378,20,1
77,8892400,3845600,,시티웨어,잠실점,1,4.0,1.0,0,0
79,8257780,4370000,,기타,본  점,8,3.875,0.967741935,27,0
80,251917560,20250000,9406000.0,가공식품,일산점,38,2.394736842,0.263736264,9,0
82,58591230,21168000,,캐주얼,본  점,12,2.25,1.0,16,1
83,3322720,1104000,,농산물,분당점,5,3.0,0.733333333,40,1
86,234389170,29760000,7528400.0,화장품,강남점,51,2.745098039,0.457142857,6,0
87,96643910,17688000,4274000.0,기타,본  점,24,3.458333333,0.289156627,13,0
88,379640600,80000000,,시티웨어,미아점,12,2.416666667,0.448275862,25,1
90,1805890,299000,,가공식품,잠실점,5,5.6,0.857142857,62,1
92,5420000,4840000,4838400.0,피혁잡화,본  점,2,3.0,0.0,7,0
93,341823670,42960000,57549800.0,농산물,동래점,81,2.740740741,0.216216216,4,0
94,140718960,15686000,,화장품,본  점,21,3.095238095,0.538461538,15,0
96,3940150,3250000,,기타,관악점,2,3.0,0.0,79,1
97,483229330,22750000,,시티웨어,영등포점,43,3.88372093,0.437125749,8,1
98,5430250,4387500,,기타,본  점,2,2.5,0.0,58,1
99,109816000,77040000,3080000.0,피혁잡화,본  점,12,1.416666667,0.470588235,10,0
100,55995890,34970000,735000.0,기타,본  점,9,2.666666667,0.041666667,37,0
101,9940000,3860000,,섬유잡화,분당점,2,2.0,0.0,29,0
102,156000,143000,,차/커피,본  점,1,2.0,1.0,0,1
103,83750,24000,,가공식품,영등포점,2,4.0,0.0,1,1
104,81684500,20700000,,피혁잡화,본  점,4,2.0,0.5,27,1
105,80790610,28203000,,가공식품,일산점,10,4.7,0.191489362,29,1
106,4104220,420000,,가공식품,본  점,7,5.714285714,0.0,17,1
107,6284000,2990000,,구두,본  점,4,1.25,0.2,69,1
109,316486800,92225000,26732400.0,기타,잠실점,57,2.385964912,0.169117647,6,0
110,25914480,19750000,,농산물,잠실점,15,1.333333333,0.05,22,1
111,37189800,28534000,,디자이너,강남점,4,1.25,0.8,28,0
112,46113120,9750000,,가공식품,본  점,38,2.368421053,0.288888889,9,0
115,44727800,16800000,,기타,분당점,20,5.15,0.233009709,16,0
117,71169570,17049600,,가공식품,본  점,12,3.833333333,0.717391304,27,1
118,228654470,30000000,45308500.0,기타,노원점,69,2.68115942,0.248648649,5,0
119,1143100,1093400,,시티웨어,광주점,1,2.0,0.0,0,1
120,1400500,546000,,가공식품,미아점,3,4.666666667,0.0,17,0
121,5902000,2838000,,디자이너,분당점,3,1.666666667,0.2,3,1
122,3087000,1587000,,남성 캐주얼,영등포점,2,1.5,0.666666667,2,0
123,5619650,5392800,,기타,안양점,1,5.0,1.0,0,1
124,79891750,19650000,,아동,부산본점,12,2.833333333,0.058823529,13,0
125,16258000,7750000,,수산품,영등포점,4,2.75,0.0,58,0
126,169669150,26750000,,화장품,본  점,22,2.681818182,0.338983051,13,0
128,27184590,5006400,6285300.0,가공식품,미아점,19,4.578947368,0.287356322,17,1
129,41175940,11520000,7791000.0,기타,대전점,14,3.571428571,0.26,24,0
131,155416710,20265760,,기타,대전점,34,5.176470588,0.306818182,10,1
132,350841000,44895600,3960000.0,명품,잠실점,39,2.230769231,0.264367816,9,0
134,3718000,3718000,,주방가전,잠실점,1,1.0,0.0,0,0
136,52976440,6850000,,가공식품,분당점,57,5.0,0.357894737,6,0
137,12000,12000,,수산품,본  점,1,1.0,0.0,0,1
138,208000,954000,1007000.0,기타,강남점,2,4.5,0.222222222,1,0
139,3264000,836000,,섬유잡화,본  점,5,1.4,0.714285714,67,1
141,44711400,16416000,16691800.0,차/커피,본  점,27,2.444444444,0.348484848,12,0
142,18068400,15750000,,시티웨어,본  점,2,1.0,0.0,80,0
144,1444000,840000,,농산물,본  점,4,2.0,0.0,61,0
145,304783000,26250000,18041000.0,화장품,본  점,36,2.611111111,0.074468085,10,0
146,7300400,4176000,,기타,부산본점,5,2.6,0.076923077,35,1
148,81239780,9765000,,농산물,본  점,17,3.411764706,0.0,13,1
149,27862000,12240000,,화장품,잠실점,8,1.25,0.1,20,1
150,72329000,25244800,,시티웨어,대전점,11,2.363636364,0.038461538,26,1
152,159877920,41706000,43200000.0,디자이너,잠실점,31,2.161290323,0.253731343,10,0
155,29622900,12240000,,기타,영등포점,4,2.0,0.0,40,1
156,1848000,1771000,,건강식품,본  점,1,2.0,1.0,0,1
157,510000,510000,,육류,본  점,1,1.0,0.0,0,0
158,583828800,168000000,120000.0,기타,잠실점,15,3.266666667,0.469387755,22,1
159,1980000,1980000,,시티웨어,분당점,1,1.0,0.0,0,1
160,9580000,9196800,,시티웨어,본  점,1,2.0,0.0,0,1
161,285275820,91872000,26660000.0,농산물,잠실점,62,2.612903226,0.080246914,5,1
162,921000,576000,,차/커피,본  점,1,2.0,0.0,0,0
163,76620,45000,,축산가공,영등포점,1,2.0,1.0,0,1
165,40386100,17250000,2070000.0,농산물,분당점,8,5.0,0.05,29,1
166,74684500,7050000,,화장품,본  점,24,1.875,0.466666667,14,1
167,3132000,3628800,3780000.0,구두,청량리점,4,1.75,0.0,51,0
169,4325800,2543800,,건강식품,강남점,3,1.666666667,0.8,69,1
170,10846000,5550000,,골프,부산본점,3,1.0,0.666666667,53,0
171,182330270,15272000,6050000.0,농산물,잠실점,58,3.344827586,0.159793814,5,0
172,266032800,42500000,42500000.0,디자이너,광주점,22,3.727272727,0.37804878,13,0
173,22557240,15225000,15225000.0,가공식품,본  점,13,3.076923077,0.075,25,0
174,736000,460000,,화장품,잠실점,1,2.0,0.0,0,0
175,69219600,11088000,5891500.0,시티웨어,광주점,19,2.315789474,0.295454545,18,1
177,17581400,3801600,1653600.0,화장품,센텀시티점,10,2.2,0.227272727,31,0
178,28912000,7490000,,가공식품,강남점,7,4.142857143,0.482758621,43,0
179,1571800,921600,,가공식품,관악점,1,6.0,1.0,0,1
181,263885610,11850000,1968200.0,기타,잠실점,123,3.93495935,0.334710744,2,0
182,7799000,5600000,,스포츠,부산본점,1,3.0,1.0,0,0
185,49173370,5293400,936000.0,농산물,부산본점,38,3.342105263,0.196850394,9,1
186,457600470,141840000,11352000.0,기타,잠실점,82,2.963414634,0.275720165,4,0
187,246000,150000,,기타,분당점,1,3.0,0.0,0,0
188,10321200,12222000,10110600.0,가구,미아점,8,1.5,0.5,4,0
190,196820,56680,,주류,노원점,2,5.5,1.0,14,1
191,31637550,4840000,,일용잡화,분당점,11,1.545454545,0.117647059,28,0
192,93903550,22344000,,가공식품,분당점,18,4.166666667,0.173333333,18,0
194,40341080,5544000,,농산물,관악점,52,8.076923077,0.145238095,6,0
196,87684100,10900000,29805400.0,명품,본  점,44,2.0,0.215909091,7,0
198,30722230,19470000,,축산가공,본  점,29,2.689655172,0.205128205,11,1
199,17930000,14630000,,시티웨어,강남점,1,2.0,0.0,0,0
200,2476800,2476800,,피혁잡화,부산본점,1,1.0,0.0,0,0
201,478429880,88000000,19255000.0,남성 캐주얼,잠실점,49,2.285714286,0.241071429,7,0
202,806000,806000,,화장품,본  점,1,1.0,1.0,0,0
203,877500,721500,,기타,본  점,2,1.5,0.0,88,1
205,81825270,7250000,16984000.0,가공식품,부산본점,156,3.833333333,0.245819398,2,1
208,377453160,114000000,10500000.0,시티웨어,미아점,26,2.038461538,0.566037736,13,0
210,211517700,35715000,16014000.0,기타,일산점,47,2.659574468,0.4,7,0
211,2495400,1875000,,수산품,본  점,1,7.0,1.0,0,1
212,567250,560000,,육류,노원점,2,1.5,1.0,0,0
215,100468740,12000000,2967000.0,농산물,관악점,50,4.32,0.333333333,7,0
216,162650520,13272000,32152900.0,명품,부산본점,46,2.347826087,0.046296296,7,1
217,50646400,13478000,6351000.0,캐주얼,부산본점,9,3.0,0.074074074,23,0
218,5752750,1750000,,캐주얼,본  점,6,2.333333333,0.142857143,47,1
219,122892510,27025000,,기타,대전점,21,4.333333333,0.461538462,15,0
222,44513000,14400000,,육류,본  점,7,2.571428571,0.111111111,18,1
223,171326210,34500000,7663000.0,기타,본  점,39,3.58974359,0.257142857,8,0
224,930000,930000,,남성 캐주얼,영등포점,1,1.0,0.0,0,1
225,26011480,12936000,,가공식품,강남점,8,3.75,0.5,35,0
226,396256660,48040000,18244000.0,명품,본  점,69,3.826086957,0.287878788,5,0
227,16592200,16592200,,남성 트랜디,분당점,1,1.0,1.0,0,0
228,41896940,7605000,,가공식품,안양점,12,5.083333333,0.31147541,25,0
229,2763000,1568000,,아동,본  점,2,1.0,1.0,62,0
231,805120,325600,,농산물,강남점,2,4.5,0.777777778,20,0
232,40000,30000,,가공식품,본  점,1,3.0,1.0,0,1
233,274149780,88000000,,시티웨어,잠실점,52,3.038461538,0.46835443,6,0
236,9737000,5850000,,디자이너,부산본점,2,1.0,0.0,63,0
239,47108540,14875000,,기타,본  점,23,2.130434783,0.306122449,15,1
240,34662500,33600000,,남성정장,본  점,2,1.0,0.5,95,0
241,121809800,9636000,8199100.0,스포츠,광주점,50,1.7,0.141176471,7,1
242,220184580,113664000,,가공식품,본  점,17,2.823529412,0.270833333,20,0
243,96766950,16660000,2000000.0,축산가공,분당점,19,3.0,0.385964912,18,0
245,105991880,38550000,,농산물,부산본점,67,3.089552239,0.285024155,5,0
248,10000,10000,,가공식품,잠실점,1,1.0,1.0,0,0
249,30162270,8665020,,기타,분당점,11,2.272727273,0.36,28,0
251,61000,61000,,명품,본  점,1,1.0,0.0,0,1
252,139963420,14513000,10212000.0,가공식품,본  점,27,2.37037037,0.71875,12,0
253,807000,437000,,스포츠,분당점,1,3.0,0.0,0,0
254,4748600,12375000,12375000.0,스포츠,분당점,3,3.666666667,0.272727273,0,1
255,46969270,8008000,,기타,분당점,10,4.1,0.43902439,30,1
256,367329330,84945000,3360000.0,가공식품,인천점,37,5.702702703,0.236966825,9,0
257,11050000,6251000,,명품,본  점,3,1.666666667,0.6,89,1
259,274763860,24928000,3974400.0,아동,본  점,30,3.9,0.418803419,11,0
262,607800,408660,,기타,잠실점,1,5.0,1.0,0,1
264,11005000,4008000,,화장품,본  점,3,1.666666667,0.0,85,1
267,6801000,2950000,,남성 캐주얼,본  점,1,4.0,1.0,0,1
271,30661250,9706000,,화장품,부산본점,9,2.0,0.222222222,39,0
272,10830000,10830000,,시티웨어,광주점,1,1.0,1.0,0,1
273,9936400,7326000,,농산물,잠실점,4,1.5,0.0,82,1
274,170000,90000,,가공식품,본  점,1,2.0,1.0,0,0
275,5200000,5200000,,피혁잡화,본  점,1,1.0,0.0,0,1
276,196138350,25100000,45593100.0,디자이너,본  점,40,2.1,0.154761905,8,0
278,33583000,20000000,,수산품,영등포점,2,3.5,0.142857143,166,0
279,29303590,11600000,,농산물,영등포점,6,2.333333333,0.071428571,57,0
280,55462700,25783000,28287000.0,디자이너,본  점,10,2.3,0.391304348,33,0
281,263000,126000,,일용잡화,청량리점,1,4.0,0.0,0,0
283,1915000,1680000,,생활잡화,부산본점,2,1.5,0.0,31,0
284,1968300,1470000,,수산품,노원점,4,1.25,0.6,66,1
287,1150000,1150000,,섬유잡화,본  점,1,1.0,1.0,0,1
288,870000,870000,,화장품,잠실점,1,1.0,1.0,0,0
289,713090,220000,,가공식품,분당점,5,2.8,0.0,19,0
290,227174910,18552000,,농산물,부평점,102,6.725490196,0.239067055,3,1
292,987720920,52875000,14963000.0,화장품,대전점,137,2.321167883,0.399371069,2,1
295,1163100,19125000,19125000.0,농산물,본  점,3,3.333333333,0.8,2,1
297,10500,5500,,가공식품,분당점,1,2.0,0.0,0,1
298,130214860,53544000,,가공식품,본  점,86,3.186046512,0.408759124,4,1
299,775790,143000,,가공식품,강남점,6,3.833333333,0.695652174,18,0
301,836353880,71000000,21600000.0,명품,동래점,61,2.918032787,0.370786517,5,0
302,117141800,31656000,,화장품,부산본점,11,1.818181818,0.4,21,1
303,4325000,4325000,,화장품,잠실점,1,1.0,0.0,0,0
304,92774470,19624000,4290000.0,수산품,분당점,18,4.833333333,0.126436782,17,0
305,61154170,9614000,240000.0,가공식품,본  점,140,3.378571429,0.293868922,2,0
306,11510000,11250000,,골프,영등포점,2,1.5,1.0,41,0
307,13883100,12720000,,기타,인천점,1,7.0,0.0,0,1
310,92197700,25000000,,남성 캐주얼,관악점,4,3.0,0.5,66,0
314,12474000,12474000,,디자이너,영등포점,1,1.0,0.0,0,1
316,35799650,7080000,,기타,본  점,22,2.954545455,0.215384615,15,1
319,2562000,1357000,,남성 캐주얼,영등포점,2,4.5,0.444444444,1,0
322,149659570,32500000,18486900.0,기타,본  점,83,2.445783133,0.24137931,4,0
323,233423330,28608000,,농산물,일산점,30,2.7,0.135802469,11,0
325,60230680,50450000,,농산물,분당점,15,3.266666667,0.244897959,21,0
327,39641100,6900000,1394000.0,피혁잡화,분당점,19,1.578947368,0.166666667,17,0
328,78958920,40000000,,기타,일산점,15,5.6,0.619047619,23,0
330,21763310,14080000,,농산물,영등포점,21,2.476190476,0.076923077,16,0
331,405244930,43050000,39012000.0,시티웨어,영등포점,69,3.942028986,0.220588235,5,0
333,459805300,28244000,56857600.0,기타,분당점,66,2.939393939,0.273195876,5,0
334,16330000,13530000,5784000.0,기타,분당점,5,4.6,0.0,50,0
335,6752000,1850000,,건강식품,잠실점,5,1.2,0.666666667,62,1
336,705000,660000,,주방용품,본  점,1,2.0,1.0,0,1
340,28407850,4913000,3943400.0,구두,부산본점,13,3.538461538,0.02173913,13,0
341,66010670,12826000,15134000.0,가공식품,노원점,33,3.212121212,0.188679245,10,0
342,19510840,920000,2135000.0,기타,본  점,81,2.49382716,0.301980198,4,0
344,1237750,345000,,가공식품,분당점,2,5.5,0.636363636,41,1
345,89133620,12882500,15157200.0,농산물,분당점,19,4.368421053,0.048192771,18,1
346,6743310,12374000,13898000.0,캐주얼,본  점,9,1.777777778,0.375,36,1
348,86772800,28947600,,가공식품,대전점,8,3.375,0.259259259,43,0
349,3543500,2607500,,스포츠,분당점,2,1.5,0.0,107,1
350,24783000,8820000,975000.0,시티웨어,안양점,5,2.2,0.090909091,58,0
351,208214540,17175000,51852000.0,수산품,본  점,44,3.113636364,0.116788321,7,0
352,1800000,2200000,2200000.0,모피/피혁,관악점,3,1.333333333,0.0,79,0
354,7975140,3105000,,기타,미아점,3,20.33333333,1.0,11,1
355,83408300,35625000,1224000.0,트래디셔널,본  점,14,1.571428571,0.136363636,20,1
356,58690340,13570000,,섬유잡화,본  점,25,1.84,0.826086957,13,0
357,186972200,58520000,,기타,본  점,23,4.347826087,0.5,15,1
358,21106340,11000000,4364000.0,구두,영등포점,6,3.666666667,0.272727273,43,0
359,3996000,3996000,,건강식품,영등포점,1,1.0,0.0,0,1
360,57396570,22704000,19504000.0,기타,미아점,37,2.675675676,0.474747475,9,1
361,3200840,5664000,6532000.0,가공식품,노원점,14,3.5,0.530612245,13,0
362,59701200,10017000,,명품,동래점,16,1.5625,0.16,22,1
363,600000,570000,,섬유잡화,본  점,1,2.0,0.0,0,0
364,37741300,4725000,,화장품,본  점,9,2.333333333,0.0,36,0
365,107932500,15375000,18500000.0,골프,청량리점,29,1.620689655,0.29787234,11,0
367,61099210,15887500,,가공식품,본  점,19,3.210526316,0.0,18,1
370,57664000,16125000,,가공식품,부평점,9,3.333333333,0.466666667,24,0
372,331168020,37490000,24115000.0,시티웨어,강남점,59,2.610169492,0.318181818,5,0
373,177310050,24780000,,화장품,잠실점,31,1.741935484,0.222222222,11,0
375,1800000,1800000,,피혁잡화,청량리점,1,1.0,1.0,0,0
376,20064000,16544000,,시티웨어,본  점,2,1.0,0.0,17,1
377,1657400,1015000,,명품,본  점,3,1.0,0.333333333,18,0
378,304615000,61250000,10098200.0,캐주얼,영등포점,47,2.893617021,0.264705882,7,1
380,133804900,47400000,,농산물,분당점,25,4.84,0.181818182,14,0
381,187886250,15162000,882000.0,디자이너,광주점,33,1.878787879,0.177419355,10,0
382,682500,680000,,차/커피,미아점,1,2.0,0.0,0,1
383,10922000,10340000,358600.0,주방가전,강남점,4,1.25,0.0,38,0
384,42348200,13920000,,가구,잠실점,5,1.2,0.166666667,39,0
385,123174900,49122000,,명품,잠실점,13,1.846153846,0.208333333,24,0
386,74582410,12575000,3556000.0,기타,잠실점,30,4.7,0.170212766,11,0
387,179359070,26650000,22409600.0,란제리/내의,부산본점,21,2.285714286,0.145833333,15,0
388,151115480,65320000,10230700.0,기타,본  점,34,2.088235294,0.352112676,9,0
389,15425000,10700000,,화장품,영등포점,2,1.0,0.0,119,0
390,2269000,1580000,,캐주얼,잠실점,1,3.0,1.0,0,1
392,1440000,1440000,,캐주얼,본  점,1,1.0,1.0,0,0
394,975000,975000,,남성 캐주얼,강남점,1,1.0,0.0,0,1
396,192600,107800,,수산품,본  점,1,4.0,1.0,0,1
397,106315460,22750000,,농산물,노원점,20,8.6,0.069767442,16,1
398,11185100,1750000,,가공식품,본  점,19,3.105263158,0.203389831,17,0
399,16482070,5651100,,농산물,본  점,8,2.5,0.2,17,0
401,13901200,6811200,,기타,잠실점,3,1.666666667,0.2,45,0
402,51073950,4700000,,캐주얼,분당점,12,3.75,0.377777778,20,0
404,80340270,17380800,,기타,분당점,20,5.05,0.247524752,16,1
405,690000,660000,,시티웨어,영등포점,1,2.0,0.0,0,1
406,399000,210000,,가공식품,본  점,1,2.0,0.0,0,1
407,6813910,1012000,,가공식품,노원점,24,3.291666667,0.240506329,12,0
408,411182590,82225000,28986400.0,가공식품,대구점,69,3.724637681,0.291828794,4,0
410,155464820,35604000,,디자이너,강남점,10,2.8,0.357142857,26,0
411,127565000,15884000,4500000.0,스포츠,본  점,18,2.5,0.244444444,16,0
412,175313030,28560000,,수산품,청량리점,38,2.973684211,0.159292035,9,0
413,4625000,3150000,,스포츠,본  점,1,2.0,0.0,0,0
414,248397800,26212500,3683000.0,골프,본  점,22,2.636363636,0.034482759,13,1
416,133898400,41080000,10946000.0,기타,분당점,48,6.729166667,0.213622291,7,0
417,2329600,2240000,,트래디셔널,본  점,1,2.0,1.0,0,0
418,160860880,36340000,25325000.0,디자이너,본  점,26,2.269230769,0.288135593,13,1
419,99260460,9575000,,농산물,동래점,40,5.15,0.199029126,8,0
420,256629990,25875000,3435000.0,시티웨어,인천점,74,3.121621622,0.164502165,4,0
421,8856800,7992000,,수산품,분당점,6,3.5,0.285714286,58,1
423,11440000,11440000,,시티웨어,영등포점,1,1.0,0.0,0,0
424,9885550,4320000,,기타,부산본점,5,2.8,0.0,18,0
425,23573400,21912000,,수산품,분당점,3,3.666666667,0.909090909,26,0
426,340237180,36800000,26216500.0,기타,일산점,52,3.442307692,0.340782123,6,0
427,35533200,12500000,,남성정장,인천점,3,2.0,0.333333333,46,1
429,171456700,41170000,38773000.0,디자이너,동래점,26,2.307692308,0.133333333,12,0
430,1500000,1500000,,남성정장,전주점,1,1.0,0.0,0,1
431,3175000,3146000,,골프,대전점,2,1.0,0.5,16,0
432,214382300,80270000,,디자이너,일산점,15,1.666666667,0.56,17,0
433,11952260,5950000,144000.0,기타,분당점,8,3.0,0.041666667,34,1
435,238804020,41170000,25000.0,가공식품,본  점,94,3.223404255,0.221122112,3,0
436,15337200,13000000,,명품,본  점,2,1.5,1.0,0,0
438,48050,46800,,농산물,분당점,1,2.0,0.0,0,1
439,9360000,5050000,,주류,일산점,5,2.0,0.4,60,1
441,95292520,37449000,,가공식품,본  점,21,3.142857143,0.712121212,16,1
442,410948850,46230000,144340700.0,디자이너,본  점,59,2.033898305,0.175,6,0
443,29148950,7157600,1242000.0,가공식품,본  점,15,3.866666667,0.086206897,23,0
444,910000,910000,,화장품,영등포점,1,1.0,0.0,0,1
446,682592480,60480000,35931700.0,캐주얼,부산본점,93,3.032258065,0.326241135,3,0
448,48110560,15360000,64771000.0,시티웨어,분당점,31,2.709677419,0.261904762,8,0
449,624000,576000,,수산품,본  점,1,2.0,0.0,0,0
450,468000,108000,,수산품,노원점,2,5.5,0.0,54,0
452,27356100,7630000,,기타,분당점,5,3.8,0.157894737,34,0
453,30306750,10060200,,수산품,본  점,6,3.666666667,0.681818182,47,0
457,27707000,12840000,,시티웨어,분당점,2,2.0,0.0,121,0
458,118898500,53300000,9372000.0,농산물,노원점,9,5.888888889,0.320754717,31,0
459,84285450,13710000,,수산품,부산본점,19,2.210526316,0.142857143,17,0
461,18395420,3456000,,가공식품,일산점,16,4.6875,0.466666667,21,0
463,6217260,700000,,수산품,청량리점,32,3.0625,0.37755102,10,0
464,125853100,28116000,32615000.0,시티웨어,본  점,19,2.210526316,0.19047619,17,0
468,39570260,8470000,2025000.0,명품,본  점,62,1.903225806,0.254237288,5,0
469,8597300,4830000,2760000.0,골프,본  점,5,2.6,0.384615385,8,0
471,100297950,28536000,,기타,일산점,10,5.0,0.74,34,0
472,438413040,25070000,,가공식품,일산점,67,4.044776119,0.025830258,5,0
474,16549500,9154000,,차/커피,본  점,9,2.555555556,0.434782609,34,0
475,17482650,8064000,,가공식품,부산본점,12,4.416666667,0.452830189,24,0
476,626597100,65458000,121948000.0,디자이너,본  점,42,2.452380952,0.27184466,7,0
477,578132950,22275000,6215300.0,디자이너,본  점,55,3.127272727,0.226744186,6,0
478,78950350,50600000,,기타,본  점,17,2.823529412,0.291666667,20,1
480,2137500,2137500,1150000.0,섬유잡화,본  점,2,1.5,0.0,1,1
484,317602500,181700000,7103800.0,남성 캐주얼,안양점,17,1.764705882,0.066666667,16,1
487,1106000,750000,,수산품,본  점,2,2.5,0.0,123,0
489,188247500,116150000,210976000.0,디자이너,부산본점,37,1.324324324,0.102040816,9,0
490,28750550,13625000,,가공식품,본  점,7,5.142857143,0.472222222,31,1
491,156212500,91413000,124899000.0,디자이너,일산점,28,1.428571429,0.225,11,0
492,1733450,640000,640000.0,가공식품,본  점,13,3.692307692,0.166666667,20,1
494,39973740,11760000,,차/커피,일산점,13,4.538461538,0.694915254,22,1
495,14007000,7524000,,아동,본  점,2,3.0,0.666666667,23,0
497,48705980,28028000,,기타,분당점,11,2.909090909,0.0,21,0
498,557594900,46200000,,화장품,잠실점,46,2.217391304,0.147058824,7,0
499,74520930,13953000,6495000.0,명품,부산본점,33,2.727272727,0.166666667,10,0
501,4712400,4712400,,커리어,일산점,1,1.0,1.0,0,0
503,20536350,10750000,925000.0,일용잡화,분당점,10,2.1,0.666666667,27,0
505,8947200,8947200,,커리어,동래점,1,1.0,0.0,0,0
506,76296410,19350000,,가공식품,본  점,17,3.235294118,0.545454545,20,1
507,20053930,11976000,,농산물,안양점,9,2.888888889,0.384615385,11,0
508,1250000,1200000,,시티웨어,부산본점,1,2.0,1.0,0,0
509,390000,390000,,화장품,본  점,1,1.0,1.0,0,0
511,2948000,2948000,,화장품,강남점,1,1.0,0.0,0,1
512,188070,95070,,수산품,본  점,2,1.5,0.0,0,1
514,18832280,5952000,,섬유잡화,부산본점,5,4.0,0.3,53,1
516,63703200,36600000,,명품,본  점,4,1.25,0.0,77,1
519,91589400,13200000,,기타,본  점,36,1.388888889,0.1,9,1
520,337717550,40890000,3033000.0,농산물,본  점,108,3.509259259,0.298153034,3,0
522,12435400,5175000,,화장품,잠실점,4,1.5,0.166666667,35,0
523,10710810,7500000,7500000.0,가공식품,분당점,6,2.166666667,0.615384615,30,1
524,180000,180000,,가공식품,본  점,1,1.0,0.0,0,1
525,50887000,16169000,,화장품,본  점,5,1.6,0.75,68,0
526,120000,120000,,수산품,일산점,1,1.0,0.0,0,0
527,103609900,26800000,2026000.0,기타,노원점,15,2.466666667,0.297297297,23,0
528,7291370,4428000,,가공식품,부산본점,24,1.916666667,0.695652174,14,1
